Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Hu,Anthony Internicola,Larisa Julius,Randi Ramdeen,Jean Yip,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 57","Scarborough",60,5,36,5,88,1,195,471
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 58","Scarborough",55,0,13,2,76,5,151,418
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 59","Scarborough",27,1,21,3,113,3,168,407
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 60","Scarborough",40,5,14,8,74,3,144,347
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 61","Scarborough",19,3,24,5,148,0,199,394
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 62","Scarborough",55,3,16,2,91,2,169,385
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 63","Scarborough",33,2,13,2,60,0,110,353
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 64","Scarborough",31,2,21,1,107,2,164,423
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 65","Scarborough",43,0,27,0,107,1,178,481
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 66","Scarborough",62,3,13,5,56,1,140,342
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 67","Scarborough",73,7,18,0,98,2,198,544
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 68","Scarborough",49,3,16,4,79,1,152,390
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 69A","Scarborough",37,3,10,2,52,2,106,276
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 69B","Scarborough",Merged with No./Fusionné avec le n°423,,,,,,,118
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 70","Scarborough",68,1,21,6,87,0,183,461
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 71","Scarborough",94,3,14,7,113,3,234,474
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 72","Scarborough",77,2,13,7,74,0,173,399
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 73","Scarborough",71,3,13,7,58,3,155,381
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 74","Scarborough",28,1,24,1,75,0,129,356
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 75","Scarborough",63,1,21,14,118,1,218,516
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 76","Scarborough",114,0,19,6,109,2,250,493
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 77","Scarborough",61,5,21,7,84,4,182,466
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 78","Scarborough",43,1,17,3,70,2,136,432
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 79","Scarborough",53,0,9,5,66,5,138,418
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 80","Scarborough",63,3,8,3,57,0,134,271
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 81","Scarborough",166,2,17,11,135,4,335,630
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 82","Scarborough",25,3,7,4,44,1,84,294
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 83","Scarborough",64,2,13,3,80,8,170,533
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 84","Scarborough",120,6,44,12,178,6,366,991
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 85","Scarborough",46,1,19,4,110,1,181,486
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 86","Scarborough",78,0,6,4,58,1,147,436
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 87","Scarborough",42,2,21,3,103,8,179,530
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 88","Scarborough",58,3,14,0,78,1,154,368
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 89","Scarborough",42,4,21,4,126,0,197,450
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 90","Scarborough",54,4,13,7,41,1,120,383
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 91","Scarborough",48,1,17,2,57,1,126,312
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 92","Scarborough",73,5,12,3,73,6,172,415
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 93","Scarborough",50,1,11,4,65,0,131,271
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 94","Scarborough",60,0,16,3,77,2,158,353
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 95","Scarborough",62,2,13,5,103,5,190,470
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 96","Scarborough",62,6,9,4,76,1,158,366
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 97","Scarborough",50,2,16,5,115,5,193,539
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 98","Scarborough",46,4,6,0,79,2,137,556
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 99","Scarborough",84,3,28,10,123,2,250,668
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 100","Scarborough",40,2,18,1,82,0,143,380
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 101","Scarborough",50,0,14,5,93,2,164,373
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 102","Scarborough",49,2,24,7,80,6,168,450
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 103","Scarborough",74,2,21,6,120,3,226,455
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 104","Scarborough",63,3,15,5,107,1,194,415
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 105","Scarborough",51,4,16,4,92,2,169,362
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 106","Scarborough",14,0,5,0,35,0,54,110
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 107","Scarborough",82,2,17,5,153,2,261,453
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 108","Scarborough",107,4,17,7,148,3,286,497
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 109","Scarborough",92,1,40,10,183,1,327,574
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 110","Scarborough",65,3,12,2,71,1,154,513
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 111","Scarborough",25,1,15,3,100,2,146,542
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 112","Scarborough",40,6,12,6,48,1,113,423
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 113","Scarborough",37,2,15,1,62,6,123,408
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 114","Scarborough",53,1,17,13,105,1,190,451
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 115","Scarborough",71,4,36,11,114,3,239,542
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 116","Scarborough",33,5,23,7,80,0,148,373
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 117","Scarborough",52,4,22,3,89,0,170,355
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 118","Scarborough",51,2,19,7,99,1,179,358
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 119","Scarborough",49,4,19,4,81,1,158,345
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 120","Scarborough",69,3,20,4,120,5,221,502
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 121","Scarborough",46,2,14,2,87,1,152,292
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 122","Scarborough",82,2,20,7,105,1,217,439
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 123","Scarborough",66,6,24,6,80,1,183,324
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 124","Scarborough",80,4,22,7,103,2,218,371
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 125","Scarborough",74,3,28,5,123,1,234,454
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 126","Scarborough",74,2,23,4,117,0,220,444
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 127","Scarborough",85,7,24,7,101,0,224,470
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 400","Scarborough",86,0,12,6,60,1,165,420
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 401","Scarborough",63,4,19,4,52,0,142,411
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 402","Scarborough",108,4,6,2,73,2,195,327
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 403","Scarborough",126,2,13,7,89,1,238,479
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 404","Scarborough",119,2,22,9,82,1,235,486
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 405","Scarborough",122,4,12,4,93,3,238,471
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 406","Scarborough",101,0,6,8,71,3,189,357
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 407","Scarborough",119,0,7,6,85,2,219,432
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 408","Scarborough",111,2,13,4,75,6,211,366
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 409","Scarborough",175,5,19,9,95,1,304,590
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 410","Scarborough",48,2,7,1,82,1,141,374
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 411","Scarborough",36,4,8,2,18,2,70,191
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 412","Scarborough",65,1,7,3,65,1,142,381
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 413","Scarborough",57,0,9,3,70,0,139,352
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 414","Scarborough",121,3,12,9,132,5,282,461
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 415","Scarborough",105,2,12,11,127,6,263,451
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 416","Scarborough",58,0,23,0,113,2,196,507
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 417","Scarborough",50,5,29,2,122,1,209,500
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 418","Scarborough",28,4,11,4,69,1,117,287
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 419","Scarborough",54,2,17,3,68,1,145,323
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 420","Scarborough",35,4,17,1,84,3,144,350
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 421","Scarborough",28,0,9,0,47,2,86,301
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 422","Scarborough",39,1,18,2,87,0,147,340
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 423","Scarborough",96,4,11,8,82,5,206,260
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 424","Scarborough",42,0,6,2,103,5,158,300
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 425","Scarborough",58,2,21,2,92,1,176,289
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 426","Scarborough",58,2,20,2,66,1,149,299
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 427","Scarborough",24,0,7,1,35,1,68,231
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 428","Scarborough",14,0,17,3,60,0,94,232
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 429","Scarborough",13,3,14,5,47,3,85,228
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 430","Scarborough",15,0,10,5,48,0,78,255
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 431","Scarborough",14,0,9,1,56,0,80,214
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 432","Scarborough",37,1,10,2,67,0,117,266
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 433","Scarborough",20,0,15,4,53,1,93,231
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 434","Scarborough",19,0,11,0,52,0,82,255
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 435","Scarborough",49,3,11,3,61,0,127,364
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 436","Scarborough",117,0,20,2,129,8,276,521
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 437","Scarborough",106,4,8,2,78,0,198,372
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 438","Scarborough",59,2,12,3,67,0,143,355
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 439","Scarborough",19,0,1,0,35,0,55,194
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 440","Scarborough",91,5,4,4,77,15,196,294
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 441","Scarborough",56,0,5,6,31,1,99,143
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 442","Scarborough",102,7,5,6,46,5,171,277
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 443","Scarborough",19,1,15,3,80,6,124,359
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 444","Scarborough",55,3,30,7,137,2,234,447
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 445","Scarborough",70,4,30,5,114,3,226,431
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 446","Scarborough",35,3,12,2,65,2,119,271
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 447","Scarborough",44,2,15,1,59,1,122,266
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 448","Scarborough",75,2,3,1,47,4,132,283
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 500","Mobile poll/Bureau itinérant",17,2,3,5,111,11,149,282
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 501","Mobile poll/Bureau itinérant",43,3,4,5,57,7,119,223
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 600","Scarborough",323,12,44,22,340,6,747,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 601","Scarborough",413,11,62,15,480,4,985,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 602","Scarborough",248,4,46,13,376,7,694,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 603","Scarborough",309,0,75,24,486,0,894,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 604","Scarborough",292,11,76,16,554,6,955,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 605","Scarborough",386,16,103,26,659,8,1198,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 606","Scarborough",540,12,77,36,807,26,1498,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 607","Scarborough",336,7,87,31,587,1,1049,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 608","Scarborough",368,4,63,19,406,2,862,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 609","Scarborough",442,11,88,31,578,13,1163,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 610","Scarborough",301,12,86,31,507,3,940,
35093,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 1/Groupe 1, 51,3,10,6,127,7,204,317
35093,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 2/Groupe 2, 272,8,102,34,541,18,975,
