Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gaël Chantrel,Claude Dufour,Richard Evanko,Marie-Hélène Gaudreau,David Graham,Serge Grégoire,Michel Leclerc,Ludovic Schneider,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 48","Des Ruisseaux",4,9,0,83,38,18,0,0,5,157,420
24038,"Laurentides--Labelle/Laurentides--Labelle"," 49","Mont-Laurier",12,13,1,103,55,15,0,1,0,200,455
24038,"Laurentides--Labelle/Laurentides--Labelle"," 50","Rivière-Rouge",4,2,2,81,27,8,0,0,1,125,369
24038,"Laurentides--Labelle/Laurentides--Labelle"," 51A","Marchand",2,6,0,51,26,9,0,0,4,98,287
24038,"Laurentides--Labelle/Laurentides--Labelle"," 51B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,,,66
24038,"Laurentides--Labelle/Laurentides--Labelle"," 52","Rivière-Rouge",5,5,0,53,26,9,0,2,1,101,407
24038,"Laurentides--Labelle/Laurentides--Labelle"," 53","L'Annonciation",1,9,0,57,30,4,0,1,5,107,372
24038,"Laurentides--Labelle/Laurentides--Labelle"," 54A","L'Annonciation",1,1,0,35,9,6,0,0,0,52,202
24038,"Laurentides--Labelle/Laurentides--Labelle"," 54B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,,,99
24038,"Laurentides--Labelle/Laurentides--Labelle"," 55","L'Annonciation",8,3,0,67,44,12,1,0,3,138,420
24038,"Laurentides--Labelle/Laurentides--Labelle"," 56","Rivière-Rouge",3,7,0,62,19,11,0,0,5,107,318
24038,"Laurentides--Labelle/Laurentides--Labelle"," 57","Marchand",8,10,0,72,18,9,1,0,0,118,430
24038,"Laurentides--Labelle/Laurentides--Labelle"," 58","Mont-Laurier",4,30,3,132,69,29,1,2,5,275,623
24038,"Laurentides--Labelle/Laurentides--Labelle"," 59","Mont-Laurier",2,19,0,116,57,26,0,0,7,227,591
24038,"Laurentides--Labelle/Laurentides--Labelle"," 60","Mont-Laurier",9,17,0,75,25,13,1,0,5,145,424
24038,"Laurentides--Labelle/Laurentides--Labelle"," 61","Mont-Tremblant",12,8,0,91,91,9,0,1,1,213,513
24038,"Laurentides--Labelle/Laurentides--Labelle"," 62","Mont-Tremblant",17,17,2,65,101,13,0,1,4,220,550
24038,"Laurentides--Labelle/Laurentides--Labelle"," 63","Mont-Tremblant",9,3,3,63,57,9,0,0,3,147,365
24038,"Laurentides--Labelle/Laurentides--Labelle"," 64","Mont-Tremblant",14,6,2,83,56,11,1,0,3,176,479
24038,"Laurentides--Labelle/Laurentides--Labelle"," 65","Saint-Jovite",18,22,1,88,96,19,0,1,3,248,483
24038,"Laurentides--Labelle/Laurentides--Labelle"," 66","Saint-Jovite",9,19,1,97,56,11,0,2,2,197,396
24038,"Laurentides--Labelle/Laurentides--Labelle"," 67","Val-des-Lacs",7,5,1,74,43,8,2,1,3,144,293
24038,"Laurentides--Labelle/Laurentides--Labelle"," 68","Val-des-Lacs",7,6,0,70,43,12,2,1,6,147,341
24038,"Laurentides--Labelle/Laurentides--Labelle"," 69","Sainte-Lucie-des-Laurentides",9,8,0,64,57,13,0,1,2,154,308
24038,"Laurentides--Labelle/Laurentides--Labelle"," 70","Sainte-Lucie-des-Laurentides",1,6,1,91,85,22,1,0,6,213,393
24038,"Laurentides--Labelle/Laurentides--Labelle"," 71","Sainte-Lucie-des-Laurentides",17,10,3,95,64,8,0,2,0,199,429
24038,"Laurentides--Labelle/Laurentides--Labelle"," 72","Lac-Nominingue",3,6,1,70,42,10,0,0,5,137,332
24038,"Laurentides--Labelle/Laurentides--Labelle"," 73","Nominingue",10,9,2,89,52,20,0,1,3,186,339
24038,"Laurentides--Labelle/Laurentides--Labelle"," 74","Nominingue",2,1,1,84,47,13,1,0,4,153,292
24038,"Laurentides--Labelle/Laurentides--Labelle"," 75","Nominingue",9,16,0,67,57,8,0,0,2,159,355
24038,"Laurentides--Labelle/Laurentides--Labelle"," 76","Nominingue",1,5,1,76,72,9,1,0,0,165,303
24038,"Laurentides--Labelle/Laurentides--Labelle"," 77","Lac-Ernest",3,4,2,76,46,9,0,0,0,140,271
24038,"Laurentides--Labelle/Laurentides--Labelle"," 78","Lantier",5,7,1,60,37,12,1,2,2,127,329
24038,"Laurentides--Labelle/Laurentides--Labelle"," 79","Lantier",8,6,0,74,36,15,0,0,4,143,490
24038,"Laurentides--Labelle/Laurentides--Labelle"," 80","Kiamika",5,8,0,91,36,23,0,0,2,165,326
24038,"Laurentides--Labelle/Laurentides--Labelle"," 81","Kiamika",6,11,0,79,54,20,0,1,4,175,308
24038,"Laurentides--Labelle/Laurentides--Labelle"," 82","Saint-Aimé-du-Lac-des-Îles",1,10,2,86,66,12,1,2,3,183,352
24038,"Laurentides--Labelle/Laurentides--Labelle"," 83","Saint-Aimé-du-Lac-des-Îles",8,8,0,81,51,15,0,2,4,169,331
24038,"Laurentides--Labelle/Laurentides--Labelle"," 84","Lac-Tremblant-Nord",7,14,0,79,57,5,0,0,3,165,376
24038,"Laurentides--Labelle/Laurentides--Labelle"," 85","Labelle",15,8,2,110,54,24,0,0,6,219,474
24038,"Laurentides--Labelle/Laurentides--Labelle"," 86","Labelle",12,7,0,95,30,15,1,1,4,165,416
24038,"Laurentides--Labelle/Laurentides--Labelle"," 87","Labelle",3,8,1,78,31,12,0,0,2,135,385
24038,"Laurentides--Labelle/Laurentides--Labelle"," 88","Labelle",5,10,2,110,46,10,1,0,4,188,426
24038,"Laurentides--Labelle/Laurentides--Labelle"," 89","Lac-Tremblant-Nord",16,7,1,51,102,28,1,1,1,208,455
24038,"Laurentides--Labelle/Laurentides--Labelle"," 90A","Mont-Tremblant",9,5,0,36,79,19,0,0,1,149,327
24038,"Laurentides--Labelle/Laurentides--Labelle"," 90B","Mont-Tremblant",6,8,0,33,79,6,0,1,0,133,333
24038,"Laurentides--Labelle/Laurentides--Labelle"," 91","Lac-Supérieur",17,10,1,85,74,13,2,2,3,207,395
24038,"Laurentides--Labelle/Laurentides--Labelle"," 92","Lac-Supérieur",14,15,1,113,55,8,0,2,5,213,387
24038,"Laurentides--Labelle/Laurentides--Labelle"," 93","Lac-Supérieur",16,14,3,105,39,11,0,1,3,192,397
24038,"Laurentides--Labelle/Laurentides--Labelle"," 94","Lac-Supérieur",18,11,2,83,57,8,0,0,3,182,381
24038,"Laurentides--Labelle/Laurentides--Labelle"," 95","Sainte-Agathe-des-Monts",13,9,1,71,48,10,0,1,2,155,506
24038,"Laurentides--Labelle/Laurentides--Labelle"," 96","Sainte-Agathe-des-Monts",13,11,4,99,49,9,0,0,2,187,507
24038,"Laurentides--Labelle/Laurentides--Labelle"," 97","Sainte-Agathe-des-Monts",7,15,1,91,43,11,0,0,3,171,550
24038,"Laurentides--Labelle/Laurentides--Labelle"," 98","Sainte-Agathe-des-Monts",9,13,3,74,38,9,0,0,1,147,469
24038,"Laurentides--Labelle/Laurentides--Labelle"," 99A","Sainte-Agathe-des-Monts",14,10,3,74,29,20,1,1,5,157,542
24038,"Laurentides--Labelle/Laurentides--Labelle"," 99B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508B,,,,,,,,,,20
24038,"Laurentides--Labelle/Laurentides--Labelle"," 100","Sainte-Agathe-des-Monts",4,20,0,121,45,7,1,0,4,202,530
24038,"Laurentides--Labelle/Laurentides--Labelle"," 101A","Sainte-Agathe-des-Monts",7,13,0,62,48,6,0,0,1,137,488
24038,"Laurentides--Labelle/Laurentides--Labelle"," 101B","Mobile poll/Bureau itinérant",4,3,0,42,109,16,2,2,9,187,156
24038,"Laurentides--Labelle/Laurentides--Labelle"," 102","Sainte-Marguerite-du-Lac-Masson",11,10,0,109,30,4,0,1,2,167,476
24038,"Laurentides--Labelle/Laurentides--Labelle"," 103","Sainte-Marguerite-du-Lac-Masson",14,12,0,50,48,11,0,0,0,135,359
24038,"Laurentides--Labelle/Laurentides--Labelle"," 104","Sainte-Marguerite-du-Lac-Masson",4,11,1,92,35,11,0,2,4,160,448
24038,"Laurentides--Labelle/Laurentides--Labelle"," 105","Sainte-Marguerite--Estérel",8,7,2,63,34,8,0,1,1,124,374
24038,"Laurentides--Labelle/Laurentides--Labelle"," 106","Sainte-Marguerite-du-Lac-Masson",10,12,0,88,52,13,0,0,0,175,427
24038,"Laurentides--Labelle/Laurentides--Labelle"," 107","Sainte-Marguerite-du-Lac-Masson",11,10,3,75,38,14,1,1,1,154,394
24038,"Laurentides--Labelle/Laurentides--Labelle"," 108","Sainte-Marguerite--Estérel",8,10,1,79,39,14,0,2,2,155,397
24038,"Laurentides--Labelle/Laurentides--Labelle"," 109","Saint-Faustin",11,11,0,75,61,16,0,0,2,176,415
24038,"Laurentides--Labelle/Laurentides--Labelle"," 110","Lac-Carré",7,14,1,99,41,9,0,2,3,176,381
24038,"Laurentides--Labelle/Laurentides--Labelle"," 111","Saint-Faustin",5,9,3,73,35,5,1,1,4,136,357
24038,"Laurentides--Labelle/Laurentides--Labelle"," 112","La Minerve",15,5,1,104,57,22,0,2,2,208,383
24038,"Laurentides--Labelle/Laurentides--Labelle"," 113","La Minerve",9,5,2,107,68,17,0,0,5,213,350
24038,"Laurentides--Labelle/Laurentides--Labelle"," 114","La Minerve",10,8,1,111,71,19,1,1,3,225,371
24038,"Laurentides--Labelle/Laurentides--Labelle"," 115","La Conception",12,14,1,109,73,15,0,2,2,228,387
24038,"Laurentides--Labelle/Laurentides--Labelle"," 116","La Conception",9,7,0,77,60,10,0,0,3,166,373
24038,"Laurentides--Labelle/Laurentides--Labelle"," 117","La Conception",16,16,0,125,73,10,0,2,2,244,425
24038,"Laurentides--Labelle/Laurentides--Labelle"," 118","Lac-du-Cerf",7,6,0,49,40,15,0,1,4,122,396
24038,"Laurentides--Labelle/Laurentides--Labelle"," 119","Sainte-Agathe-des-Monts",15,17,1,99,48,16,3,1,1,201,581
24038,"Laurentides--Labelle/Laurentides--Labelle"," 120","Sainte-Agathe-des-Monts",12,14,0,103,47,15,1,2,5,199,536
24038,"Laurentides--Labelle/Laurentides--Labelle"," 121","Sainte-Agathe-des-Monts",6,8,6,110,55,11,1,1,2,200,519
24038,"Laurentides--Labelle/Laurentides--Labelle"," 122","Sainte-Agathe-des-Monts",12,12,3,77,43,4,0,0,4,155,491
24038,"Laurentides--Labelle/Laurentides--Labelle"," 123","Sainte-Agathe-des-Monts",9,4,4,71,30,7,1,0,3,129,501
24038,"Laurentides--Labelle/Laurentides--Labelle"," 124","Sainte-Agathe-des-Monts",8,9,2,58,46,9,0,2,1,135,518
24038,"Laurentides--Labelle/Laurentides--Labelle"," 125","Sainte-Agathe-des-Monts",9,15,0,85,55,10,0,2,3,179,498
24038,"Laurentides--Labelle/Laurentides--Labelle"," 126","Ivry",16,6,0,72,54,8,0,0,2,158,312
24038,"Laurentides--Labelle/Laurentides--Labelle"," 127","Mont-Tremblant",12,12,6,83,94,16,0,0,3,226,477
24038,"Laurentides--Labelle/Laurentides--Labelle"," 128","Mont-Tremblant",6,8,0,87,52,13,0,1,7,174,449
24038,"Laurentides--Labelle/Laurentides--Labelle"," 129","Mont-Tremblant",24,16,0,117,69,17,0,1,4,248,504
24038,"Laurentides--Labelle/Laurentides--Labelle"," 130","Mont-Tremblant",10,10,1,97,56,16,0,1,6,197,577
24038,"Laurentides--Labelle/Laurentides--Labelle"," 131","Mont-Tremblant",16,22,4,118,69,21,0,3,6,259,597
24038,"Laurentides--Labelle/Laurentides--Labelle"," 132","Mont-Tremblant",13,24,10,83,69,17,0,0,6,222,475
24038,"Laurentides--Labelle/Laurentides--Labelle"," 133","Mont-Tremblant",4,13,1,69,44,13,0,1,3,148,460
24038,"Laurentides--Labelle/Laurentides--Labelle"," 134","Saint-Jovite",9,13,1,86,58,17,0,1,5,190,511
24038,"Laurentides--Labelle/Laurentides--Labelle"," 135","Mont-Tremblant",11,18,2,92,62,16,0,0,4,205,439
24038,"Laurentides--Labelle/Laurentides--Labelle"," 136","Val-David",19,16,4,87,52,17,0,4,1,200,451
24038,"Laurentides--Labelle/Laurentides--Labelle"," 137","Val-David",27,19,2,98,64,5,0,1,3,219,434
24038,"Laurentides--Labelle/Laurentides--Labelle"," 138","Val-David",39,24,0,85,60,2,0,1,1,212,408
24038,"Laurentides--Labelle/Laurentides--Labelle"," 139","Val-David",14,14,1,96,44,6,0,4,0,179,405
24038,"Laurentides--Labelle/Laurentides--Labelle"," 140","Val-David",25,23,1,88,48,9,2,2,2,200,392
24038,"Laurentides--Labelle/Laurentides--Labelle"," 141","Val-David",22,27,0,95,58,7,0,4,2,215,402
24038,"Laurentides--Labelle/Laurentides--Labelle"," 142","Val-David",18,23,1,100,49,4,0,2,1,198,400
24038,"Laurentides--Labelle/Laurentides--Labelle"," 143","Val-David",13,15,2,64,37,5,1,2,1,140,334
24038,"Laurentides--Labelle/Laurentides--Labelle"," 144","Val-David",13,7,2,77,48,2,0,0,0,149,331
24038,"Laurentides--Labelle/Laurentides--Labelle"," 145","Saint-Faustin",9,22,0,106,47,14,0,0,4,202,487
24038,"Laurentides--Labelle/Laurentides--Labelle"," 146","Saint-Faustin",11,9,0,83,65,11,0,2,4,185,418
24038,"Laurentides--Labelle/Laurentides--Labelle"," 147","Saint-Faustin",7,10,0,87,54,14,1,0,2,175,426
24038,"Laurentides--Labelle/Laurentides--Labelle"," 148","Saint-Faustin",9,6,5,105,45,4,0,0,2,176,379
24038,"Laurentides--Labelle/Laurentides--Labelle"," 149","Sainte-Agathe-des-Monts",5,4,1,73,56,8,0,2,3,152,485
24038,"Laurentides--Labelle/Laurentides--Labelle"," 150","Sainte-Agathe-des-Monts",7,12,0,81,60,8,0,1,1,170,490
24038,"Laurentides--Labelle/Laurentides--Labelle"," 151","Sainte-Agathe-des-Monts",6,12,1,93,70,17,0,2,3,204,473
24038,"Laurentides--Labelle/Laurentides--Labelle"," 152","Val-Morin",15,13,0,84,64,5,0,0,2,183,403
24038,"Laurentides--Labelle/Laurentides--Labelle"," 153","Val-Morin",9,18,0,82,49,7,0,2,0,167,377
24038,"Laurentides--Labelle/Laurentides--Labelle"," 154","Val-David",28,20,0,92,34,3,1,5,1,184,438
24038,"Laurentides--Labelle/Laurentides--Labelle"," 155","Val-David",14,15,0,51,42,6,0,2,3,133,393
24038,"Laurentides--Labelle/Laurentides--Labelle"," 156","Val-Morin",8,19,0,91,38,12,0,0,2,170,388
24038,"Laurentides--Labelle/Laurentides--Labelle"," 157","Val-Morin",17,15,3,88,56,7,0,3,5,194,410
24038,"Laurentides--Labelle/Laurentides--Labelle"," 158","Val-Morin",8,12,0,82,35,7,0,1,1,146,394
24038,"Laurentides--Labelle/Laurentides--Labelle"," 159","Val-Morin",12,17,1,92,64,6,0,0,0,192,418
24038,"Laurentides--Labelle/Laurentides--Labelle"," 160","Sainte-Adèle",13,10,2,59,34,6,0,2,3,129,384
24038,"Laurentides--Labelle/Laurentides--Labelle"," 161","Sainte-Adèle",15,6,4,56,53,5,0,0,3,142,356
24038,"Laurentides--Labelle/Laurentides--Labelle"," 162","Sainte-Adèle",22,11,1,71,65,13,0,1,2,186,451
24038,"Laurentides--Labelle/Laurentides--Labelle"," 163A","Sainte-Adèle",8,8,1,74,43,14,0,2,5,155,372
24038,"Laurentides--Labelle/Laurentides--Labelle"," 163B","Sainte-Adèle",10,5,2,77,62,6,0,1,2,165,403
24038,"Laurentides--Labelle/Laurentides--Labelle"," 164A","Sainte-Adèle",4,7,0,57,34,11,0,1,0,114,293
24038,"Laurentides--Labelle/Laurentides--Labelle"," 164B","Sainte-Adèle",10,14,0,75,45,2,0,0,3,149,340
24038,"Laurentides--Labelle/Laurentides--Labelle"," 165","Sainte-Adèle",6,6,1,62,49,6,0,0,4,134,405
24038,"Laurentides--Labelle/Laurentides--Labelle"," 166","Sainte-Adèle",15,23,0,80,47,10,1,0,2,178,376
24038,"Laurentides--Labelle/Laurentides--Labelle"," 167","Sainte-Adèle",15,11,0,83,70,9,0,0,3,191,508
24038,"Laurentides--Labelle/Laurentides--Labelle"," 168","Notre-Dame-de-Pontmain",2,3,1,87,67,15,0,1,2,178,363
24038,"Laurentides--Labelle/Laurentides--Labelle"," 169","Notre-Dame-de-Pontmain",3,4,6,61,66,19,1,0,4,164,323
24038,"Laurentides--Labelle/Laurentides--Labelle"," 170","Brébeuf",13,30,0,146,56,19,1,1,8,274,427
24038,"Laurentides--Labelle/Laurentides--Labelle"," 171","Brébeuf",16,14,2,143,71,13,0,0,2,261,415
24038,"Laurentides--Labelle/Laurentides--Labelle"," 172","Sainte-Adèle",14,13,2,70,68,12,0,0,5,184,500
24038,"Laurentides--Labelle/Laurentides--Labelle"," 173","Sainte-Adèle",12,8,0,83,50,16,2,2,2,175,457
24038,"Laurentides--Labelle/Laurentides--Labelle"," 174","Sainte-Adèle",17,13,1,92,60,11,0,4,3,201,539
24038,"Laurentides--Labelle/Laurentides--Labelle"," 175","Sainte-Adèle",3,8,0,63,47,8,1,1,1,132,430
24038,"Laurentides--Labelle/Laurentides--Labelle"," 176","Sainte-Adèle",24,18,1,83,39,18,0,2,4,189,510
24038,"Laurentides--Labelle/Laurentides--Labelle"," 177","Sainte-Adèle",18,20,0,117,93,12,1,0,1,262,586
24038,"Laurentides--Labelle/Laurentides--Labelle"," 178","Vendée",9,7,0,177,90,17,0,0,5,305,241
24038,"Laurentides--Labelle/Laurentides--Labelle"," 179","Vendée",Merged with No./Fusionné avec le n°178,,,,,,,,,,239
24038,"Laurentides--Labelle/Laurentides--Labelle"," 180","Sainte-Adèle",11,17,0,113,67,10,0,2,6,226,541
24038,"Laurentides--Labelle/Laurentides--Labelle"," 181","Sainte-Adèle",19,5,1,78,36,8,1,2,1,151,326
24038,"Laurentides--Labelle/Laurentides--Labelle"," 182","Sainte-Adèle",21,15,1,95,63,15,4,0,2,216,453
24038,"Laurentides--Labelle/Laurentides--Labelle"," 183","Sainte-Adèle",25,15,1,126,54,13,0,1,2,237,562
24038,"Laurentides--Labelle/Laurentides--Labelle"," 184","Sainte-Adèle",13,9,1,62,52,12,0,2,4,155,485
24038,"Laurentides--Labelle/Laurentides--Labelle"," 185","Sainte-Adèle",14,12,1,95,80,12,0,0,2,216,567
24038,"Laurentides--Labelle/Laurentides--Labelle"," 186","Sainte-Adèle",7,12,2,87,52,7,1,2,3,173,509
24038,"Laurentides--Labelle/Laurentides--Labelle"," 187","Sainte-Adèle",11,15,2,79,86,8,0,0,2,203,503
24038,"Laurentides--Labelle/Laurentides--Labelle"," 188","Sainte-Adèle",14,22,1,101,70,6,0,2,2,218,531
24038,"Laurentides--Labelle/Laurentides--Labelle"," 189","Piedmont",10,10,0,76,73,9,0,0,2,180,441
24038,"Laurentides--Labelle/Laurentides--Labelle"," 190","Piedmont",7,10,3,72,77,12,0,2,1,184,495
24038,"Laurentides--Labelle/Laurentides--Labelle"," 191","Piedmont",10,8,0,75,64,17,1,0,3,178,467
24038,"Laurentides--Labelle/Laurentides--Labelle"," 192","Piedmont",10,16,4,67,56,12,0,0,2,167,489
24038,"Laurentides--Labelle/Laurentides--Labelle"," 193","Piedmont",3,11,1,88,74,19,2,1,3,202,511
24038,"Laurentides--Labelle/Laurentides--Labelle"," 194","Piedmont",10,8,0,62,48,11,0,0,0,139,457
24038,"Laurentides--Labelle/Laurentides--Labelle"," 195","Arundel",4,5,0,37,31,9,0,0,0,86,262
24038,"Laurentides--Labelle/Laurentides--Labelle"," 196","Huberdeau",9,13,0,90,43,10,2,0,3,170,389
24038,"Laurentides--Labelle/Laurentides--Labelle"," 197","Gray Valley",6,10,0,89,71,19,1,2,4,202,392
24038,"Laurentides--Labelle/Laurentides--Labelle"," 198","Arundel",11,6,0,18,67,9,0,0,5,116,280
24038,"Laurentides--Labelle/Laurentides--Labelle"," 199A","Saint-Sauveur",3,5,0,43,65,9,0,0,0,125,317
24038,"Laurentides--Labelle/Laurentides--Labelle"," 199B","Saint-Sauveur",8,5,0,44,42,11,0,0,0,110,314
24038,"Laurentides--Labelle/Laurentides--Labelle"," 200","Saint-Sauveur",9,18,1,106,96,16,1,0,3,250,580
24038,"Laurentides--Labelle/Laurentides--Labelle"," 201","Saint-Sauveur",5,8,1,79,63,8,1,1,3,169,510
24038,"Laurentides--Labelle/Laurentides--Labelle"," 202A","Saint-Sauveur",5,4,3,32,34,9,1,1,1,90,329
24038,"Laurentides--Labelle/Laurentides--Labelle"," 202B","Saint-Sauveur",7,9,0,62,34,9,0,1,1,123,320
24038,"Laurentides--Labelle/Laurentides--Labelle"," 203","Saint-Sauveur",6,8,1,85,88,14,3,2,2,209,511
24038,"Laurentides--Labelle/Laurentides--Labelle"," 204","Saint-Rémi-d'Amherst",9,10,0,111,47,18,1,2,4,202,411
24038,"Laurentides--Labelle/Laurentides--Labelle"," 205","Saint-Rémi-d'Amherst",14,12,2,115,66,21,0,0,8,238,380
24038,"Laurentides--Labelle/Laurentides--Labelle"," 206","Saint-Sauveur",10,11,3,77,59,19,2,0,3,184,538
24038,"Laurentides--Labelle/Laurentides--Labelle"," 207","Saint-Sauveur",7,18,0,78,71,9,0,1,0,184,532
24038,"Laurentides--Labelle/Laurentides--Labelle"," 208","Saint-Sauveur",4,12,1,76,56,13,1,2,2,167,483
24038,"Laurentides--Labelle/Laurentides--Labelle"," 209","Saint-Sauveur",6,8,0,87,86,13,0,1,1,202,547
