Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raquel Dancho,Martin Deck,Eduard Hiebert,Spencer Katerynuk,Evan Krosney,MaryAnn Mihychuk,Rylan Reed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 127","Winnipeg",59,3,0,4,55,39,5,0,165,412
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 128","Winnipeg",63,2,1,0,56,52,9,5,188,442
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 129","Winnipeg",37,2,0,3,65,60,10,1,178,412
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 130","Winnipeg",47,1,0,2,52,42,7,0,151,366
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 131","Winnipeg",64,5,0,1,60,44,10,0,184,470
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 132","Winnipeg",62,2,2,0,50,49,7,0,172,328
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 133","Winnipeg",65,1,0,0,74,61,10,0,211,394
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 134","Winnipeg",64,3,1,4,65,48,6,2,193,401
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 135","Winnipeg",53,2,1,0,54,56,10,1,177,351
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 136A","Winnipeg",75,5,2,0,66,54,12,2,216,467
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 136B","Winnipeg",Merged with No./Fusionné avec le n°418,,,,,,,,,34
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 137","Winnipeg",74,3,0,2,46,51,8,0,184,312
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 138A","Winnipeg",58,0,0,2,35,38,9,2,144,287
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 138B","Winnipeg",76,1,1,0,37,35,12,1,163,315
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 139","Winnipeg",55,1,0,1,38,36,10,0,141,303
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 140","Winnipeg",78,2,1,0,51,61,10,1,204,391
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 141","Winnipeg",85,2,0,1,45,54,8,0,195,327
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 142","Winnipeg",92,1,1,1,35,53,6,0,189,346
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 143","Winnipeg",113,1,0,4,79,99,8,1,305,563
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 144","Winnipeg",93,4,1,1,42,55,13,1,210,349
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 145","Winnipeg",82,4,1,0,59,74,7,0,227,421
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 146","Winnipeg",87,1,1,2,33,46,7,0,177,314
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 147","Winnipeg",83,6,1,0,71,52,7,0,220,466
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 148","Winnipeg",84,1,0,1,55,77,8,4,230,372
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 149","Winnipeg",74,1,0,1,55,50,5,2,188,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 150","Winnipeg",111,4,0,3,61,56,5,0,240,449
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 151","Winnipeg",102,1,0,2,63,44,7,1,220,460
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 400","Middlechurch",14,1,1,2,13,20,3,0,54,77
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 401","Winnipeg",19,1,0,1,9,23,0,0,53,111
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 402","Winnipeg",Void/Supprimé,,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 403","Winnipeg",37,0,0,2,10,50,7,4,110,168
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 404","Winnipeg",117,0,0,5,32,85,9,2,250,403
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 405","Winnipeg",35,0,0,3,18,25,1,1,83,168
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 406","Winnipeg",111,2,1,3,38,59,4,3,221,395
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 407","Winnipeg",16,0,1,1,11,31,3,1,64,98
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 408","Winnipeg",76,3,0,0,22,61,7,1,170,248
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 409","Winnipeg",99,3,1,1,43,71,5,0,223,339
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 410","Winnipeg",55,2,1,2,25,42,6,1,134,221
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 411","Winnipeg",60,3,0,0,21,44,5,0,133,198
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 412","Winnipeg",48,0,2,0,6,29,3,1,89,82
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 413","Winnipeg",6,0,0,0,28,15,1,3,53,113
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 414","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,127
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 415","Winnipeg",21,0,0,0,16,15,4,0,56,50
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 416","Winnipeg",31,2,0,1,24,29,6,0,93,170
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 417","Winnipeg",57,0,1,1,37,50,7,1,154,238
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 418","Winnipeg",8,0,0,0,15,11,3,0,37,56
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 419","Winnipeg",Void/Supprimé,,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 420","Winnipeg",14,0,0,2,12,14,2,0,44,63
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 500","Mobile poll/Bureau itinérant",9,1,1,2,6,25,5,0,49,88
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 501","Mobile poll/Bureau itinérant",8,1,1,0,14,13,1,1,39,111
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 502","Mobile poll/Bureau itinérant",82,1,1,5,17,42,2,4,154,129
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 503","Mobile poll/Bureau itinérant",59,1,1,0,14,33,3,3,114,170
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 600","West St. Paul",231,10,0,2,57,90,14,0,404,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 601","West St. Paul",165,5,0,3,21,44,8,0,246,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 602","East St. Paul",206,2,0,1,8,57,10,0,284,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 603","East St. Paul",265,5,3,1,42,89,16,3,424,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 604","East St. Paul",259,3,0,1,40,71,11,0,385,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 605","East St. Paul",346,3,0,2,39,94,10,0,494,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 606","Winnipeg",363,3,0,6,60,147,11,7,597,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 607","Winnipeg",306,4,1,2,107,148,18,0,586,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 608","Winnipeg",273,5,4,4,124,177,21,0,608,
