Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Deschênes,Mike Duggan,Greg Fergus,Sébastien Grenier,Josée Poirier Defoy,Joanie Riopel,Rowen Tanguay,Nicolas Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Hull--Aylmer/Hull--Aylmer"," 37","Gatineau",1,8,112,2,11,40,2,29,3,208,382
24030,"Hull--Aylmer/Hull--Aylmer"," 38","Gatineau",0,17,110,0,9,29,2,29,3,199,407
24030,"Hull--Aylmer/Hull--Aylmer"," 39","Gatineau",2,10,100,1,17,36,0,35,4,205,352
24030,"Hull--Aylmer/Hull--Aylmer"," 40","Gatineau",0,17,120,1,16,49,3,32,1,239,438
24030,"Hull--Aylmer/Hull--Aylmer"," 41","Gatineau",0,8,88,0,9,47,2,22,0,176,349
24030,"Hull--Aylmer/Hull--Aylmer"," 42","Gatineau",2,15,80,3,6,41,2,16,2,167,351
24030,"Hull--Aylmer/Hull--Aylmer"," 43","Gatineau",1,10,70,0,13,24,2,17,2,139,380
24030,"Hull--Aylmer/Hull--Aylmer"," 44","Gatineau",2,10,112,0,18,41,4,27,2,216,419
24030,"Hull--Aylmer/Hull--Aylmer"," 45","Gatineau",1,9,85,1,8,26,1,16,2,149,467
24030,"Hull--Aylmer/Hull--Aylmer"," 46","Gatineau",0,12,82,2,4,40,3,22,3,168,456
24030,"Hull--Aylmer/Hull--Aylmer"," 47","Gatineau",1,22,116,2,14,48,3,28,5,239,416
24030,"Hull--Aylmer/Hull--Aylmer"," 48","Gatineau",0,13,99,0,9,29,2,24,3,179,366
24030,"Hull--Aylmer/Hull--Aylmer"," 49","Gatineau",2,8,117,3,15,52,1,16,4,218,378
24030,"Hull--Aylmer/Hull--Aylmer"," 50","Gatineau",0,15,75,0,8,38,1,25,5,167,397
24030,"Hull--Aylmer/Hull--Aylmer"," 51","Gatineau",1,11,88,2,10,26,2,43,2,185,403
24030,"Hull--Aylmer/Hull--Aylmer"," 52","Gatineau",1,16,84,0,17,29,4,43,4,198,492
24030,"Hull--Aylmer/Hull--Aylmer"," 53","Gatineau",1,12,82,1,9,30,2,17,5,159,409
24030,"Hull--Aylmer/Hull--Aylmer"," 54","Gatineau",3,11,76,0,17,20,6,27,0,160,408
24030,"Hull--Aylmer/Hull--Aylmer"," 55","Gatineau",0,15,88,0,11,15,2,32,2,165,424
24030,"Hull--Aylmer/Hull--Aylmer"," 56","Gatineau",0,12,63,0,15,21,0,27,2,140,368
24030,"Hull--Aylmer/Hull--Aylmer"," 57","Gatineau",0,7,82,1,9,20,2,46,2,169,381
24030,"Hull--Aylmer/Hull--Aylmer"," 58","Gatineau",0,6,61,1,11,32,2,19,2,134,385
24030,"Hull--Aylmer/Hull--Aylmer"," 59","Gatineau",0,7,73,1,9,17,1,23,1,132,337
24030,"Hull--Aylmer/Hull--Aylmer"," 60","Gatineau",1,12,69,0,16,14,3,44,3,162,468
24030,"Hull--Aylmer/Hull--Aylmer"," 61","Gatineau",0,7,79,1,14,37,1,30,3,172,403
24030,"Hull--Aylmer/Hull--Aylmer"," 62","Gatineau",0,16,69,1,10,39,4,31,2,172,403
24030,"Hull--Aylmer/Hull--Aylmer"," 63","Gatineau",0,17,78,1,13,48,0,30,2,189,452
24030,"Hull--Aylmer/Hull--Aylmer"," 64","Gatineau",1,9,96,0,8,35,0,20,3,172,393
24030,"Hull--Aylmer/Hull--Aylmer"," 65","Gatineau",1,7,53,0,8,35,2,46,1,153,403
24030,"Hull--Aylmer/Hull--Aylmer"," 66","Gatineau",0,14,119,1,17,45,1,24,7,228,387
24030,"Hull--Aylmer/Hull--Aylmer"," 67","Gatineau",0,17,119,0,16,34,1,32,1,220,415
24030,"Hull--Aylmer/Hull--Aylmer"," 68","Gatineau",0,13,62,0,4,34,4,27,2,146,416
24030,"Hull--Aylmer/Hull--Aylmer"," 69","Gatineau",0,8,88,0,14,48,0,36,0,194,378
24030,"Hull--Aylmer/Hull--Aylmer"," 70","Gatineau",1,7,44,2,11,22,5,33,4,129,379
24030,"Hull--Aylmer/Hull--Aylmer"," 71","Gatineau",0,1,65,2,12,17,0,25,2,124,350
24030,"Hull--Aylmer/Hull--Aylmer"," 72","Gatineau",0,12,73,4,15,34,3,39,7,187,381
24030,"Hull--Aylmer/Hull--Aylmer"," 73","Gatineau",0,13,113,0,23,55,2,41,4,251,417
24030,"Hull--Aylmer/Hull--Aylmer"," 74","Gatineau",1,10,67,0,20,25,2,27,3,155,348
24030,"Hull--Aylmer/Hull--Aylmer"," 75","Gatineau",0,15,104,2,12,45,2,44,0,224,378
24030,"Hull--Aylmer/Hull--Aylmer"," 76","Gatineau",0,19,92,0,10,39,4,29,0,193,367
24030,"Hull--Aylmer/Hull--Aylmer"," 77","Gatineau",0,10,58,0,18,31,4,28,0,149,327
24030,"Hull--Aylmer/Hull--Aylmer"," 78","Gatineau",0,10,135,1,22,36,2,36,2,244,441
24030,"Hull--Aylmer/Hull--Aylmer"," 79","Gatineau",0,33,69,0,15,42,1,16,1,177,326
24030,"Hull--Aylmer/Hull--Aylmer"," 80","Gatineau",0,15,140,2,20,35,0,31,3,246,443
24030,"Hull--Aylmer/Hull--Aylmer"," 81","Gatineau",0,13,152,1,26,41,3,26,2,264,492
24030,"Hull--Aylmer/Hull--Aylmer"," 82","Gatineau",0,14,139,0,22,41,2,27,1,246,473
24030,"Hull--Aylmer/Hull--Aylmer"," 83","Gatineau",0,18,129,3,10,47,2,41,4,254,502
24030,"Hull--Aylmer/Hull--Aylmer"," 84","Gatineau",0,13,151,0,13,24,3,39,3,246,525
24030,"Hull--Aylmer/Hull--Aylmer"," 85","Gatineau",1,11,99,1,7,15,1,29,8,172,397
24030,"Hull--Aylmer/Hull--Aylmer"," 86","Gatineau",2,8,61,0,10,12,2,34,1,130,341
24030,"Hull--Aylmer/Hull--Aylmer"," 87","Gatineau",0,13,103,1,14,26,2,54,2,215,489
24030,"Hull--Aylmer/Hull--Aylmer"," 88","Gatineau",0,10,54,0,17,13,2,39,4,139,375
24030,"Hull--Aylmer/Hull--Aylmer"," 89","Gatineau",2,9,85,0,15,35,3,45,5,199,439
