Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Easter,Anna Keenan,Craig Nash,Stephen Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 31","Kelvin Grove North",72,75,8,47,3,205,477
11004,"Malpeque/Malpeque"," 32","Kensington",46,32,19,39,0,136,390
11004,"Malpeque/Malpeque"," 33","Kensington",65,62,9,40,2,178,475
11004,"Malpeque/Malpeque"," 34","Travellers Rest",54,34,5,27,1,121,283
11004,"Malpeque/Malpeque"," 35","New Annan",75,66,19,28,5,193,397
11004,"Malpeque/Malpeque"," 36","Travellers Rest",41,35,7,19,0,102,217
11004,"Malpeque/Malpeque"," 37","Milton Station",67,46,10,63,6,192,357
11004,"Malpeque/Malpeque"," 38A","Darlington",75,40,9,49,2,175,404
11004,"Malpeque/Malpeque"," 38B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,22
11004,"Malpeque/Malpeque"," 39","Warren Grove",56,61,15,34,1,167,322
11004,"Malpeque/Malpeque"," 40","Hampshire",56,51,13,54,3,177,338
11004,"Malpeque/Malpeque"," 41","Breadalbane",96,70,10,66,0,242,480
11004,"Malpeque/Malpeque"," 42","Chateau Estates",64,50,15,35,2,166,413
11004,"Malpeque/Malpeque"," 43","Candlelight Park",67,60,20,44,0,191,385
11004,"Malpeque/Malpeque"," 44","East Wiltshire",55,32,5,28,2,122,320
11004,"Malpeque/Malpeque"," 45","Cornwall",105,66,23,39,4,237,489
11004,"Malpeque/Malpeque"," 46","Elliot Park",114,95,37,40,0,286,610
11004,"Malpeque/Malpeque"," 47","York Point",77,37,8,50,0,172,327
11004,"Malpeque/Malpeque"," 48","Cornwall",66,53,11,46,4,180,451
11004,"Malpeque/Malpeque"," 49","Elliot Park",72,67,15,54,3,211,482
11004,"Malpeque/Malpeque"," 50","Primrose Point",112,71,21,50,1,255,568
11004,"Malpeque/Malpeque"," 51","Cornwall",65,43,6,28,0,142,317
11004,"Malpeque/Malpeque"," 52","South Freetown",57,42,7,31,1,138,293
11004,"Malpeque/Malpeque"," 53","South Freetown",59,41,7,25,1,133,288
11004,"Malpeque/Malpeque"," 54","Emyvale",119,83,18,51,1,272,527
11004,"Malpeque/Malpeque"," 55","Green Bay",51,28,9,24,5,117,228
11004,"Malpeque/Malpeque"," 56","Green Bay",60,56,14,40,2,172,312
11004,"Malpeque/Malpeque"," 57","Mill Valley",55,30,15,52,1,153,273
11004,"Malpeque/Malpeque"," 58","North Bedeque",114,52,12,62,2,242,463
11004,"Malpeque/Malpeque"," 59","Kingston",62,41,12,49,8,172,400
11004,"Malpeque/Malpeque"," 60","Stathgartney",103,62,24,70,2,261,458
11004,"Malpeque/Malpeque"," 61","Hyde Point",86,44,14,60,4,208,421
11004,"Malpeque/Malpeque"," 62","Maplewood",86,87,15,55,4,247,439
11004,"Malpeque/Malpeque"," 63","Victoria",113,89,14,55,5,276,419
11004,"Malpeque/Malpeque"," 64","Kinkora",64,38,8,26,0,136,263
11004,"Malpeque/Malpeque"," 65","Maple Plains",79,40,13,47,0,179,417
11004,"Malpeque/Malpeque"," 66","South Melville",77,79,18,50,6,230,443
11004,"Malpeque/Malpeque"," 67","Central Bedeque",65,33,14,56,2,170,345
11004,"Malpeque/Malpeque"," 68","Lower Bedeque",106,77,19,63,5,270,479
11004,"Malpeque/Malpeque"," 69","Rocky Point",47,52,10,40,1,150,332
11004,"Malpeque/Malpeque"," 70","Rocky Point",62,56,8,41,0,167,281
11004,"Malpeque/Malpeque"," 71","New Dominion",94,82,23,58,0,257,524
11004,"Malpeque/Malpeque"," 72","Rice Point",145,85,15,55,1,301,534
11004,"Malpeque/Malpeque"," 73","Cape Traverse",78,50,16,65,3,212,368
11004,"Malpeque/Malpeque"," 74","North Carleton",95,51,17,58,3,224,418
11004,"Malpeque/Malpeque"," 75","Borden-Carleton",65,42,22,60,6,195,326
11004,"Malpeque/Malpeque"," 76","Argyle Shore",102,67,25,71,7,272,503
11004,"Malpeque/Malpeque"," 77","Tryon",83,53,20,59,4,219,409
11004,"Malpeque/Malpeque"," 500","Mobile poll/Bureau itinérant",29,7,1,19,1,57,75
11004,"Malpeque/Malpeque"," 501","Mobile poll/Bureau itinérant",37,18,9,19,2,85,87
11004,"Malpeque/Malpeque"," 600","Kensington West",323,174,36,194,7,734,
11004,"Malpeque/Malpeque"," 601","Kensington East",360,169,43,233,8,813,
11004,"Malpeque/Malpeque"," 602","North Rustico",315,229,38,219,10,811,
11004,"Malpeque/Malpeque"," 603","Brackley Beach",249,114,31,119,1,514,
11004,"Malpeque/Malpeque"," 604","Brackley",340,161,57,203,16,777,
11004,"Malpeque/Malpeque"," 605","Cornwall East",388,175,34,229,6,832,
11004,"Malpeque/Malpeque"," 606","Hunter River",259,139,40,159,4,601,
11004,"Malpeque/Malpeque"," 607","Cornwall West",463,210,48,210,14,945,
11004,"Malpeque/Malpeque"," 608","New Haven",302,233,29,210,5,779,
11004,"Malpeque/Malpeque"," 609","Kinkora",250,133,46,175,8,612,
11004,"Malpeque/Malpeque",,Group 1/Groupe 1, 25,23,4,17,2,71,55
11004,"Malpeque/Malpeque",,Group 2/Groupe 2, 262,185,42,197,14,700,
