Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réal Batrhino,Frédérik Bernier,Martin Champoux,François Choquette,Jessica Ebacher,William Morales,Lucas Munger,Steeve Paquet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Drummond/Drummond"," 87","Drummondville",1,7,68,31,12,19,0,2,4,144,381
24025,"Drummond/Drummond"," 88","Drummondville",0,3,26,11,7,9,1,2,3,62,332
24025,"Drummond/Drummond"," 89","Drummondville",1,8,55,42,13,27,1,0,2,149,365
24025,"Drummond/Drummond"," 90","Drummondville",0,8,56,17,24,21,1,1,2,130,327
24025,"Drummond/Drummond"," 91","Drummondville",0,3,73,40,30,42,1,4,1,194,364
24025,"Drummond/Drummond"," 92","Drummondville",1,9,74,20,18,33,1,2,3,161,363
24025,"Drummond/Drummond"," 93","Drummondville",2,5,65,23,19,27,2,1,5,149,370
24025,"Drummond/Drummond"," 94","Drummondville",1,8,129,33,28,39,1,5,2,246,415
24025,"Drummond/Drummond"," 95","Drummondville",0,8,82,47,43,43,1,1,3,228,520
24025,"Drummond/Drummond"," 96A","Drummondville",0,4,42,15,32,26,1,0,1,121,320
24025,"Drummond/Drummond"," 96B","Drummondville",1,5,55,23,29,25,0,2,1,141,314
24025,"Drummond/Drummond"," 97","Drummondville",0,6,55,28,29,21,0,0,2,141,293
24025,"Drummond/Drummond"," 98","Drummondville",1,6,76,23,24,20,1,0,1,152,336
24025,"Drummond/Drummond"," 99","Drummondville",3,5,74,44,13,24,0,0,0,163,437
24025,"Drummond/Drummond"," 100","Drummondville",0,5,64,30,15,29,1,1,3,148,388
24025,"Drummond/Drummond"," 101","Drummondville",0,11,48,35,15,20,2,1,1,133,440
24025,"Drummond/Drummond"," 102","Drummondville",2,3,59,25,19,17,2,2,0,129,359
24025,"Drummond/Drummond"," 103","Drummondville",1,9,63,38,8,29,1,2,4,155,449
24025,"Drummond/Drummond"," 104","Drummondville",2,11,78,32,23,24,3,7,4,184,448
24025,"Drummond/Drummond"," 105","Drummondville",0,7,57,39,21,17,0,3,5,149,375
24025,"Drummond/Drummond"," 106","Drummondville",0,7,87,29,24,32,1,0,5,185,384
24025,"Drummond/Drummond"," 107","Drummondville",0,2,107,32,18,33,0,3,6,201,473
24025,"Drummond/Drummond"," 108","Drummondville",0,6,61,23,23,33,0,0,4,150,331
24025,"Drummond/Drummond"," 109","Drummondville",1,8,80,31,30,44,1,0,5,200,431
24025,"Drummond/Drummond"," 110","Drummondville",0,9,103,28,39,33,0,1,1,214,462
24025,"Drummond/Drummond"," 111A","Drummondville",2,6,72,24,23,23,2,2,2,156,297
24025,"Drummond/Drummond"," 111B","Drummondville",3,1,60,24,33,26,1,0,3,151,296
24025,"Drummond/Drummond"," 112","Drummondville",1,1,87,35,36,30,0,0,1,191,534
24025,"Drummond/Drummond"," 113","Drummondville",0,9,88,37,49,29,0,0,6,218,455
24025,"Drummond/Drummond"," 114","Drummondville",1,5,93,28,31,33,0,1,3,195,436
24025,"Drummond/Drummond"," 115","Drummondville",0,3,34,19,6,7,0,0,2,71,216
24025,"Drummond/Drummond"," 116","Drummondville",1,7,105,48,20,28,0,2,8,219,454
24025,"Drummond/Drummond"," 117","Drummondville",2,5,63,16,21,40,2,3,7,159,377
24025,"Drummond/Drummond"," 118A","Drummondville",1,9,93,31,34,23,1,3,5,200,506
24025,"Drummond/Drummond"," 118B","Drummondville",0,9,91,29,30,49,0,2,3,213,455
24025,"Drummond/Drummond"," 119","Drummondville",1,4,64,29,22,22,0,1,3,146,315
24025,"Drummond/Drummond"," 120","Drummondville",2,5,75,29,22,24,0,2,8,167,397
24025,"Drummond/Drummond"," 121","Kingsey",1,6,69,26,50,37,2,2,7,200,337
24025,"Drummond/Drummond"," 122","Kingsey",2,4,57,29,65,23,2,4,2,188,263
24025,"Drummond/Drummond"," 123","Kingsey",3,1,64,24,26,33,1,6,8,166,277
24025,"Drummond/Drummond"," 124","Kingsey",1,6,89,50,44,41,0,1,0,232,333
24025,"Drummond/Drummond"," 125","Drummondville",0,12,77,26,12,41,1,3,3,175,379
24025,"Drummond/Drummond"," 126","Drummondville",0,6,67,36,15,28,0,3,7,162,351
24025,"Drummond/Drummond"," 127","Drummondville",0,7,108,22,24,34,4,0,6,205,424
24025,"Drummond/Drummond"," 128A","Drummondville",0,4,60,30,19,27,0,3,1,144,307
24025,"Drummond/Drummond"," 128B","Drummondville",0,9,61,35,15,16,0,0,1,137,294
24025,"Drummond/Drummond"," 129A","Drummondville",2,4,63,31,24,17,0,1,0,142,269
24025,"Drummond/Drummond"," 129B","Drummondville",0,7,78,23,17,13,0,1,1,140,271
24025,"Drummond/Drummond"," 130","Drummondville",0,6,97,38,16,29,0,3,3,192,358
24025,"Drummond/Drummond"," 131","Drummondville",1,10,88,35,26,26,1,3,4,194,425
24025,"Drummond/Drummond"," 132A","Drummondville",1,6,62,39,27,34,1,6,0,176,366
24025,"Drummond/Drummond"," 132B","Drummondville",2,7,70,25,30,23,4,0,3,164,361
24025,"Drummond/Drummond"," 133","Drummondville",0,8,128,36,34,50,0,1,5,262,502
24025,"Drummond/Drummond"," 134","Drummondville",0,10,85,37,42,30,0,0,4,208,432
24025,"Drummond/Drummond"," 135","Drummondville",2,8,121,36,50,24,1,4,1,247,494
24025,"Drummond/Drummond"," 136","Drummondville",0,11,119,50,39,38,2,5,9,273,523
24025,"Drummond/Drummond"," 137","Drummondville",1,9,114,32,27,28,0,0,6,217,425
24025,"Drummond/Drummond"," 138","Drummondville",1,4,81,21,15,29,3,0,3,157,407
24025,"Drummond/Drummond"," 139","Drummondville",0,3,78,24,20,30,0,4,1,160,375
24025,"Drummond/Drummond"," 140","Drummondville",1,7,92,44,35,33,0,3,1,216,442
24025,"Drummond/Drummond"," 141A","Drummondville",0,10,67,24,37,24,1,2,3,168,383
24025,"Drummond/Drummond"," 141B","Drummondville",2,7,56,26,31,25,0,1,4,152,378
24025,"Drummond/Drummond"," 142","Drummondville",0,11,108,41,42,34,1,2,0,239,439
24025,"Drummond/Drummond"," 143A","Drummondville",0,8,78,34,24,21,0,0,5,170,417
24025,"Drummond/Drummond"," 143B","Drummondville",0,11,91,24,23,22,1,1,7,180,403
24025,"Drummond/Drummond"," 144","Drummondville",4,6,105,23,26,30,3,1,7,205,493
24025,"Drummond/Drummond"," 145","Drummondville",0,5,95,23,35,40,0,1,1,200,406
24025,"Drummond/Drummond"," 146","Drummondville",2,7,100,29,38,36,2,1,4,219,428
24025,"Drummond/Drummond"," 147","Drummondville",1,4,100,20,29,14,3,1,8,180,353
24025,"Drummond/Drummond"," 148","Drummondville",2,5,97,23,43,16,3,3,2,194,457
24025,"Drummond/Drummond"," 149","Drummondville",1,4,88,22,32,34,4,0,2,187,455
24025,"Drummond/Drummond"," 150","Drummondville",0,1,83,15,20,24,0,2,10,155,374
24025,"Drummond/Drummond"," 151","Drummondville",1,8,102,47,19,27,0,3,0,207,452
24025,"Drummond/Drummond"," 152","Drummondville",1,14,78,25,38,38,0,0,5,199,412
24025,"Drummond/Drummond"," 153A","Drummondville",2,9,91,37,37,62,1,1,3,243,495
24025,"Drummond/Drummond"," 153B","Drummondville",2,9,76,45,38,42,1,1,4,218,476
24025,"Drummond/Drummond"," 154","Drummondville",0,12,105,20,26,38,0,3,4,208,427
24025,"Drummond/Drummond"," 155","Saint-Edmond-de-Grantham",1,9,90,27,41,21,1,0,3,193,318
24025,"Drummond/Drummond"," 156","Saint-Edmond-de-Grantham",1,6,79,23,33,34,0,4,2,182,273
24025,"Drummond/Drummond"," 157","Drummondville",0,6,93,43,41,37,0,4,2,226,452
24025,"Drummond/Drummond"," 158","Drummondville",1,10,95,30,39,28,2,0,3,208,459
24025,"Drummond/Drummond"," 159","Drummondville",1,11,107,33,25,31,0,5,2,215,408
24025,"Drummond/Drummond"," 160","Drummondville",2,12,85,22,38,26,0,1,5,191,410
24025,"Drummond/Drummond"," 161","Drummondville",2,6,112,26,45,36,2,4,5,238,448
24025,"Drummond/Drummond"," 162","Drummondville",0,4,74,13,40,18,2,1,1,153,388
24025,"Drummond/Drummond"," 163","Drummondville",3,8,103,36,26,59,1,2,3,241,447
24025,"Drummond/Drummond"," 164","Drummondville",1,13,109,29,38,42,1,6,4,243,452
24025,"Drummond/Drummond"," 165","Drummondville",0,5,112,29,36,41,2,2,5,232,422
24025,"Drummond/Drummond"," 166","Drummondville",5,4,92,32,47,44,2,4,8,238,475
24025,"Drummond/Drummond"," 167","Drummondville",1,8,129,51,37,33,0,1,2,262,471
24025,"Drummond/Drummond"," 168","Drummondville",0,7,73,36,18,26,1,2,1,164,407
24025,"Drummond/Drummond"," 169","Drummondville",2,3,83,38,25,28,1,2,5,187,394
24025,"Drummond/Drummond"," 170A","Drummondville",0,8,55,32,23,23,3,1,2,147,314
24025,"Drummond/Drummond"," 170B","Drummondville",0,0,63,18,9,19,0,0,1,110,270
24025,"Drummond/Drummond"," 171","Drummondville",0,13,110,22,39,32,0,1,3,220,449
24025,"Drummond/Drummond"," 172","Saint-Germain-de-Grantham",1,7,125,57,68,34,1,1,3,297,483
24025,"Drummond/Drummond"," 173","Saint-Germain-de-Grantham",0,14,155,59,50,35,1,2,2,318,504
24025,"Drummond/Drummond"," 174","Saint-Germain-de-Grantham",0,6,115,25,37,27,2,2,5,219,409
24025,"Drummond/Drummond"," 175","Saint-Guillaume",0,10,141,48,49,41,1,4,7,301,474
24025,"Drummond/Drummond"," 176","Saint-Guillaume",0,3,68,19,38,34,0,1,6,169,334
24025,"Drummond/Drummond"," 177","Saint-Guillaume",0,5,113,28,39,37,2,2,5,231,377
24025,"Drummond/Drummond"," 178","Saint-Germain-de-Grantham",1,3,78,30,38,40,0,0,3,193,387
24025,"Drummond/Drummond"," 179","Saint-Germain-de-Grantham",1,11,105,24,42,23,0,2,4,212,384
