Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Danny Boudreault,Alexis Brunelle-Duceppe,Jean-Simon Fortin,Jocelyn Fradette,Julie Gagnon-Bond,Richard Hébert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 28","Albanel",2,64,6,46,5,59,3,185,340
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 29","Albanel",2,52,6,43,3,40,3,149,310
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 30","Albanel",1,84,14,40,8,43,3,193,355
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 31","Saint-Edmond",2,69,9,55,4,42,5,186,298
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 32","Saint-Augustin",0,47,2,50,1,35,2,137,276
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 33","Dolbeau-Mistassini",1,56,6,14,0,73,2,152,438
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 34A","Dolbeau-Mistassini",3,50,5,18,2,75,3,156,365
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 34B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,17
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 35","Dolbeau-Mistassini",4,47,7,29,1,65,4,157,385
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 36","Dolbeau-Mistassini",1,62,11,37,7,109,3,230,459
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 37","Dolbeau-Mistassini",0,65,2,34,3,74,2,180,408
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 38","Dolbeau-Mistassini",0,42,12,16,3,42,1,116,385
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 39","Dolbeau-Mistassini",0,49,3,22,1,52,2,129,332
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 40","Dolbeau-Mistassini",2,57,8,26,1,41,2,137,351
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 41","Dolbeau-Mistassini",5,49,5,40,2,45,7,153,378
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 42","Dolbeau-Mistassini",1,66,8,32,0,49,3,159,361
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 43","L'Ascension-de-Notre-Seigneur",0,123,5,55,3,33,3,222,429
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 44","L'Ascension",1,94,8,68,3,18,2,194,419
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 45","L'Ascension",2,80,10,40,4,20,5,161,350
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 46","L'Ascension",2,86,9,59,4,14,4,178,358
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 47","Dolbeau-Mistassini",3,38,1,10,2,23,0,77,324
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 48","Dolbeau-Mistassini",0,49,3,7,1,50,0,110,348
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 49","Dolbeau-Mistassini",1,41,8,19,4,38,5,116,402
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 50","Dolbeau-Mistassini",1,64,8,34,0,75,1,183,411
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 51","Dolbeau-Mistassini",0,57,6,27,2,45,1,138,347
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 52","Dolbeau-Mistassini",0,58,9,34,0,61,1,163,372
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 53","Péribonka",2,97,10,33,5,81,4,232,414
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 54","Sainte-Monique",1,68,0,60,4,25,4,162,345
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 55","Sainte-Monique",1,94,14,63,4,28,2,206,331
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 56","Normandin",2,100,10,54,4,52,2,224,416
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 57","Normandin",0,61,11,43,0,46,3,164,303
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 58","Normandin",2,43,4,36,1,43,6,135,267
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 59","Normandin",1,55,12,48,1,34,2,153,339
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 60","Normandin",0,47,6,35,0,37,4,129,299
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 61","Normandin",3,64,7,38,7,39,6,164,384
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 62","Normandin",0,68,4,35,1,41,2,151,323
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 63","Dolbeau-Mistassini",2,70,4,25,3,34,5,143,296
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 64","Dolbeau-Mistassini",0,64,1,35,4,52,2,158,332
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 65","Alma",1,100,16,65,4,23,4,213,336
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 66","Alma",2,104,9,76,5,27,4,227,383
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 67A","Alma",0,108,17,60,6,36,0,227,387
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 67B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,15
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 68","Alma",2,118,13,54,3,52,0,242,382
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 69","Alma",1,71,9,73,3,30,1,188,355
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 70","Alma",0,76,9,50,1,26,4,166,322
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 71","Alma",2,122,13,57,5,30,10,239,435
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 72","Alma",1,74,9,48,3,24,5,164,343
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 73","Saint-Henri-de-Taillon",0,85,9,73,7,9,4,187,325
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 74","Saint-Henri-de-Taillon",1,92,7,36,10,45,1,192,309
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 75","Saint-Félicien",1,89,6,34,1,41,4,176,327
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 76","Saint-Méthode",0,79,12,44,3,38,4,180,401
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 77","Saint-Méthode",0,97,10,29,6,54,1,197,465
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 78","Alma",0,109,6,59,5,32,4,215,402
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 79","Alma",3,127,15,54,7,43,1,250,463
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 80","Alma",3,102,9,51,4,34,6,209,395
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 81","Alma",2,70,14,35,7,30,3,161,356
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 82A","Alma",3,54,6,29,3,37,3,135,310
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 82B","Alma",Merged with No./Fusionné avec le n°400,,,,,,,,117
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 83","Alma",1,89,4,51,0,48,7,200,350
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 84","Alma",2,117,11,73,3,43,5,254,457
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 85","Alma",3,129,11,63,4,38,8,256,431
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 86","Alma",1,106,12,78,4,53,5,259,431
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 87","Alma",1,127,20,71,2,60,5,286,512
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 88","Alma",1,85,5,42,4,21,7,165,357
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 89","Alma",5,84,10,30,5,23,4,161,347
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 90","Alma",1,73,6,14,6,25,1,126,309
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 91","Alma",2,135,19,56,3,32,7,254,454
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 92","Alma",0,84,9,32,2,21,6,154,338
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 93","Alma",1,81,11,27,2,34,0,156,345
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 94","Alma",1,92,3,39,4,24,4,167,331
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 95","Alma",1,97,15,42,5,27,1,188,333
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 96","Alma",1,68,14,32,4,27,4,150,412
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 97","Alma",0,88,11,38,2,29,4,172,353
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 98","Alma",1,103,16,30,1,27,3,181,436
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 99","Alma",2,52,15,18,4,17,5,113,347
