Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jaime Battiste,Lois Foster,Randy Joy,Archie MacKinnon,Kenzie MacNeil,Jodi McDavid,Eddie Orrell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 82","Sydney",58,12,0,13,6,50,44,3,186,371
12010,"Sydney--Victoria/Sydney--Victoria"," 83","Sydney",72,8,0,13,4,50,55,1,203,371
12010,"Sydney--Victoria/Sydney--Victoria"," 84","Sydney",55,9,1,17,0,49,36,5,172,347
12010,"Sydney--Victoria/Sydney--Victoria"," 85","North Sydney",20,4,0,23,0,13,37,4,101,343
12010,"Sydney--Victoria/Sydney--Victoria"," 86","North Sydney",55,9,1,34,0,37,103,6,245,461
12010,"Sydney--Victoria/Sydney--Victoria"," 87","Upper North Sydney",52,5,3,33,1,27,75,6,202,395
12010,"Sydney--Victoria/Sydney--Victoria"," 88","Westmount",40,14,1,12,2,48,56,3,176,291
12010,"Sydney--Victoria/Sydney--Victoria"," 89","Westmount",58,11,2,15,1,49,77,1,214,391
12010,"Sydney--Victoria/Sydney--Victoria"," 90","Westmount",72,15,2,9,5,58,61,1,223,395
12010,"Sydney--Victoria/Sydney--Victoria"," 91","Westmount",62,14,4,19,0,47,49,1,196,368
12010,"Sydney--Victoria/Sydney--Victoria"," 92","Cape Breton",74,19,1,11,5,49,66,2,227,451
12010,"Sydney--Victoria/Sydney--Victoria"," 93","Westmount",82,8,1,11,7,54,73,4,240,456
12010,"Sydney--Victoria/Sydney--Victoria"," 94","Sydney",49,10,0,14,1,48,37,2,161,355
12010,"Sydney--Victoria/Sydney--Victoria"," 95","Sydney",62,13,0,10,3,56,22,0,166,342
12010,"Sydney--Victoria/Sydney--Victoria"," 96","Sydney",52,13,1,16,0,37,36,4,159,379
12010,"Sydney--Victoria/Sydney--Victoria"," 97","Sydney",58,8,2,4,1,59,30,0,162,304
12010,"Sydney--Victoria/Sydney--Victoria"," 98","Sydney",69,12,0,4,6,49,36,3,179,348
12010,"Sydney--Victoria/Sydney--Victoria"," 99","Sydney",54,14,0,2,4,61,43,0,178,378
12010,"Sydney--Victoria/Sydney--Victoria"," 100","Sydney",53,19,3,12,3,69,36,0,195,404
12010,"Sydney--Victoria/Sydney--Victoria"," 101","Sydney",44,7,0,9,1,45,26,2,134,318
12010,"Sydney--Victoria/Sydney--Victoria"," 102","Sydney",43,12,2,6,2,34,21,0,120,319
12010,"Sydney--Victoria/Sydney--Victoria"," 103","Sydney",75,10,1,3,1,65,34,0,189,440
12010,"Sydney--Victoria/Sydney--Victoria"," 104","Sydney",49,5,0,7,6,44,26,0,137,284
12010,"Sydney--Victoria/Sydney--Victoria"," 105","Sydney",52,16,0,8,5,50,25,0,156,312
12010,"Sydney--Victoria/Sydney--Victoria"," 106","Sydney",74,8,1,8,6,44,38,2,181,344
12010,"Sydney--Victoria/Sydney--Victoria"," 107","Sydney",67,9,1,3,5,65,39,2,191,346
12010,"Sydney--Victoria/Sydney--Victoria"," 108","Sydney",70,11,1,8,4,44,49,4,191,360
12010,"Sydney--Victoria/Sydney--Victoria"," 109","Sydney",43,8,0,8,5,54,37,3,158,330
12010,"Sydney--Victoria/Sydney--Victoria"," 110","Sydney",52,16,3,11,4,36,40,1,163,298
12010,"Sydney--Victoria/Sydney--Victoria"," 111","Hillside Boularderie",26,2,0,38,3,21,50,0,140,386
12010,"Sydney--Victoria/Sydney--Victoria"," 112","Sydney",33,9,2,10,2,51,30,0,137,303
12010,"Sydney--Victoria/Sydney--Victoria"," 113","Sydney",53,5,1,5,2,49,42,5,162,361
12010,"Sydney--Victoria/Sydney--Victoria"," 114","Sydney",58,12,5,6,2,40,51,2,176,388
12010,"Sydney--Victoria/Sydney--Victoria"," 115","Sydney",64,18,1,16,4,59,42,5,209,423
12010,"Sydney--Victoria/Sydney--Victoria"," 116","Sydney",44,10,0,19,5,46,29,1,154,341
12010,"Sydney--Victoria/Sydney--Victoria"," 117","Sydney",52,10,2,12,2,45,40,2,165,360
12010,"Sydney--Victoria/Sydney--Victoria"," 118","Georges River",21,11,3,66,1,28,65,0,195,321
12010,"Sydney--Victoria/Sydney--Victoria"," 119","Scotch Lake",48,7,0,33,1,41,55,1,186,309
12010,"Sydney--Victoria/Sydney--Victoria"," 120","Sydney",68,18,3,6,7,68,45,2,217,498
12010,"Sydney--Victoria/Sydney--Victoria"," 121","Sydney",40,5,0,5,3,28,29,2,112,336
12010,"Sydney--Victoria/Sydney--Victoria"," 122","Sydney",96,7,0,6,0,45,4,0,158,380
12010,"Sydney--Victoria/Sydney--Victoria"," 123","Sydney",73,11,0,6,4,45,44,1,184,402
12010,"Sydney--Victoria/Sydney--Victoria"," 124","Sydney",114,9,0,5,0,91,28,5,252,555
12010,"Sydney--Victoria/Sydney--Victoria"," 125","Sydney",74,12,0,7,1,40,45,3,182,369
12010,"Sydney--Victoria/Sydney--Victoria"," 126","Sydney",53,11,2,6,2,41,51,0,166,351
12010,"Sydney--Victoria/Sydney--Victoria"," 127","Sydney",60,7,4,8,6,39,28,0,152,370
12010,"Sydney--Victoria/Sydney--Victoria"," 128","Sydney",64,10,1,1,1,39,45,1,162,326
12010,"Sydney--Victoria/Sydney--Victoria"," 129","Sydney",95,11,1,6,4,56,55,3,231,499
12010,"Sydney--Victoria/Sydney--Victoria"," 130","North Sydney",44,3,2,60,2,25,72,0,208,435
12010,"Sydney--Victoria/Sydney--Victoria"," 131","North Sydney",58,6,1,69,1,26,60,5,226,492
12010,"Sydney--Victoria/Sydney--Victoria"," 132","North Sydney",21,3,0,35,0,21,55,3,138,341
12010,"Sydney--Victoria/Sydney--Victoria"," 133","North Sydney",45,1,1,40,0,20,64,2,173,411
12010,"Sydney--Victoria/Sydney--Victoria"," 134","North Sydney",13,2,0,73,0,12,35,2,137,381
12010,"Sydney--Victoria/Sydney--Victoria"," 135","North Sydney",33,6,1,69,1,30,64,0,204,436
12010,"Sydney--Victoria/Sydney--Victoria"," 136","North Sydney",42,18,0,48,3,29,98,2,240,429
12010,"Sydney--Victoria/Sydney--Victoria"," 137","Leitches Creek",49,6,0,31,1,42,49,0,178,301
12010,"Sydney--Victoria/Sydney--Victoria"," 138","Westmount",57,14,0,6,1,46,52,1,177,325
12010,"Sydney--Victoria/Sydney--Victoria"," 139","Coxheath",38,5,0,8,3,32,33,1,120,227
12010,"Sydney--Victoria/Sydney--Victoria"," 140","Coxheath",57,4,0,15,4,62,81,0,223,376
12010,"Sydney--Victoria/Sydney--Victoria"," 141","Coxheath",73,16,0,5,4,31,49,0,178,349
12010,"Sydney--Victoria/Sydney--Victoria"," 142","Coxheath",58,14,1,13,1,40,53,2,182,346
12010,"Sydney--Victoria/Sydney--Victoria"," 143","Coxheath",67,22,2,7,5,49,67,2,221,436
12010,"Sydney--Victoria/Sydney--Victoria"," 144","Blacketts Lake",53,11,1,6,4,46,49,1,171,333
12010,"Sydney--Victoria/Sydney--Victoria"," 145","Blacketts Lake",28,10,2,7,1,32,34,0,114,254
12010,"Sydney--Victoria/Sydney--Victoria"," 146","South Haven",61,29,1,18,1,32,43,0,185,337
12010,"Sydney--Victoria/Sydney--Victoria"," 147","Balls Creek",67,19,2,40,2,46,56,1,233,392
12010,"Sydney--Victoria/Sydney--Victoria"," 148","Frenchvale",77,14,2,33,2,34,62,0,224,379
12010,"Sydney--Victoria/Sydney--Victoria"," 149","Baddeck",67,22,1,17,1,59,55,0,222,457
12010,"Sydney--Victoria/Sydney--Victoria"," 150","Boularderie",54,12,0,28,0,32,81,1,208,326
12010,"Sydney--Victoria/Sydney--Victoria"," 151","Boisdale",52,11,0,13,2,27,18,6,129,239
12010,"Sydney--Victoria/Sydney--Victoria"," 152","Middle River",80,32,2,12,2,39,49,7,223,376
12010,"Sydney--Victoria/Sydney--Victoria"," 153","Baddeck",46,13,1,12,2,51,63,4,192,407
12010,"Sydney--Victoria/Sydney--Victoria"," 154","Baddeck",58,14,1,10,4,34,38,0,159,341
12010,"Sydney--Victoria/Sydney--Victoria"," 155","Northside East Bay",121,14,1,14,1,52,80,1,284,448
12010,"Sydney--Victoria/Sydney--Victoria"," 156","Eskasoni 3",161,1,0,0,0,23,1,0,186,471
12010,"Sydney--Victoria/Sydney--Victoria"," 157","Eskasoni 3",174,2,1,0,0,25,7,0,209,498
12010,"Sydney--Victoria/Sydney--Victoria"," 158","Eskasoni 3",149,1,0,0,0,11,3,1,165,400
12010,"Sydney--Victoria/Sydney--Victoria"," 159","Eskasoni 3",182,3,0,1,0,19,1,3,209,523
12010,"Sydney--Victoria/Sydney--Victoria"," 160","Eskasoni 3",146,6,0,1,0,26,0,2,181,463
12010,"Sydney--Victoria/Sydney--Victoria"," 161","Wagmatcook 1",88,12,0,6,2,30,6,1,145,403
12010,"Sydney--Victoria/Sydney--Victoria"," 162","Grand Narrows",40,5,1,4,2,20,36,3,111,236
12010,"Sydney--Victoria/Sydney--Victoria"," 163","Iona",48,13,0,3,1,24,64,3,156,278
12010,"Sydney--Victoria/Sydney--Victoria"," 164","Little Narrows",44,8,0,1,4,19,26,0,102,141
12010,"Sydney--Victoria/Sydney--Victoria"," 400","Sydney",42,4,1,3,2,20,24,3,99,145
12010,"Sydney--Victoria/Sydney--Victoria"," 401","Sydney",28,8,2,1,0,9,14,1,63,107
12010,"Sydney--Victoria/Sydney--Victoria"," 402","Sydney",45,1,3,4,2,10,26,3,94,283
12010,"Sydney--Victoria/Sydney--Victoria"," 500","Mobile poll/Bureau itinérant",14,1,1,5,0,2,8,2,33,94
12010,"Sydney--Victoria/Sydney--Victoria"," 501","Mobile poll/Bureau itinérant",30,0,2,4,4,12,27,0,79,194
12010,"Sydney--Victoria/Sydney--Victoria"," 502","Mobile poll/Bureau itinérant",15,5,0,8,1,5,24,5,63,64
12010,"Sydney--Victoria/Sydney--Victoria"," 503","Mobile poll/Bureau itinérant",69,13,2,7,2,13,42,11,159,216
12010,"Sydney--Victoria/Sydney--Victoria"," 600","Cape North",37,9,1,35,1,19,38,6,146,
12010,"Sydney--Victoria/Sydney--Victoria"," 601","Pleasant Bay",3,3,0,4,0,6,7,1,24,
12010,"Sydney--Victoria/Sydney--Victoria"," 602","Ingonish",67,9,1,24,2,28,60,0,191,
12010,"Sydney--Victoria/Sydney--Victoria"," 603","Englishtown",40,13,0,12,0,20,32,0,117,
12010,"Sydney--Victoria/Sydney--Victoria"," 604","Cape Breton",113,20,1,204,2,56,205,5,606,
12010,"Sydney--Victoria/Sydney--Victoria"," 605","Cape Breton",115,24,4,274,3,54,237,3,714,
12010,"Sydney--Victoria/Sydney--Victoria"," 606","Sydney Mines",127,14,2,267,0,56,221,24,711,
12010,"Sydney--Victoria/Sydney--Victoria"," 607","Cape Breton",227,49,8,40,10,205,243,6,788,
12010,"Sydney--Victoria/Sydney--Victoria"," 608","Cape Breton",170,26,5,43,8,126,194,15,587,
12010,"Sydney--Victoria/Sydney--Victoria"," 609","Cape Breton",202,50,2,72,11,172,150,25,684,
12010,"Sydney--Victoria/Sydney--Victoria"," 610","Cape Breton",271,44,8,29,15,99,176,14,656,
12010,"Sydney--Victoria/Sydney--Victoria"," 611","Cape Breton",283,36,2,37,15,190,199,4,766,
12010,"Sydney--Victoria/Sydney--Victoria"," 612","Cape Breton",254,52,5,13,12,146,143,5,630,
12010,"Sydney--Victoria/Sydney--Victoria"," 613","Cape Breton",292,53,9,29,11,201,225,2,822,
12010,"Sydney--Victoria/Sydney--Victoria"," 614","Cape Breton",321,70,4,35,15,220,333,4,1002,
12010,"Sydney--Victoria/Sydney--Victoria"," 615","Cape Breton",199,48,3,301,4,126,509,7,1197,
12010,"Sydney--Victoria/Sydney--Victoria"," 616","Boisdale",38,14,0,13,4,28,44,0,141,
12010,"Sydney--Victoria/Sydney--Victoria"," 617","Cape Breton",43,9,2,76,2,19,126,7,284,
12010,"Sydney--Victoria/Sydney--Victoria"," 618","Millville Boularderie",20,9,0,37,1,20,39,0,126,
12010,"Sydney--Victoria/Sydney--Victoria"," 619","Baddeck",95,36,1,16,3,41,110,5,307,
12010,"Sydney--Victoria/Sydney--Victoria"," 620","Wagmatcook 1",30,12,0,4,1,31,22,1,101,
12010,"Sydney--Victoria/Sydney--Victoria"," 621","Iona",65,16,2,2,0,20,21,0,126,
12010,"Sydney--Victoria/Sydney--Victoria"," 622","Eskasoni 3",339,6,1,3,0,62,3,2,416,
12010,"Sydney--Victoria/Sydney--Victoria",,Group 1/Groupe 1, 52,12,0,8,0,20,29,6,127,112
12010,"Sydney--Victoria/Sydney--Victoria",,Group 2/Groupe 2, 325,93,4,137,6,128,384,28,1105,
