Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ramandeep Brar,Karen Fraser,Rajwinder Ghuman,Mitesh Joshi,Mandeep Kaur,Wavey Mercer,Sonia Sidhu,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton South/Brampton-Sud"," 114","Brampton",87,3,0,0,42,3,134,0,1,270,557
35011,"Brampton South/Brampton-Sud"," 115","Brampton",96,5,0,1,43,0,109,0,1,255,584
35011,"Brampton South/Brampton-Sud"," 116","Brampton",90,0,2,0,44,0,134,0,0,270,569
35011,"Brampton South/Brampton-Sud"," 117","Brampton",90,3,0,1,36,0,74,0,4,208,528
35011,"Brampton South/Brampton-Sud"," 118","Brampton",92,6,1,1,78,1,154,0,0,333,625
35011,"Brampton South/Brampton-Sud"," 119","Brampton",34,2,0,1,34,0,66,0,4,141,335
35011,"Brampton South/Brampton-Sud"," 120","Brampton",16,1,1,0,10,0,61,0,0,89,325
35011,"Brampton South/Brampton-Sud"," 121","Brampton",28,3,0,0,28,0,87,2,1,149,396
35011,"Brampton South/Brampton-Sud"," 122","Brampton",36,1,0,1,40,0,65,0,0,143,403
35011,"Brampton South/Brampton-Sud"," 123","Brampton",45,3,1,0,34,0,86,1,0,170,405
35011,"Brampton South/Brampton-Sud"," 124","Brampton",33,1,0,0,44,1,119,0,7,205,514
35011,"Brampton South/Brampton-Sud"," 125","Brampton",37,2,1,0,43,1,76,1,0,161,468
35011,"Brampton South/Brampton-Sud"," 126","Brampton",40,0,0,1,52,0,76,0,1,170,351
35011,"Brampton South/Brampton-Sud"," 127","Brampton",27,0,0,0,50,1,96,1,4,179,429
35011,"Brampton South/Brampton-Sud"," 128","Brampton",18,1,1,1,60,0,55,0,0,136,304
35011,"Brampton South/Brampton-Sud"," 129","Brampton",34,0,2,0,44,0,75,1,1,157,417
35011,"Brampton South/Brampton-Sud"," 130","Brampton",22,4,0,0,48,1,43,0,0,118,332
35011,"Brampton South/Brampton-Sud"," 131","Brampton",19,3,1,0,23,0,80,0,4,130,349
35011,"Brampton South/Brampton-Sud"," 132","Brampton",37,4,1,0,40,1,82,0,0,165,425
35011,"Brampton South/Brampton-Sud"," 133","Brampton",33,4,6,0,31,1,94,1,2,172,423
35011,"Brampton South/Brampton-Sud"," 134","Brampton",32,1,0,0,38,0,67,0,0,138,334
35011,"Brampton South/Brampton-Sud"," 135","Brampton",48,6,1,0,34,1,97,0,3,190,437
35011,"Brampton South/Brampton-Sud"," 136","Brampton",55,6,1,0,39,3,136,0,0,240,490
35011,"Brampton South/Brampton-Sud"," 137A","Brampton",55,1,0,0,29,0,105,0,3,193,348
35011,"Brampton South/Brampton-Sud"," 137B","Brampton",51,5,1,0,18,1,90,1,3,170,338
35011,"Brampton South/Brampton-Sud"," 138","Brampton",75,3,1,0,45,1,93,0,6,224,529
35011,"Brampton South/Brampton-Sud"," 139","Brampton",62,6,2,4,27,0,110,1,4,216,541
35011,"Brampton South/Brampton-Sud"," 140","Brampton",74,3,0,3,20,2,87,1,0,190,488
35011,"Brampton South/Brampton-Sud"," 141","Brampton",109,6,3,0,6,3,41,0,7,175,297
35011,"Brampton South/Brampton-Sud"," 142","Brampton",79,10,2,0,26,0,65,0,1,183,500
35011,"Brampton South/Brampton-Sud"," 143","Brampton",37,3,1,1,35,0,74,0,0,151,319
35011,"Brampton South/Brampton-Sud"," 144","Brampton",48,1,1,1,32,0,99,1,1,184,410
35011,"Brampton South/Brampton-Sud"," 145","Brampton",102,3,1,0,49,1,118,0,1,275,628
35011,"Brampton South/Brampton-Sud"," 146","Brampton",73,7,0,6,48,1,144,1,3,283,597
35011,"Brampton South/Brampton-Sud"," 147","Brampton",49,2,1,5,31,0,172,0,1,261,572
35011,"Brampton South/Brampton-Sud"," 148","Brampton",69,5,0,0,48,2,155,1,3,283,543
35011,"Brampton South/Brampton-Sud"," 149","Brampton",67,9,0,1,27,0,105,0,0,209,414
35011,"Brampton South/Brampton-Sud"," 150","Brampton",69,11,1,0,50,0,130,2,3,266,500
35011,"Brampton South/Brampton-Sud"," 151","Brampton",57,9,0,1,49,1,143,2,6,268,498
35011,"Brampton South/Brampton-Sud"," 152","Brampton",75,4,1,0,49,0,88,0,1,218,411
35011,"Brampton South/Brampton-Sud"," 153","Brampton",67,12,4,0,20,0,87,0,2,192,417
35011,"Brampton South/Brampton-Sud"," 154","Brampton",62,4,2,0,29,0,103,0,3,203,394
35011,"Brampton South/Brampton-Sud"," 155A","Brampton",48,3,0,0,20,0,90,0,1,162,309
35011,"Brampton South/Brampton-Sud"," 155B","Brampton",57,1,0,2,27,0,102,0,1,190,352
35011,"Brampton South/Brampton-Sud"," 156","Brampton",32,4,0,1,14,0,59,0,2,112,271
35011,"Brampton South/Brampton-Sud"," 157","Brampton",58,3,0,0,36,0,121,0,0,218,478
35011,"Brampton South/Brampton-Sud"," 158","Brampton",52,3,1,5,28,0,82,0,1,172,429
35011,"Brampton South/Brampton-Sud"," 159","Brampton",44,8,2,0,17,2,85,0,2,160,333
35011,"Brampton South/Brampton-Sud"," 160","Brampton",66,8,1,0,22,1,95,0,2,195,585
35011,"Brampton South/Brampton-Sud"," 161","Brampton",79,7,0,0,43,1,110,0,1,241,601
35011,"Brampton South/Brampton-Sud"," 162","Brampton",76,6,3,2,21,0,107,0,3,218,565
35011,"Brampton South/Brampton-Sud"," 163","Brampton",71,2,1,0,37,0,118,0,0,229,524
35011,"Brampton South/Brampton-Sud"," 400","Brampton",25,6,0,0,36,0,71,1,0,139,268
35011,"Brampton South/Brampton-Sud"," 401","Brampton",31,7,2,2,12,4,78,0,10,146,234
35011,"Brampton South/Brampton-Sud"," 402","Brampton",75,10,0,0,29,1,124,0,3,242,382
35011,"Brampton South/Brampton-Sud"," 403","Brampton",20,5,0,1,2,0,42,1,1,72,77
35011,"Brampton South/Brampton-Sud"," 404","Brampton",17,10,1,1,21,1,65,0,1,117,304
35011,"Brampton South/Brampton-Sud"," 405","Brampton",32,9,3,5,16,0,68,0,2,135,332
35011,"Brampton South/Brampton-Sud"," 406","Brampton",29,8,2,0,19,2,88,0,7,155,323
35011,"Brampton South/Brampton-Sud"," 407","Brampton",28,3,0,0,13,1,54,0,2,101,288
35011,"Brampton South/Brampton-Sud"," 408","Brampton",34,7,2,0,28,0,53,1,2,127,317
35011,"Brampton South/Brampton-Sud"," 409","Brampton",37,10,0,0,13,2,56,0,1,119,284
35011,"Brampton South/Brampton-Sud"," 410","Brampton",49,3,1,0,29,1,145,0,0,228,406
35011,"Brampton South/Brampton-Sud"," 411","Brampton",25,11,2,0,16,0,100,0,1,155,279
35011,"Brampton South/Brampton-Sud"," 500","Mobile poll/Bureau itinérant",13,4,1,1,6,1,33,0,0,59,279
35011,"Brampton South/Brampton-Sud"," 501","Mobile poll/Bureau itinérant",26,6,1,1,5,2,32,0,8,81,249
35011,"Brampton South/Brampton-Sud"," 502","Mobile poll/Bureau itinérant",27,7,1,2,9,1,47,0,3,97,130
35011,"Brampton South/Brampton-Sud"," 600","Brampton",257,61,11,0,103,6,361,3,3,805,
35011,"Brampton South/Brampton-Sud"," 601","Brampton",193,30,4,3,60,1,273,0,1,565,
35011,"Brampton South/Brampton-Sud"," 602","Brampton",201,43,6,4,75,2,311,2,6,650,
35011,"Brampton South/Brampton-Sud"," 603","Brampton",254,49,6,1,59,3,255,1,1,629,
35011,"Brampton South/Brampton-Sud"," 604","Brampton",212,49,6,2,63,6,350,2,2,692,
35011,"Brampton South/Brampton-Sud"," 605","Brampton",169,32,3,2,86,3,303,0,2,600,
35011,"Brampton South/Brampton-Sud"," 606","Brampton",161,16,3,1,135,1,477,0,5,799,
35011,"Brampton South/Brampton-Sud"," 607","Brampton",245,8,2,2,297,1,532,1,24,1112,
35011,"Brampton South/Brampton-Sud"," 608","Brampton",199,18,4,1,141,3,459,1,18,844,
35011,"Brampton South/Brampton-Sud"," 609","Brampton",178,14,3,1,98,1,406,0,16,717,
35011,"Brampton South/Brampton-Sud"," 610","Brampton",245,21,2,1,159,6,428,0,2,864,
35011,"Brampton South/Brampton-Sud"," 611","Brampton",429,15,4,1,221,2,603,0,9,1284,
35011,"Brampton South/Brampton-Sud"," 612","Brampton",330,16,3,8,123,4,443,1,5,933,
35011,"Brampton South/Brampton-Sud"," 613","Brampton",100,11,0,9,66,1,246,0,4,437,
35011,"Brampton South/Brampton-Sud"," 614","Brampton",319,25,3,4,151,0,572,0,3,1077,
35011,"Brampton South/Brampton-Sud",,Group 1/Groupe 1, 10,5,1,0,11,0,59,0,7,93,140
35011,"Brampton South/Brampton-Sud",,Group 2/Groupe 2, 324,61,15,5,247,6,688,2,39,1387,
