Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Archer,Scott Armstrong,Jason Blanch,Larry Duchesne,Stephen J Garvey,Jody O'Blenis,Matthew V. Rushton,Lenore Zann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Cumberland--Colchester/Cumberland--Colchester"," 27","Hastings",2,52,35,16,1,0,0,23,0,129,310
12003,"Cumberland--Colchester/Cumberland--Colchester"," 28","Tyndal Road",1,88,28,20,0,2,0,50,0,189,370
12003,"Cumberland--Colchester/Cumberland--Colchester"," 29","West Amherst",2,76,32,21,0,2,0,77,3,213,437
12003,"Cumberland--Colchester/Cumberland--Colchester"," 30","Maccan",5,68,24,24,0,1,3,33,3,161,376
12003,"Cumberland--Colchester/Cumberland--Colchester"," 31","Wentworth",6,95,44,20,0,0,4,114,0,283,500
12003,"Cumberland--Colchester/Cumberland--Colchester"," 32","Hastings",3,47,36,17,0,0,0,48,3,154,337
12003,"Cumberland--Colchester/Cumberland--Colchester"," 33","Amherst",1,78,35,23,0,0,0,65,4,206,421
12003,"Cumberland--Colchester/Cumberland--Colchester"," 34","Amherst",3,98,56,25,2,6,0,124,2,316,541
12003,"Cumberland--Colchester/Cumberland--Colchester"," 35","Amherst",3,63,40,20,0,1,0,70,0,197,386
12003,"Cumberland--Colchester/Cumberland--Colchester"," 36","Amherst",4,50,43,33,0,3,2,77,3,215,413
12003,"Cumberland--Colchester/Cumberland--Colchester"," 37","Amherst",0,36,31,23,0,0,3,45,2,140,373
12003,"Cumberland--Colchester/Cumberland--Colchester"," 38","Amherst",2,43,27,23,0,0,1,47,5,148,332
12003,"Cumberland--Colchester/Cumberland--Colchester"," 39","Amherst",0,48,35,18,0,1,0,51,0,153,376
12003,"Cumberland--Colchester/Cumberland--Colchester"," 40","Amherst",5,50,43,26,0,0,0,41,2,167,403
12003,"Cumberland--Colchester/Cumberland--Colchester"," 41","Amherst",3,58,37,41,0,1,0,43,3,186,422
12003,"Cumberland--Colchester/Cumberland--Colchester"," 42","Amherst",2,55,32,16,0,4,0,53,7,169,441
12003,"Cumberland--Colchester/Cumberland--Colchester"," 43","Kemptown",2,43,8,13,1,1,0,27,0,95,170
12003,"Cumberland--Colchester/Cumberland--Colchester"," 44","Amherst",3,69,31,22,2,1,1,56,0,185,447
12003,"Cumberland--Colchester/Cumberland--Colchester"," 45","Amherst",6,64,44,18,0,2,1,60,0,195,462
12003,"Cumberland--Colchester/Cumberland--Colchester"," 46","Amherst",2,40,37,26,3,1,2,49,6,166,437
12003,"Cumberland--Colchester/Cumberland--Colchester"," 47","Amherst",6,56,26,15,3,0,1,43,3,153,398
12003,"Cumberland--Colchester/Cumberland--Colchester"," 48","Amherst",2,54,27,36,0,0,0,36,2,157,353
12003,"Cumberland--Colchester/Cumberland--Colchester"," 49","Amherst",0,38,35,6,0,1,2,50,6,138,361
12003,"Cumberland--Colchester/Cumberland--Colchester"," 50","Amherst",5,37,28,29,0,1,0,49,3,152,385
12003,"Cumberland--Colchester/Cumberland--Colchester"," 51","Amherst",1,46,30,21,1,0,0,36,2,137,339
12003,"Cumberland--Colchester/Cumberland--Colchester"," 52","Amherst",3,59,15,20,0,4,0,42,2,145,388
12003,"Cumberland--Colchester/Cumberland--Colchester"," 53","Brookdale",1,61,22,12,0,4,1,52,0,153,254
12003,"Cumberland--Colchester/Cumberland--Colchester"," 54","Brookdale",6,98,30,28,2,1,4,43,1,213,324
12003,"Cumberland--Colchester/Cumberland--Colchester"," 55","Nappan",3,74,29,23,0,1,0,42,1,173,342
12003,"Cumberland--Colchester/Cumberland--Colchester"," 56","Upper North River",1,39,15,18,1,0,1,62,0,137,278
12003,"Cumberland--Colchester/Cumberland--Colchester"," 57","Upper North River",2,71,13,13,2,0,0,72,3,176,337
12003,"Cumberland--Colchester/Cumberland--Colchester"," 58","Belmont",2,62,11,19,0,0,0,48,5,147,315
12003,"Cumberland--Colchester/Cumberland--Colchester"," 59","Belmont",0,50,9,23,1,0,0,56,0,139,303
12003,"Cumberland--Colchester/Cumberland--Colchester"," 60","North River",4,46,17,33,1,1,2,73,5,182,343
12003,"Cumberland--Colchester/Cumberland--Colchester"," 61","Belmont",5,41,12,24,0,0,0,45,0,127,286
12003,"Cumberland--Colchester/Cumberland--Colchester"," 62","North River",2,46,11,19,0,0,1,69,0,148,315
12003,"Cumberland--Colchester/Cumberland--Colchester"," 63","Bible Hill",2,38,17,19,0,1,0,59,2,138,306
12003,"Cumberland--Colchester/Cumberland--Colchester"," 64","Westchester Valley",2,45,28,11,0,1,1,29,2,119,196
12003,"Cumberland--Colchester/Cumberland--Colchester"," 65","East Mountain",3,85,19,34,0,1,3,59,0,204,415
12003,"Cumberland--Colchester/Cumberland--Colchester"," 66","Greenfield",1,69,22,33,0,0,1,62,1,189,383
12003,"Cumberland--Colchester/Cumberland--Colchester"," 67","Valley",2,64,22,19,1,0,0,81,0,189,386
12003,"Cumberland--Colchester/Cumberland--Colchester"," 68","Valley Cross Roads",3,63,7,36,0,0,0,84,1,194,385
12003,"Cumberland--Colchester/Cumberland--Colchester"," 69","Valley",1,74,25,26,0,0,0,95,2,223,428
12003,"Cumberland--Colchester/Cumberland--Colchester"," 70","Bible Hill",0,69,23,15,0,0,1,68,0,176,395
12003,"Cumberland--Colchester/Cumberland--Colchester"," 71","Valley",0,62,17,21,0,0,1,76,1,178,336
12003,"Cumberland--Colchester/Cumberland--Colchester"," 72","River Philip",2,48,29,24,0,1,1,61,2,168,268
12003,"Cumberland--Colchester/Cumberland--Colchester"," 73","Millvale",2,79,26,20,0,0,3,45,0,175,301
12003,"Cumberland--Colchester/Cumberland--Colchester"," 74","Eastville",3,57,27,16,2,0,0,53,3,161,265
12003,"Cumberland--Colchester/Cumberland--Colchester"," 75","Upper Stewiacke",1,72,18,17,1,0,2,61,2,174,278
12003,"Cumberland--Colchester/Cumberland--Colchester"," 76","Bible Hill",2,62,21,24,1,0,1,95,2,208,411
12003,"Cumberland--Colchester/Cumberland--Colchester"," 77","Bible Hill",0,29,16,24,1,0,1,69,0,140,398
12003,"Cumberland--Colchester/Cumberland--Colchester"," 78","Bible Hill",1,43,15,27,1,0,3,54,0,144,338
12003,"Cumberland--Colchester/Cumberland--Colchester"," 79","Bible Hill",1,41,13,21,2,0,0,50,2,130,321
12003,"Cumberland--Colchester/Cumberland--Colchester"," 80","Bible Hill",1,56,19,26,0,0,1,60,0,163,337
12003,"Cumberland--Colchester/Cumberland--Colchester"," 81","Bible Hill",1,42,10,31,0,0,1,53,1,139,283
12003,"Cumberland--Colchester/Cumberland--Colchester"," 82","Bible Hill",0,42,16,19,0,0,0,66,0,143,360
12003,"Cumberland--Colchester/Cumberland--Colchester"," 83","Bible Hill",1,24,17,19,2,0,0,40,2,105,318
12003,"Cumberland--Colchester/Cumberland--Colchester"," 84","Bible Hill",5,34,9,22,1,1,0,57,1,130,363
