Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George Canyon,Sean Fraser,Chris Frazer,Betsy MacDonald,Al Muir,Barry Randle,Michael Slowik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 111","Stellarton",55,51,0,12,14,11,2,2,147,296
12002,"Central Nova/Nova-Centre"," 112","Stellarton",44,42,0,17,7,8,0,1,119,253
12002,"Central Nova/Nova-Centre"," 113","Stellarton",30,50,1,8,4,4,1,1,99,258
12002,"Central Nova/Nova-Centre"," 114","Stellarton",52,72,1,25,6,20,0,2,178,342
12002,"Central Nova/Nova-Centre"," 115","Scotsburn",65,92,0,25,7,11,2,0,202,315
12002,"Central Nova/Nova-Centre"," 116","Elmfield",39,52,0,13,6,22,1,1,134,243
12002,"Central Nova/Nova-Centre"," 117","Stellarton",48,61,1,24,4,4,0,3,145,288
12002,"Central Nova/Nova-Centre"," 118","Durham",75,107,0,39,5,27,2,2,257,465
12002,"Central Nova/Nova-Centre"," 119","Pictou, Subd. A",45,79,2,32,9,20,1,3,191,366
12002,"Central Nova/Nova-Centre"," 120","Westville",40,58,0,13,6,9,1,0,127,266
12002,"Central Nova/Nova-Centre"," 121","Westville",51,71,0,34,3,12,0,2,173,409
12002,"Central Nova/Nova-Centre"," 122","Westville",68,97,0,29,11,14,0,3,222,415
12002,"Central Nova/Nova-Centre"," 123","McLellans Brook",47,88,0,15,6,7,0,1,164,293
12002,"Central Nova/Nova-Centre"," 124","McLellans Brook",59,54,0,10,8,9,0,3,143,238
12002,"Central Nova/Nova-Centre"," 125","Stellarton",41,56,1,15,1,4,0,3,121,285
12002,"Central Nova/Nova-Centre"," 126","Stellarton",40,66,1,24,4,20,0,0,155,302
12002,"Central Nova/Nova-Centre"," 127","Stellarton",63,84,0,26,6,3,0,1,183,382
12002,"Central Nova/Nova-Centre"," 128","Stellarton",34,42,0,16,2,2,0,0,96,202
12002,"Central Nova/Nova-Centre"," 129","Stellarton",55,91,1,18,1,4,0,1,171,313
12002,"Central Nova/Nova-Centre"," 130","Westville",38,59,0,18,5,8,0,2,130,254
12002,"Central Nova/Nova-Centre"," 131","Westville",60,77,1,18,5,12,0,1,174,360
12002,"Central Nova/Nova-Centre"," 132","Westville",43,57,0,17,3,10,1,1,132,277
12002,"Central Nova/Nova-Centre"," 133","Westville",41,56,1,26,6,10,1,0,141,293
12002,"Central Nova/Nova-Centre"," 134","Westville",61,81,0,23,12,9,1,2,189,398
12002,"Central Nova/Nova-Centre"," 135","Westville",45,51,0,21,3,5,0,0,125,267
12002,"Central Nova/Nova-Centre"," 136","Greenhill",83,98,0,28,8,17,1,0,235,386
12002,"Central Nova/Nova-Centre"," 137","Garden of Eden",30,25,0,0,0,2,0,0,57,83
12002,"Central Nova/Nova-Centre"," 138","Mountville",42,54,0,11,5,5,0,0,117,272
12002,"Central Nova/Nova-Centre"," 139","Churchville",60,53,0,15,5,9,1,0,143,254
12002,"Central Nova/Nova-Centre"," 140","White Hill",71,76,1,12,4,10,1,1,176,305
12002,"Central Nova/Nova-Centre"," 141","West Branch",44,52,1,13,8,11,0,1,130,248
12002,"Central Nova/Nova-Centre"," 142","Riverton",73,60,1,19,5,7,4,3,172,338
12002,"Central Nova/Nova-Centre"," 143","Eureka",65,102,1,23,7,8,1,2,209,365
12002,"Central Nova/Nova-Centre"," 144","Hopewell",84,92,0,31,7,11,0,5,230,388
12002,"Central Nova/Nova-Centre"," 145","Bridgeville",68,83,1,19,5,6,1,3,186,299
12002,"Central Nova/Nova-Centre"," 146","Salt Springs",64,75,1,39,3,24,0,0,206,357
12002,"Central Nova/Nova-Centre"," 147","Sunnybrae",35,24,1,4,6,11,0,0,81,133
12002,"Central Nova/Nova-Centre"," 148","Port Bickerton",36,56,0,10,0,3,0,0,105,175
12002,"Central Nova/Nova-Centre"," 149","Port Bickerton",69,75,0,9,2,10,1,3,169,255
12002,"Central Nova/Nova-Centre"," 150","Millbrook",67,81,1,26,10,22,2,4,213,335
12002,"Central Nova/Nova-Centre"," 151","Mount Thom",18,41,0,26,5,15,0,1,106,218
12002,"Central Nova/Nova-Centre"," 152","Aspen",64,92,1,13,6,10,1,1,188,320
12002,"Central Nova/Nova-Centre"," 153","White Hill",52,60,0,19,2,13,1,2,149,251
12002,"Central Nova/Nova-Centre"," 154","Sherbrooke",54,76,1,24,3,5,0,0,163,291
12002,"Central Nova/Nova-Centre"," 155","Port Bickerton",32,23,0,4,0,0,0,0,59,94
12002,"Central Nova/Nova-Centre"," 156","Lorne",53,39,0,12,1,3,0,3,111,184
12002,"Central Nova/Nova-Centre"," 157","Liscomb",48,58,2,4,3,2,0,0,117,170
12002,"Central Nova/Nova-Centre"," 158","Ecum Secum",31,30,1,10,3,7,0,0,82,234
12002,"Central Nova/Nova-Centre"," 159","Dean",36,42,0,24,4,9,1,3,119,183
12002,"Central Nova/Nova-Centre"," 160","Moser River",56,66,1,15,3,10,0,5,156,282
12002,"Central Nova/Nova-Centre"," 161","Sheet Harbour",57,76,2,22,4,11,0,0,172,426
12002,"Central Nova/Nova-Centre"," 162","Sheet Harbour",41,89,0,22,0,5,0,0,157,368
12002,"Central Nova/Nova-Centre"," 163","Upper Musquodoboit",43,40,0,26,0,10,0,2,121,232
12002,"Central Nova/Nova-Centre"," 164","Upper Musquodoboit",47,29,0,24,1,24,0,2,127,251
12002,"Central Nova/Nova-Centre"," 165","Port Dufferin--Beaver Harbour--West Quoddy",72,57,0,33,2,15,2,3,184,329
12002,"Central Nova/Nova-Centre"," 166","Sheet Harbour",28,50,1,13,5,11,0,0,108,247
12002,"Central Nova/Nova-Centre"," 167","Mushaboom",30,21,0,7,1,5,1,0,65,131
12002,"Central Nova/Nova-Centre"," 168","Mooseland",10,16,1,4,0,4,0,0,35,51
12002,"Central Nova/Nova-Centre"," 169","Chaswood",44,20,0,13,1,8,1,2,89,232
12002,"Central Nova/Nova-Centre"," 170","Middle Musquodoboit",80,63,0,28,5,10,0,0,186,427
12002,"Central Nova/Nova-Centre"," 171","Chaswood",33,39,0,24,1,8,0,0,105,222
12002,"Central Nova/Nova-Centre"," 172","Tangier--Spry Harbour",66,83,0,32,1,14,1,1,198,364
12002,"Central Nova/Nova-Centre"," 173","Cooks Brook",44,74,1,28,3,14,1,0,165,276
12002,"Central Nova/Nova-Centre"," 174","East Ship Harbour",47,64,0,24,4,13,2,0,154,242
12002,"Central Nova/Nova-Centre"," 175","Carrolls Corner",68,103,1,38,2,24,1,4,241,437
12002,"Central Nova/Nova-Centre"," 176","Cooks Brook",58,55,0,28,7,17,0,1,166,299
12002,"Central Nova/Nova-Centre"," 177","Dutch Settlement",31,41,0,30,0,18,0,0,120,215
12002,"Central Nova/Nova-Centre"," 178","Ship Harbour",39,62,1,10,2,12,1,0,127,196
12002,"Central Nova/Nova-Centre"," 179","Lake Charlotte",62,66,0,34,1,15,3,1,182,328
12002,"Central Nova/Nova-Centre"," 180","Clam Harbour",77,62,2,28,3,20,0,1,193,323
12002,"Central Nova/Nova-Centre"," 181","East Jeddore",86,77,1,25,0,14,3,2,208,394
12002,"Central Nova/Nova-Centre"," 182","Elderbank",39,32,0,16,4,10,1,0,102,192
12002,"Central Nova/Nova-Centre"," 183","Meaghers Grant",53,65,2,41,8,20,0,0,189,318
12002,"Central Nova/Nova-Centre"," 184A","Dutch Settlement",49,60,0,35,4,17,0,1,166,276
12002,"Central Nova/Nova-Centre"," 184B","Dutch Settlement",51,49,0,43,2,12,2,1,160,285
12002,"Central Nova/Nova-Centre"," 185","Musquodoboit Harbour",42,63,0,28,0,17,1,2,153,303
12002,"Central Nova/Nova-Centre"," 186","Musquodoboit Harbour",37,62,0,32,3,17,1,1,153,348
12002,"Central Nova/Nova-Centre"," 187","Musquodoboit Harbour",38,61,1,18,3,9,2,3,135,306
12002,"Central Nova/Nova-Centre"," 188","West Petpeswick",37,101,1,28,0,20,1,1,189,394
12002,"Central Nova/Nova-Centre"," 189","East Petpeswick",47,94,1,42,0,22,1,1,208,392
12002,"Central Nova/Nova-Centre"," 190","Goffs",9,22,0,9,1,7,0,0,48,110
12002,"Central Nova/Nova-Centre"," 191","Goffs",57,96,1,44,0,19,1,3,221,416
12002,"Central Nova/Nova-Centre"," 192","Head of Chezzetcook",13,30,0,14,1,8,0,0,66,132
12002,"Central Nova/Nova-Centre"," 193","Gaetz Brook",58,79,1,60,1,29,0,0,228,394
12002,"Central Nova/Nova-Centre"," 194","Head of Jeddore",47,64,1,26,2,8,1,1,150,320
12002,"Central Nova/Nova-Centre"," 195","Head of Jeddore",46,97,1,26,0,19,0,0,189,351
12002,"Central Nova/Nova-Centre"," 196","West Jeddore",64,83,2,34,9,26,3,1,222,427
12002,"Central Nova/Nova-Centre"," 400","New Glasgow",33,33,2,1,1,3,0,4,77,164
