Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Day,Estelle Hjertaas,Randy Hoback,Harmony Johnson-Harder,Brian Littlepine,Kerri Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 35","Prince Albert",3,29,73,61,2,8,0,176,386
47006,"Prince Albert/Prince Albert"," 36","Prince Albert",6,26,54,29,1,6,4,126,364
47006,"Prince Albert/Prince Albert"," 37","Prince Albert",0,32,54,39,2,8,0,135,431
47006,"Prince Albert/Prince Albert"," 38","Prince Albert",0,21,85,56,4,5,2,173,411
47006,"Prince Albert/Prince Albert"," 39","Prince Albert",2,37,54,63,3,8,4,171,399
47006,"Prince Albert/Prince Albert"," 40","Prince Albert",3,28,37,50,1,4,2,125,428
47006,"Prince Albert/Prince Albert"," 41","Prince Albert",2,36,84,54,0,2,1,179,485
47006,"Prince Albert/Prince Albert"," 42","Prince Albert",3,38,53,57,1,3,3,158,436
47006,"Prince Albert/Prince Albert"," 43","Prince Albert",6,29,65,44,0,3,2,149,489
47006,"Prince Albert/Prince Albert"," 44","Prince Albert",2,19,118,74,0,3,0,216,458
47006,"Prince Albert/Prince Albert"," 45","Prince Albert",4,41,116,80,1,2,2,246,490
47006,"Prince Albert/Prince Albert"," 46","Prince Albert",1,19,83,57,2,4,0,166,463
47006,"Prince Albert/Prince Albert"," 47","Prince Albert",4,31,147,36,0,8,1,227,430
47006,"Prince Albert/Prince Albert"," 48","Prince Albert",5,25,90,67,3,4,0,194,419
47006,"Prince Albert/Prince Albert"," 49","Prince Albert",4,31,119,52,0,0,4,210,457
47006,"Prince Albert/Prince Albert"," 50","Prince Albert",0,23,97,49,0,7,2,178,375
47006,"Prince Albert/Prince Albert"," 51","Prince Albert",2,22,96,62,0,6,3,191,437
47006,"Prince Albert/Prince Albert"," 52","Prince Albert",5,27,92,43,0,4,1,172,460
47006,"Prince Albert/Prince Albert"," 53","Prince Albert",8,31,112,46,0,7,0,204,459
47006,"Prince Albert/Prince Albert"," 54","Prince Albert",4,8,79,36,1,3,1,132,396
47006,"Prince Albert/Prince Albert"," 55","Prince Albert",5,36,135,50,0,5,1,232,566
47006,"Prince Albert/Prince Albert"," 56","Prince Albert",2,35,111,38,1,2,0,189,412
47006,"Prince Albert/Prince Albert"," 57","Prince Albert",2,23,100,59,0,2,0,186,400
47006,"Prince Albert/Prince Albert"," 58","Prince Albert",10,29,131,34,0,5,0,209,384
47006,"Prince Albert/Prince Albert"," 59","Prince Albert",6,37,82,33,1,6,1,166,375
47006,"Prince Albert/Prince Albert"," 60","Prince Albert",6,41,123,45,0,4,0,219,443
47006,"Prince Albert/Prince Albert"," 61","Prince Albert",1,45,212,40,0,7,2,307,549
47006,"Prince Albert/Prince Albert"," 62","Prince Albert",3,25,189,34,0,3,0,254,413
47006,"Prince Albert/Prince Albert"," 63","Prince Albert",7,31,159,57,1,5,3,263,497
47006,"Prince Albert/Prince Albert"," 64","Nipawin",5,6,153,21,0,3,0,188,423
47006,"Prince Albert/Prince Albert"," 65","Nipawin",6,8,120,26,0,3,3,166,349
47006,"Prince Albert/Prince Albert"," 66","Nipawin",4,17,161,12,0,5,1,200,451
47006,"Prince Albert/Prince Albert"," 67","Nipawin",2,10,65,7,1,1,3,89,211
47006,"Prince Albert/Prince Albert"," 68","Nipawin",7,7,185,21,1,3,0,224,437
47006,"Prince Albert/Prince Albert"," 69","Nipawin",1,11,129,16,0,1,0,158,276
47006,"Prince Albert/Prince Albert"," 70","Nipawin",1,17,167,26,2,4,1,218,456
47006,"Prince Albert/Prince Albert"," 71","Nipawin",1,5,80,16,0,1,0,103,216
47006,"Prince Albert/Prince Albert"," 72","Nipawin",1,12,159,20,1,3,0,196,363
47006,"Prince Albert/Prince Albert"," 73","Nipawin",2,2,70,7,0,3,1,85,217
47006,"Prince Albert/Prince Albert"," 74","Prince Albert",5,24,165,63,0,10,2,269,540
47006,"Prince Albert/Prince Albert"," 75","Prince Albert",7,15,105,42,0,1,0,170,362
47006,"Prince Albert/Prince Albert"," 76","Prince Albert",1,25,62,42,1,1,3,135,389
47006,"Prince Albert/Prince Albert"," 77","Prince Albert",6,57,174,46,0,8,3,294,563
47006,"Prince Albert/Prince Albert"," 78","Prince Albert",5,28,54,51,2,1,1,142,489
47006,"Prince Albert/Prince Albert"," 79","Prince Albert",6,18,121,57,0,4,1,207,363
47006,"Prince Albert/Prince Albert"," 80","Prince Albert",1,26,85,43,1,1,0,157,406
47006,"Prince Albert/Prince Albert"," 81","Prince Albert",0,9,127,34,0,4,3,177,356
47006,"Prince Albert/Prince Albert"," 82","Prince Albert",1,22,124,47,0,4,0,198,378
47006,"Prince Albert/Prince Albert"," 83","Prince Albert",7,32,101,62,0,5,0,207,461
47006,"Prince Albert/Prince Albert"," 84","Prince Albert",1,33,89,51,1,3,0,178,417
47006,"Prince Albert/Prince Albert"," 85","Prince Albert",4,41,96,73,4,9,1,228,524
47006,"Prince Albert/Prince Albert"," 86","Prince Albert",3,36,130,79,0,3,2,253,501
47006,"Prince Albert/Prince Albert"," 87","Prince Albert",5,19,192,64,0,5,0,285,535
47006,"Prince Albert/Prince Albert"," 88","Prince Albert",1,26,105,36,0,5,0,173,347
47006,"Prince Albert/Prince Albert"," 89","Prince Albert",2,25,113,35,0,7,0,182,332
47006,"Prince Albert/Prince Albert"," 90","Prince Albert",4,25,123,37,0,2,0,191,367
47006,"Prince Albert/Prince Albert"," 91","Prince Albert",1,21,164,35,0,2,0,223,429
47006,"Prince Albert/Prince Albert"," 92","Prince Albert",4,20,52,16,2,5,0,99,253
47006,"Prince Albert/Prince Albert"," 93","Miller's Hill",3,9,140,24,3,3,1,183,350
47006,"Prince Albert/Prince Albert"," 94","Birson",0,19,157,22,0,3,0,201,341
47006,"Prince Albert/Prince Albert"," 95","Petaigan",5,3,123,10,0,2,0,143,311
47006,"Prince Albert/Prince Albert"," 96","Carrot River",0,13,165,14,0,3,0,195,377
47006,"Prince Albert/Prince Albert"," 97","Carrot River",1,8,145,15,0,0,0,169,319
47006,"Prince Albert/Prince Albert"," 98","Moose Range",1,5,105,9,0,0,0,120,231
47006,"Prince Albert/Prince Albert"," 99","Moose Range",2,4,125,8,0,5,0,144,274
47006,"Prince Albert/Prince Albert"," 100","Macdowall",9,17,204,25,0,5,0,260,401
47006,"Prince Albert/Prince Albert"," 101","Clouston",2,3,139,23,0,6,0,173,353
47006,"Prince Albert/Prince Albert"," 102","Codette",1,6,85,8,1,1,1,103,194
47006,"Prince Albert/Prince Albert"," 103","Codette",8,8,166,22,0,3,0,207,364
47006,"Prince Albert/Prince Albert"," 104","Muskoday First Nation",1,63,22,133,19,5,0,243,519
47006,"Prince Albert/Prince Albert"," 105","Red Deer Hill",3,14,179,29,1,5,0,231,400
47006,"Prince Albert/Prince Albert"," 106","Weldon",7,4,153,18,0,0,1,183,336
47006,"Prince Albert/Prince Albert"," 107","James Smith 100",0,158,10,98,4,0,0,270,407
47006,"Prince Albert/Prince Albert"," 108","Brancepeth",3,3,95,15,0,1,3,120,217
47006,"Prince Albert/Prince Albert"," 109","Birch Hills",1,6,140,44,0,6,0,197,276
47006,"Prince Albert/Prince Albert"," 110","Birch Hills",0,12,87,25,0,4,0,128,260
47006,"Prince Albert/Prince Albert"," 111","Birch Hills",1,14,198,54,0,10,2,279,511
47006,"Prince Albert/Prince Albert"," 112","Aylsham",1,7,83,9,0,2,1,103,168
47006,"Prince Albert/Prince Albert"," 113","Gronlid",2,5,191,20,0,6,1,225,333
47006,"Prince Albert/Prince Albert"," 114","Brockington",0,3,98,15,0,0,0,116,225
47006,"Prince Albert/Prince Albert"," 115","St. Louis",2,12,126,86,1,1,1,229,349
47006,"Prince Albert/Prince Albert"," 116","St-Isidore-de-Bellevue",6,2,91,32,0,4,2,137,251
47006,"Prince Albert/Prince Albert"," 117","Ridgedale",6,6,154,8,0,7,1,182,294
47006,"Prince Albert/Prince Albert"," 118","St-Laurent-Grandin",1,22,115,14,1,4,0,157,268
47006,"Prince Albert/Prince Albert"," 119","Kinistino",4,9,96,11,0,0,1,121,336
47006,"Prince Albert/Prince Albert"," 120","Kinistino",1,3,54,3,0,0,0,61,106
47006,"Prince Albert/Prince Albert"," 121","Kinistino",2,2,172,14,1,4,1,196,277
47006,"Prince Albert/Prince Albert"," 122","Zenon Park",3,27,115,10,0,4,0,159,221
47006,"Prince Albert/Prince Albert"," 123","Beatty",6,10,127,13,0,3,0,159,294
47006,"Prince Albert/Prince Albert"," 124","One Arrow 95",3,19,6,106,19,1,0,154,277
47006,"Prince Albert/Prince Albert"," 125","Domremy",0,3,91,12,1,5,0,112,240
47006,"Prince Albert/Prince Albert"," 126","Arborfield",8,5,163,10,0,2,0,188,275
47006,"Prince Albert/Prince Albert"," 127","Arborfield",5,0,138,4,1,4,1,153,219
47006,"Prince Albert/Prince Albert"," 128","Waitville",3,7,82,16,0,6,0,114,158
47006,"Prince Albert/Prince Albert"," 129","Waitville",1,10,136,31,1,1,4,184,278
47006,"Prince Albert/Prince Albert"," 130","Melfort",2,16,133,31,0,3,1,186,409
47006,"Prince Albert/Prince Albert"," 131","Melfort",6,18,198,24,0,6,1,253,591
47006,"Prince Albert/Prince Albert"," 132","Melfort",3,21,203,37,0,4,1,269,540
47006,"Prince Albert/Prince Albert"," 133","Melfort",6,13,184,33,0,4,1,241,427
47006,"Prince Albert/Prince Albert"," 134","Melfort",5,12,169,22,1,5,2,216,490
47006,"Prince Albert/Prince Albert"," 135","Melfort",1,9,169,39,0,4,0,222,457
47006,"Prince Albert/Prince Albert"," 136","Melfort",1,16,154,18,0,3,2,194,388
47006,"Prince Albert/Prince Albert"," 137","Melfort",0,7,191,15,0,2,2,217,488
47006,"Prince Albert/Prince Albert"," 138","Melfort",5,11,202,27,0,4,1,250,505
47006,"Prince Albert/Prince Albert"," 139","Melfort",2,7,124,15,0,2,0,150,318
47006,"Prince Albert/Prince Albert"," 140","Flett's Springs",1,3,153,9,0,1,0,167,308
47006,"Prince Albert/Prince Albert"," 141","Tisdale",4,3,91,5,0,8,0,111,204
47006,"Prince Albert/Prince Albert"," 142","Tisdale",4,7,141,13,0,3,0,168,318
47006,"Prince Albert/Prince Albert"," 143","Star City",4,12,218,21,2,2,0,259,381
47006,"Prince Albert/Prince Albert"," 144","Star City",3,3,185,13,1,7,0,212,352
47006,"Prince Albert/Prince Albert"," 145","Tisdale",4,10,228,20,0,4,1,267,494
47006,"Prince Albert/Prince Albert"," 146","Tisdale",3,5,126,17,0,1,0,152,306
47006,"Prince Albert/Prince Albert"," 147","Tisdale",2,18,123,30,0,1,0,174,323
47006,"Prince Albert/Prince Albert"," 148","Tisdale",3,8,140,20,0,7,1,179,327
47006,"Prince Albert/Prince Albert"," 149","Tisdale",0,12,82,23,0,1,0,118,248
47006,"Prince Albert/Prince Albert"," 150","Tisdale",9,11,98,21,0,1,1,141,255
47006,"Prince Albert/Prince Albert"," 151","Tisdale",2,4,83,13,0,1,1,104,184
47006,"Prince Albert/Prince Albert"," 152","Sylvania",2,8,131,11,1,3,0,156,257
47006,"Prince Albert/Prince Albert"," 500","Mobile poll/Bureau itinérant",2,10,38,13,3,2,4,72,168
47006,"Prince Albert/Prince Albert"," 501","Mobile poll/Bureau itinérant",2,15,19,11,1,2,0,50,149
47006,"Prince Albert/Prince Albert"," 502","Mobile poll/Bureau itinérant",5,26,74,26,5,4,6,146,191
47006,"Prince Albert/Prince Albert"," 503","Mobile poll/Bureau itinérant",1,28,47,18,1,2,17,114,183
47006,"Prince Albert/Prince Albert"," 504","Mobile poll/Bureau itinérant",3,14,41,15,0,6,5,84,149
47006,"Prince Albert/Prince Albert"," 505","Mobile poll/Bureau itinérant",1,9,33,9,0,2,0,54,118
47006,"Prince Albert/Prince Albert"," 600","Shellbrook",6,22,374,35,0,4,1,442,
47006,"Prince Albert/Prince Albert"," 601","Birson",8,28,359,53,2,12,2,464,
47006,"Prince Albert/Prince Albert"," 602","Prince Albert",18,109,457,149,1,18,3,755,
47006,"Prince Albert/Prince Albert"," 603","Prince Albert",10,66,274,123,0,15,3,491,
47006,"Prince Albert/Prince Albert"," 604","Prince Albert",16,91,590,127,0,22,0,846,
47006,"Prince Albert/Prince Albert"," 605","Prince Albert",17,100,461,156,1,15,2,752,
47006,"Prince Albert/Prince Albert"," 606","Prince Albert",18,65,243,97,6,10,5,444,
47006,"Prince Albert/Prince Albert"," 607","Prince Albert",13,120,525,181,0,14,5,858,
47006,"Prince Albert/Prince Albert"," 608","Buckland",7,42,424,79,0,11,3,566,
47006,"Prince Albert/Prince Albert"," 609","Smeaton",5,6,210,27,0,2,2,252,
47006,"Prince Albert/Prince Albert"," 610","Nipawin",13,32,735,83,0,18,1,882,
47006,"Prince Albert/Prince Albert"," 611","Carrot River",6,11,296,26,0,3,0,342,
47006,"Prince Albert/Prince Albert"," 612","Tisdale",24,36,726,81,3,12,0,882,
47006,"Prince Albert/Prince Albert"," 613","Melfort",14,52,1060,134,1,28,1,1290,
47006,"Prince Albert/Prince Albert"," 614","Birch Hills",10,38,258,49,1,9,3,368,
47006,"Prince Albert/Prince Albert"," 615","Invergordon",4,10,161,38,1,3,0,217,
47006,"Prince Albert/Prince Albert",,Group 1/Groupe 1, 12,101,28,37,6,15,12,211,228
47006,"Prince Albert/Prince Albert",,Group 2/Groupe 2, 15,126,606,162,5,29,28,971,
