Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Aldinger,Jordan Ames-Sinclair,Dale Dewar,Éric Normand,James Plummer,Andrew Scheer,Tracey Sparrowhawk,Kieran Szuchewycz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 601","Raymore",29,15,9,1,0,224,2,0,0,280,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 602","Ituna",17,6,5,2,0,300,4,0,1,335,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 603","Balcarres",23,103,3,0,1,2,0,0,0,132,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 604","Balcarres",17,29,12,0,0,196,2,1,1,258,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 605","Fort Qu'Appelle",83,57,46,2,2,506,7,0,9,712,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 606","Qu'Appelle",62,25,12,0,0,390,3,0,3,495,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 607","White City",147,88,30,1,1,1362,9,2,6,1646,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 608","Pilot Butte",103,54,24,6,2,697,8,0,4,898,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 609","Regina",179,95,20,2,2,461,16,0,6,781,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 610","Regina",202,86,35,1,3,618,11,3,9,968,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 611","Regina",212,126,36,6,4,665,13,3,13,1078,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 612","Regina",162,96,24,3,2,438,24,1,8,758,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 613","Regina",183,106,29,1,0,203,17,1,0,540,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 1/Groupe 1, 66,66,19,0,5,35,4,0,37,232,244
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 2/Groupe 2, 152,109,64,0,4,636,14,2,24,1005,
