Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Eisses,Gudie Hutchings,Lucas Knill,Robert Miles,Holly Pike,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 50","Woody Point",31,79,5,1,18,1,135,247
10005,"Long Range Mountains/Long Range Mountains"," 51","Shoal Brook",22,59,4,1,6,2,94,213
10005,"Long Range Mountains/Long Range Mountains"," 52","Reidville",80,110,7,1,31,6,235,465
10005,"Long Range Mountains/Long Range Mountains"," 53","Deer Lake",104,66,5,0,40,9,224,494
10005,"Long Range Mountains/Long Range Mountains"," 54","Deer Lake",98,115,5,3,37,7,265,524
10005,"Long Range Mountains/Long Range Mountains"," 55","Deer Lake",84,70,3,0,21,2,180,410
10005,"Long Range Mountains/Long Range Mountains"," 56","Nicholsville",82,63,3,2,12,0,162,362
10005,"Long Range Mountains/Long Range Mountains"," 57","Deer Lake",50,60,7,1,27,6,151,364
10005,"Long Range Mountains/Long Range Mountains"," 58","Trout River",53,159,6,2,34,8,262,474
10005,"Long Range Mountains/Long Range Mountains"," 59","Deer Lake",53,60,3,1,32,5,154,337
10005,"Long Range Mountains/Long Range Mountains"," 60","Deer Lake",86,58,5,0,25,0,174,468
10005,"Long Range Mountains/Long Range Mountains"," 61","Nicholsville",77,46,2,0,12,3,140,348
10005,"Long Range Mountains/Long Range Mountains"," 62","Deer Lake",39,62,2,1,15,0,119,338
10005,"Long Range Mountains/Long Range Mountains"," 63","Deer Lake",48,68,5,1,28,1,151,363
10005,"Long Range Mountains/Long Range Mountains"," 64","Deer Lake",78,90,3,6,40,0,217,520
10005,"Long Range Mountains/Long Range Mountains"," 65","Humber Village--Little Rapids",76,122,16,2,67,0,283,518
10005,"Long Range Mountains/Long Range Mountains"," 66A","Pasadena",41,68,3,1,39,1,153,309
10005,"Long Range Mountains/Long Range Mountains"," 66B","Pasadena",48,49,10,4,30,0,141,310
10005,"Long Range Mountains/Long Range Mountains"," 67","Pasadena",53,117,9,1,37,1,218,412
10005,"Long Range Mountains/Long Range Mountains"," 68","Pasadena",37,89,2,0,47,0,175,367
10005,"Long Range Mountains/Long Range Mountains"," 69","Pasadena",32,82,4,2,52,0,172,330
10005,"Long Range Mountains/Long Range Mountains"," 70","Pasadena",33,55,4,1,39,2,134,333
10005,"Long Range Mountains/Long Range Mountains"," 71","Pasadena",97,126,9,0,81,2,315,568
10005,"Long Range Mountains/Long Range Mountains"," 72","Pasadena",56,98,11,2,49,1,217,439
10005,"Long Range Mountains/Long Range Mountains"," 73","Howley",58,80,7,0,24,2,171,314
10005,"Long Range Mountains/Long Range Mountains"," 74","Cox's Cove",46,70,15,2,15,0,148,362
10005,"Long Range Mountains/Long Range Mountains"," 75","Cox's Cove",37,52,2,0,14,0,105,226
10005,"Long Range Mountains/Long Range Mountains"," 76A","Irishtown",46,53,10,1,47,1,158,284
10005,"Long Range Mountains/Long Range Mountains"," 76B","Irishtown",47,60,7,2,42,3,161,336
10005,"Long Range Mountains/Long Range Mountains"," 77A","Irishtown",38,63,3,1,32,4,141,286
10005,"Long Range Mountains/Long Range Mountains"," 77B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,2
10005,"Long Range Mountains/Long Range Mountains"," 78","Steady Brook",40,126,6,0,46,5,223,347
10005,"Long Range Mountains/Long Range Mountains"," 79","McIver's",76,95,4,2,42,0,219,424
10005,"Long Range Mountains/Long Range Mountains"," 80","Corner Brook",22,62,2,1,31,11,129,294
10005,"Long Range Mountains/Long Range Mountains"," 81","Corner Brook",33,113,6,2,45,12,211,403
10005,"Long Range Mountains/Long Range Mountains"," 82","Corner Brook",22,79,4,0,40,1,146,365
10005,"Long Range Mountains/Long Range Mountains"," 83","Gillams",47,67,12,1,48,1,176,332
10005,"Long Range Mountains/Long Range Mountains"," 84","Corner Brook",22,108,4,1,73,5,213,368
10005,"Long Range Mountains/Long Range Mountains"," 85","Corner Brook",40,93,4,1,48,2,188,380
10005,"Long Range Mountains/Long Range Mountains"," 86","Corner Brook",49,75,7,2,40,1,174,345
10005,"Long Range Mountains/Long Range Mountains"," 87","Corner Brook",24,63,4,1,35,0,127,258
10005,"Long Range Mountains/Long Range Mountains"," 88","Corner Brook",23,70,2,0,45,2,142,279
10005,"Long Range Mountains/Long Range Mountains"," 89A","Summerside",29,82,3,2,32,1,149,278
10005,"Long Range Mountains/Long Range Mountains"," 89B","Summerside",23,62,4,2,35,2,128,274
10005,"Long Range Mountains/Long Range Mountains"," 90","Corner Brook",33,60,4,4,35,0,136,328
10005,"Long Range Mountains/Long Range Mountains"," 91","Corner Brook",30,117,5,2,67,3,224,424
10005,"Long Range Mountains/Long Range Mountains"," 92","Corner Brook",24,102,10,1,63,2,202,429
10005,"Long Range Mountains/Long Range Mountains"," 93","Corner Brook",32,134,11,0,77,0,254,488
10005,"Long Range Mountains/Long Range Mountains"," 94","Corner Brook",25,140,12,3,81,1,262,507
10005,"Long Range Mountains/Long Range Mountains"," 95","Corner Brook",29,112,3,0,57,1,202,415
10005,"Long Range Mountains/Long Range Mountains"," 96","Meadows",54,144,7,3,56,1,265,491
10005,"Long Range Mountains/Long Range Mountains"," 97","Lark Harbour",96,113,6,3,28,2,248,464
10005,"Long Range Mountains/Long Range Mountains"," 98","Corner Brook",28,112,11,2,119,8,280,535
10005,"Long Range Mountains/Long Range Mountains"," 99","Corner Brook",30,71,5,2,54,9,171,444
10005,"Long Range Mountains/Long Range Mountains"," 100","Corner Brook",30,76,4,0,51,1,162,382
10005,"Long Range Mountains/Long Range Mountains"," 101","Corner Brook",32,64,8,1,45,13,163,399
10005,"Long Range Mountains/Long Range Mountains"," 102","Corner Brook",51,91,9,2,40,5,198,469
10005,"Long Range Mountains/Long Range Mountains"," 103","Corner Brook",38,65,5,1,69,0,178,424
10005,"Long Range Mountains/Long Range Mountains"," 104","Corner Brook",51,66,3,0,66,2,188,424
10005,"Long Range Mountains/Long Range Mountains"," 105","Corner Brook",35,119,3,1,70,3,231,373
10005,"Long Range Mountains/Long Range Mountains"," 106","Humber Arm South",117,75,8,1,61,1,263,538
10005,"Long Range Mountains/Long Range Mountains"," 107A","Benoit's Cove",48,43,3,1,35,0,130,322
10005,"Long Range Mountains/Long Range Mountains"," 107B","Benoit's Cove",64,49,4,0,27,0,144,285
10005,"Long Range Mountains/Long Range Mountains"," 108","Humber Arm South",35,33,4,1,21,1,95,184
10005,"Long Range Mountains/Long Range Mountains"," 109","Corner Brook",28,125,7,1,76,3,240,520
10005,"Long Range Mountains/Long Range Mountains"," 110","Corner Brook",46,72,4,1,72,1,196,377
10005,"Long Range Mountains/Long Range Mountains"," 111A","Corner Brook",33,56,5,1,65,1,161,348
