Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tina Bains,Jeffrey Breti,Jaswinder Singh Dilawari,George Gidora,Kevin Pielak,Randeep Singh Sarai,Sarjit Singh Saran,John Werring,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Surrey Centre/Surrey-Centre"," 82","Surrey",64,3,9,1,5,55,61,14,1,213,612
59032,"Surrey Centre/Surrey-Centre"," 83","Surrey",47,2,6,1,3,58,47,16,0,180,519
59032,"Surrey Centre/Surrey-Centre"," 84","Surrey",46,1,0,0,1,39,30,7,0,124,382
59032,"Surrey Centre/Surrey-Centre"," 85","Surrey",55,2,2,1,2,48,38,8,0,156,590
59032,"Surrey Centre/Surrey-Centre"," 86","Surrey",41,1,1,0,1,39,35,11,1,130,458
59032,"Surrey Centre/Surrey-Centre"," 87","Surrey",83,0,2,0,1,38,48,20,8,200,640
59032,"Surrey Centre/Surrey-Centre"," 88","Surrey",34,2,2,1,2,23,40,4,0,108,448
59032,"Surrey Centre/Surrey-Centre"," 89","Surrey",50,0,1,0,0,93,68,5,2,219,622
59032,"Surrey Centre/Surrey-Centre"," 90","Surrey",10,0,2,0,0,30,32,0,0,74,259
59032,"Surrey Centre/Surrey-Centre"," 91","Surrey",17,1,3,0,0,32,32,5,2,92,327
59032,"Surrey Centre/Surrey-Centre"," 92","Surrey",22,2,4,0,0,85,47,0,3,163,427
59032,"Surrey Centre/Surrey-Centre"," 93","Surrey",28,0,2,0,1,33,35,11,0,110,346
59032,"Surrey Centre/Surrey-Centre"," 94","Surrey",45,2,0,0,3,79,41,7,2,179,575
59032,"Surrey Centre/Surrey-Centre"," 95","Surrey",21,0,0,0,1,26,25,5,2,80,282
59032,"Surrey Centre/Surrey-Centre"," 96","Surrey",26,1,3,0,0,72,62,4,1,169,518
59032,"Surrey Centre/Surrey-Centre"," 97","Surrey",11,0,1,0,0,74,51,4,1,142,402
59032,"Surrey Centre/Surrey-Centre"," 98","Surrey",18,0,0,0,0,47,35,1,1,102,328
59032,"Surrey Centre/Surrey-Centre"," 99","Surrey",36,0,2,0,1,46,37,8,2,132,396
59032,"Surrey Centre/Surrey-Centre"," 100","Surrey",32,1,3,0,2,27,33,12,0,110,390
59032,"Surrey Centre/Surrey-Centre"," 101","Surrey",24,0,4,1,2,53,43,13,0,140,460
59032,"Surrey Centre/Surrey-Centre"," 102","Surrey",48,1,7,1,3,44,60,15,3,182,509
59032,"Surrey Centre/Surrey-Centre"," 103","Surrey",33,0,2,1,0,36,33,9,0,114,311
59032,"Surrey Centre/Surrey-Centre"," 104","Surrey",51,0,4,0,1,44,33,8,1,142,397
59032,"Surrey Centre/Surrey-Centre"," 105","Surrey",19,0,3,0,0,33,32,8,1,96,314
59032,"Surrey Centre/Surrey-Centre"," 106","Surrey",43,3,6,1,1,32,45,12,0,143,439
59032,"Surrey Centre/Surrey-Centre"," 107","Surrey",27,0,5,0,0,67,51,9,2,161,348
59032,"Surrey Centre/Surrey-Centre"," 108","Surrey",56,1,3,0,8,63,40,10,1,182,566
59032,"Surrey Centre/Surrey-Centre"," 109","Surrey",56,2,4,0,1,85,59,17,0,224,742
59032,"Surrey Centre/Surrey-Centre"," 110","Surrey",42,2,6,2,2,72,52,14,6,198,452
59032,"Surrey Centre/Surrey-Centre"," 111","Surrey",35,0,0,1,1,60,41,8,2,148,395
59032,"Surrey Centre/Surrey-Centre"," 112","Surrey",36,0,2,0,2,51,46,14,0,151,638
59032,"Surrey Centre/Surrey-Centre"," 113","Surrey",28,0,5,1,0,85,55,4,5,183,571
59032,"Surrey Centre/Surrey-Centre"," 114","Surrey",32,4,0,0,0,66,41,5,7,155,433
59032,"Surrey Centre/Surrey-Centre"," 115","Surrey",50,2,3,0,7,75,68,11,5,221,497
59032,"Surrey Centre/Surrey-Centre"," 116","Surrey",22,0,0,0,2,29,25,4,0,82,302
59032,"Surrey Centre/Surrey-Centre"," 117","Surrey",41,3,6,0,3,53,60,18,1,185,536
59032,"Surrey Centre/Surrey-Centre"," 118","Surrey",24,2,1,0,1,38,44,4,3,117,460
59032,"Surrey Centre/Surrey-Centre"," 119","Surrey",34,0,5,0,1,96,69,5,1,211,567
59032,"Surrey Centre/Surrey-Centre"," 120","Surrey",28,1,0,0,1,61,69,8,1,169,366
59032,"Surrey Centre/Surrey-Centre"," 121","Surrey",26,2,4,0,0,39,33,5,0,109,468
59032,"Surrey Centre/Surrey-Centre"," 122","Surrey",21,1,3,0,1,60,44,13,1,144,393
59032,"Surrey Centre/Surrey-Centre"," 123","Surrey",28,0,1,1,3,72,42,11,4,162,461
59032,"Surrey Centre/Surrey-Centre"," 124","Surrey",21,3,3,0,0,92,65,3,0,187,423
59032,"Surrey Centre/Surrey-Centre"," 125","Surrey",36,0,2,1,0,76,42,6,0,163,480
59032,"Surrey Centre/Surrey-Centre"," 126","Surrey",27,0,4,1,0,98,40,2,0,172,497
59032,"Surrey Centre/Surrey-Centre"," 127","Surrey",60,1,1,0,2,72,45,12,1,194,596
59032,"Surrey Centre/Surrey-Centre"," 128","Surrey",31,1,0,0,1,57,56,7,1,154,505
59032,"Surrey Centre/Surrey-Centre"," 129","Surrey",34,1,3,0,1,66,53,13,0,171,537
59032,"Surrey Centre/Surrey-Centre"," 130","Surrey",41,0,1,0,0,73,59,14,0,188,543
59032,"Surrey Centre/Surrey-Centre"," 131","Surrey",30,2,1,1,1,66,44,3,0,148,423
59032,"Surrey Centre/Surrey-Centre"," 132","Surrey",27,2,1,0,1,79,44,5,0,159,468
59032,"Surrey Centre/Surrey-Centre"," 133","Surrey",15,0,3,0,1,70,29,1,0,119,364
59032,"Surrey Centre/Surrey-Centre"," 134","Surrey",35,0,1,0,2,63,41,9,0,151,413
59032,"Surrey Centre/Surrey-Centre"," 135","Surrey",32,2,2,0,0,74,46,3,0,159,410
59032,"Surrey Centre/Surrey-Centre"," 136","Surrey",24,0,0,0,0,74,28,2,0,128,353
59032,"Surrey Centre/Surrey-Centre"," 137","Surrey",41,2,5,0,3,59,53,16,2,181,591
59032,"Surrey Centre/Surrey-Centre"," 138","Surrey",44,1,3,0,3,28,27,14,1,121,404
59032,"Surrey Centre/Surrey-Centre"," 139","Surrey",70,1,0,1,1,34,24,11,8,150,420
59032,"Surrey Centre/Surrey-Centre"," 140","Surrey",42,0,0,2,4,41,20,10,1,120,419
59032,"Surrey Centre/Surrey-Centre"," 141","Surrey",82,1,6,0,10,72,69,14,2,256,702
59032,"Surrey Centre/Surrey-Centre"," 142","Surrey",55,3,4,2,3,37,15,8,3,130,453
59032,"Surrey Centre/Surrey-Centre"," 143","Surrey",85,0,5,0,2,73,61,21,3,250,663
59032,"Surrey Centre/Surrey-Centre"," 144","Surrey",56,1,1,0,1,32,44,20,1,156,403
59032,"Surrey Centre/Surrey-Centre"," 145","Surrey",30,2,0,1,2,64,38,7,0,144,466
59032,"Surrey Centre/Surrey-Centre"," 146","Surrey",21,0,2,1,0,58,47,7,2,138,433
59032,"Surrey Centre/Surrey-Centre"," 147","Surrey",23,1,1,0,1,85,55,3,1,170,446
59032,"Surrey Centre/Surrey-Centre"," 148","Surrey",17,0,0,1,0,48,53,2,0,121,315
59032,"Surrey Centre/Surrey-Centre"," 149","Surrey",45,1,4,0,1,103,75,1,0,230,485
59032,"Surrey Centre/Surrey-Centre"," 150","Surrey",21,1,0,0,0,35,30,1,0,88,252
59032,"Surrey Centre/Surrey-Centre"," 151","Surrey",39,2,2,0,1,100,56,8,1,209,496
59032,"Surrey Centre/Surrey-Centre"," 152","Surrey",43,0,2,0,0,103,87,8,3,246,585
59032,"Surrey Centre/Surrey-Centre"," 153","Surrey",52,1,0,2,0,86,59,3,0,203,606
59032,"Surrey Centre/Surrey-Centre"," 154","Surrey",25,0,2,0,1,32,26,10,0,96,318
59032,"Surrey Centre/Surrey-Centre"," 155","Surrey",19,0,0,0,1,55,36,6,2,119,443
59032,"Surrey Centre/Surrey-Centre"," 156","Surrey",29,1,2,0,0,88,53,4,3,180,502
59032,"Surrey Centre/Surrey-Centre"," 157","Surrey",22,0,0,0,0,84,48,2,3,159,357
59032,"Surrey Centre/Surrey-Centre"," 158","Surrey",33,0,3,1,1,69,44,9,4,164,417
59032,"Surrey Centre/Surrey-Centre"," 159","Surrey",33,0,0,1,1,59,58,15,1,168,415
59032,"Surrey Centre/Surrey-Centre"," 160","Surrey",50,0,2,0,2,75,52,12,3,196,397
59032,"Surrey Centre/Surrey-Centre"," 161","Surrey",32,1,5,0,0,99,34,3,4,178,385
59032,"Surrey Centre/Surrey-Centre"," 162","Surrey",50,1,0,0,2,98,66,10,6,233,501
59032,"Surrey Centre/Surrey-Centre"," 400","Surrey",22,0,0,0,0,14,12,4,0,52,178
59032,"Surrey Centre/Surrey-Centre"," 401","Surrey",17,0,3,0,1,20,20,6,3,70,202
59032,"Surrey Centre/Surrey-Centre"," 402","Surrey",17,1,2,0,0,26,28,6,2,82,305
59032,"Surrey Centre/Surrey-Centre"," 500","Mobile poll/Bureau itinérant",12,0,2,2,3,30,18,4,4,75,146
59032,"Surrey Centre/Surrey-Centre"," 501","Mobile poll/Bureau itinérant",24,2,2,0,0,28,18,6,5,85,152
59032,"Surrey Centre/Surrey-Centre"," 502","Mobile poll/Bureau itinérant",27,3,4,0,3,40,20,12,9,118,176
59032,"Surrey Centre/Surrey-Centre"," 600","Surrey",202,2,14,6,3,385,251,68,6,937,
59032,"Surrey Centre/Surrey-Centre"," 601","Surrey",211,6,14,3,4,265,171,58,12,744,
59032,"Surrey Centre/Surrey-Centre"," 602","Surrey",281,4,16,3,9,244,205,76,5,843,
59032,"Surrey Centre/Surrey-Centre"," 603","Surrey",336,3,20,4,21,212,169,65,17,847,
59032,"Surrey Centre/Surrey-Centre"," 604","Surrey",303,5,25,4,18,345,219,80,16,1015,
59032,"Surrey Centre/Surrey-Centre"," 605","Surrey",270,6,23,5,12,381,242,70,8,1017,
59032,"Surrey Centre/Surrey-Centre"," 606","Surrey",194,5,12,4,5,216,158,44,3,641,
59032,"Surrey Centre/Surrey-Centre"," 607","Surrey",234,5,22,4,6,363,223,41,17,915,
59032,"Surrey Centre/Surrey-Centre"," 608","Surrey",266,3,14,6,3,611,380,68,30,1381,
59032,"Surrey Centre/Surrey-Centre"," 609","Surrey",226,5,12,0,4,638,296,38,12,1231,
59032,"Surrey Centre/Surrey-Centre"," 610","Surrey",232,5,8,1,7,611,280,39,10,1193,
59032,"Surrey Centre/Surrey-Centre"," 611","Surrey",189,2,8,1,3,478,265,46,11,1003,
59032,"Surrey Centre/Surrey-Centre"," 612","Surrey",345,13,23,4,12,280,212,77,21,987,
59032,"Surrey Centre/Surrey-Centre",,Group 1/Groupe 1, 12,0,3,3,1,74,27,10,3,133,164
59032,"Surrey Centre/Surrey-Centre",,Group 2/Groupe 2, 279,15,17,4,10,470,370,78,18,1261,
