Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élisabeth Brière,Steve Côté,Pierre-Luc Dusseault,Claude Forgues,Edwin Moreno,Mathieu Morin,Hubert Richard,Dany Sévigny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Sherbrooke/Sherbrooke"," 24A","Sherbrooke",33,0,36,35,0,6,0,18,0,128,296
24073,"Sherbrooke/Sherbrooke"," 24B","Sherbrooke",32,0,32,19,0,3,0,16,3,105,295
24073,"Sherbrooke/Sherbrooke"," 25","Sherbrooke",22,0,30,40,0,6,0,29,1,128,395
24073,"Sherbrooke/Sherbrooke"," 26","Sherbrooke",37,0,34,41,1,5,0,27,5,150,466
24073,"Sherbrooke/Sherbrooke"," 27","Sherbrooke",26,0,52,66,4,5,0,26,4,183,441
24073,"Sherbrooke/Sherbrooke"," 28","Sherbrooke",35,0,33,48,1,8,1,20,7,153,390
24073,"Sherbrooke/Sherbrooke"," 29","Sherbrooke",46,1,36,33,1,8,1,16,1,143,374
24073,"Sherbrooke/Sherbrooke"," 30","Sherbrooke",45,0,57,51,2,4,0,3,2,164,366
24073,"Sherbrooke/Sherbrooke"," 31","Sherbrooke",35,0,49,41,5,6,0,19,5,160,400
24073,"Sherbrooke/Sherbrooke"," 32","Sherbrooke",32,1,44,34,1,9,0,17,1,139,395
24073,"Sherbrooke/Sherbrooke"," 33","Sherbrooke",40,0,55,47,2,8,0,27,4,183,431
24073,"Sherbrooke/Sherbrooke"," 34","Sherbrooke",29,0,36,37,0,8,1,9,3,123,412
24073,"Sherbrooke/Sherbrooke"," 35","Sherbrooke",23,0,35,38,0,7,0,12,3,118,345
24073,"Sherbrooke/Sherbrooke"," 36","Sherbrooke",27,0,41,23,5,7,1,11,4,119,376
24073,"Sherbrooke/Sherbrooke"," 37","Sherbrooke",33,1,42,36,1,4,0,14,2,133,365
24073,"Sherbrooke/Sherbrooke"," 38","Sherbrooke",10,1,38,34,1,3,1,16,2,106,361
24073,"Sherbrooke/Sherbrooke"," 39","Sherbrooke",32,2,34,42,0,6,1,14,2,133,430
24073,"Sherbrooke/Sherbrooke"," 40","Sherbrooke",22,1,30,29,0,4,1,14,1,102,360
24073,"Sherbrooke/Sherbrooke"," 41","Sherbrooke",29,0,35,30,0,6,0,11,0,111,356
24073,"Sherbrooke/Sherbrooke"," 42","Sherbrooke",72,1,40,27,0,10,0,23,1,174,443
24073,"Sherbrooke/Sherbrooke"," 43","Sherbrooke",64,0,45,43,1,10,0,4,1,168,406
24073,"Sherbrooke/Sherbrooke"," 44","Sherbrooke",38,0,56,27,1,7,1,9,0,139,356
24073,"Sherbrooke/Sherbrooke"," 45","Sherbrooke",64,0,42,38,0,7,0,19,0,170,422
24073,"Sherbrooke/Sherbrooke"," 46","Sherbrooke",44,0,64,40,1,9,0,9,1,168,387
24073,"Sherbrooke/Sherbrooke"," 47","Sherbrooke",68,0,97,75,0,7,0,47,0,294,482
24073,"Sherbrooke/Sherbrooke"," 48","Sherbrooke",49,0,73,68,0,5,0,37,0,232,427
24073,"Sherbrooke/Sherbrooke"," 49","Sherbrooke",67,0,67,59,0,10,0,32,2,237,439
24073,"Sherbrooke/Sherbrooke"," 50","Sherbrooke",36,0,49,72,3,7,2,18,5,192,382
24073,"Sherbrooke/Sherbrooke"," 51","Sherbrooke",43,1,51,43,1,6,0,28,1,174,384
24073,"Sherbrooke/Sherbrooke"," 52","Sherbrooke",71,0,64,58,0,7,0,16,1,217,437
24073,"Sherbrooke/Sherbrooke"," 53","Sherbrooke",50,0,65,62,1,9,0,31,1,219,427
24073,"Sherbrooke/Sherbrooke"," 54","Sherbrooke",55,0,51,52,0,11,0,22,3,194,405
24073,"Sherbrooke/Sherbrooke"," 55","Sherbrooke",62,0,74,56,0,5,0,29,2,228,428
24073,"Sherbrooke/Sherbrooke"," 56","Sherbrooke",57,1,61,77,1,7,1,24,3,232,432
24073,"Sherbrooke/Sherbrooke"," 57","Sherbrooke",73,0,71,62,2,6,1,27,6,248,479
24073,"Sherbrooke/Sherbrooke"," 58","Sherbrooke",33,1,50,25,0,11,0,7,1,128,405
24073,"Sherbrooke/Sherbrooke"," 59","Sherbrooke",15,0,57,36,1,11,0,12,1,133,424
24073,"Sherbrooke/Sherbrooke"," 60","Sherbrooke",32,0,22,42,2,2,0,13,0,113,398
24073,"Sherbrooke/Sherbrooke"," 61","Sherbrooke",17,0,42,26,3,5,1,7,3,104,367
24073,"Sherbrooke/Sherbrooke"," 62","Sherbrooke",22,0,38,22,0,6,2,11,5,106,386
24073,"Sherbrooke/Sherbrooke"," 63","Sherbrooke",23,0,49,26,1,11,0,7,5,122,447
24073,"Sherbrooke/Sherbrooke"," 64","Sherbrooke",20,0,48,20,0,8,1,11,2,110,441
