Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Crumplin,Chanel Lalonde,Paul Lefebvre,Beth Mairs,Sean Paterson,J. David Popescu,Pierre St-Amant,Charlene Sylvestre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"Sudbury/Sudbury"," 33","Greater Sudbury / Grand Sudbury",11,1,77,38,5,0,45,1,0,178,328
35103,"Sudbury/Sudbury"," 34","Greater Sudbury / Grand Sudbury",9,2,69,110,4,1,31,3,1,230,518
35103,"Sudbury/Sudbury"," 35","Greater Sudbury / Grand Sudbury",10,0,24,49,1,0,18,0,1,103,329
35103,"Sudbury/Sudbury"," 36","Greater Sudbury / Grand Sudbury",5,2,59,31,1,0,21,0,4,123,303
35103,"Sudbury/Sudbury"," 37","Greater Sudbury / Grand Sudbury",12,0,72,64,8,0,28,0,4,188,364
35103,"Sudbury/Sudbury"," 38","Greater Sudbury / Grand Sudbury",16,1,65,55,6,0,35,1,1,180,375
35103,"Sudbury/Sudbury"," 39","Greater Sudbury / Grand Sudbury",11,2,65,46,4,0,24,2,2,156,331
35103,"Sudbury/Sudbury"," 40","Greater Sudbury / Grand Sudbury",8,1,115,61,3,0,59,1,2,250,440
35103,"Sudbury/Sudbury"," 41","Greater Sudbury / Grand Sudbury",8,2,107,77,8,2,51,0,0,255,474
35103,"Sudbury/Sudbury"," 42","Greater Sudbury / Grand Sudbury",21,0,104,78,5,0,69,0,0,277,449
35103,"Sudbury/Sudbury"," 43","Greater Sudbury / Grand Sudbury",12,3,66,39,1,0,40,0,1,162,284
35103,"Sudbury/Sudbury"," 44","Greater Sudbury / Grand Sudbury",9,0,73,26,3,0,18,0,1,130,236
35103,"Sudbury/Sudbury"," 45","Greater Sudbury / Grand Sudbury",2,1,63,13,0,0,25,0,0,104,270
35103,"Sudbury/Sudbury"," 46","Greater Sudbury / Grand Sudbury",20,0,74,95,3,0,39,1,2,234,487
35103,"Sudbury/Sudbury"," 47","Greater Sudbury / Grand Sudbury",11,1,91,71,10,0,47,0,1,232,452
35103,"Sudbury/Sudbury"," 48","Greater Sudbury / Grand Sudbury",17,1,58,79,4,0,30,1,0,190,459
35103,"Sudbury/Sudbury"," 49","Greater Sudbury / Grand Sudbury",11,0,79,38,1,0,32,1,2,164,321
35103,"Sudbury/Sudbury"," 50","Greater Sudbury / Grand Sudbury",3,0,73,40,1,0,24,0,0,141,318
35103,"Sudbury/Sudbury"," 51","Greater Sudbury / Grand Sudbury",10,0,62,45,9,0,26,0,2,154,405
35103,"Sudbury/Sudbury"," 52","Greater Sudbury / Grand Sudbury",11,2,38,49,2,0,24,1,0,127,385
35103,"Sudbury/Sudbury"," 53","Greater Sudbury / Grand Sudbury",9,0,45,63,4,0,25,2,0,148,407
35103,"Sudbury/Sudbury"," 54","Greater Sudbury / Grand Sudbury",12,2,117,91,7,1,59,1,0,290,611
35103,"Sudbury/Sudbury"," 55","Greater Sudbury / Grand Sudbury",11,1,51,67,5,0,25,0,0,160,502
35103,"Sudbury/Sudbury"," 56","Greater Sudbury / Grand Sudbury",17,6,79,67,4,0,25,2,2,202,506
35103,"Sudbury/Sudbury"," 57","Greater Sudbury / Grand Sudbury",17,2,65,69,4,2,26,2,1,188,431
35103,"Sudbury/Sudbury"," 58","Greater Sudbury / Grand Sudbury",11,3,90,67,2,0,30,1,1,205,531
35103,"Sudbury/Sudbury"," 59","Greater Sudbury / Grand Sudbury",6,1,80,50,0,0,16,0,2,155,385
35103,"Sudbury/Sudbury"," 60","Greater Sudbury / Grand Sudbury",17,2,41,49,4,0,25,0,0,138,332
35103,"Sudbury/Sudbury"," 61","Greater Sudbury / Grand Sudbury",4,1,43,41,0,0,26,0,2,117,295
35103,"Sudbury/Sudbury"," 62","Greater Sudbury / Grand Sudbury",19,2,107,73,4,0,42,0,0,247,475
35103,"Sudbury/Sudbury"," 63","Greater Sudbury / Grand Sudbury",5,1,114,76,5,0,68,0,1,270,505
35103,"Sudbury/Sudbury"," 64","Greater Sudbury / Grand Sudbury",25,2,57,68,6,1,22,0,3,184,505
35103,"Sudbury/Sudbury"," 65","Greater Sudbury / Grand Sudbury",8,1,89,83,2,1,36,1,0,221,467
35103,"Sudbury/Sudbury"," 66","Greater Sudbury / Grand Sudbury",13,1,98,81,9,0,40,0,0,242,529
35103,"Sudbury/Sudbury"," 67","Greater Sudbury / Grand Sudbury",15,4,32,71,3,0,23,2,0,150,360
35103,"Sudbury/Sudbury"," 68","Greater Sudbury / Grand Sudbury",17,1,57,59,3,0,31,0,2,170,368
35103,"Sudbury/Sudbury"," 69","Greater Sudbury / Grand Sudbury",8,2,52,66,9,0,34,0,2,173,341
35103,"Sudbury/Sudbury"," 70","Greater Sudbury / Grand Sudbury",10,1,46,65,11,0,17,1,1,152,399
35103,"Sudbury/Sudbury"," 71","Greater Sudbury / Grand Sudbury",11,2,36,49,6,0,23,0,0,127,397
35103,"Sudbury/Sudbury"," 72","Greater Sudbury / Grand Sudbury",9,2,48,56,6,0,29,3,3,156,407
35103,"Sudbury/Sudbury"," 73","Greater Sudbury / Grand Sudbury",19,2,71,74,6,0,18,0,1,191,352
35103,"Sudbury/Sudbury"," 74","Greater Sudbury / Grand Sudbury",13,1,61,73,4,0,28,1,1,182,484
35103,"Sudbury/Sudbury"," 75","Greater Sudbury / Grand Sudbury",10,0,81,66,0,0,15,0,0,172,354
35103,"Sudbury/Sudbury"," 76","Greater Sudbury / Grand Sudbury",13,4,45,55,2,0,25,0,0,144,332
35103,"Sudbury/Sudbury"," 77","Greater Sudbury / Grand Sudbury",10,3,38,61,1,0,21,0,0,134,360
35103,"Sudbury/Sudbury"," 78","Greater Sudbury / Grand Sudbury",8,4,66,63,3,0,25,1,3,173,343
35103,"Sudbury/Sudbury"," 79","Greater Sudbury / Grand Sudbury",15,2,49,49,2,0,13,2,0,132,463
35103,"Sudbury/Sudbury"," 80","Greater Sudbury / Grand Sudbury",14,1,56,87,7,0,31,0,1,197,451
35103,"Sudbury/Sudbury"," 81","Greater Sudbury / Grand Sudbury",24,1,70,61,2,0,30,0,2,190,395
35103,"Sudbury/Sudbury"," 82","Greater Sudbury / Grand Sudbury",13,1,48,53,6,0,32,2,0,155,374
35103,"Sudbury/Sudbury"," 83","Greater Sudbury / Grand Sudbury",10,0,46,79,2,0,17,0,0,154,408
35103,"Sudbury/Sudbury"," 84","Greater Sudbury / Grand Sudbury",11,2,50,88,11,1,20,0,0,183,461
35103,"Sudbury/Sudbury"," 85","Greater Sudbury / Grand Sudbury",14,1,85,103,9,0,30,0,0,242,527
35103,"Sudbury/Sudbury"," 86","Greater Sudbury / Grand Sudbury",12,1,119,47,6,0,60,0,0,245,419
35103,"Sudbury/Sudbury"," 87","Greater Sudbury / Grand Sudbury",11,0,100,84,4,1,41,3,0,244,442
35103,"Sudbury/Sudbury"," 88","Greater Sudbury / Grand Sudbury",12,0,87,65,5,0,58,0,2,229,450
35103,"Sudbury/Sudbury"," 89","Greater Sudbury / Grand Sudbury",16,2,76,71,4,1,35,1,1,207,444
35103,"Sudbury/Sudbury"," 90","Greater Sudbury / Grand Sudbury",6,1,96,36,3,0,77,0,2,221,410
35103,"Sudbury/Sudbury"," 91","Greater Sudbury / Grand Sudbury",10,3,56,105,4,0,27,0,0,205,434
35103,"Sudbury/Sudbury"," 92","Greater Sudbury / Grand Sudbury",15,1,66,92,3,0,23,0,0,200,390
35103,"Sudbury/Sudbury"," 93","Greater Sudbury / Grand Sudbury",16,1,66,58,5,0,18,0,1,165,429
35103,"Sudbury/Sudbury"," 94","Greater Sudbury / Grand Sudbury",19,2,93,85,14,1,19,1,0,234,468
35103,"Sudbury/Sudbury"," 95","Greater Sudbury / Grand Sudbury",21,2,61,75,7,0,33,0,0,199,421
35103,"Sudbury/Sudbury"," 96","Greater Sudbury / Grand Sudbury",9,1,79,64,6,0,19,1,1,180,414
35103,"Sudbury/Sudbury"," 97","Greater Sudbury / Grand Sudbury",15,2,61,93,8,0,33,1,1,214,404
35103,"Sudbury/Sudbury"," 98","Greater Sudbury / Grand Sudbury",17,2,90,69,5,0,30,0,1,214,436
35103,"Sudbury/Sudbury"," 99","Greater Sudbury / Grand Sudbury",10,1,83,78,2,0,27,3,0,204,460
35103,"Sudbury/Sudbury"," 100","Greater Sudbury / Grand Sudbury",9,2,63,62,8,1,22,2,0,169,320
35103,"Sudbury/Sudbury"," 101","Greater Sudbury / Grand Sudbury",16,1,54,90,6,1,25,1,0,194,356
35103,"Sudbury/Sudbury"," 102","Greater Sudbury / Grand Sudbury",24,0,77,52,0,0,39,0,1,193,350
35103,"Sudbury/Sudbury"," 103","Greater Sudbury / Grand Sudbury",24,0,90,69,4,0,24,2,0,213,393
35103,"Sudbury/Sudbury"," 104","Greater Sudbury / Grand Sudbury",25,0,86,35,2,0,53,0,4,205,395
35103,"Sudbury/Sudbury"," 105","Greater Sudbury / Grand Sudbury",16,0,83,78,1,0,35,0,2,215,414
35103,"Sudbury/Sudbury"," 106","Greater Sudbury / Grand Sudbury",18,2,60,59,3,1,35,0,3,181,417
35103,"Sudbury/Sudbury"," 107","Greater Sudbury / Grand Sudbury",12,2,82,63,7,1,57,0,4,228,393
35103,"Sudbury/Sudbury"," 108","Greater Sudbury / Grand Sudbury",11,2,131,98,2,0,51,0,4,299,488
35103,"Sudbury/Sudbury"," 109","Greater Sudbury / Grand Sudbury",19,0,107,73,8,0,59,4,1,271,458
35103,"Sudbury/Sudbury"," 110","Greater Sudbury / Grand Sudbury",14,1,42,48,3,0,23,1,3,135,309
35103,"Sudbury/Sudbury"," 111","Greater Sudbury / Grand Sudbury",8,5,53,45,10,0,22,0,0,143,351
35103,"Sudbury/Sudbury"," 112","Greater Sudbury / Grand Sudbury",19,2,76,100,9,1,31,1,2,241,508
35103,"Sudbury/Sudbury"," 113","Greater Sudbury / Grand Sudbury",21,2,85,109,5,0,27,0,2,251,496
35103,"Sudbury/Sudbury"," 114","Greater Sudbury / Grand Sudbury",13,1,53,74,5,0,27,0,4,177,316
35103,"Sudbury/Sudbury"," 115","Greater Sudbury / Grand Sudbury",15,1,55,57,2,0,20,0,1,151,328
35103,"Sudbury/Sudbury"," 116","Greater Sudbury / Grand Sudbury",23,1,96,61,5,0,28,1,2,217,421
35103,"Sudbury/Sudbury"," 117","Greater Sudbury / Grand Sudbury",21,0,62,70,6,0,20,1,2,182,375
35103,"Sudbury/Sudbury"," 118","Greater Sudbury / Grand Sudbury",22,0,85,34,4,0,28,0,0,173,289
35103,"Sudbury/Sudbury"," 119","Greater Sudbury / Grand Sudbury",15,2,101,34,1,0,90,0,1,244,463
35103,"Sudbury/Sudbury"," 120","Greater Sudbury / Grand Sudbury",17,2,112,20,1,0,75,0,0,227,436
35103,"Sudbury/Sudbury"," 121","Greater Sudbury / Grand Sudbury",7,1,63,66,5,1,45,0,0,188,385
35103,"Sudbury/Sudbury"," 122","Greater Sudbury / Grand Sudbury",14,1,62,80,5,1,38,0,1,202,394
35103,"Sudbury/Sudbury"," 123","Greater Sudbury / Grand Sudbury",17,1,65,82,5,0,29,0,0,199,316
35103,"Sudbury/Sudbury"," 124","Greater Sudbury / Grand Sudbury",11,1,50,81,0,0,32,0,1,176,364
35103,"Sudbury/Sudbury"," 125","Greater Sudbury / Grand Sudbury",23,2,65,64,2,0,31,2,1,190,385
35103,"Sudbury/Sudbury"," 126","Greater Sudbury / Grand Sudbury",12,0,84,66,5,0,41,0,2,210,402
35103,"Sudbury/Sudbury"," 127","Greater Sudbury / Grand Sudbury",12,2,119,55,2,1,110,1,1,303,498
35103,"Sudbury/Sudbury"," 128","Greater Sudbury / Grand Sudbury",11,0,114,60,2,1,45,0,5,238,408
35103,"Sudbury/Sudbury"," 129","Greater Sudbury / Grand Sudbury",13,2,94,61,7,1,51,1,2,232,452
35103,"Sudbury/Sudbury"," 130A","Greater Sudbury / Grand Sudbury",10,0,74,42,7,0,37,0,1,171,341
35103,"Sudbury/Sudbury"," 130B","Greater Sudbury / Grand Sudbury",4,1,102,51,3,1,44,1,3,210,412
35103,"Sudbury/Sudbury"," 131","Greater Sudbury / Grand Sudbury",15,3,100,73,3,0,73,0,0,267,453
35103,"Sudbury/Sudbury"," 132","Greater Sudbury / Grand Sudbury",13,0,87,44,1,0,69,1,0,215,478
35103,"Sudbury/Sudbury"," 133","Greater Sudbury / Grand Sudbury",13,0,101,58,5,0,44,0,0,221,422
35103,"Sudbury/Sudbury"," 134","Greater Sudbury / Grand Sudbury",22,0,76,100,11,1,24,1,5,240,425
35103,"Sudbury/Sudbury"," 135","Greater Sudbury / Grand Sudbury",5,1,50,35,1,0,27,1,0,120,295
35103,"Sudbury/Sudbury"," 136","Greater Sudbury / Grand Sudbury",15,2,103,72,0,0,70,0,3,265,521
35103,"Sudbury/Sudbury"," 137","Greater Sudbury / Grand Sudbury",19,1,108,70,2,0,75,0,1,276,553
35103,"Sudbury/Sudbury"," 138","Greater Sudbury / Grand Sudbury",23,1,113,88,2,0,40,0,1,268,504
35103,"Sudbury/Sudbury"," 139","Greater Sudbury / Grand Sudbury",11,1,104,42,2,1,61,0,0,222,393
35103,"Sudbury/Sudbury"," 140","Greater Sudbury / Grand Sudbury",13,1,119,42,4,0,65,2,0,246,421
35103,"Sudbury/Sudbury"," 141","Greater Sudbury / Grand Sudbury",11,0,103,41,4,0,95,0,5,259,446
35103,"Sudbury/Sudbury"," 142","Greater Sudbury / Grand Sudbury",13,1,90,26,3,0,66,0,0,199,336
35103,"Sudbury/Sudbury"," 143","Greater Sudbury / Grand Sudbury",27,0,109,43,2,1,77,0,1,260,454
35103,"Sudbury/Sudbury"," 144","Greater Sudbury / Grand Sudbury",23,1,105,47,2,0,35,0,0,213,333
35103,"Sudbury/Sudbury"," 145","Greater Sudbury / Grand Sudbury",25,0,133,44,2,1,60,1,0,266,459
35103,"Sudbury/Sudbury"," 146","Greater Sudbury / Grand Sudbury",23,1,100,54,3,0,61,0,2,244,401
35103,"Sudbury/Sudbury"," 147","Greater Sudbury / Grand Sudbury",18,1,131,66,6,0,61,1,0,284,438
35103,"Sudbury/Sudbury"," 148","Greater Sudbury / Grand Sudbury",13,1,112,63,5,0,73,2,2,271,382
35103,"Sudbury/Sudbury"," 149","Greater Sudbury / Grand Sudbury",21,0,90,55,5,1,104,2,1,279,497
35103,"Sudbury/Sudbury"," 150","Greater Sudbury / Grand Sudbury",17,1,76,72,3,0,63,0,1,233,539
35103,"Sudbury/Sudbury"," 151","Greater Sudbury / Grand Sudbury",16,1,72,68,1,1,61,0,1,221,420
35103,"Sudbury/Sudbury"," 152","Greater Sudbury / Grand Sudbury",19,0,95,64,2,0,76,1,0,257,466
35103,"Sudbury/Sudbury"," 153","Greater Sudbury / Grand Sudbury",14,1,106,74,1,0,60,2,1,259,451
35103,"Sudbury/Sudbury"," 154","Greater Sudbury / Grand Sudbury",19,0,95,51,0,0,53,1,1,220,391
35103,"Sudbury/Sudbury"," 155","Greater Sudbury / Grand Sudbury",17,0,50,76,4,0,73,1,0,221,399
35103,"Sudbury/Sudbury"," 156","Greater Sudbury / Grand Sudbury",9,0,84,48,1,0,73,0,0,215,413
35103,"Sudbury/Sudbury"," 157","Greater Sudbury / Grand Sudbury",15,1,58,91,6,0,60,1,3,235,456
35103,"Sudbury/Sudbury"," 158","Greater Sudbury / Grand Sudbury",14,3,66,95,9,0,90,1,1,279,480
35103,"Sudbury/Sudbury"," 159","Greater Sudbury / Grand Sudbury",11,2,36,51,1,0,24,0,1,126,274
35103,"Sudbury/Sudbury"," 160","Greater Sudbury / Grand Sudbury",23,0,126,116,4,0,98,0,1,368,702
35103,"Sudbury/Sudbury"," 161","Greater Sudbury / Grand Sudbury",10,4,82,85,3,0,60,1,3,248,450
35103,"Sudbury/Sudbury"," 162","Greater Sudbury / Grand Sudbury",17,1,79,80,4,0,76,0,0,257,444
35103,"Sudbury/Sudbury"," 163","Greater Sudbury / Grand Sudbury",21,0,69,54,4,0,61,0,0,209,399
35103,"Sudbury/Sudbury"," 164","Greater Sudbury / Grand Sudbury",8,0,47,42,8,0,45,2,0,152,339
35103,"Sudbury/Sudbury"," 165","Greater Sudbury / Grand Sudbury",9,1,36,51,1,0,44,1,0,143,275
35103,"Sudbury/Sudbury"," 166","Greater Sudbury / Grand Sudbury",9,4,45,67,3,1,68,0,0,197,403
35103,"Sudbury/Sudbury"," 167","Greater Sudbury / Grand Sudbury",18,1,50,61,4,1,48,1,0,184,382
35103,"Sudbury/Sudbury"," 168","Greater Sudbury / Grand Sudbury",9,2,70,86,10,0,68,3,0,248,452
35103,"Sudbury/Sudbury"," 400","Greater Sudbury / Grand Sudbury",3,0,28,35,1,0,12,0,0,79,182
35103,"Sudbury/Sudbury"," 401","Greater Sudbury / Grand Sudbury",3,0,22,28,2,0,7,0,0,62,192
35103,"Sudbury/Sudbury"," 402","Greater Sudbury / Grand Sudbury",5,4,75,36,0,2,12,3,0,137,428
35103,"Sudbury/Sudbury"," 403","Greater Sudbury / Grand Sudbury",3,5,42,18,2,1,9,1,1,82,228
35103,"Sudbury/Sudbury"," 404","Greater Sudbury / Grand Sudbury",2,0,15,20,1,1,4,0,0,43,219
35103,"Sudbury/Sudbury"," 405","Greater Sudbury / Grand Sudbury",7,1,44,82,4,0,24,0,0,162,446
35103,"Sudbury/Sudbury"," 406","Greater Sudbury / Grand Sudbury",9,1,53,22,0,1,21,0,2,109,155
35103,"Sudbury/Sudbury"," 407","Greater Sudbury / Grand Sudbury",1,0,59,26,0,1,9,0,0,96,152
35103,"Sudbury/Sudbury"," 408","Greater Sudbury / Grand Sudbury",10,1,51,22,1,1,8,0,1,95,138
35103,"Sudbury/Sudbury"," 409","Greater Sudbury / Grand Sudbury",3,1,44,18,3,2,14,2,4,91,294
35103,"Sudbury/Sudbury"," 410","Greater Sudbury / Grand Sudbury",16,0,47,77,1,0,23,0,1,165,208
35103,"Sudbury/Sudbury"," 411","Greater Sudbury / Grand Sudbury",5,0,36,22,0,0,16,0,1,80,123
35103,"Sudbury/Sudbury"," 412","Greater Sudbury / Grand Sudbury",6,1,53,44,0,0,17,0,0,121,146
35103,"Sudbury/Sudbury"," 413","Greater Sudbury / Grand Sudbury",6,1,22,23,1,0,15,0,0,68,166
35103,"Sudbury/Sudbury"," 414","Greater Sudbury / Grand Sudbury",9,0,38,20,1,0,8,0,0,76,142
35103,"Sudbury/Sudbury"," 415","Greater Sudbury / Grand Sudbury",9,1,56,28,2,1,28,0,0,125,168
35103,"Sudbury/Sudbury"," 416","Greater Sudbury / Grand Sudbury",6,2,26,46,3,0,9,0,0,92,276
35103,"Sudbury/Sudbury"," 417","Greater Sudbury / Grand Sudbury",5,2,73,21,1,0,29,0,4,135,161
35103,"Sudbury/Sudbury"," 418","Greater Sudbury / Grand Sudbury",4,1,68,27,2,2,16,1,3,124,180
35103,"Sudbury/Sudbury"," 500","Mobile poll/Bureau itinérant",9,1,78,10,4,0,13,1,7,123,156
35103,"Sudbury/Sudbury"," 501","Mobile poll/Bureau itinérant",5,1,101,17,2,0,12,1,13,152,230
35103,"Sudbury/Sudbury"," 502","Mobile poll/Bureau itinérant",10,4,97,42,3,1,31,3,3,194,340
35103,"Sudbury/Sudbury"," 503","Mobile poll/Bureau itinérant",4,0,29,9,0,0,10,0,0,52,85
35103,"Sudbury/Sudbury"," 504","Mobile poll/Bureau itinérant",3,0,36,11,1,0,6,1,11,69,138
35103,"Sudbury/Sudbury"," 505","Mobile poll/Bureau itinérant",5,1,49,13,2,1,19,0,7,97,147
35103,"Sudbury/Sudbury"," 506","Mobile poll/Bureau itinérant",10,0,71,9,3,2,18,1,10,124,190
35103,"Sudbury/Sudbury"," 600","Greater Sudbury / Grand Sudbury",44,7,227,193,12,2,81,2,5,573,
35103,"Sudbury/Sudbury"," 601","Greater Sudbury / Grand Sudbury",54,3,482,159,14,0,156,3,5,876,
35103,"Sudbury/Sudbury"," 602","Greater Sudbury / Grand Sudbury",40,1,396,162,11,1,206,2,10,829,
35103,"Sudbury/Sudbury"," 603","Greater Sudbury / Grand Sudbury",47,7,527,187,14,1,230,2,4,1019,
35103,"Sudbury/Sudbury"," 604","Greater Sudbury / Grand Sudbury",53,2,420,202,12,0,180,1,5,875,
35103,"Sudbury/Sudbury"," 605","Greater Sudbury / Grand Sudbury",52,4,393,92,17,0,218,0,0,776,
35103,"Sudbury/Sudbury"," 606","Greater Sudbury / Grand Sudbury",54,5,226,132,9,2,90,3,7,528,
35103,"Sudbury/Sudbury"," 607","Greater Sudbury / Grand Sudbury",69,4,360,166,11,0,117,0,5,732,
35103,"Sudbury/Sudbury"," 608","Greater Sudbury / Grand Sudbury",65,3,397,120,10,3,216,1,2,817,
35103,"Sudbury/Sudbury"," 609","Greater Sudbury / Grand Sudbury",50,6,199,198,9,1,89,1,0,553,
35103,"Sudbury/Sudbury"," 610","Greater Sudbury / Grand Sudbury",65,2,357,185,10,1,207,0,5,832,
35103,"Sudbury/Sudbury"," 611","Greater Sudbury / Grand Sudbury",71,3,325,267,11,2,294,2,2,977,
35103,"Sudbury/Sudbury",,Group 1/Groupe 1, 10,1,57,18,2,0,9,0,6,103,133
35103,"Sudbury/Sudbury",,Group 2/Groupe 2, 93,7,467,282,16,2,173,3,18,1061,
