Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carter Antoine,Connor Moen,Ryan Schultz,Cathay Wagantall,Stacey Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 48B","Wadena",19,3,3,88,1,1,115,241
47014,"Yorkton--Melville/Yorkton--Melville"," 49","Wadena",21,4,0,107,3,0,135,270
47014,"Yorkton--Melville/Yorkton--Melville"," 50","Swan Plain",1,1,0,52,0,0,54,148
47014,"Yorkton--Melville/Yorkton--Melville"," 51","Swan Plain",4,1,3,95,4,0,107,150
47014,"Yorkton--Melville/Yorkton--Melville"," 52","Kuroki",13,8,3,117,1,0,142,239
47014,"Yorkton--Melville/Yorkton--Melville"," 53","Hazel Dell",4,2,4,128,1,0,139,237
47014,"Yorkton--Melville/Yorkton--Melville"," 54","Margo",5,0,3,105,3,2,118,170
47014,"Yorkton--Melville/Yorkton--Melville"," 55","Arran",7,4,6,80,1,1,99,197
47014,"Yorkton--Melville/Yorkton--Melville"," 56","Fishing Lake 89",78,50,3,3,2,3,139,215
47014,"Yorkton--Melville/Yorkton--Melville"," 57","Preeceville",16,6,5,100,2,4,133,316
47014,"Yorkton--Melville/Yorkton--Melville"," 58","Preeceville",15,7,1,84,2,2,111,244
47014,"Yorkton--Melville/Yorkton--Melville"," 59","Preeceville",16,7,2,71,3,0,99,269
47014,"Yorkton--Melville/Yorkton--Melville"," 60","Preeceville",8,8,9,104,4,1,134,261
47014,"Yorkton--Melville/Yorkton--Melville"," 61","Sturgis",27,8,8,82,1,3,129,212
47014,"Yorkton--Melville/Yorkton--Melville"," 62","Sturgis",27,4,4,106,0,0,141,241
47014,"Yorkton--Melville/Yorkton--Melville"," 63","Sturgis",27,8,5,146,8,0,194,318
47014,"Yorkton--Melville/Yorkton--Melville"," 64","Invermay",3,0,3,89,2,1,98,135
47014,"Yorkton--Melville/Yorkton--Melville"," 65","Invermay",6,8,1,90,1,0,106,188
47014,"Yorkton--Melville/Yorkton--Melville"," 66","Hyas",8,4,1,89,1,1,104,249
47014,"Yorkton--Melville/Yorkton--Melville"," 67","Rama",11,9,4,100,2,2,128,177
47014,"Yorkton--Melville/Yorkton--Melville"," 68","Norquay",19,5,3,106,1,3,137,393
47014,"Yorkton--Melville/Yorkton--Melville"," 69","Norquay",5,0,0,60,0,0,65,145
47014,"Yorkton--Melville/Yorkton--Melville"," 70","Pelly",22,15,3,144,6,4,194,322
47014,"Yorkton--Melville/Yorkton--Melville"," 71","The Key 65",20,35,1,3,3,0,62,77
47014,"Yorkton--Melville/Yorkton--Melville"," 72","Buchanan",14,15,15,161,4,1,210,339
47014,"Yorkton--Melville/Yorkton--Melville"," 73","Foam Lake",13,8,3,171,4,1,200,317
47014,"Yorkton--Melville/Yorkton--Melville"," 74","Foam Lake",15,11,14,105,4,1,150,272
47014,"Yorkton--Melville/Yorkton--Melville"," 75","Foam Lake",10,5,4,105,1,1,126,305
47014,"Yorkton--Melville/Yorkton--Melville"," 76","Foam Lake",14,7,2,150,6,0,179,335
47014,"Yorkton--Melville/Yorkton--Melville"," 77","Foam Lake",2,3,1,79,3,0,88,173
47014,"Yorkton--Melville/Yorkton--Melville"," 78","Sheho",4,4,1,136,5,2,152,240
47014,"Yorkton--Melville/Yorkton--Melville"," 79","Keeseekoose 66",85,82,1,3,0,0,171,396
47014,"Yorkton--Melville/Yorkton--Melville"," 80","Canora",12,11,5,125,5,1,159,362
47014,"Yorkton--Melville/Yorkton--Melville"," 81","Veregin",15,1,1,76,4,0,97,203
47014,"Yorkton--Melville/Yorkton--Melville"," 82","Canora",17,4,4,110,4,1,140,240
47014,"Yorkton--Melville/Yorkton--Melville"," 83","Canora",25,10,5,131,10,2,183,357
47014,"Yorkton--Melville/Yorkton--Melville"," 84","Canora",16,9,3,61,5,0,94,211
47014,"Yorkton--Melville/Yorkton--Melville"," 85","Canora",19,6,1,111,1,0,138,282
47014,"Yorkton--Melville/Yorkton--Melville"," 86","Canora",15,5,3,135,15,2,175,397
47014,"Yorkton--Melville/Yorkton--Melville"," 87","Sunnyside--Canora Beach",8,0,1,118,4,1,132,299
47014,"Yorkton--Melville/Yorkton--Melville"," 88","Cote 64",117,96,0,6,2,0,221,347
47014,"Yorkton--Melville/Yorkton--Melville"," 89","Theodore",12,5,4,73,4,4,102,159
47014,"Yorkton--Melville/Yorkton--Melville"," 90","Theodore",13,10,7,122,10,3,165,291
47014,"Yorkton--Melville/Yorkton--Melville"," 91","Kamsack",9,12,0,56,1,0,78,239
47014,"Yorkton--Melville/Yorkton--Melville"," 92","Kamsack",22,14,2,72,5,1,116,267
47014,"Yorkton--Melville/Yorkton--Melville"," 93","Kamsack",27,11,6,60,5,1,110,258
47014,"Yorkton--Melville/Yorkton--Melville"," 94","Kamsack",18,9,2,96,4,0,129,272
47014,"Yorkton--Melville/Yorkton--Melville"," 95","Kamsack",22,10,1,66,3,1,103,233
47014,"Yorkton--Melville/Yorkton--Melville"," 96","Kamsack",12,5,1,69,1,0,88,240
47014,"Yorkton--Melville/Yorkton--Melville"," 97","Kamsack",17,10,4,109,8,0,148,294
47014,"Yorkton--Melville/Yorkton--Melville"," 98","Springside",14,9,7,159,7,2,198,302
47014,"Yorkton--Melville/Yorkton--Melville"," 99","Springside",16,19,13,203,7,7,265,408
47014,"Yorkton--Melville/Yorkton--Melville"," 100","Rhein",13,5,3,151,3,0,175,271
47014,"Yorkton--Melville/Yorkton--Melville"," 101","Jedburgh",9,3,7,119,4,0,142,199
47014,"Yorkton--Melville/Yorkton--Melville"," 102","Togo",6,7,1,100,4,0,118,211
47014,"Yorkton--Melville/Yorkton--Melville"," 103","Ebenezer",13,3,3,148,6,1,174,271
47014,"Yorkton--Melville/Yorkton--Melville"," 104","Yorkton",18,7,4,148,6,0,183,354
47014,"Yorkton--Melville/Yorkton--Melville"," 105","Yorkton",19,20,4,134,16,0,193,402
47014,"Yorkton--Melville/Yorkton--Melville"," 106","Yorkton",50,16,4,119,9,1,199,419
47014,"Yorkton--Melville/Yorkton--Melville"," 107","Yorkton",40,22,8,98,4,1,173,385
47014,"Yorkton--Melville/Yorkton--Melville"," 108","Yorkton",26,14,4,132,5,1,182,339
47014,"Yorkton--Melville/Yorkton--Melville"," 109","Yorkton",35,21,2,112,4,0,174,373
47014,"Yorkton--Melville/Yorkton--Melville"," 110","Yorkton",48,19,3,116,7,0,193,403
47014,"Yorkton--Melville/Yorkton--Melville"," 111","Yorkton",39,10,4,142,3,2,200,363
47014,"Yorkton--Melville/Yorkton--Melville"," 112","Yorkton",28,24,1,151,9,0,213,421
47014,"Yorkton--Melville/Yorkton--Melville"," 113","Yorkton",27,18,6,169,7,1,228,384
47014,"Yorkton--Melville/Yorkton--Melville"," 114","Yorkton",39,15,5,132,4,5,200,399
47014,"Yorkton--Melville/Yorkton--Melville"," 115","Yorkton",30,18,4,134,5,0,191,468
47014,"Yorkton--Melville/Yorkton--Melville"," 116","Yorkton",39,20,9,141,6,2,217,412
47014,"Yorkton--Melville/Yorkton--Melville"," 117","Yorkton",29,14,7,120,8,1,179,371
47014,"Yorkton--Melville/Yorkton--Melville"," 118","Yorkton",41,10,7,124,4,1,187,376
47014,"Yorkton--Melville/Yorkton--Melville"," 119","Yorkton",29,10,2,103,4,1,149,364
47014,"Yorkton--Melville/Yorkton--Melville"," 120","Yorkton",49,16,4,118,13,1,201,474
47014,"Yorkton--Melville/Yorkton--Melville"," 121","Yorkton",36,13,3,126,4,0,182,368
47014,"Yorkton--Melville/Yorkton--Melville"," 122A","Yorkton",Merged with No./Fusionné avec le n°121,,,,,,,93
47014,"Yorkton--Melville/Yorkton--Melville"," 122B","Yorkton",47,18,4,145,6,1,221,448
47014,"Yorkton--Melville/Yorkton--Melville"," 123","Yorkton",56,29,5,156,9,2,257,482
47014,"Yorkton--Melville/Yorkton--Melville"," 124","Yorkton",49,33,3,143,7,0,235,471
47014,"Yorkton--Melville/Yorkton--Melville"," 125","Yorkton",24,21,1,103,6,3,158,345
47014,"Yorkton--Melville/Yorkton--Melville"," 126","Yorkton",16,15,1,112,3,0,147,332
47014,"Yorkton--Melville/Yorkton--Melville"," 127","Yorkton",16,13,2,67,6,2,106,333
47014,"Yorkton--Melville/Yorkton--Melville"," 128A","Yorkton",16,14,3,119,4,1,157,162
47014,"Yorkton--Melville/Yorkton--Melville"," 128B","Yorkton",27,13,4,166,2,0,212,374
47014,"Yorkton--Melville/Yorkton--Melville"," 129A","Yorkton",Merged with No./Fusionné avec le n°128A,,,,,,,130
47014,"Yorkton--Melville/Yorkton--Melville"," 129B","Yorkton",22,13,1,176,7,2,221,390
47014,"Yorkton--Melville/Yorkton--Melville"," 130","Yorkton",19,14,2,193,7,1,236,399
47014,"Yorkton--Melville/Yorkton--Melville"," 131","Yorkton",25,9,1,178,0,1,214,417
47014,"Yorkton--Melville/Yorkton--Melville"," 132","Yorkton",44,31,4,115,11,1,206,363
47014,"Yorkton--Melville/Yorkton--Melville"," 133","Yorkton",41,32,7,139,5,7,231,363
47014,"Yorkton--Melville/Yorkton--Melville"," 134","Willowbrook",10,5,5,98,8,0,126,183
47014,"Yorkton--Melville/Yorkton--Melville"," 135","Fenwood",4,8,1,136,2,0,151,275
47014,"Yorkton--Melville/Yorkton--Melville"," 136","Tonkin",15,4,11,138,6,0,174,252
47014,"Yorkton--Melville/Yorkton--Melville"," 137","Wroxton",13,2,4,131,2,0,152,197
47014,"Yorkton--Melville/Yorkton--Melville"," 138","Yorkton",14,11,3,190,3,2,223,414
47014,"Yorkton--Melville/Yorkton--Melville"," 139","Yorkton",31,10,9,126,3,4,183,393
47014,"Yorkton--Melville/Yorkton--Melville"," 140","York Lake",18,10,4,172,5,0,209,359
47014,"Yorkton--Melville/Yorkton--Melville"," 141","Otthon",17,2,1,96,1,0,117,234
47014,"Yorkton--Melville/Yorkton--Melville"," 142","Calder",10,3,4,95,5,1,118,185
47014,"Yorkton--Melville/Yorkton--Melville"," 143","Saltcoats",8,5,3,167,0,1,184,289
47014,"Yorkton--Melville/Yorkton--Melville"," 144","Saltcoats",26,12,8,179,4,2,231,373
47014,"Yorkton--Melville/Yorkton--Melville"," 145","Melville",36,14,3,146,4,4,207,439
47014,"Yorkton--Melville/Yorkton--Melville"," 146","MacNutt",7,5,5,119,2,0,138,206
47014,"Yorkton--Melville/Yorkton--Melville"," 147","Melville",20,2,4,180,4,0,210,359
47014,"Yorkton--Melville/Yorkton--Melville"," 148","Melville",15,10,2,110,5,2,144,297
47014,"Yorkton--Melville/Yorkton--Melville"," 149","Melville",30,10,1,132,8,3,184,373
47014,"Yorkton--Melville/Yorkton--Melville"," 150","Melville",24,17,1,124,6,3,175,442
47014,"Yorkton--Melville/Yorkton--Melville"," 151","Melville",23,8,4,99,3,1,138,327
47014,"Yorkton--Melville/Yorkton--Melville"," 152","Melville",24,8,4,75,4,0,115,220
47014,"Yorkton--Melville/Yorkton--Melville"," 153","Melville",21,8,6,105,2,1,143,306
47014,"Yorkton--Melville/Yorkton--Melville"," 154","Melville",38,19,7,130,7,2,203,443
47014,"Yorkton--Melville/Yorkton--Melville"," 155","Melville",13,7,1,122,3,3,149,340
47014,"Yorkton--Melville/Yorkton--Melville"," 156","Melville",26,9,4,123,5,2,169,361
47014,"Yorkton--Melville/Yorkton--Melville"," 157","Duff",8,5,4,67,0,0,84,136
47014,"Yorkton--Melville/Yorkton--Melville"," 158","Bredenbury",9,3,2,100,1,0,115,253
47014,"Yorkton--Melville/Yorkton--Melville"," 159","Bredenbury",4,2,8,106,4,0,124,233
47014,"Yorkton--Melville/Yorkton--Melville"," 160","Churchbridge",29,13,9,274,8,0,333,487
47014,"Yorkton--Melville/Yorkton--Melville"," 161","Churchbridge",41,14,15,202,8,0,280,378
47014,"Yorkton--Melville/Yorkton--Melville"," 162","Waldron",11,5,0,78,5,0,99,188
47014,"Yorkton--Melville/Yorkton--Melville"," 163","Waldron--Atwater",4,3,5,66,2,0,80,259
47014,"Yorkton--Melville/Yorkton--Melville"," 164","Killaly",8,7,1,81,7,0,104,191
47014,"Yorkton--Melville/Yorkton--Melville"," 165","Neudorf",25,9,6,150,0,3,193,300
47014,"Yorkton--Melville/Yorkton--Melville"," 166","Grayson",13,8,4,200,2,1,228,380
47014,"Yorkton--Melville/Yorkton--Melville"," 167","Langenburg",13,12,1,173,5,0,204,322
47014,"Yorkton--Melville/Yorkton--Melville"," 168","Langenburg",16,12,2,79,1,3,113,235
47014,"Yorkton--Melville/Yorkton--Melville"," 169","Langenburg East",19,16,3,184,6,3,231,370
47014,"Yorkton--Melville/Yorkton--Melville"," 170","Langenburg",15,5,6,157,8,2,193,317
47014,"Yorkton--Melville/Yorkton--Melville"," 171","Lemberg",21,4,6,205,4,1,241,341
47014,"Yorkton--Melville/Yorkton--Melville"," 172","Dubuc",7,8,2,75,4,1,97,129
47014,"Yorkton--Melville/Yorkton--Melville"," 173","Yarbo",19,4,2,90,3,2,120,163
47014,"Yorkton--Melville/Yorkton--Melville"," 174","Esterhazy",14,8,6,128,7,1,164,316
47014,"Yorkton--Melville/Yorkton--Melville"," 175","Esterhazy",7,5,5,129,3,1,150,257
47014,"Yorkton--Melville/Yorkton--Melville"," 176","Esterhazy",19,12,5,116,3,3,158,288
47014,"Yorkton--Melville/Yorkton--Melville"," 177","Esterhazy",24,8,13,172,6,4,227,427
47014,"Yorkton--Melville/Yorkton--Melville"," 178","Esterhazy",18,9,5,107,4,0,143,265
47014,"Yorkton--Melville/Yorkton--Melville"," 179","Esterhazy",15,5,0,71,4,0,95,185
47014,"Yorkton--Melville/Yorkton--Melville"," 180","Esterhazy",13,5,6,138,1,1,164,333
47014,"Yorkton--Melville/Yorkton--Melville"," 181","Stockholm",21,10,6,144,17,2,200,294
47014,"Yorkton--Melville/Yorkton--Melville"," 182","Stockholm",20,9,9,127,8,1,174,283
47014,"Yorkton--Melville/Yorkton--Melville"," 183","Tantallon",8,5,6,147,4,2,172,317
47014,"Yorkton--Melville/Yorkton--Melville"," 184","Spy Hill",16,10,5,169,6,3,209,286
47014,"Yorkton--Melville/Yorkton--Melville"," 500","Mobile poll/Bureau itinérant",10,12,1,26,1,0,50,33
47014,"Yorkton--Melville/Yorkton--Melville"," 501","Mobile poll/Bureau itinérant",16,3,2,18,4,0,43,53
47014,"Yorkton--Melville/Yorkton--Melville"," 600","Hudson Bay",64,18,12,327,9,0,430,
47014,"Yorkton--Melville/Yorkton--Melville"," 601","Carragana",25,11,12,242,4,3,297,
47014,"Yorkton--Melville/Yorkton--Melville"," 602","Naicam",28,17,9,299,8,0,361,
47014,"Yorkton--Melville/Yorkton--Melville"," 603","Wadena",62,19,8,321,14,1,425,
47014,"Yorkton--Melville/Yorkton--Melville"," 604","Preeceville",50,13,16,428,18,4,529,
47014,"Yorkton--Melville/Yorkton--Melville"," 605","Norquay",14,11,3,211,5,0,244,
47014,"Yorkton--Melville/Yorkton--Melville"," 606","Kamsack",64,37,12,325,11,1,450,
47014,"Yorkton--Melville/Yorkton--Melville"," 607","Canora",42,22,14,411,16,5,510,
47014,"Yorkton--Melville/Yorkton--Melville"," 608","Foam Lake",26,23,1,261,10,0,321,
47014,"Yorkton--Melville/Yorkton--Melville"," 609","Yorkdale Rural",21,3,9,327,8,0,368,
47014,"Yorkton--Melville/Yorkton--Melville"," 610","Yorkton",60,29,8,371,19,7,494,
47014,"Yorkton--Melville/Yorkton--Melville"," 611","Yorkton",104,56,13,511,31,9,724,
47014,"Yorkton--Melville/Yorkton--Melville"," 612","Yorkton",80,62,14,628,15,7,806,
47014,"Yorkton--Melville/Yorkton--Melville"," 613","Bredenbury",27,15,6,255,5,1,309,
47014,"Yorkton--Melville/Yorkton--Melville"," 614","Langenburg",18,9,8,218,3,3,259,
47014,"Yorkton--Melville/Yorkton--Melville"," 615","Esterhazy",70,37,19,563,17,11,717,
47014,"Yorkton--Melville/Yorkton--Melville"," 616","Melville Rural",26,14,7,234,5,2,288,
47014,"Yorkton--Melville/Yorkton--Melville"," 617","Melville",120,60,17,648,21,3,869,
47014,"Yorkton--Melville/Yorkton--Melville",,Group 1/Groupe 1, 31,34,1,15,10,4,95,114
47014,"Yorkton--Melville/Yorkton--Melville",,Group 2/Groupe 2, 184,111,48,917,50,23,1333,
