Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tanya Baertl,Ken Hardie,Annie Ohana,Mike Poulin,Shinder Purewal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 40B","Surrey",5,33,32,2,32,2,106,318
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 41","Surrey",12,89,54,6,69,0,230,515
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 42","Surrey",13,79,50,6,83,1,232,538
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 43","Surrey",24,87,73,6,61,1,252,570
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 44","Surrey",12,100,56,3,84,0,255,444
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 45","Surrey",9,53,43,5,43,3,156,393
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 46","Surrey",2,60,45,2,38,0,147,382
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 47","Surrey",13,66,53,3,56,2,193,489
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 48","Surrey",8,33,27,4,23,0,95,324
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 49","Surrey",1,83,49,2,58,1,194,499
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 50","Surrey",5,39,19,2,36,1,102,406
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 51","Surrey",6,43,35,1,46,1,132,414
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 52","Surrey",9,80,54,5,43,0,191,497
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 53","Surrey",10,83,44,2,76,1,216,471
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 54","Surrey",14,62,54,4,56,1,191,471
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 55","Surrey",5,55,40,1,43,0,144,518
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 56","Surrey",6,58,33,6,74,0,177,328
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 57","Surrey",7,39,32,4,66,1,149,377
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 58","Surrey",8,50,35,1,34,0,128,292
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 59","Surrey",10,54,47,5,55,1,172,562
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 60","Surrey",12,81,42,3,76,1,215,492
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 61","Surrey",6,49,46,9,56,1,167,449
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 62","Surrey",12,81,30,5,63,1,192,581
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 63","Surrey",5,50,40,1,37,0,133,417
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 64","Surrey",8,53,40,3,53,1,158,478
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 65A","Surrey",12,48,12,1,23,0,96,314
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 65B","Surrey",0,44,7,5,18,0,74,301
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 66","Surrey",4,16,20,5,48,0,93,343
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 67","Surrey",6,34,22,4,88,0,154,432
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 68","Surrey",8,43,24,5,64,1,145,434
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 69","Surrey",11,68,31,6,101,0,217,505
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 70","Surrey",9,64,25,10,117,0,225,436
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 71","Surrey",5,39,27,7,86,1,165,408
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 72","Surrey",17,69,26,9,108,2,231,513
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73A","Surrey",11,44,22,3,68,0,148,341
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73B","Surrey",5,42,31,3,65,0,146,321
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 74","Greater Vancouver A",13,59,38,11,117,0,238,492
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 75","Surrey",4,73,64,1,40,0,182,535
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 76","Surrey",10,57,45,1,47,0,160,487
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 77","Surrey",4,53,30,2,29,1,119,389
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 78","Surrey",6,54,48,1,42,1,152,449
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 79","Surrey",7,54,57,3,37,0,158,418
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 80","Surrey",6,64,36,2,45,1,154,492
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 81","Surrey",2,89,51,5,40,1,188,496
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 82","Surrey",4,62,41,3,30,1,141,405
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 83","Surrey",14,74,48,3,49,0,188,525
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 84","Surrey",11,85,37,2,46,0,181,427
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 85","Surrey",1,62,29,0,40,1,133,355
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86","Surrey",5,68,38,2,48,0,161,452
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 87","Surrey",8,36,28,3,40,3,118,567
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 88","Surrey",16,61,59,9,66,1,212,458
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 89","Surrey",13,93,46,5,51,3,211,548
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 90","Surrey",3,55,34,0,47,2,141,379
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 91","Surrey",6,62,45,1,37,1,152,363
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 92","Surrey",3,88,54,2,58,0,205,566
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 93","Surrey",5,113,58,3,48,0,227,540
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 94","Surrey",10,64,27,1,53,1,156,505
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 95","Surrey",15,66,38,13,45,1,178,560
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 96","Surrey",7,90,42,1,25,0,165,495
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 97A","Surrey",3,37,22,0,25,0,87,334
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 97B","Surrey",4,38,21,0,39,0,102,332
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 98","Surrey",12,105,74,4,72,7,274,555
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 99","Surrey",9,65,34,7,55,3,173,451
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 100","Surrey",5,64,38,3,65,2,177,517
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 101","Surrey",16,47,32,3,65,2,165,408
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 102","Surrey",8,66,39,3,33,1,150,388
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 103","Surrey",11,80,37,3,74,1,206,489
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 104","Surrey",13,32,38,8,65,3,159,472
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 105","Surrey",16,41,23,9,98,0,187,502
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 106A","Surrey",5,56,42,0,54,0,157,486
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 106B","Surrey",3,53,39,4,55,0,154,440
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 107A","Surrey",5,61,34,1,39,0,140,343
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 107B","Surrey",6,58,37,0,47,0,148,312
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 108","Surrey",6,54,34,5,73,1,173,445
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 109","Surrey",18,85,49,2,94,1,249,530
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 110","Surrey",6,61,49,5,48,0,169,460
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 111","Surrey",6,59,28,3,55,0,151,439
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 112","Surrey",6,26,28,5,31,0,96,334
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 113","Surrey",5,30,33,0,18,1,87,358
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 114","Surrey",7,41,28,5,27,0,108,315
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 115","Surrey",10,61,50,1,43,0,165,540
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 116","Surrey",3,45,38,2,46,0,134,453
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 117","Surrey",7,63,42,1,61,2,176,455
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 118","Surrey",11,109,52,8,71,2,253,571
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 119","Surrey",11,81,39,9,68,3,211,550
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 120A","Surrey",6,38,26,3,40,0,113,303
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 120B","Surrey",4,56,31,1,43,0,135,319
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 121","Surrey",6,72,41,0,49,1,169,522
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 122","Surrey",0,39,39,0,16,0,94,411
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 123","Surrey",2,66,35,5,27,0,135,417
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 124","Surrey",7,67,34,1,26,1,136,448
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 125","Surrey",9,72,64,1,55,1,202,592
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 126","Surrey",1,83,36,4,26,0,150,431
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 127","Surrey",6,60,39,1,44,0,150,451
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 128","Surrey",17,61,42,6,46,1,173,545
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 129","Surrey",2,89,35,2,31,1,160,470
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 130A","Surrey",3,32,38,1,25,0,99,302
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 130B","Surrey",4,47,26,0,28,0,105,317
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 131","Surrey",3,57,26,2,38,0,126,379
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132","Surrey",2,79,45,0,42,0,168,516
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133","Surrey",7,61,25,1,52,0,146,439
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 134","Surrey",1,57,52,3,47,3,163,537
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 135","Surrey",1,63,31,1,48,0,144,364
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 136","Surrey",8,87,47,3,86,0,231,480
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 137","Surrey",3,68,43,3,36,4,157,403
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 138","Surrey",5,49,41,0,41,1,137,521
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 139A","Surrey",7,67,42,0,54,1,171,363
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 139B","Surrey",11,67,28,2,35,0,143,309
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 140A","Surrey",3,54,32,3,35,2,129,320
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 140B","Surrey",2,50,30,1,22,0,105,315
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 141","Surrey",2,67,34,2,36,1,142,419
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 142","Surrey",8,64,34,4,42,0,152,498
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 143","Surrey",2,55,36,3,36,0,132,485
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 144A","Surrey",7,48,35,4,17,2,113,318
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 144B","Surrey",1,32,37,4,22,4,100,341
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 145","Surrey",7,71,63,2,44,3,190,450
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 146A","Surrey",5,39,40,0,28,2,114,295
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 146B","Surrey",0,50,27,2,31,1,111,312
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 147","Surrey",4,115,74,0,34,0,227,596
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 148","Surrey",5,107,48,4,49,0,213,570
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 149","Surrey",5,90,61,2,52,2,212,600
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 150","Surrey",10,93,33,5,84,0,225,504
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 151A","Surrey",7,67,25,2,51,0,152,396
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 151B","Surrey",9,57,33,3,56,1,159,439
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 152","Surrey",10,56,38,11,80,0,195,424
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 153","Surrey",1,55,27,4,55,1,143,392
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 154","Surrey",7,86,50,7,69,3,222,541
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155","Surrey",9,78,31,5,77,3,203,477
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 156","Surrey",17,59,55,12,85,0,228,509
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 157","Surrey",11,92,61,1,57,4,226,544
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 158","Surrey",8,48,23,2,32,2,115,265
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 159","Surrey",8,67,49,4,60,5,193,439
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 160A","Surrey",6,36,43,4,53,0,142,360
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 160B","Surrey",11,56,31,3,40,1,142,359
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 161","Surrey",6,62,34,10,62,3,177,399
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 162","Surrey",3,44,22,2,66,0,137,332
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 163","Surrey",11,77,35,5,71,0,199,439
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 164","Surrey",14,93,36,9,69,0,221,507
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 165","Surrey",9,90,44,3,84,1,231,602
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 500","Mobile poll/Bureau itinérant",8,27,12,1,43,2,93,108
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 501","Mobile poll/Bureau itinérant",2,29,17,3,19,0,70,96
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 502A","Mobile poll/Bureau itinérant",6,37,19,2,26,5,95,156
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 502B","Surrey",7,35,10,2,12,0,66,87
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 600","Surrey",56,425,187,17,629,9,1323,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 601","Surrey",54,341,162,50,695,3,1305,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 602","Surrey",59,359,189,29,398,0,1034,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 603","Surrey",86,414,235,26,430,17,1208,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 604","Surrey",86,430,283,28,398,7,1232,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 605","Surrey",43,384,195,37,374,7,1040,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 606","Surrey",61,497,276,61,541,5,1441,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 607","Surrey",61,527,250,24,351,13,1226,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 608","Surrey",30,524,238,18,344,9,1163,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 609","Surrey",41,711,321,20,373,26,1492,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 610","Surrey",24,598,242,8,339,2,1213,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 611","Surrey",84,575,261,36,528,9,1493,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 612","Surrey",86,541,270,32,518,20,1467,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 613","Surrey",75,540,249,35,489,2,1390,
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 1/Groupe 1, 8,47,24,0,26,10,115,178
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 2/Groupe 2, 64,406,276,23,291,33,1093,
