Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mario Beaulieu,Robert Coutu,Franco Fiori,Jacinthe Lafrenaye,Randy Manseau,Ève Péclet,Jonathan Plamondon,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 30","Montréal",51,10,4,0,0,18,23,1,1,108,352
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 31","Montréal",77,9,1,1,0,9,13,0,2,112,348
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 32","Montréal",61,11,12,0,2,13,38,0,0,137,377
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 33","Montréal",63,17,3,1,0,15,59,0,4,162,366
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 34","Montréal",95,8,7,1,0,11,65,0,5,192,369
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 35","Montréal",89,18,4,0,2,10,47,0,6,176,430
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 36","Montréal",61,9,3,1,2,14,95,0,4,189,462
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 37","Montréal",93,12,8,1,0,17,59,0,4,194,419
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 38","Montréal",98,12,2,0,1,20,46,0,5,184,430
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 39","Montréal",74,9,1,0,1,19,40,0,2,146,407
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 40","Montréal",83,10,5,1,3,23,59,0,8,192,365
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 41","Montréal",85,10,4,0,0,12,70,1,2,184,376
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 42","Montréal",78,13,9,1,0,36,57,0,4,198,337
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 43","Montréal",63,11,3,0,0,24,73,1,3,178,389
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 44","Montréal",88,11,9,1,4,41,88,1,7,250,411
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 45A","Montréal",67,13,2,0,2,1,39,0,1,125,306
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 45B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,10
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 46","Montréal",84,12,7,0,0,21,57,1,8,190,419
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 47","Montréal",78,5,2,0,3,15,71,0,3,177,346
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 48","Montréal",86,11,6,0,1,11,49,0,4,168,361
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 49","Montréal",82,19,12,2,1,30,92,0,4,242,386
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 50","Montréal",98,13,4,1,1,20,37,1,3,178,366
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 51","Montréal",80,6,5,1,0,15,36,0,1,144,329
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 52","Montréal",86,18,7,1,0,21,53,0,4,190,340
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 53","Montréal",99,10,10,0,1,38,61,0,2,221,407
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 54","Montréal",111,11,5,0,1,30,62,0,0,220,390
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 55","Montréal",102,23,3,0,2,17,68,0,7,222,408
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 56","Montréal",65,6,6,4,0,19,50,0,5,155,436
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 57","Montréal",54,9,0,2,0,11,42,0,4,122,380
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 58","Montréal",76,4,5,1,2,19,48,1,5,161,406
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 59","Montréal",82,9,4,1,4,25,31,1,4,161,470
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 60","Montréal",77,16,6,1,3,19,45,0,3,170,408
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 61","Montréal",114,17,6,1,4,24,64,2,2,234,427
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 62","Montréal",90,12,7,0,2,13,56,0,2,182,380
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 63","Montréal",108,17,8,1,0,23,59,0,5,221,448
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 64","Montréal",117,16,2,0,4,16,53,0,4,212,410
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 65","Montréal",107,10,3,1,0,16,43,1,5,186,432
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 66","Montréal",91,3,4,2,2,22,37,0,6,167,402
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 67","Montréal",73,19,6,0,3,21,50,0,2,174,335
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 68","Montréal",99,14,4,0,0,27,63,0,1,208,411
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 69","Montréal",79,11,2,1,2,14,62,1,2,174,361
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 70","Montréal",85,14,4,1,1,17,47,1,3,173,357
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 71","Montréal",83,19,4,0,1,17,67,1,5,197,375
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 72","Montréal",97,11,5,1,1,16,38,1,8,178,407
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 73","Montréal",120,11,5,0,1,28,53,0,2,220,423
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 74","Montréal",92,11,5,1,2,18,53,0,6,188,368
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 75","Montréal",88,6,5,2,3,20,64,0,4,192,345
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 76","Montréal",70,14,3,1,0,19,34,0,8,149,333
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 77","Montréal",96,11,3,0,1,10,47,0,3,171,322
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 78","Montréal",88,7,1,0,0,14,41,1,4,156,333
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 79","Montréal",91,13,6,0,1,21,43,0,3,178,388
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 80","Montréal",79,7,3,0,0,18,54,0,8,169,375
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 81","Montréal",52,10,6,1,0,16,40,0,3,128,334
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 82","Montréal",96,8,10,1,1,18,48,0,3,185,415
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 83","Montréal",108,12,10,1,3,19,40,0,8,201,477
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 84","Montréal",99,25,5,2,0,17,40,1,5,194,334
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 85","Montréal",87,10,8,1,0,15,57,1,7,186,345
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 86","Montréal",103,17,4,0,2,14,43,1,4,188,338
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 87","Montréal",77,5,8,1,0,18,58,0,5,172,369
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 88","Montréal",80,7,5,0,1,14,38,0,4,149,378
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 89","Montréal",87,16,5,0,0,19,36,0,3,166,395
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 90","Montréal",108,9,1,0,1,13,53,1,6,192,397
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 91","Montréal",108,13,5,1,0,20,41,1,6,195,448
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 92","Montréal",77,12,6,0,0,22,50,0,3,170,415
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 93","Montréal",117,13,10,0,3,36,48,1,6,234,428
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 94","Montréal",120,20,8,0,1,28,59,1,0,237,492
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 95","Montréal",100,26,1,1,0,18,51,0,6,203,389
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 96","Montréal",116,23,5,1,4,24,63,3,0,239,455
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 97","Montréal",85,18,4,3,2,21,50,1,5,189,414
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 98","Montréal",69,7,6,0,1,21,22,1,4,131,360
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 99","Montréal",99,15,2,1,0,7,64,0,8,196,424
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 100","Montréal-Est",64,15,5,1,2,22,41,0,0,150,368
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 101","Montréal-Est",85,25,4,2,2,17,45,0,0,180,474
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 102","Montréal-Est",79,21,8,2,3,15,42,0,2,172,415
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 103A","Montréal-Est",55,29,6,1,0,12,42,0,1,146,352
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 103B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,,51
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 104","Montréal-Est",99,14,3,0,0,21,24,0,1,162,381
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 105","Montréal-Est",60,14,3,0,0,14,18,1,2,112,340
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 106","Montréal-Est",60,24,6,0,2,23,39,0,3,157,407
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 107","Montréal-Est",48,9,5,0,0,8,37,0,7,114,326
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 108","Montréal",46,7,7,0,3,22,30,0,2,117,338
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 109","Montréal",53,6,4,1,1,18,33,0,3,119,365
