Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allison Cillis,Janet Errygers,Jennifer Stebbing,David Sweet,David Tilden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 31","Flamborough",37,14,133,150,3,5,342,636
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 32","Flamborough",42,17,99,89,3,3,253,548
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 33","Flamborough",39,13,35,77,10,0,174,284
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 34","Flamborough",13,11,100,83,1,1,209,312
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 35","Flamborough",46,16,118,99,2,0,281,460
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 36","Flamborough",28,25,82,82,9,0,226,392
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 37","Flamborough",42,33,111,112,5,0,303,608
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 38","Flamborough",31,13,84,86,3,0,217,411
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 39","Flamborough",27,16,106,82,2,1,234,440
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 40","Flamborough",23,18,108,115,3,2,269,458
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 41","Flamborough",18,9,59,62,2,3,153,286
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 42","Flamborough",36,14,86,105,4,2,247,413
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 43","Flamborough",40,18,110,94,5,0,267,532
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 44","Flamborough",32,10,75,62,3,0,182,350
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 45","Flamborough",21,9,58,76,3,0,167,302
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 46","Flamborough",25,18,74,80,2,1,200,378
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 47","Flamborough",40,18,126,109,5,0,298,552
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 48","Flamborough",31,6,105,85,6,3,236,418
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 49","Flamborough",39,23,104,77,4,1,248,408
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 50","Flamborough",14,9,122,100,4,1,250,464
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 51","Flamborough",28,14,114,74,10,0,240,461
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 52","Flamborough",33,10,90,89,2,3,227,456
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 53","Flamborough",32,17,98,84,4,0,235,498
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 54","Flamborough",37,21,62,142,9,3,274,427
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 55","Flamborough",35,25,71,176,6,1,314,489
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 56","Flamborough",22,5,82,88,2,0,199,398
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 57","Flamborough",25,3,59,68,3,0,158,339
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 58","Flamborough",45,18,83,102,3,1,252,522
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 59","Flamborough",37,19,84,142,7,1,290,579
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 60","Flamborough",26,22,72,160,6,0,286,525
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 61","Flamborough",23,28,49,168,3,0,271,461
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 62","Flamborough",25,25,63,115,4,1,233,433
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 63","Flamborough",32,39,79,159,7,1,317,531
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 64","Flamborough",23,19,65,68,6,0,181,383
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 65","Dundas",22,30,67,62,5,0,186,389
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 66","Flamborough",17,15,44,129,2,2,209,365
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 67","Flamborough",27,30,105,105,5,0,272,453
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 68","Flamborough",14,10,67,109,5,3,208,376
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 69","Flamborough",32,26,64,111,3,1,237,424
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 70","Flamborough",32,20,59,107,3,0,221,369
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 71","Flamborough",39,35,93,143,3,0,313,535
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 72","Flamborough",15,27,98,66,3,1,210,317
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 73","Flamborough",17,27,89,92,6,0,231,327
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 74","Flamborough",31,27,99,108,2,1,268,474
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 75","Flamborough",27,21,84,135,1,4,272,466
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 76","Stoney Creek",58,22,106,91,3,1,281,539
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 77","Stoney Creek",60,9,83,100,1,3,256,510
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 78","Stoney Creek",40,15,77,61,10,1,204,351
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 79","Stoney Creek",41,7,80,62,4,1,195,339
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 80","Stoney Creek",69,15,90,65,3,5,247,554
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 81","Stoney Creek",67,14,114,92,1,1,289,505
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 82","Stoney Creek",36,13,60,45,0,0,154,269
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 83","Hamilton",36,0,101,74,4,2,217,417
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 84","Stoney Creek",54,8,81,64,3,2,212,424
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 85","Stoney Creek",68,17,106,84,3,1,279,588
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 86","Stoney Creek",56,15,82,54,0,2,209,386
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 87","Stoney Creek",40,9,50,43,3,1,146,310
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 88","Flamborough",35,10,72,154,5,1,277,469
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 89","Flamborough",35,21,73,161,5,0,295,510
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 90","Flamborough",33,25,51,118,3,1,231,400
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 91","Ancaster",53,34,75,141,6,1,310,493
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 92","Ancaster",34,22,73,152,8,1,290,456
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 93","Stoney Creek",50,11,52,96,5,0,214,349
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 94","Stoney Creek",33,13,96,99,4,0,245,374
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 95","Stoney Creek",43,31,76,101,3,2,256,422
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 96","Stoney Creek",58,14,85,90,3,3,253,411
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 97","Stoney Creek",45,10,62,52,5,1,175,389
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 98","Stoney Creek",61,14,64,67,2,0,208,480
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 99","Stoney Creek",47,11,82,72,10,1,223,395
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 100","Stoney Creek",50,9,75,47,5,0,186,358
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 101","Stoney Creek",51,14,49,72,5,2,193,356
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 102","Stoney Creek",63,8,113,87,6,2,279,463
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 103","Hamilton",57,7,165,117,3,2,351,604
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 104","Hamilton",49,18,158,108,3,3,339,611
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 105","Hamilton",72,11,140,119,4,5,351,607
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 106","Hamilton",41,12,115,79,7,18,272,400
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 107","Hamilton",26,14,129,68,1,13,251,354
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 108","Hamilton",40,9,112,101,7,0,269,516
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 109","Stoney Creek",50,9,64,65,7,0,195,426
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 110","Stoney Creek",54,6,56,61,3,1,181,382
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 111","Stoney Creek",45,10,64,84,4,0,207,377
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 112","Stoney Creek",53,4,79,82,11,2,231,462
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 113","Stoney Creek",80,22,152,122,3,1,380,758
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 114","Hamilton",38,11,87,74,0,1,211,391
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 115","Hamilton",72,5,87,65,5,4,238,460
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 116","Hamilton",78,15,149,85,2,6,335,644
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 117","Hamilton",46,15,43,45,1,1,151,382
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 118","Hamilton",66,10,97,99,1,1,274,537
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 119","Stoney Creek",48,8,105,84,0,1,246,475
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 120","Stoney Creek",59,14,99,88,2,1,263,439
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 121","Stoney Creek",40,10,90,105,4,0,249,429
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 122","Stoney Creek",60,13,96,94,9,2,274,492
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 123","Stoney Creek",34,7,106,80,6,2,235,420
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 124","Glanbrook",51,10,127,86,0,3,277,543
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 125","Glanbrook",43,12,152,122,2,8,339,455
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 126","Glanbrook",65,24,146,122,3,2,362,545
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 127","Glanbrook",36,18,125,70,9,3,261,512
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 128","Glanbrook",23,6,156,115,1,1,302,446
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 129","Glanbrook",28,17,148,88,0,0,281,426
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 130","Stoney Creek",73,16,141,61,9,4,304,592
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 131","Stoney Creek",53,5,115,105,10,1,289,464
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 132","Stoney Creek",44,5,87,65,7,0,208,411
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 133","Stoney Creek",73,16,87,66,6,3,251,452
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 134","Stoney Creek",49,8,82,48,6,1,194,431
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 135","Hamilton",67,8,82,51,2,3,213,419
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 136","Glanbrook",62,12,78,76,2,2,232,424
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 137A","Stoney Creek",38,7,80,40,0,0,165,500
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 137B","Stoney Creek",45,6,91,61,4,4,211,532
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 138","Stoney Creek",21,8,41,51,1,2,124,281
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 139","Stoney Creek",25,1,44,41,2,1,114,327
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 140","Stoney Creek",64,12,145,99,4,5,329,736
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 141","Stoney Creek",75,19,110,107,9,0,320,727
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 142","Glanbrook",59,17,40,84,3,0,203,417
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 143","Glanbrook",37,15,88,72,4,0,216,400
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 144","Glanbrook",23,12,119,92,0,1,247,353
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 145","Glanbrook",27,8,109,77,3,1,225,333
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 146","Glanbrook",26,8,88,90,0,3,215,331
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 147","Glanbrook",25,7,31,58,1,0,122,261
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 148","Hamilton",53,11,91,69,2,0,226,381
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 149","Hamilton",39,5,74,53,1,1,173,329
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 150","Hamilton",51,8,110,54,2,1,226,373
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 151","Hamilton",56,20,119,137,5,0,337,525
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 152","Glanbrook",40,10,115,109,13,2,289,582
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 153","Hamilton",58,11,89,82,1,0,241,443
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 154","Glanbrook",90,21,174,135,1,1,422,720
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 155","Glanbrook",62,7,134,76,3,0,282,557
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 156","Glanbrook",52,14,196,146,1,0,409,768
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 157","Glanbrook",39,7,88,67,1,0,202,412
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 158","Glanbrook",42,2,73,62,1,0,180,375
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 159","Glanbrook",45,8,105,64,0,2,224,431
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 160A","Glanbrook",37,11,72,72,1,0,193,410
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 160B","Glanbrook",48,8,80,78,3,1,218,455
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 161","Ancaster",37,23,60,142,3,0,265,493
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 162","Ancaster",21,18,69,129,4,0,241,483
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 163","Ancaster",13,12,30,97,5,0,157,347
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 164","Glanbrook",24,8,54,72,0,3,161,355
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 165","Glanbrook",18,9,55,74,2,1,159,388
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 166","Glanbrook",33,19,33,84,2,4,175,374
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 167","Glanbrook",15,11,38,78,0,0,142,319
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 168","Glanbrook",39,17,58,96,5,4,219,477
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 169","Ancaster",35,16,93,147,2,2,295,559
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 170","Glanbrook",41,9,61,112,2,0,225,433
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 171","Glanbrook",49,21,67,147,2,0,286,471
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 172","Glanbrook",59,9,86,72,5,0,231,445
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 173","Glanbrook",72,17,103,95,8,0,295,563
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 174","Glanbrook",29,14,56,96,3,0,198,410
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 175","Glanbrook",50,17,69,87,5,2,230,418
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 176","Glanbrook",82,15,92,103,8,1,301,544
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 177","Glanbrook",42,24,79,90,3,3,241,465
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 178","Glanbrook",25,11,44,57,1,1,139,298
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 179","Glanbrook",49,14,44,79,1,0,187,403
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 180","Glanbrook",65,12,102,79,1,2,261,500
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 181","Glanbrook",99,19,120,93,4,0,335,640
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 182","Glanbrook",68,6,51,63,4,0,192,393
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 183","Glanbrook",73,10,81,130,10,2,306,556
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 184A","Glanbrook",47,12,86,93,2,0,240,447
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 184B","Glanbrook",57,12,110,93,7,1,280,497
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 185","Glanbrook",52,2,75,76,2,0,207,387
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 186","Glanbrook",30,7,70,52,2,1,162,326
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 187","Glanbrook",56,8,49,67,3,2,185,387
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 188","Glanbrook",51,7,54,66,8,0,186,369
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 189","Glanbrook",46,6,36,51,1,1,141,255
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 190","Glanbrook",27,18,49,88,4,0,186,394
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 191","Glanbrook",56,13,62,78,4,0,213,417
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 192","Glanbrook",55,13,60,45,1,0,174,326
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 193","Glanbrook",47,12,67,69,4,2,201,471
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 194","Glanbrook",45,20,60,87,4,1,217,433
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 195","Glanbrook",42,20,58,99,2,0,221,438
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 500","Mobile poll/Bureau itinérant",20,0,33,28,1,2,84,109
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 501","Mobile poll/Bureau itinérant",6,6,45,41,3,3,104,236
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 502","Mobile poll/Bureau itinérant",4,4,27,20,0,3,58,80
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 503","Mobile poll/Bureau itinérant",19,7,62,42,6,1,137,313
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 504","Mobile poll/Bureau itinérant",8,4,29,16,3,5,65,210
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 600","Flamborough",45,41,203,318,13,1,621,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 601","Flamborough",101,61,371,459,12,11,1015,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 602","Flamborough",160,78,585,528,17,1,1369,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 603","Flamborough",127,91,485,461,19,1,1184,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 604","Flamborough",79,55,268,315,12,0,729,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 605","Flamborough",27,38,103,202,3,0,373,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 606","Flamborough",63,59,248,445,8,0,823,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 607","Ancaster",61,36,167,313,2,0,579,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 608","Ancaster",100,48,304,322,9,1,784,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 609","Hamilton ",154,43,322,326,9,3,857,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 610","Hamilton ",122,37,233,316,13,2,723,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 611","Stoney Creek",166,39,410,325,10,6,956,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 612","Stoney Creek",135,33,259,177,12,5,621,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 613","Stoney Creek",180,41,502,301,15,5,1044,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 614","Stoney Creek",91,21,302,174,10,3,601,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 615","Stoney Creek",184,31,327,291,13,4,850,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 616","Stoney Creek",140,61,239,345,16,5,806,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook",,Group 1/Groupe 1, 18,9,45,20,2,4,98,125
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook",,Group 2/Groupe 2, 180,85,331,344,8,57,1005,
