Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Noel Gautron,Jennifer Malabar,Kelly Manweiler,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 52","Winnipeg",85,8,13,3,60,0,169,330
46005,"Elmwood--Transcona/Elmwood--Transcona"," 53","Winnipeg",64,0,10,8,56,0,138,287
46005,"Elmwood--Transcona/Elmwood--Transcona"," 54","Winnipeg",72,3,13,6,54,1,149,432
46005,"Elmwood--Transcona/Elmwood--Transcona"," 55","Winnipeg",57,1,12,3,43,0,116,309
46005,"Elmwood--Transcona/Elmwood--Transcona"," 56","Winnipeg",77,3,14,3,41,0,138,401
46005,"Elmwood--Transcona/Elmwood--Transcona"," 57","Winnipeg",86,3,26,10,47,2,174,466
46005,"Elmwood--Transcona/Elmwood--Transcona"," 58","Winnipeg",70,4,22,4,47,2,149,397
46005,"Elmwood--Transcona/Elmwood--Transcona"," 59","Winnipeg",84,7,24,7,57,2,181,426
46005,"Elmwood--Transcona/Elmwood--Transcona"," 60","Winnipeg",69,4,38,11,36,2,160,501
46005,"Elmwood--Transcona/Elmwood--Transcona"," 61","Winnipeg",55,1,15,4,23,2,100,291
46005,"Elmwood--Transcona/Elmwood--Transcona"," 62","Winnipeg",94,1,12,5,60,3,175,417
46005,"Elmwood--Transcona/Elmwood--Transcona"," 63","Winnipeg",94,3,26,2,62,3,190,360
46005,"Elmwood--Transcona/Elmwood--Transcona"," 64","Winnipeg",98,2,31,6,64,5,206,436
46005,"Elmwood--Transcona/Elmwood--Transcona"," 65","Winnipeg",80,4,25,5,59,4,177,395
46005,"Elmwood--Transcona/Elmwood--Transcona"," 66","Winnipeg",84,5,36,5,88,2,220,461
46005,"Elmwood--Transcona/Elmwood--Transcona"," 67A","Winnipeg",23,0,12,5,21,0,61,209
46005,"Elmwood--Transcona/Elmwood--Transcona"," 67B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°402,,,,,,,57
46005,"Elmwood--Transcona/Elmwood--Transcona"," 68A","Winnipeg",103,4,28,3,91,0,229,484
46005,"Elmwood--Transcona/Elmwood--Transcona"," 68B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°400,,,,,,,98
46005,"Elmwood--Transcona/Elmwood--Transcona"," 69","Winnipeg",96,5,31,11,79,1,223,442
46005,"Elmwood--Transcona/Elmwood--Transcona"," 70","Winnipeg",74,0,24,11,67,2,178,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 71","Winnipeg",73,2,25,12,81,0,193,379
46005,"Elmwood--Transcona/Elmwood--Transcona"," 72","Winnipeg",99,6,23,8,56,2,194,357
46005,"Elmwood--Transcona/Elmwood--Transcona"," 73","Winnipeg",63,2,12,6,57,3,143,260
46005,"Elmwood--Transcona/Elmwood--Transcona"," 74","Winnipeg",78,1,30,4,58,3,174,371
46005,"Elmwood--Transcona/Elmwood--Transcona"," 75","Winnipeg",93,1,30,5,63,2,194,428
46005,"Elmwood--Transcona/Elmwood--Transcona"," 76","Winnipeg",112,1,24,6,52,1,196,508
46005,"Elmwood--Transcona/Elmwood--Transcona"," 77","Winnipeg",104,1,22,9,58,3,197,416
46005,"Elmwood--Transcona/Elmwood--Transcona"," 78","Winnipeg",70,1,16,5,30,1,123,392
46005,"Elmwood--Transcona/Elmwood--Transcona"," 79","Winnipeg",81,1,18,7,30,0,137,431
46005,"Elmwood--Transcona/Elmwood--Transcona"," 80","Winnipeg",45,2,15,9,16,0,87,324
46005,"Elmwood--Transcona/Elmwood--Transcona"," 81","Winnipeg",59,4,26,2,20,2,113,380
46005,"Elmwood--Transcona/Elmwood--Transcona"," 82","Winnipeg",80,4,27,3,26,4,144,353
46005,"Elmwood--Transcona/Elmwood--Transcona"," 83","Winnipeg",97,4,24,5,78,2,210,432
46005,"Elmwood--Transcona/Elmwood--Transcona"," 84","Winnipeg",94,2,21,3,62,1,183,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 85","Winnipeg",87,2,16,3,70,0,178,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 86","Winnipeg",93,4,40,5,25,2,169,433
46005,"Elmwood--Transcona/Elmwood--Transcona"," 87","Winnipeg",53,2,22,3,26,1,107,286
46005,"Elmwood--Transcona/Elmwood--Transcona"," 88","Winnipeg",41,4,12,4,34,1,96,281
46005,"Elmwood--Transcona/Elmwood--Transcona"," 89","Winnipeg",102,1,23,7,93,0,226,527
46005,"Elmwood--Transcona/Elmwood--Transcona"," 90","Winnipeg",60,0,17,2,65,0,144,376
46005,"Elmwood--Transcona/Elmwood--Transcona"," 91","Winnipeg",80,1,20,7,80,0,188,499
46005,"Elmwood--Transcona/Elmwood--Transcona"," 92","Winnipeg",113,0,31,7,69,2,222,469
46005,"Elmwood--Transcona/Elmwood--Transcona"," 93","Winnipeg",113,2,14,4,75,1,209,416
46005,"Elmwood--Transcona/Elmwood--Transcona"," 94","Winnipeg",93,4,18,8,87,1,211,437
46005,"Elmwood--Transcona/Elmwood--Transcona"," 95","Winnipeg",101,1,23,11,79,1,216,446
46005,"Elmwood--Transcona/Elmwood--Transcona"," 96","Winnipeg",69,2,14,4,69,0,158,397
46005,"Elmwood--Transcona/Elmwood--Transcona"," 97","Winnipeg",76,1,20,6,77,2,182,443
46005,"Elmwood--Transcona/Elmwood--Transcona"," 98","Winnipeg",64,1,11,4,70,2,152,359
46005,"Elmwood--Transcona/Elmwood--Transcona"," 99","Winnipeg",64,0,17,3,47,0,131,282
46005,"Elmwood--Transcona/Elmwood--Transcona"," 100","Winnipeg",103,4,19,7,70,0,203,404
46005,"Elmwood--Transcona/Elmwood--Transcona"," 101","Winnipeg",88,2,25,8,74,0,197,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 102","Winnipeg",106,2,18,9,84,1,220,487
46005,"Elmwood--Transcona/Elmwood--Transcona"," 103","Winnipeg",111,3,19,11,63,0,207,429
46005,"Elmwood--Transcona/Elmwood--Transcona"," 104","Winnipeg",100,7,24,10,80,0,221,533
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105","Winnipeg",107,4,30,10,56,0,207,464
46005,"Elmwood--Transcona/Elmwood--Transcona"," 106","Winnipeg",101,7,36,11,65,0,220,559
46005,"Elmwood--Transcona/Elmwood--Transcona"," 107","Winnipeg",94,1,27,10,48,2,182,419
46005,"Elmwood--Transcona/Elmwood--Transcona"," 108","Winnipeg",82,3,22,7,51,0,165,408
46005,"Elmwood--Transcona/Elmwood--Transcona"," 109","Winnipeg",105,4,19,4,55,3,190,392
46005,"Elmwood--Transcona/Elmwood--Transcona"," 110","Winnipeg",77,0,30,8,51,2,168,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 111","Winnipeg",52,3,12,5,49,0,121,330
46005,"Elmwood--Transcona/Elmwood--Transcona"," 112","Winnipeg",90,3,23,8,60,0,184,389
46005,"Elmwood--Transcona/Elmwood--Transcona"," 113","Winnipeg",129,5,63,12,72,8,289,502
46005,"Elmwood--Transcona/Elmwood--Transcona"," 114","Winnipeg",70,0,28,5,50,1,154,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 115","Winnipeg",121,2,23,12,88,5,251,490
46005,"Elmwood--Transcona/Elmwood--Transcona"," 116","Winnipeg",128,0,19,5,90,1,243,429
46005,"Elmwood--Transcona/Elmwood--Transcona"," 117","Winnipeg",73,5,12,3,55,0,148,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 118","Winnipeg",87,3,23,4,107,0,224,459
46005,"Elmwood--Transcona/Elmwood--Transcona"," 119","Winnipeg",103,1,14,4,62,1,185,350
46005,"Elmwood--Transcona/Elmwood--Transcona"," 120","Winnipeg",10,0,6,0,3,0,19,71
46005,"Elmwood--Transcona/Elmwood--Transcona"," 121A","Winnipeg",56,0,27,3,70,1,157,425
46005,"Elmwood--Transcona/Elmwood--Transcona"," 121B","Winnipeg",67,2,27,3,57,2,158,425
46005,"Elmwood--Transcona/Elmwood--Transcona"," 122A","Winnipeg",55,0,34,6,32,0,127,324
46005,"Elmwood--Transcona/Elmwood--Transcona"," 122B","Winnipeg",66,1,18,5,50,0,140,343
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123A","Winnipeg",124,8,45,13,97,4,291,659
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123B","Winnipeg",48,1,21,4,45,4,123,148
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123C","Winnipeg",65,0,21,6,81,7,180,226
46005,"Elmwood--Transcona/Elmwood--Transcona"," 124","Winnipeg",103,8,29,3,88,0,231,566
46005,"Elmwood--Transcona/Elmwood--Transcona"," 125","Winnipeg",114,2,34,2,109,1,262,565
46005,"Elmwood--Transcona/Elmwood--Transcona"," 126","Winnipeg",79,5,12,4,74,0,174,414
46005,"Elmwood--Transcona/Elmwood--Transcona"," 127","Winnipeg",99,3,16,5,71,1,195,416
46005,"Elmwood--Transcona/Elmwood--Transcona"," 128","Winnipeg",97,2,13,11,64,2,189,437
46005,"Elmwood--Transcona/Elmwood--Transcona"," 129","Winnipeg",76,0,21,7,84,0,188,448
46005,"Elmwood--Transcona/Elmwood--Transcona"," 130","Winnipeg",111,4,27,4,111,3,260,550
46005,"Elmwood--Transcona/Elmwood--Transcona"," 131","Winnipeg",108,1,34,4,122,0,269,618
46005,"Elmwood--Transcona/Elmwood--Transcona"," 132","Winnipeg",81,2,21,6,97,0,207,427
46005,"Elmwood--Transcona/Elmwood--Transcona"," 133","Winnipeg",70,4,28,4,87,0,193,422
46005,"Elmwood--Transcona/Elmwood--Transcona"," 134","Winnipeg",124,2,33,9,88,3,259,524
46005,"Elmwood--Transcona/Elmwood--Transcona"," 135","Winnipeg",53,2,28,3,72,0,158,320
46005,"Elmwood--Transcona/Elmwood--Transcona"," 136","Winnipeg",58,0,15,3,54,0,130,318
46005,"Elmwood--Transcona/Elmwood--Transcona"," 137","Winnipeg",92,3,32,3,62,2,194,410
46005,"Elmwood--Transcona/Elmwood--Transcona"," 138","Winnipeg",59,4,26,3,76,2,170,394
46005,"Elmwood--Transcona/Elmwood--Transcona"," 139","Winnipeg",69,1,25,4,55,0,154,380
46005,"Elmwood--Transcona/Elmwood--Transcona"," 140","Winnipeg",113,1,23,7,59,3,206,446
46005,"Elmwood--Transcona/Elmwood--Transcona"," 141","Winnipeg",74,1,13,6,57,0,151,322
46005,"Elmwood--Transcona/Elmwood--Transcona"," 142","Winnipeg",101,0,16,8,76,1,202,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 143","Winnipeg",70,5,7,5,67,1,155,351
46005,"Elmwood--Transcona/Elmwood--Transcona"," 144","Winnipeg",84,1,14,1,63,0,163,356
46005,"Elmwood--Transcona/Elmwood--Transcona"," 145","Winnipeg",84,1,11,13,71,2,182,411
46005,"Elmwood--Transcona/Elmwood--Transcona"," 146","Winnipeg",90,4,15,5,53,0,167,371
46005,"Elmwood--Transcona/Elmwood--Transcona"," 147","Winnipeg",91,4,17,10,72,0,194,412
46005,"Elmwood--Transcona/Elmwood--Transcona"," 148","Winnipeg",85,2,24,7,79,1,198,506
46005,"Elmwood--Transcona/Elmwood--Transcona"," 149","Winnipeg",90,4,17,1,62,1,175,458
46005,"Elmwood--Transcona/Elmwood--Transcona"," 150","Winnipeg",77,2,13,7,52,0,151,347
46005,"Elmwood--Transcona/Elmwood--Transcona"," 151","Winnipeg",164,6,44,18,113,0,345,745
46005,"Elmwood--Transcona/Elmwood--Transcona"," 152","Winnipeg",100,2,19,3,79,1,204,429
46005,"Elmwood--Transcona/Elmwood--Transcona"," 153","Winnipeg",95,4,16,6,74,3,198,410
46005,"Elmwood--Transcona/Elmwood--Transcona"," 154","Winnipeg",108,3,23,6,66,0,206,401
46005,"Elmwood--Transcona/Elmwood--Transcona"," 155","Winnipeg",112,0,29,3,72,0,216,488
46005,"Elmwood--Transcona/Elmwood--Transcona"," 156","Winnipeg",97,4,25,6,78,1,211,424
46005,"Elmwood--Transcona/Elmwood--Transcona"," 157","Winnipeg",109,4,25,4,94,2,238,542
46005,"Elmwood--Transcona/Elmwood--Transcona"," 158","Winnipeg",110,0,35,3,56,3,207,520
46005,"Elmwood--Transcona/Elmwood--Transcona"," 159","Winnipeg",123,4,21,3,107,1,259,573
46005,"Elmwood--Transcona/Elmwood--Transcona"," 160","Winnipeg",90,4,35,2,74,0,205,504
46005,"Elmwood--Transcona/Elmwood--Transcona"," 161","Winnipeg",101,1,28,4,84,3,221,555
46005,"Elmwood--Transcona/Elmwood--Transcona"," 162","Winnipeg",68,0,17,9,118,1,213,455
46005,"Elmwood--Transcona/Elmwood--Transcona"," 400","Mobile poll/Bureau itinérant",91,1,43,4,91,20,250,98
46005,"Elmwood--Transcona/Elmwood--Transcona"," 401","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°400,,,,,,,121
46005,"Elmwood--Transcona/Elmwood--Transcona"," 402","Mobile poll/Bureau itinérant",15,1,15,2,44,1,78,110
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500","Mobile poll/Bureau itinérant",81,0,25,11,46,2,165,309
46005,"Elmwood--Transcona/Elmwood--Transcona"," 501","Mobile poll/Bureau itinérant",78,1,22,5,63,10,179,279
46005,"Elmwood--Transcona/Elmwood--Transcona"," 502","Mobile poll/Bureau itinérant",47,0,13,1,21,1,83,126
46005,"Elmwood--Transcona/Elmwood--Transcona"," 503","Mobile poll/Bureau itinérant",80,0,16,2,30,5,133,212
46005,"Elmwood--Transcona/Elmwood--Transcona"," 600","Winnipeg",325,6,107,33,346,0,817,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 601","Winnipeg",377,8,111,36,308,5,845,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 602","Winnipeg",202,3,42,17,128,1,393,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 603","Winnipeg",136,4,48,13,80,2,283,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 604","Winnipeg",262,10,74,14,222,3,585,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 605","Winnipeg",333,11,93,21,349,5,812,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 606","Winnipeg",361,6,105,34,417,7,930,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 607","Winnipeg",605,11,159,40,862,5,1682,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 608","Winnipeg",407,9,96,19,482,1,1014,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 609","Winnipeg",455,3,76,36,398,5,973,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 610","Winnipeg",444,15,87,19,473,5,1043,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 611","Winnipeg",297,11,81,29,461,0,879,
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 1/Groupe 1, 44,4,58,8,21,8,143,145
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 2/Groupe 2, 513,10,130,45,439,22,1159,
