Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jane Davidson,Harinderpal Hundal,Navjit Kaur,Kamal Khera,Anjum Malik,Roger Sampson,Paul Tannahill,Murarilal Thapliyal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 18","Brampton",10,1,42,122,1,4,0,51,2,233,442
35012,"Brampton West/Brampton-Ouest"," 19","Brampton",3,0,35,116,0,0,0,35,1,190,470
35012,"Brampton West/Brampton-Ouest"," 20","Brampton",6,0,38,135,0,3,1,38,1,222,455
35012,"Brampton West/Brampton-Ouest"," 21","Brampton",8,0,60,122,0,0,0,42,1,233,483
35012,"Brampton West/Brampton-Ouest"," 22","Brampton",5,1,29,88,0,5,5,64,3,200,457
35012,"Brampton West/Brampton-Ouest"," 23","Brampton",9,3,50,121,0,7,0,60,7,257,482
35012,"Brampton West/Brampton-Ouest"," 24","Brampton",4,0,44,96,0,1,0,43,2,190,446
35012,"Brampton West/Brampton-Ouest"," 25","Brampton",3,2,39,110,0,5,1,41,6,207,476
35012,"Brampton West/Brampton-Ouest"," 26","Brampton",5,0,38,105,0,2,1,34,3,188,487
35012,"Brampton West/Brampton-Ouest"," 27","Brampton",2,0,45,82,0,1,1,64,1,196,487
35012,"Brampton West/Brampton-Ouest"," 28","Brampton",3,0,24,101,0,2,2,26,3,161,459
35012,"Brampton West/Brampton-Ouest"," 29","Brampton",1,0,39,100,1,2,0,40,1,184,483
35012,"Brampton West/Brampton-Ouest"," 30","Brampton",5,0,35,102,0,3,0,53,0,198,470
35012,"Brampton West/Brampton-Ouest"," 31","Brampton",5,0,34,110,0,3,2,43,0,197,510
35012,"Brampton West/Brampton-Ouest"," 32","Brampton",10,0,18,98,1,0,1,39,0,167,440
35012,"Brampton West/Brampton-Ouest"," 33","Brampton",6,1,33,87,0,2,2,56,1,188,413
35012,"Brampton West/Brampton-Ouest"," 34","Brampton",11,0,20,96,1,1,4,60,0,193,451
35012,"Brampton West/Brampton-Ouest"," 35","Brampton",5,0,25,110,0,1,1,82,2,226,431
35012,"Brampton West/Brampton-Ouest"," 36","Brampton",4,0,17,100,1,2,3,31,2,160,440
35012,"Brampton West/Brampton-Ouest"," 37","Brampton",6,0,40,118,0,2,0,50,0,216,462
35012,"Brampton West/Brampton-Ouest"," 38","Brampton",6,0,41,94,0,1,1,36,5,184,459
35012,"Brampton West/Brampton-Ouest"," 39","Brampton",4,0,17,113,0,3,0,34,0,171,415
35012,"Brampton West/Brampton-Ouest"," 40","Brampton",3,1,49,124,0,1,0,65,2,245,491
35012,"Brampton West/Brampton-Ouest"," 41","Brampton",7,0,48,121,1,5,5,52,4,243,461
35012,"Brampton West/Brampton-Ouest"," 42A","Brampton",1,0,66,101,0,1,1,31,0,201,481
35012,"Brampton West/Brampton-Ouest"," 42B","Brampton",0,1,54,107,1,0,3,54,3,223,568
35012,"Brampton West/Brampton-Ouest"," 43","Brampton",8,0,46,84,0,0,5,30,2,175,484
35012,"Brampton West/Brampton-Ouest"," 44A","Brampton",1,0,40,89,1,1,1,26,5,164,398
35012,"Brampton West/Brampton-Ouest"," 44B","Brampton",0,1,36,84,0,0,1,32,0,154,376
35012,"Brampton West/Brampton-Ouest"," 45","Brampton",5,0,28,115,0,0,0,42,1,191,438
35012,"Brampton West/Brampton-Ouest"," 46A","Brampton",1,0,20,86,0,0,0,51,3,161,405
35012,"Brampton West/Brampton-Ouest"," 46B","Brampton",2,0,32,67,0,3,0,34,11,149,376
35012,"Brampton West/Brampton-Ouest"," 47","Brampton",6,0,47,161,0,3,0,85,0,302,645
35012,"Brampton West/Brampton-Ouest"," 48","Brampton",3,1,44,128,1,0,2,35,0,214,587
35012,"Brampton West/Brampton-Ouest"," 49","Brampton",9,0,33,128,0,1,0,62,1,234,555
35012,"Brampton West/Brampton-Ouest"," 50","Brampton",8,1,32,105,2,0,1,53,4,206,444
35012,"Brampton West/Brampton-Ouest"," 51","Brampton",7,0,31,145,0,0,1,50,0,234,453
35012,"Brampton West/Brampton-Ouest"," 52","Brampton",3,0,26,128,0,1,1,48,0,207,459
35012,"Brampton West/Brampton-Ouest"," 53","Brampton",10,0,41,95,0,5,3,63,3,220,453
35012,"Brampton West/Brampton-Ouest"," 54","Brampton",10,1,38,105,2,2,1,44,1,204,432
35012,"Brampton West/Brampton-Ouest"," 55","Brampton",8,1,42,126,0,2,0,53,6,238,432
35012,"Brampton West/Brampton-Ouest"," 56","Brampton",7,1,35,97,0,4,1,61,2,208,438
35012,"Brampton West/Brampton-Ouest"," 57","Brampton",6,2,36,131,0,0,0,65,2,242,460
35012,"Brampton West/Brampton-Ouest"," 58","Brampton",3,0,35,123,0,0,0,31,5,197,513
35012,"Brampton West/Brampton-Ouest"," 59","Brampton",8,0,23,123,0,1,2,41,2,200,460
35012,"Brampton West/Brampton-Ouest"," 60","Brampton",4,0,41,101,0,5,1,67,3,222,472
35012,"Brampton West/Brampton-Ouest"," 61","Brampton",8,0,34,134,0,2,3,61,0,242,466
35012,"Brampton West/Brampton-Ouest"," 62","Brampton",4,0,27,108,1,1,0,57,1,199,448
35012,"Brampton West/Brampton-Ouest"," 63","Brampton",3,0,44,111,0,3,4,55,0,220,506
35012,"Brampton West/Brampton-Ouest"," 64","Brampton",8,0,52,122,0,1,2,66,2,253,488
35012,"Brampton West/Brampton-Ouest"," 65","Brampton",2,0,41,112,0,2,1,41,4,203,488
35012,"Brampton West/Brampton-Ouest"," 66","Brampton",5,0,24,100,0,1,0,43,3,176,429
35012,"Brampton West/Brampton-Ouest"," 67","Brampton",5,1,27,106,1,1,3,74,0,218,495
35012,"Brampton West/Brampton-Ouest"," 68","Brampton",7,0,27,145,0,1,0,56,6,242,514
35012,"Brampton West/Brampton-Ouest"," 69","Brampton",6,0,43,112,0,1,2,43,13,220,518
35012,"Brampton West/Brampton-Ouest"," 70","Brampton",3,0,44,129,0,2,1,44,1,224,521
35012,"Brampton West/Brampton-Ouest"," 71","Brampton",3,0,34,114,0,1,1,38,2,193,503
35012,"Brampton West/Brampton-Ouest"," 72","Brampton",10,0,31,137,0,1,1,43,5,228,473
35012,"Brampton West/Brampton-Ouest"," 73","Brampton",13,0,35,97,0,1,0,34,3,183,513
35012,"Brampton West/Brampton-Ouest"," 74A","Brampton",2,1,45,95,0,2,3,46,2,196,527
35012,"Brampton West/Brampton-Ouest"," 74B","Brampton",4,0,49,103,0,1,1,57,3,218,494
35012,"Brampton West/Brampton-Ouest"," 75","Brampton",11,0,35,157,0,3,1,63,4,274,629
35012,"Brampton West/Brampton-Ouest"," 76","Brampton",10,0,20,91,0,6,0,40,5,172,336
35012,"Brampton West/Brampton-Ouest"," 77","Brampton",2,0,45,143,0,1,0,55,10,256,456
35012,"Brampton West/Brampton-Ouest"," 78","Brampton",4,1,35,154,0,6,3,58,5,266,562
35012,"Brampton West/Brampton-Ouest"," 79","Brampton",3,0,47,141,1,0,0,54,7,253,515
35012,"Brampton West/Brampton-Ouest"," 80","Brampton",2,0,31,107,0,3,2,38,6,189,485
