Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Kathol,Pat Kelly,Nathan LeBlanc Fortin,Tyler Poulin,Shaoli Wang,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 207","Calgary",51,152,19,6,1,12,0,241,371
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 208","Calgary",40,87,15,2,1,10,0,155,266
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 209","Calgary",42,207,20,7,0,18,0,294,477
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 210","Calgary",59,170,40,2,0,16,1,288,506
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 400","Calgary",32,186,15,3,1,3,0,240,329
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 500","Mobile poll/Bureau itinérant",28,90,16,3,0,3,3,143,113
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 501","Mobile poll/Bureau itinérant",19,138,8,0,0,4,3,172,193
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 502","Mobile poll/Bureau itinérant",20,107,10,2,3,3,4,149,183
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 600","Calgary",200,1205,87,15,5,35,3,1550,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 601","Calgary",181,1018,79,21,5,37,3,1344,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 602","Calgary",146,694,75,18,3,54,1,991,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 603","Calgary",261,1322,97,34,7,53,4,1778,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 604","Calgary",178,1073,89,18,6,42,4,1410,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 605","Calgary",236,1081,142,15,2,50,6,1532,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 606","Calgary",189,1007,77,22,2,21,2,1320,
