Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Brassard,Bonnie North,Pekka Reinio,Stephanie Robinson,Lisa-Marie Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie--Innisfil/Barrie--Innisfil"," 128","Barrie",119,32,61,6,81,5,304,634
35004,"Barrie--Innisfil/Barrie--Innisfil"," 129","Barrie",113,22,49,2,94,4,284,574
35004,"Barrie--Innisfil/Barrie--Innisfil"," 130","Innisfil",121,33,45,9,67,2,277,551
35004,"Barrie--Innisfil/Barrie--Innisfil"," 131","Innisfil",112,28,44,2,75,1,262,510
35004,"Barrie--Innisfil/Barrie--Innisfil"," 132","Innisfil",94,16,21,8,87,0,226,424
35004,"Barrie--Innisfil/Barrie--Innisfil"," 133A","Innisfil",129,12,35,10,88,3,277,579
35004,"Barrie--Innisfil/Barrie--Innisfil"," 133B","Innisfil",155,13,23,4,94,0,289,623
35004,"Barrie--Innisfil/Barrie--Innisfil"," 134","Innisfil",92,23,31,7,35,1,189,454
35004,"Barrie--Innisfil/Barrie--Innisfil"," 135","Innisfil",96,7,48,5,54,0,210,538
35004,"Barrie--Innisfil/Barrie--Innisfil"," 136","Innisfil",90,6,25,9,55,2,187,490
35004,"Barrie--Innisfil/Barrie--Innisfil"," 137A","Innisfil",65,1,20,3,71,1,161,357
35004,"Barrie--Innisfil/Barrie--Innisfil"," 137B","Innisfil",76,5,19,4,61,5,170,377
35004,"Barrie--Innisfil/Barrie--Innisfil"," 138","Innisfil",118,9,24,2,53,0,206,536
35004,"Barrie--Innisfil/Barrie--Innisfil"," 139","Barrie",53,14,19,1,30,1,118,375
35004,"Barrie--Innisfil/Barrie--Innisfil"," 140","Barrie",80,21,37,5,53,0,196,453
35004,"Barrie--Innisfil/Barrie--Innisfil"," 141","Barrie",120,21,49,7,81,0,278,611
35004,"Barrie--Innisfil/Barrie--Innisfil"," 142","Barrie",77,23,28,5,53,0,186,498
35004,"Barrie--Innisfil/Barrie--Innisfil"," 143","Barrie",90,25,47,10,60,1,233,530
35004,"Barrie--Innisfil/Barrie--Innisfil"," 144","Innisfil",120,26,45,6,62,2,261,550
35004,"Barrie--Innisfil/Barrie--Innisfil"," 145","Innisfil",138,39,46,15,72,6,316,644
35004,"Barrie--Innisfil/Barrie--Innisfil"," 146","Innisfil",137,18,31,1,68,1,256,562
35004,"Barrie--Innisfil/Barrie--Innisfil"," 147","Innisfil",144,18,30,2,77,3,274,564
35004,"Barrie--Innisfil/Barrie--Innisfil"," 148","Innisfil",115,8,27,3,61,2,216,444
35004,"Barrie--Innisfil/Barrie--Innisfil"," 149A","Innisfil",57,10,20,2,55,1,145,384
35004,"Barrie--Innisfil/Barrie--Innisfil"," 149B","Innisfil",60,8,19,2,39,1,129,395
35004,"Barrie--Innisfil/Barrie--Innisfil"," 150","Innisfil",132,22,36,4,48,1,243,563
35004,"Barrie--Innisfil/Barrie--Innisfil"," 151","Innisfil",125,17,27,0,71,3,243,501
35004,"Barrie--Innisfil/Barrie--Innisfil"," 152","Innisfil",155,21,23,4,49,5,257,594
35004,"Barrie--Innisfil/Barrie--Innisfil"," 153","Innisfil",102,15,33,7,61,1,219,422
35004,"Barrie--Innisfil/Barrie--Innisfil"," 154","Innisfil",176,35,52,4,115,3,385,714
35004,"Barrie--Innisfil/Barrie--Innisfil"," 155","Innisfil",113,34,36,11,61,1,256,443
35004,"Barrie--Innisfil/Barrie--Innisfil"," 156","Innisfil",121,18,32,2,80,1,254,438
35004,"Barrie--Innisfil/Barrie--Innisfil"," 500","Mobile poll/Bureau itinérant",44,6,9,2,51,2,114,259
35004,"Barrie--Innisfil/Barrie--Innisfil"," 501","Mobile poll/Bureau itinérant",58,11,10,4,55,1,139,327
35004,"Barrie--Innisfil/Barrie--Innisfil"," 600","Innisfil",394,65,98,11,196,5,769,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 601","Barrie",444,75,112,24,284,3,942,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 602","Barrie",627,104,146,17,381,1,1276,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 603","Barrie",375,80,138,12,292,5,902,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 604","Barrie",323,53,108,12,199,4,699,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 605","Barrie",328,76,116,23,232,4,779,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 606","Barrie",376,100,140,10,325,5,956,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 607","Barrie",458,108,154,23,332,1,1076,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 608","Barrie",573,77,157,24,326,5,1162,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 609","Barrie",418,77,157,18,261,2,933,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 610","Barrie",497,97,173,10,294,7,1078,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 611","Innisfil",458,53,96,12,194,1,814,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 612","Innisfil",319,36,104,7,159,1,626,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 613","Innisfil",346,46,94,9,171,1,667,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 614","Innisfil",401,65,94,11,217,5,793,
35004,"Barrie--Innisfil/Barrie--Innisfil",,Group 1/Groupe 1, 44,15,11,2,60,4,136,128
35004,"Barrie--Innisfil/Barrie--Innisfil",,Group 2/Groupe 2, 631,179,254,34,482,45,1625,
