Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Majid Jowhari,Ichha Kohli,Costas Menegakis,Igor Tvorogov,Otto Wevers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 54","Richmond Hill",37,83,6,81,2,0,1,210,465
35087,"Richmond Hill/Richmond Hill"," 55","Richmond Hill",18,115,13,76,4,1,1,228,449
35087,"Richmond Hill/Richmond Hill"," 56","Richmond Hill",22,119,12,61,4,0,0,218,396
35087,"Richmond Hill/Richmond Hill"," 57","Richmond Hill",15,95,2,56,0,0,0,168,371
35087,"Richmond Hill/Richmond Hill"," 58","Richmond Hill",28,76,7,73,2,2,0,188,434
35087,"Richmond Hill/Richmond Hill"," 59","Richmond Hill",18,97,7,105,4,0,2,233,509
35087,"Richmond Hill/Richmond Hill"," 60","Richmond Hill",16,92,14,95,4,1,3,225,409
35087,"Richmond Hill/Richmond Hill"," 61","Richmond Hill",15,76,10,77,1,0,2,181,377
35087,"Richmond Hill/Richmond Hill"," 62","Richmond Hill",12,105,10,80,1,1,3,212,375
35087,"Richmond Hill/Richmond Hill"," 63","Richmond Hill",24,65,9,69,5,0,1,173,359
35087,"Richmond Hill/Richmond Hill"," 64","Richmond Hill",11,67,6,53,0,0,2,139,316
35087,"Richmond Hill/Richmond Hill"," 65","Richmond Hill",11,96,4,81,2,1,2,197,444
35087,"Richmond Hill/Richmond Hill"," 66","Richmond Hill",4,79,3,79,4,1,1,171,580
35087,"Richmond Hill/Richmond Hill"," 67","Richmond Hill",4,67,1,69,0,1,1,143,415
35087,"Richmond Hill/Richmond Hill"," 68","Richmond Hill",3,52,5,60,0,0,1,121,410
35087,"Richmond Hill/Richmond Hill"," 69","Richmond Hill",11,90,3,110,3,3,1,221,541
35087,"Richmond Hill/Richmond Hill"," 70","Richmond Hill",10,64,4,123,2,3,4,210,532
35087,"Richmond Hill/Richmond Hill"," 71","Richmond Hill",14,62,6,60,2,0,2,146,369
35087,"Richmond Hill/Richmond Hill"," 72","Richmond Hill",12,102,5,60,3,0,0,182,466
35087,"Richmond Hill/Richmond Hill"," 73","Richmond Hill",20,47,3,66,2,2,3,143,414
35087,"Richmond Hill/Richmond Hill"," 74","Richmond Hill",12,61,5,62,1,0,0,141,359
35087,"Richmond Hill/Richmond Hill"," 75","Richmond Hill",23,81,9,55,6,1,3,178,443
35087,"Richmond Hill/Richmond Hill"," 76","Richmond Hill",20,65,8,91,0,1,1,186,463
35087,"Richmond Hill/Richmond Hill"," 77","Richmond Hill",31,99,10,70,1,0,3,214,566
35087,"Richmond Hill/Richmond Hill"," 78","Richmond Hill",9,58,3,51,1,0,3,125,349
35087,"Richmond Hill/Richmond Hill"," 79","Richmond Hill",18,68,7,61,3,0,4,161,459
35087,"Richmond Hill/Richmond Hill"," 80","Richmond Hill",14,79,8,21,3,0,4,129,364
35087,"Richmond Hill/Richmond Hill"," 81","Richmond Hill",6,44,5,83,0,0,1,139,382
35087,"Richmond Hill/Richmond Hill"," 82","Richmond Hill",11,40,3,55,0,0,1,110,377
35087,"Richmond Hill/Richmond Hill"," 83","Richmond Hill",8,54,3,59,0,0,1,125,375
35087,"Richmond Hill/Richmond Hill"," 84","Richmond Hill",10,58,3,65,4,0,3,143,459
35087,"Richmond Hill/Richmond Hill"," 85","Richmond Hill",11,68,4,69,1,0,2,155,426
35087,"Richmond Hill/Richmond Hill"," 86","Richmond Hill",7,54,2,78,0,0,2,143,377
35087,"Richmond Hill/Richmond Hill"," 87","Richmond Hill",12,48,6,76,0,0,0,142,443
35087,"Richmond Hill/Richmond Hill"," 88","Richmond Hill",23,79,7,71,4,0,0,184,438
35087,"Richmond Hill/Richmond Hill"," 89","Richmond Hill",20,122,12,90,1,1,2,248,495
35087,"Richmond Hill/Richmond Hill"," 90","Richmond Hill",26,115,6,66,7,0,0,220,381
35087,"Richmond Hill/Richmond Hill"," 91","Richmond Hill",31,78,7,74,3,0,1,194,394
35087,"Richmond Hill/Richmond Hill"," 92","Richmond Hill",17,102,6,93,6,1,0,225,385
35087,"Richmond Hill/Richmond Hill"," 93","Richmond Hill",13,87,7,66,1,0,1,175,344
35087,"Richmond Hill/Richmond Hill"," 94","Richmond Hill",14,60,6,54,4,0,1,139,529
35087,"Richmond Hill/Richmond Hill"," 95","Richmond Hill",10,52,2,91,1,0,1,157,441
35087,"Richmond Hill/Richmond Hill"," 96","Richmond Hill",16,105,4,119,0,1,1,246,532
35087,"Richmond Hill/Richmond Hill"," 97","Richmond Hill",23,89,2,113,2,2,1,232,592
35087,"Richmond Hill/Richmond Hill"," 98","Richmond Hill",8,57,7,74,2,0,0,148,512
35087,"Richmond Hill/Richmond Hill"," 99","Richmond Hill",16,60,1,60,2,1,0,140,342
35087,"Richmond Hill/Richmond Hill"," 100","Richmond Hill",15,86,6,100,1,0,2,210,444
35087,"Richmond Hill/Richmond Hill"," 101","Richmond Hill",21,56,4,87,3,1,0,172,417
35087,"Richmond Hill/Richmond Hill"," 102","Richmond Hill",16,55,5,76,2,0,4,158,481
35087,"Richmond Hill/Richmond Hill"," 103","Richmond Hill",30,80,1,48,3,0,7,169,384
35087,"Richmond Hill/Richmond Hill"," 104","Richmond Hill",12,49,4,50,2,0,1,118,302
35087,"Richmond Hill/Richmond Hill"," 105A","Richmond Hill",14,60,4,61,1,0,1,141,354
35087,"Richmond Hill/Richmond Hill"," 105B","Richmond Hill",10,86,6,45,4,0,1,152,366
35087,"Richmond Hill/Richmond Hill"," 106","Richmond Hill",18,102,6,111,0,2,4,243,528
35087,"Richmond Hill/Richmond Hill"," 107","Richmond Hill",10,39,6,78,0,0,1,134,347
35087,"Richmond Hill/Richmond Hill"," 108","Richmond Hill",18,103,3,105,0,0,0,229,521
35087,"Richmond Hill/Richmond Hill"," 109","Richmond Hill",14,62,7,48,3,0,0,134,381
35087,"Richmond Hill/Richmond Hill"," 110","Richmond Hill",8,44,3,72,1,1,1,130,452
35087,"Richmond Hill/Richmond Hill"," 111","Richmond Hill",9,61,1,68,0,1,0,140,375
35087,"Richmond Hill/Richmond Hill"," 112","Richmond Hill",14,58,2,40,3,0,0,117,359
35087,"Richmond Hill/Richmond Hill"," 113","Richmond Hill",34,127,9,81,1,0,2,254,532
35087,"Richmond Hill/Richmond Hill"," 114","Richmond Hill",26,53,7,50,2,1,0,139,344
35087,"Richmond Hill/Richmond Hill"," 115","Richmond Hill",20,82,4,70,3,1,1,181,385
35087,"Richmond Hill/Richmond Hill"," 116","Richmond Hill",32,116,11,84,1,2,3,249,534
35087,"Richmond Hill/Richmond Hill"," 117","Richmond Hill",22,105,7,71,4,1,0,210,454
35087,"Richmond Hill/Richmond Hill"," 118","Richmond Hill",13,90,4,64,3,3,0,177,380
35087,"Richmond Hill/Richmond Hill"," 119","Richmond Hill",27,123,11,80,0,1,2,244,519
35087,"Richmond Hill/Richmond Hill"," 120","Richmond Hill",21,97,10,74,3,1,0,206,510
35087,"Richmond Hill/Richmond Hill"," 121","Richmond Hill",4,65,5,87,1,0,0,162,414
35087,"Richmond Hill/Richmond Hill"," 122","Richmond Hill",13,60,5,94,1,0,0,173,455
35087,"Richmond Hill/Richmond Hill"," 123","Richmond Hill",22,118,10,80,2,0,1,233,548
35087,"Richmond Hill/Richmond Hill"," 124","Richmond Hill",22,62,6,74,5,0,0,169,483
35087,"Richmond Hill/Richmond Hill"," 125","Richmond Hill",16,59,4,55,1,0,2,137,419
35087,"Richmond Hill/Richmond Hill"," 126","Richmond Hill",10,72,3,70,0,1,0,156,456
35087,"Richmond Hill/Richmond Hill"," 127","Richmond Hill",12,68,2,81,1,0,1,165,485
35087,"Richmond Hill/Richmond Hill"," 128","Richmond Hill",9,68,2,102,6,1,0,188,526
35087,"Richmond Hill/Richmond Hill"," 129","Richmond Hill",10,54,5,61,0,0,0,130,366
35087,"Richmond Hill/Richmond Hill"," 130","Markham",6,56,3,53,0,0,2,120,372
35087,"Richmond Hill/Richmond Hill"," 131","Markham",11,27,4,53,0,0,2,97,392
35087,"Richmond Hill/Richmond Hill"," 132","Markham",8,30,3,52,0,0,0,93,375
35087,"Richmond Hill/Richmond Hill"," 133","Richmond Hill",3,64,7,92,0,1,0,167,417
35087,"Richmond Hill/Richmond Hill"," 134","Richmond Hill",13,65,11,91,2,1,0,183,446
35087,"Richmond Hill/Richmond Hill"," 135A","Richmond Hill",6,59,5,43,0,0,1,114,327
35087,"Richmond Hill/Richmond Hill"," 135B","Richmond Hill",12,50,4,93,2,3,2,166,490
35087,"Richmond Hill/Richmond Hill"," 136","Richmond Hill",14,92,7,129,3,1,2,248,568
35087,"Richmond Hill/Richmond Hill"," 137","Richmond Hill",16,74,6,89,5,0,1,191,476
35087,"Richmond Hill/Richmond Hill"," 138","Richmond Hill",13,66,9,72,1,0,1,162,395
35087,"Richmond Hill/Richmond Hill"," 139","Richmond Hill",9,64,6,50,3,0,1,133,437
35087,"Richmond Hill/Richmond Hill"," 140","Richmond Hill",11,67,8,78,3,0,3,170,422
35087,"Richmond Hill/Richmond Hill"," 141","Richmond Hill",14,95,2,72,0,1,1,185,398
35087,"Richmond Hill/Richmond Hill"," 142","Richmond Hill",11,64,5,100,0,1,1,182,430
35087,"Richmond Hill/Richmond Hill"," 143","Richmond Hill",7,70,5,137,1,0,2,222,619
35087,"Richmond Hill/Richmond Hill"," 144","Richmond Hill",22,64,3,87,2,0,0,178,476
35087,"Richmond Hill/Richmond Hill"," 145","Richmond Hill",13,75,5,73,2,0,3,171,434
35087,"Richmond Hill/Richmond Hill"," 146","Richmond Hill",9,62,5,50,3,0,0,129,356
35087,"Richmond Hill/Richmond Hill"," 147","Richmond Hill",14,69,4,71,4,0,2,164,403
35087,"Richmond Hill/Richmond Hill"," 148","Richmond Hill",16,67,8,56,2,0,2,151,438
35087,"Richmond Hill/Richmond Hill"," 149A","Richmond Hill",17,78,7,60,0,3,9,174,443
35087,"Richmond Hill/Richmond Hill"," 149B","Richmond Hill",25,87,3,66,2,1,9,193,530
35087,"Richmond Hill/Richmond Hill"," 150","Richmond Hill",22,87,4,71,2,0,1,187,426
35087,"Richmond Hill/Richmond Hill"," 151","Richmond Hill",13,76,10,65,2,1,0,167,394
35087,"Richmond Hill/Richmond Hill"," 152","Richmond Hill",24,74,5,45,2,0,3,153,417
35087,"Richmond Hill/Richmond Hill"," 153A","Richmond Hill",14,78,7,52,1,0,1,153,404
35087,"Richmond Hill/Richmond Hill"," 153B","Richmond Hill",26,68,3,50,2,2,3,154,400
35087,"Richmond Hill/Richmond Hill"," 154","Markham",30,103,7,116,4,0,9,269,542
35087,"Richmond Hill/Richmond Hill"," 155","Richmond Hill",13,82,7,71,4,0,1,178,513
35087,"Richmond Hill/Richmond Hill"," 156","Richmond Hill",4,99,6,92,1,0,1,203,506
35087,"Richmond Hill/Richmond Hill"," 157","Richmond Hill",3,34,0,78,0,1,3,119,354
35087,"Richmond Hill/Richmond Hill"," 158","Richmond Hill",8,90,2,82,0,0,1,183,446
35087,"Richmond Hill/Richmond Hill"," 159","Richmond Hill",15,101,10,53,0,2,0,181,456
35087,"Richmond Hill/Richmond Hill"," 160","Richmond Hill",18,70,2,74,0,0,2,166,377
35087,"Richmond Hill/Richmond Hill"," 400","Richmond Hill",19,77,4,63,6,0,2,171,256
35087,"Richmond Hill/Richmond Hill"," 401","Richmond Hill",19,84,14,47,2,0,6,172,281
35087,"Richmond Hill/Richmond Hill"," 402","Richmond Hill",22,68,2,44,2,1,3,142,225
35087,"Richmond Hill/Richmond Hill"," 403","Richmond Hill",22,117,7,51,1,0,1,199,348
35087,"Richmond Hill/Richmond Hill"," 404","Richmond Hill",11,29,4,53,1,2,3,103,160
35087,"Richmond Hill/Richmond Hill"," 405","Richmond Hill",17,78,2,43,2,0,2,144,235
35087,"Richmond Hill/Richmond Hill"," 406","Richmond Hill",3,38,5,54,1,0,0,101,172
35087,"Richmond Hill/Richmond Hill"," 407","Richmond Hill",26,81,8,49,2,2,3,171,431
35087,"Richmond Hill/Richmond Hill"," 408","Richmond Hill",18,110,6,73,2,0,14,223,449
35087,"Richmond Hill/Richmond Hill"," 409","Richmond Hill",10,89,4,60,1,1,3,168,307
35087,"Richmond Hill/Richmond Hill"," 410","Richmond Hill",17,81,4,54,1,0,4,161,271
35087,"Richmond Hill/Richmond Hill"," 411","Richmond Hill",15,80,3,70,3,0,4,175,291
35087,"Richmond Hill/Richmond Hill"," 412","Richmond Hill",12,83,8,76,4,2,4,189,276
35087,"Richmond Hill/Richmond Hill"," 413","Richmond Hill",17,100,5,61,4,0,10,197,294
35087,"Richmond Hill/Richmond Hill"," 414","Richmond Hill",9,102,3,76,2,0,6,198,290
35087,"Richmond Hill/Richmond Hill"," 415","Richmond Hill",9,64,6,46,3,1,0,129,356
35087,"Richmond Hill/Richmond Hill"," 416","Richmond Hill",14,93,10,69,1,0,3,190,302
35087,"Richmond Hill/Richmond Hill"," 417","Richmond Hill",18,35,8,43,1,0,1,106,194
35087,"Richmond Hill/Richmond Hill"," 418","Richmond Hill",12,56,4,50,4,0,1,127,262
35087,"Richmond Hill/Richmond Hill"," 419","Richmond Hill",17,52,6,37,1,1,3,117,186
35087,"Richmond Hill/Richmond Hill"," 420","Richmond Hill",11,71,5,50,2,0,6,145,270
35087,"Richmond Hill/Richmond Hill"," 421","Richmond Hill",7,59,6,43,1,1,3,120,216
35087,"Richmond Hill/Richmond Hill"," 422","Richmond Hill",21,81,12,56,2,1,1,174,266
35087,"Richmond Hill/Richmond Hill"," 423","Richmond Hill",7,51,6,41,1,0,1,107,174
35087,"Richmond Hill/Richmond Hill"," 424","Richmond Hill",7,32,4,23,0,0,0,66,196
35087,"Richmond Hill/Richmond Hill"," 425","Richmond Hill",9,33,0,6,0,0,1,49,177
35087,"Richmond Hill/Richmond Hill"," 426","Richmond Hill",10,78,3,54,2,0,2,149,239
35087,"Richmond Hill/Richmond Hill"," 427","Richmond Hill",8,70,0,45,1,0,2,126,295
35087,"Richmond Hill/Richmond Hill"," 428","Richmond Hill",14,46,4,49,1,0,0,114,277
35087,"Richmond Hill/Richmond Hill"," 429","Richmond Hill",13,40,5,35,1,0,0,94,265
35087,"Richmond Hill/Richmond Hill"," 430","Richmond Hill",12,37,5,28,1,0,0,83,131
35087,"Richmond Hill/Richmond Hill"," 431","Richmond Hill",11,72,7,52,0,1,1,144,234
35087,"Richmond Hill/Richmond Hill"," 432","Markham",8,20,1,56,3,1,0,89,186
35087,"Richmond Hill/Richmond Hill"," 433","Richmond Hill",5,51,3,61,0,0,2,122,457
35087,"Richmond Hill/Richmond Hill"," 434","Richmond Hill",10,41,5,49,0,1,0,106,423
35087,"Richmond Hill/Richmond Hill"," 435","Markham",10,28,1,45,2,0,1,87,206
35087,"Richmond Hill/Richmond Hill"," 436","Markham",6,33,2,44,1,0,0,86,183
35087,"Richmond Hill/Richmond Hill"," 437","Richmond Hill",27,87,6,25,1,0,1,147,234
35087,"Richmond Hill/Richmond Hill"," 438","Markham",13,19,2,41,1,0,2,78,147
35087,"Richmond Hill/Richmond Hill"," 439","Markham",16,36,11,67,2,2,2,136,267
35087,"Richmond Hill/Richmond Hill"," 440","Markham",12,62,3,40,2,1,0,120,279
35087,"Richmond Hill/Richmond Hill"," 441","Markham",8,34,3,48,0,0,2,95,154
35087,"Richmond Hill/Richmond Hill"," 442","Markham",10,39,6,29,0,0,0,84,155
35087,"Richmond Hill/Richmond Hill"," 443","Markham",9,25,5,45,0,0,1,85,154
35087,"Richmond Hill/Richmond Hill"," 444","Markham",17,32,5,35,1,0,3,93,212
35087,"Richmond Hill/Richmond Hill"," 445","Markham",12,48,5,48,1,0,1,115,254
35087,"Richmond Hill/Richmond Hill"," 446","Richmond Hill",4,42,3,28,0,0,1,78,235
35087,"Richmond Hill/Richmond Hill"," 447","Richmond Hill",6,34,2,29,0,0,0,71,215
35087,"Richmond Hill/Richmond Hill"," 448","Richmond Hill",10,60,4,31,2,0,1,108,255
35087,"Richmond Hill/Richmond Hill"," 449","Richmond Hill",11,60,7,40,1,0,1,120,292
35087,"Richmond Hill/Richmond Hill"," 450","Markham",13,34,5,44,1,1,4,102,182
35087,"Richmond Hill/Richmond Hill"," 451","Markham",21,41,0,33,1,0,2,98,142
35087,"Richmond Hill/Richmond Hill"," 452","Markham",16,66,2,70,0,0,0,154,275
35087,"Richmond Hill/Richmond Hill"," 453","Richmond Hill",17,125,5,76,0,0,7,230,437
35087,"Richmond Hill/Richmond Hill"," 500","Mobile poll/Bureau itinérant",4,27,1,7,0,0,6,45,198
35087,"Richmond Hill/Richmond Hill"," 501","Mobile poll/Bureau itinérant",7,23,1,15,1,2,2,51,141
35087,"Richmond Hill/Richmond Hill"," 600","Richmond Hill",65,433,36,435,13,2,5,989,
35087,"Richmond Hill/Richmond Hill"," 601","Richmond Hill",109,454,44,354,4,3,13,981,
35087,"Richmond Hill/Richmond Hill"," 602","Richmond Hill",116,512,37,650,9,3,23,1350,
35087,"Richmond Hill/Richmond Hill"," 603","Richmond Hill",56,276,19,258,6,0,6,621,
35087,"Richmond Hill/Richmond Hill"," 604","Richmond Hill",89,439,32,396,10,1,11,978,
35087,"Richmond Hill/Richmond Hill"," 605","Richmond Hill",41,436,20,440,13,0,17,967,
35087,"Richmond Hill/Richmond Hill"," 606","Richmond Hill",77,383,25,311,10,2,7,815,
35087,"Richmond Hill/Richmond Hill"," 607","Richmond Hill",57,566,25,815,11,0,10,1484,
35087,"Richmond Hill/Richmond Hill"," 608","Richmond Hill",57,397,33,559,9,3,5,1063,
35087,"Richmond Hill/Richmond Hill"," 609","Richmond Hill",74,319,13,393,8,0,4,811,
35087,"Richmond Hill/Richmond Hill"," 610","Richmond Hill",76,447,40,354,10,5,6,938,
35087,"Richmond Hill/Richmond Hill"," 611","Richmond Hill",53,451,20,454,12,1,6,997,
35087,"Richmond Hill/Richmond Hill"," 612","Richmond Hill",86,492,31,474,6,3,25,1117,
35087,"Richmond Hill/Richmond Hill"," 613","Richmond Hill",43,328,32,457,1,1,9,871,
35087,"Richmond Hill/Richmond Hill"," 614","Markham",53,142,18,282,7,0,12,514,
35087,"Richmond Hill/Richmond Hill",,Group 1/Groupe 1, 26,110,11,69,0,0,17,233,371
35087,"Richmond Hill/Richmond Hill",,Group 2/Groupe 2, 133,534,52,299,8,3,32,1061,
