Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Boissonnault,James Cumming,Donovan Eckstrom,Paul Hookham,Peggy Morton,Grad Murray,Adil Pirbhai,Katherine Swampy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton Centre/Edmonton-Centre"," 112","Edmonton",43,32,0,2,0,2,0,37,0,116,260
48014,"Edmonton Centre/Edmonton-Centre"," 113","Edmonton",62,68,1,1,0,3,0,44,0,179,496
48014,"Edmonton Centre/Edmonton-Centre"," 114","Edmonton",72,70,1,7,0,5,2,69,1,227,502
48014,"Edmonton Centre/Edmonton-Centre"," 115","Edmonton",123,113,2,1,0,0,0,67,1,307,628
48014,"Edmonton Centre/Edmonton-Centre"," 116","Edmonton",85,71,0,1,0,3,1,45,1,207,587
48014,"Edmonton Centre/Edmonton-Centre"," 117","Edmonton",56,55,1,1,0,3,0,47,1,164,374
48014,"Edmonton Centre/Edmonton-Centre"," 118","Edmonton",38,31,1,1,0,2,0,46,0,119,297
48014,"Edmonton Centre/Edmonton-Centre"," 119","Edmonton",65,86,1,5,0,11,0,69,1,238,555
48014,"Edmonton Centre/Edmonton-Centre"," 120","Edmonton",101,68,2,0,1,3,0,54,2,231,529
48014,"Edmonton Centre/Edmonton-Centre"," 121","Edmonton",70,41,1,6,0,5,0,41,0,164,453
48014,"Edmonton Centre/Edmonton-Centre"," 122","Edmonton",63,49,1,0,1,9,1,47,3,174,505
48014,"Edmonton Centre/Edmonton-Centre"," 123","Edmonton",90,57,1,4,0,3,0,45,0,200,485
48014,"Edmonton Centre/Edmonton-Centre"," 124","Edmonton",82,93,1,4,0,2,0,38,0,220,521
48014,"Edmonton Centre/Edmonton-Centre"," 125","Edmonton",73,76,0,6,1,7,0,40,0,203,479
48014,"Edmonton Centre/Edmonton-Centre"," 126","Edmonton",60,104,0,3,0,7,1,36,0,211,549
48014,"Edmonton Centre/Edmonton-Centre"," 127","Edmonton",41,96,0,3,0,8,0,40,0,188,395
48014,"Edmonton Centre/Edmonton-Centre"," 128","Edmonton",35,84,0,2,1,9,0,31,0,162,409
48014,"Edmonton Centre/Edmonton-Centre"," 129","Edmonton",18,115,0,8,1,0,0,48,0,190,391
48014,"Edmonton Centre/Edmonton-Centre"," 130","Edmonton",42,103,1,3,0,2,0,48,0,199,435
48014,"Edmonton Centre/Edmonton-Centre"," 131","Edmonton",35,133,0,1,0,3,0,13,2,187,427
48014,"Edmonton Centre/Edmonton-Centre"," 132","Edmonton",41,110,1,3,0,9,2,25,1,192,431
48014,"Edmonton Centre/Edmonton-Centre"," 133","Edmonton",115,93,1,4,0,2,1,50,0,266,566
48014,"Edmonton Centre/Edmonton-Centre"," 134","Edmonton",78,38,0,2,0,5,0,48,0,171,442
48014,"Edmonton Centre/Edmonton-Centre"," 135","Edmonton",90,103,1,0,0,4,0,40,0,238,429
48014,"Edmonton Centre/Edmonton-Centre"," 136","Edmonton",84,118,1,3,0,3,0,46,0,255,419
48014,"Edmonton Centre/Edmonton-Centre"," 137","Edmonton",70,119,1,1,0,5,0,20,0,216,406
48014,"Edmonton Centre/Edmonton-Centre"," 138","Edmonton",76,106,0,1,1,5,0,25,0,214,422
48014,"Edmonton Centre/Edmonton-Centre"," 139","Edmonton",97,64,0,1,0,7,1,56,0,226,413
48014,"Edmonton Centre/Edmonton-Centre"," 140","Edmonton",64,52,1,3,0,7,1,57,3,188,316
48014,"Edmonton Centre/Edmonton-Centre"," 141","Edmonton",67,72,1,1,0,4,1,34,15,195,341
48014,"Edmonton Centre/Edmonton-Centre"," 142","Edmonton",88,76,2,6,0,9,0,75,1,257,597
48014,"Edmonton Centre/Edmonton-Centre"," 143","Edmonton",83,46,3,3,1,9,0,70,0,215,457
48014,"Edmonton Centre/Edmonton-Centre"," 144","Edmonton",83,61,0,7,1,4,0,69,0,225,469
48014,"Edmonton Centre/Edmonton-Centre"," 145","Edmonton",75,57,3,2,1,5,0,72,0,215,427
48014,"Edmonton Centre/Edmonton-Centre"," 146","Edmonton",95,77,2,3,1,6,1,81,2,268,495
48014,"Edmonton Centre/Edmonton-Centre"," 147","Edmonton",78,81,1,2,0,7,0,69,1,239,562
48014,"Edmonton Centre/Edmonton-Centre"," 148","Edmonton",126,120,2,2,1,12,1,88,2,354,700
48014,"Edmonton Centre/Edmonton-Centre"," 149","Edmonton",71,78,0,12,1,5,2,87,0,256,511
48014,"Edmonton Centre/Edmonton-Centre"," 150","Edmonton",67,68,3,6,0,14,2,71,0,231,497
48014,"Edmonton Centre/Edmonton-Centre"," 151A","Edmonton",76,38,0,4,0,5,0,48,1,172,340
48014,"Edmonton Centre/Edmonton-Centre"," 151B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,,112
48014,"Edmonton Centre/Edmonton-Centre"," 152","Edmonton",139,107,2,6,0,6,0,95,3,358,641
48014,"Edmonton Centre/Edmonton-Centre"," 153","Edmonton",91,70,0,2,0,5,1,75,1,245,503
48014,"Edmonton Centre/Edmonton-Centre"," 154","Edmonton",75,107,0,4,0,6,0,60,1,253,555
48014,"Edmonton Centre/Edmonton-Centre"," 155","Edmonton",42,107,0,4,0,4,2,58,0,217,395
48014,"Edmonton Centre/Edmonton-Centre"," 156","Edmonton",49,135,1,5,0,8,0,49,0,247,419
48014,"Edmonton Centre/Edmonton-Centre"," 157","Edmonton",45,82,0,3,1,1,0,40,1,173,341
48014,"Edmonton Centre/Edmonton-Centre"," 158","Edmonton",58,153,3,4,0,7,1,28,0,254,386
48014,"Edmonton Centre/Edmonton-Centre"," 159","Edmonton",60,103,0,1,0,10,1,43,2,220,452
48014,"Edmonton Centre/Edmonton-Centre"," 160","Edmonton",92,94,2,5,0,3,0,36,2,234,443
48014,"Edmonton Centre/Edmonton-Centre"," 161","Edmonton",58,139,1,2,0,5,0,20,0,225,398
48014,"Edmonton Centre/Edmonton-Centre"," 162","Edmonton",54,100,1,0,0,4,0,18,2,179,437
48014,"Edmonton Centre/Edmonton-Centre"," 163","Edmonton",119,99,2,5,0,5,0,73,0,303,539
48014,"Edmonton Centre/Edmonton-Centre"," 164","Edmonton",64,104,2,4,0,8,1,51,4,238,517
48014,"Edmonton Centre/Edmonton-Centre"," 165","Edmonton",78,146,2,0,0,4,1,33,0,264,385
48014,"Edmonton Centre/Edmonton-Centre"," 166","Edmonton",70,103,1,2,0,4,0,26,1,207,382
48014,"Edmonton Centre/Edmonton-Centre"," 167","Edmonton",90,114,1,5,0,9,0,38,0,257,501
48014,"Edmonton Centre/Edmonton-Centre"," 168A","Edmonton",60,95,1,1,0,3,0,15,2,177,340
48014,"Edmonton Centre/Edmonton-Centre"," 168B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,151
48014,"Edmonton Centre/Edmonton-Centre"," 168C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,99
48014,"Edmonton Centre/Edmonton-Centre"," 169","Edmonton",97,93,0,1,0,7,0,31,1,230,425
48014,"Edmonton Centre/Edmonton-Centre"," 170","Edmonton",78,131,1,4,1,3,0,21,0,239,438
48014,"Edmonton Centre/Edmonton-Centre"," 171","Edmonton",121,132,1,9,1,8,1,42,2,317,496
48014,"Edmonton Centre/Edmonton-Centre"," 172","Edmonton",52,122,0,1,0,5,0,21,0,201,367
48014,"Edmonton Centre/Edmonton-Centre"," 173","Edmonton",53,146,0,3,0,8,0,39,2,251,413
48014,"Edmonton Centre/Edmonton-Centre"," 400","Edmonton",53,141,2,4,0,4,1,36,2,243,397
48014,"Edmonton Centre/Edmonton-Centre"," 401","Edmonton",58,85,2,2,0,2,2,27,2,180,303
48014,"Edmonton Centre/Edmonton-Centre"," 402","Edmonton",Void/Supprimé,,,,,,,,,,
48014,"Edmonton Centre/Edmonton-Centre"," 403","Edmonton",36,28,1,2,0,5,1,49,0,122,255
48014,"Edmonton Centre/Edmonton-Centre"," 404A","Edmonton",15,20,1,4,2,5,0,8,1,56,146
48014,"Edmonton Centre/Edmonton-Centre"," 404B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,,,2
48014,"Edmonton Centre/Edmonton-Centre"," 405","Edmonton",35,29,0,1,0,3,0,16,2,86,160
48014,"Edmonton Centre/Edmonton-Centre"," 406","Edmonton",19,17,1,0,0,4,0,26,1,68,178
48014,"Edmonton Centre/Edmonton-Centre"," 407","Edmonton",46,32,1,1,0,0,0,10,2,92,141
48014,"Edmonton Centre/Edmonton-Centre"," 500","Mobile poll/Bureau itinérant",82,165,3,1,3,10,0,28,14,306,169
48014,"Edmonton Centre/Edmonton-Centre"," 501","Mobile poll/Bureau itinérant",54,61,2,3,2,3,1,16,7,149,224
48014,"Edmonton Centre/Edmonton-Centre"," 502","Mobile poll/Bureau itinérant",86,60,1,3,0,6,2,22,1,181,204
48014,"Edmonton Centre/Edmonton-Centre"," 503","Mobile poll/Bureau itinérant",87,58,0,1,0,4,0,17,4,171,184
48014,"Edmonton Centre/Edmonton-Centre"," 504A","Mobile poll/Bureau itinérant",24,23,0,1,0,2,1,10,0,61,75
48014,"Edmonton Centre/Edmonton-Centre"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,,107
48014,"Edmonton Centre/Edmonton-Centre"," 600","Edmonton",189,303,0,9,0,15,2,105,2,625,
48014,"Edmonton Centre/Edmonton-Centre"," 601","Edmonton",89,237,1,9,0,13,0,79,1,429,
48014,"Edmonton Centre/Edmonton-Centre"," 602","Edmonton",145,233,3,12,3,21,1,90,1,509,
48014,"Edmonton Centre/Edmonton-Centre"," 603","Edmonton",272,227,4,16,0,21,2,126,2,670,
48014,"Edmonton Centre/Edmonton-Centre"," 604","Edmonton",225,122,3,9,1,11,2,75,3,451,
48014,"Edmonton Centre/Edmonton-Centre"," 605","Edmonton",444,360,7,16,3,37,3,200,7,1077,
48014,"Edmonton Centre/Edmonton-Centre"," 606","Edmonton",289,223,2,13,2,27,3,122,3,684,
48014,"Edmonton Centre/Edmonton-Centre"," 607","Edmonton",315,355,0,10,2,15,0,101,7,805,
48014,"Edmonton Centre/Edmonton-Centre"," 608","Edmonton",339,222,4,13,0,25,1,156,9,769,
48014,"Edmonton Centre/Edmonton-Centre"," 609","Edmonton",336,265,3,16,0,21,1,178,1,821,
48014,"Edmonton Centre/Edmonton-Centre"," 610","Edmonton",365,390,1,17,3,32,4,151,3,966,
48014,"Edmonton Centre/Edmonton-Centre"," 611","Edmonton",410,632,4,9,0,27,2,89,5,1178,
48014,"Edmonton Centre/Edmonton-Centre"," 612","Edmonton",140,390,2,10,0,18,0,92,3,655,
48014,"Edmonton Centre/Edmonton-Centre"," 613","Edmonton",247,569,3,13,0,15,0,99,2,948,
48014,"Edmonton Centre/Edmonton-Centre"," 614","Edmonton",267,576,3,5,2,15,0,98,2,968,
48014,"Edmonton Centre/Edmonton-Centre"," 615","Edmonton",298,510,1,6,0,21,1,85,0,922,
48014,"Edmonton Centre/Edmonton-Centre",,Group 1/Groupe 1, 242,109,2,11,2,29,3,99,45,542,587
48014,"Edmonton Centre/Edmonton-Centre",,Group 2/Groupe 2, 823,897,5,37,5,69,6,450,55,2347,
