Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shandi Bleiken,Amy Bronson,Rachael Harder,Grant Hepworth,Marc Slingerland,Stephnie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Lethbridge/Lethbridge"," 95","Lethbridge",44,23,53,4,0,4,0,128,348
48026,"Lethbridge/Lethbridge"," 96","Lethbridge",31,26,34,2,1,10,1,105,284
48026,"Lethbridge/Lethbridge"," 97","Lethbridge",45,46,83,3,0,7,0,184,422
48026,"Lethbridge/Lethbridge"," 98","Lethbridge",41,28,72,1,0,11,2,155,454
48026,"Lethbridge/Lethbridge"," 99","Lethbridge",50,36,62,3,2,13,0,166,442
48026,"Lethbridge/Lethbridge"," 100","Lethbridge",62,49,81,4,1,16,0,213,421
48026,"Lethbridge/Lethbridge"," 101","Lethbridge",24,15,100,1,0,0,1,141,272
48026,"Lethbridge/Lethbridge"," 102","Lethbridge",57,34,120,2,1,9,2,225,500
48026,"Lethbridge/Lethbridge"," 103","Lethbridge",24,28,88,5,0,3,0,148,387
48026,"Lethbridge/Lethbridge"," 104","Lethbridge",56,38,136,1,2,11,1,245,564
48026,"Lethbridge/Lethbridge"," 105","Lethbridge",58,28,148,2,4,4,1,245,539
48026,"Lethbridge/Lethbridge"," 106","Lethbridge",38,29,83,1,0,5,1,157,380
48026,"Lethbridge/Lethbridge"," 107","Lethbridge",38,34,93,1,2,5,0,173,364
48026,"Lethbridge/Lethbridge"," 108A","Lethbridge",41,37,127,2,0,2,0,209,480
48026,"Lethbridge/Lethbridge"," 108B","Lethbridge",32,23,113,1,2,6,1,178,398
48026,"Lethbridge/Lethbridge"," 109","Lethbridge",40,34,95,2,2,9,0,182,393
48026,"Lethbridge/Lethbridge"," 110","Lethbridge",37,48,60,0,0,4,0,149,387
48026,"Lethbridge/Lethbridge"," 111","Lethbridge",41,24,127,2,1,11,1,207,442
48026,"Lethbridge/Lethbridge"," 112","Lethbridge",48,32,77,2,2,8,0,169,415
48026,"Lethbridge/Lethbridge"," 113","Lethbridge",36,35,91,1,3,11,0,177,417
48026,"Lethbridge/Lethbridge"," 114","Lethbridge",43,45,157,4,1,12,1,263,498
48026,"Lethbridge/Lethbridge"," 115","Lethbridge",43,46,153,2,1,10,0,255,477
48026,"Lethbridge/Lethbridge"," 116","Lethbridge",30,34,126,9,0,3,0,202,424
48026,"Lethbridge/Lethbridge"," 117","Lethbridge",75,30,134,5,0,5,3,252,522
48026,"Lethbridge/Lethbridge"," 118","Lethbridge",50,27,96,9,1,9,3,195,411
48026,"Lethbridge/Lethbridge"," 119","Lethbridge",63,51,104,4,3,11,0,236,502
48026,"Lethbridge/Lethbridge"," 120","Lethbridge",69,36,131,8,1,8,2,255,530
48026,"Lethbridge/Lethbridge"," 121","Lethbridge",54,41,121,5,2,9,2,234,527
48026,"Lethbridge/Lethbridge"," 122","Lethbridge",39,17,87,6,5,4,3,161,400
48026,"Lethbridge/Lethbridge"," 123","Lethbridge",63,34,100,3,3,9,0,212,500
48026,"Lethbridge/Lethbridge"," 124","Lethbridge",72,40,96,3,0,9,2,222,445
48026,"Lethbridge/Lethbridge"," 125","Lethbridge",51,31,145,6,0,10,0,243,486
48026,"Lethbridge/Lethbridge"," 126","Lethbridge",38,25,121,1,0,6,0,191,338
48026,"Lethbridge/Lethbridge"," 127","Lethbridge",46,56,134,4,3,14,1,258,430
48026,"Lethbridge/Lethbridge"," 128","Lethbridge",59,46,139,8,2,9,2,265,555
48026,"Lethbridge/Lethbridge"," 129","Lethbridge",41,42,93,2,1,11,1,191,412
48026,"Lethbridge/Lethbridge"," 130","Lethbridge",31,25,95,2,1,8,0,162,341
48026,"Lethbridge/Lethbridge"," 131","Lethbridge",34,38,124,2,0,6,0,204,428
48026,"Lethbridge/Lethbridge"," 132","Lethbridge",35,38,105,4,2,8,0,192,398
48026,"Lethbridge/Lethbridge"," 133","Lethbridge",43,31,169,3,2,10,1,259,473
48026,"Lethbridge/Lethbridge"," 134","Lethbridge",39,29,116,10,2,7,1,204,376
48026,"Lethbridge/Lethbridge"," 135","Lethbridge",62,29,113,7,3,7,2,223,424
48026,"Lethbridge/Lethbridge"," 136","Lethbridge",48,46,120,2,1,9,0,226,464
48026,"Lethbridge/Lethbridge"," 137","Lethbridge",48,29,71,1,0,4,4,157,402
48026,"Lethbridge/Lethbridge"," 138","Coaldale",6,7,94,3,0,4,0,114,331
48026,"Lethbridge/Lethbridge"," 139","Coaldale",13,10,123,0,1,4,0,151,357
48026,"Lethbridge/Lethbridge"," 140","Coaldale",16,16,124,4,4,8,1,173,384
48026,"Lethbridge/Lethbridge"," 141","Coaldale",21,20,184,2,2,4,0,233,557
48026,"Lethbridge/Lethbridge"," 142","Lethbridge",36,32,106,0,2,7,0,183,372
48026,"Lethbridge/Lethbridge"," 143","Lethbridge",22,26,121,4,0,4,3,180,368
48026,"Lethbridge/Lethbridge"," 144","Lethbridge",43,67,112,7,3,4,2,238,446
48026,"Lethbridge/Lethbridge"," 145","Lethbridge",47,41,111,4,1,5,0,209,394
48026,"Lethbridge/Lethbridge"," 146","Lethbridge",28,34,124,5,0,7,2,200,484
48026,"Lethbridge/Lethbridge"," 147","Lethbridge",29,28,127,7,1,3,0,195,430
48026,"Lethbridge/Lethbridge"," 148","Lethbridge",22,28,96,2,0,4,0,152,373
48026,"Lethbridge/Lethbridge"," 149","Lethbridge",24,27,101,5,2,6,0,165,386
48026,"Lethbridge/Lethbridge"," 150","Lethbridge",22,34,115,6,2,6,2,187,366
48026,"Lethbridge/Lethbridge"," 151","Lethbridge",29,22,75,3,2,7,0,138,356
48026,"Lethbridge/Lethbridge"," 152","Lethbridge",32,33,145,7,0,10,0,227,408
48026,"Lethbridge/Lethbridge"," 153","Lethbridge",30,24,141,6,3,1,2,207,399
48026,"Lethbridge/Lethbridge"," 154","Lethbridge",21,19,81,1,2,11,0,135,362
48026,"Lethbridge/Lethbridge"," 155","Lethbridge",54,27,146,2,1,8,1,239,397
48026,"Lethbridge/Lethbridge"," 156","Lethbridge",48,31,130,2,2,10,0,223,453
48026,"Lethbridge/Lethbridge"," 157","Lethbridge",54,32,148,5,1,5,0,245,399
48026,"Lethbridge/Lethbridge"," 158","Lethbridge",52,45,168,3,1,9,0,278,489
48026,"Lethbridge/Lethbridge"," 159","Lethbridge",58,44,84,1,1,4,0,192,338
48026,"Lethbridge/Lethbridge"," 160","Lethbridge",48,33,127,2,2,7,1,220,435
48026,"Lethbridge/Lethbridge"," 161","Lethbridge",49,34,99,0,1,2,1,186,399
48026,"Lethbridge/Lethbridge"," 162","Lethbridge",74,52,178,5,2,6,3,320,601
48026,"Lethbridge/Lethbridge"," 163","Lethbridge",32,25,130,1,0,6,1,195,401
48026,"Lethbridge/Lethbridge"," 164","Lethbridge",60,45,183,5,1,12,5,311,608
48026,"Lethbridge/Lethbridge"," 165A","Lethbridge",43,31,116,1,1,5,1,198,363
48026,"Lethbridge/Lethbridge"," 165B","Lethbridge",13,31,108,1,0,2,2,157,300
48026,"Lethbridge/Lethbridge"," 166A","Lethbridge",43,37,114,1,0,8,1,204,409
48026,"Lethbridge/Lethbridge"," 166B","Lethbridge",22,24,91,2,0,5,2,146,310
48026,"Lethbridge/Lethbridge"," 167","Lethbridge",41,33,111,1,2,8,1,197,350
48026,"Lethbridge/Lethbridge"," 168","Lethbridge",48,53,181,3,1,10,1,297,517
48026,"Lethbridge/Lethbridge"," 169","Lethbridge",43,41,154,2,3,4,1,248,472
48026,"Lethbridge/Lethbridge"," 170A","Lethbridge",38,44,159,1,0,2,0,244,434
48026,"Lethbridge/Lethbridge"," 170B","Lethbridge",16,20,134,3,1,3,0,177,356
48026,"Lethbridge/Lethbridge"," 171","Lethbridge",38,47,231,0,1,8,3,328,578
48026,"Lethbridge/Lethbridge"," 172","Lethbridge",32,60,171,6,2,10,3,284,577
48026,"Lethbridge/Lethbridge"," 173","Lethbridge",20,51,261,2,1,5,1,341,537
48026,"Lethbridge/Lethbridge"," 174","Lethbridge",29,29,105,4,0,11,0,178,397
48026,"Lethbridge/Lethbridge"," 175","Lethbridge",23,37,128,5,0,13,0,206,372
48026,"Lethbridge/Lethbridge"," 176","Lethbridge",24,31,99,5,0,4,2,165,353
48026,"Lethbridge/Lethbridge"," 177","Lethbridge",23,21,104,7,0,6,1,162,361
48026,"Lethbridge/Lethbridge"," 178","Lethbridge",32,41,101,5,0,8,2,189,368
48026,"Lethbridge/Lethbridge"," 179","Lethbridge",17,48,126,4,0,7,1,203,389
48026,"Lethbridge/Lethbridge"," 180","Lethbridge",37,34,138,7,2,7,1,226,377
48026,"Lethbridge/Lethbridge"," 181","Lethbridge",19,28,129,1,1,1,0,179,390
48026,"Lethbridge/Lethbridge"," 182","Lethbridge",19,20,141,4,3,6,0,193,370
48026,"Lethbridge/Lethbridge"," 183","Lethbridge",30,31,243,5,4,8,0,321,605
48026,"Lethbridge/Lethbridge"," 184","Tempest",3,6,115,2,4,3,1,134,297
48026,"Lethbridge/Lethbridge"," 185","Coaldale",19,14,191,3,9,7,1,244,569
48026,"Lethbridge/Lethbridge"," 186","Coaldale",13,6,101,3,0,4,0,127,372
48026,"Lethbridge/Lethbridge"," 187","Coaldale",20,7,130,2,1,7,0,167,356
48026,"Lethbridge/Lethbridge"," 188","Coaldale",20,17,131,1,1,4,0,174,432
48026,"Lethbridge/Lethbridge"," 189","Coaldale",27,16,179,3,2,7,0,234,556
48026,"Lethbridge/Lethbridge"," 190","Tempest",17,20,152,9,3,6,0,207,465
48026,"Lethbridge/Lethbridge"," 191","Judson",14,11,130,0,6,7,2,170,519
48026,"Lethbridge/Lethbridge"," 192","Lethbridge",20,63,231,6,0,8,1,329,632
48026,"Lethbridge/Lethbridge"," 193","Lethbridge",12,27,161,4,2,5,2,213,418
48026,"Lethbridge/Lethbridge"," 194","Lethbridge",34,33,190,0,0,6,2,265,458
48026,"Lethbridge/Lethbridge"," 195","Lethbridge",19,36,135,4,0,8,1,203,447
48026,"Lethbridge/Lethbridge"," 196","Lethbridge",18,18,149,2,1,3,3,194,388
48026,"Lethbridge/Lethbridge"," 197","Lethbridge",30,37,177,3,1,3,0,251,505
48026,"Lethbridge/Lethbridge"," 198","Lethbridge",37,43,219,2,2,3,4,310,571
48026,"Lethbridge/Lethbridge"," 199A","Lethbridge",17,9,157,2,0,0,0,185,375
48026,"Lethbridge/Lethbridge"," 199B","Lethbridge",15,23,134,3,1,1,0,177,351
48026,"Lethbridge/Lethbridge"," 400","Lethbridge",7,11,82,0,0,3,1,104,136
48026,"Lethbridge/Lethbridge"," 401","Lethbridge",9,4,87,1,4,1,1,107,179
48026,"Lethbridge/Lethbridge"," 402","Lethbridge",11,19,132,2,5,4,1,174,249
48026,"Lethbridge/Lethbridge"," 403","Lethbridge",10,33,168,1,2,4,0,218,337
48026,"Lethbridge/Lethbridge"," 500","Mobile poll/Bureau itinérant",4,10,58,2,2,4,5,85,35
48026,"Lethbridge/Lethbridge"," 501","Mobile poll/Bureau itinérant",10,21,46,2,3,2,3,87,124
48026,"Lethbridge/Lethbridge"," 502","Mobile poll/Bureau itinérant",6,10,42,0,1,3,1,63,108
48026,"Lethbridge/Lethbridge"," 503","Mobile poll/Bureau itinérant",9,18,69,3,0,3,9,111,620
48026,"Lethbridge/Lethbridge"," 504","Mobile poll/Bureau itinérant",12,14,57,1,1,4,1,90,135
48026,"Lethbridge/Lethbridge"," 505","Mobile poll/Bureau itinérant",12,16,110,2,0,4,8,152,214
48026,"Lethbridge/Lethbridge"," 506","Mobile poll/Bureau itinérant",19,31,127,2,3,4,1,187,179
48026,"Lethbridge/Lethbridge"," 507","Mobile poll/Bureau itinérant",2,10,30,1,0,1,2,46,72
48026,"Lethbridge/Lethbridge"," 508","Mobile poll/Bureau itinérant",13,25,102,0,2,4,11,157,205
48026,"Lethbridge/Lethbridge"," 600","Lethbridge County--Picture Butte",22,19,568,1,33,14,0,657,
48026,"Lethbridge/Lethbridge"," 601","Lethbridge County--Picture Butte",38,60,758,15,22,20,1,914,
48026,"Lethbridge/Lethbridge"," 602","Lethbridge",91,91,714,11,4,18,4,933,
48026,"Lethbridge/Lethbridge"," 603","Lethbridge",82,92,579,14,4,25,8,804,
48026,"Lethbridge/Lethbridge"," 604","Lethbridge",108,98,600,21,11,39,2,879,
48026,"Lethbridge/Lethbridge"," 605","Lethbridge",97,111,316,20,3,32,3,582,
48026,"Lethbridge/Lethbridge"," 606","Lethbridge",148,209,686,19,0,40,4,1106,
48026,"Lethbridge/Lethbridge"," 607","Lethbridge",212,169,740,21,1,35,1,1179,
48026,"Lethbridge/Lethbridge"," 608","Lethbridge",139,136,459,16,4,24,11,789,
48026,"Lethbridge/Lethbridge"," 609","Lethbridge",133,152,545,15,1,24,5,875,
48026,"Lethbridge/Lethbridge"," 610","Lethbridge",136,204,677,3,3,36,2,1061,
48026,"Lethbridge/Lethbridge"," 611","Lethbridge",132,163,513,11,9,36,2,866,
48026,"Lethbridge/Lethbridge"," 612","Lethbridge",164,181,518,18,0,34,4,919,
48026,"Lethbridge/Lethbridge"," 613","Lethbridge",83,151,686,12,4,45,4,985,
48026,"Lethbridge/Lethbridge"," 614","Lethbridge",95,77,663,13,7,33,3,891,
48026,"Lethbridge/Lethbridge"," 615","Lethbridge County--Coaldale",75,57,831,18,13,13,3,1010,
48026,"Lethbridge/Lethbridge"," 616","Lethbridge County--Coaldale",45,49,643,8,15,15,4,779,
48026,"Lethbridge/Lethbridge"," 617","Lethbridge",100,146,1050,17,4,29,6,1352,
48026,"Lethbridge/Lethbridge",,Group 1/Groupe 1, 19,41,38,2,1,7,6,114,140
48026,"Lethbridge/Lethbridge",,Group 2/Groupe 2, 482,404,1389,30,11,115,29,2460,
