Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julius Nick Csaszar,John Kidder,Michael Nenn,Jati Sidhu,Brad Vis,Elaine Wismer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 67","Mission",2,31,73,59,84,0,2,251,532
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 68","Mission",12,29,64,62,92,1,0,260,576
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 69","Mission",3,33,56,64,117,0,0,273,551
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 70","Abbotsford",0,22,26,42,205,0,1,296,545
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 71","Abbotsford",2,39,29,61,159,0,0,290,577
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 72","Abbotsford",4,17,21,25,140,0,0,207,368
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 73","Mission",7,32,39,35,108,0,0,221,498
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 74","Mission",3,21,66,56,79,0,0,225,444
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 75","Mission",6,25,61,50,59,0,1,202,456
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 76","Mission",8,30,44,45,75,0,4,206,418
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 77","Mission",9,31,39,43,71,0,1,194,460
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 78","Mission",3,24,33,49,46,0,5,160,386
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 79","Mission",8,15,33,38,83,0,0,177,396
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 80","Mission",11,30,44,33,70,0,3,191,417
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 81","Mission",3,17,44,37,57,0,3,161,359
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 82","Mission",4,26,42,38,97,0,1,208,493
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 83","Mission",4,28,31,60,77,0,0,200,434
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 84","Mission",4,28,52,71,90,1,2,248,492
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 85","Mission",7,32,61,45,86,0,2,233,442
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 86","Mission",10,11,38,64,74,0,1,198,454
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 87","Mission",10,17,50,61,72,0,0,210,509
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 88","Mission",1,17,39,64,101,1,1,224,470
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 89","Mission",4,17,44,40,78,0,7,190,424
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 90","Mission",1,31,35,53,57,0,1,178,410
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 91","Mission",11,44,65,43,71,0,2,236,570
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 92","Mission",9,33,52,58,49,1,0,202,590
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 93A","Mission",5,25,60,49,47,0,1,187,426
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,61
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 94","Mission",9,35,44,58,70,0,1,217,441
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 95","Mission",7,31,41,57,57,0,8,201,451
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 96","Mission",7,33,60,54,71,0,0,225,492
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 97","Mission",8,27,47,45,76,0,0,203,486
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 98","Mission",6,43,48,52,82,0,4,235,508
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 99","Mission",13,38,55,66,93,0,0,265,558
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 100","Deroche",5,39,47,71,84,0,1,247,482
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 101","Lake Errock",5,31,59,69,103,0,5,272,541
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 102","Nicomen",4,15,41,31,97,0,0,188,375
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 103A","Seabird Island",4,12,39,26,22,0,1,104,335
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 103B","Seabird Island",1,11,25,36,23,1,1,98,392
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 104","Agassiz",6,20,23,25,119,0,0,193,294
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 105","Harrison Mills",Merged with No./Fusionné avec le n°104,,,,,,,,82
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 106","Agassiz",6,22,35,35,117,0,0,215,438
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 107","Agassiz",3,22,28,41,84,0,4,182,420
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 108","Agassiz",10,25,28,36,89,0,2,190,499
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 109","Agassiz",2,25,46,71,127,0,1,272,559
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 110","Agassiz",5,27,49,49,113,1,1,245,480
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 111A","Agassiz",0,10,27,46,110,1,4,198,464
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 111B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,9
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 112","Agassiz",7,21,46,50,120,0,0,244,612
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 113","Dewdney",7,30,28,41,69,0,1,176,420
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 114","Dewdney",9,12,35,67,157,0,0,280,457
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 115","Nicomen",5,11,17,21,81,0,0,135,272
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 116","Abbotsford",1,8,11,38,147,0,1,206,422
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 117","Abbotsford",0,0,7,21,31,0,3,62,130
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 118A","Abbotsford",1,9,37,64,60,0,1,172,402
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 118B","Abbotsford",0,10,40,69,86,1,5,211,446
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 119","Abbotsford",1,10,25,74,67,1,4,182,459
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 120","Abbotsford",1,2,31,52,32,1,3,122,345
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 121","Abbotsford",0,7,40,59,27,0,2,135,537
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 122","Abbotsford",5,5,52,113,81,0,8,264,665
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 123","Abbotsford",2,6,32,52,153,1,6,252,502
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 124","Abbotsford",1,29,29,69,165,0,1,294,511
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 125","Abbotsford",2,13,27,42,121,1,1,207,451
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 126","Abbotsford",6,11,32,57,187,1,5,299,529
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 127","Abbotsford",2,6,28,73,38,1,2,150,325
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 128","Abbotsford",0,0,34,68,33,1,1,137,287
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 129","Abbotsford",1,1,42,79,34,1,1,159,321
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 130","Abbotsford",2,4,41,101,69,0,3,220,471
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 131","Abbotsford",1,6,34,77,70,0,4,192,407
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 132","Abbotsford",2,8,41,79,50,2,5,187,453
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 133","Abbotsford",2,6,71,95,51,0,7,232,536
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 134","Abbotsford",2,12,43,80,104,0,0,241,548
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 135","Abbotsford",1,4,33,55,93,1,0,187,457
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 136","Abbotsford",0,1,39,101,34,0,6,181,352
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 137","Abbotsford",0,4,33,79,43,1,0,160,340
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 138","Abbotsford",1,1,27,56,42,0,1,128,372
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 139","Abbotsford",1,3,38,42,39,1,0,124,354
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 140","Abbotsford",0,8,27,72,47,1,2,157,422
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 141","Abbotsford",2,9,29,40,66,3,1,150,390
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 142","Abbotsford",1,15,26,35,118,1,1,197,434
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 143","Abbotsford",1,4,9,26,31,0,1,72,228
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 144","Abbotsford",4,11,42,46,79,0,1,183,413
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 145","Abbotsford",5,11,26,53,78,0,1,174,467
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 146","Abbotsford",0,3,41,58,53,0,3,158,463
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 147","Abbotsford",0,3,29,73,70,0,3,178,438
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 148","Abbotsford",0,3,8,7,30,0,0,48,104
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 149","Abbotsford",1,8,23,41,48,1,7,129,398
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 150A","Abbotsford",4,22,28,50,63,1,1,169,516
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 150B","Abbotsford",1,22,19,32,65,0,1,140,290
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 151","Abbotsford",8,17,26,57,109,0,4,221,543
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 152","Fraser Valley H ",7,32,47,65,173,0,5,329,578
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 153","Abbotsford",6,20,41,69,164,0,0,300,488
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 154","Abbotsford",12,50,87,129,259,0,3,540,786
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 155","Abbotsford",5,40,25,46,164,0,0,280,482
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 500","Mobile poll/Bureau itinérant",1,7,3,11,7,0,4,33,26
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 501","Mobile poll/Bureau itinérant",0,9,20,55,52,2,9,147,263
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 502","Mobile poll/Bureau itinérant",3,19,19,35,39,3,2,120,121
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 503","Mobile poll/Bureau itinérant",1,3,6,20,40,2,3,75,102
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 600","Squamish-Lillooet",11,92,80,101,181,0,1,466,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 601","Squamish-Lillooet",16,93,61,86,291,0,4,551,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 602","Squamish-Lillooet",5,50,41,27,15,0,0,138,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 603","Pemberton",4,34,22,29,46,0,0,135,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 604","Fraser Valley",35,145,150,346,725,1,6,1408,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 605","Mission",12,75,66,135,330,1,2,621,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 606","Fraser Valley",8,42,56,84,204,0,0,394,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 607","Mission",20,56,102,242,338,0,9,767,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 608","Mission",16,82,137,206,288,3,9,741,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 609","Mission",26,110,171,236,426,2,7,978,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 610","Mission",34,116,146,273,437,0,3,1009,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 611","Mission",24,105,136,190,259,1,5,720,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 612","Abbotsford",17,38,147,459,615,2,30,1308,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 613","Abbotsford",4,16,137,528,339,1,21,1046,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 614","Abbotsford",8,44,142,416,617,2,15,1244,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 615","Abbotsford",13,53,109,291,550,1,20,1037,
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon",,Group 1/Groupe 1, 5,11,14,48,13,0,5,96,111
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon",,Group 2/Groupe 2, 17,155,111,232,446,0,33,994,
