Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chani Aryeh-Bain,Reuben DeBoer,Marco Mendicino,Alexandra Nash,Michael Staffieri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 43","North York",92,7,89,12,1,0,201,424
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 44","North York",64,6,66,13,1,1,151,406
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 45","North York",116,6,75,10,1,2,210,440
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 46","North York",120,5,83,13,2,0,223,454
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 47","North York",108,5,94,8,0,0,215,508
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 48","North York",65,5,90,8,3,1,172,449
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 49","North York",83,4,95,16,1,1,200,500
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 50","North York",82,5,49,7,0,0,143,427
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 51","North York",48,7,81,15,1,2,154,566
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 52","Toronto",54,14,135,26,1,0,230,550
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 53","Toronto",61,11,82,12,3,0,169,357
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 54","Toronto",55,15,117,23,2,0,212,475
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 55","Toronto",62,15,115,16,1,0,209,503
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 56","Toronto",73,11,98,11,1,0,194,373
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 57","Toronto",69,13,121,8,2,0,213,418
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 58","North York",60,7,120,27,1,3,218,463
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 59","North York",61,7,37,9,0,0,114,488
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 60","Toronto",57,19,76,4,3,0,159,401
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 61","North York",39,5,61,17,2,0,124,476
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 62","North York",70,7,128,24,1,1,231,486
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 63","North York",56,5,52,4,1,2,120,461
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 64","North York",29,7,106,23,1,2,168,382
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 65","North York",31,7,100,19,2,0,159,503
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 66","North York",13,4,65,8,4,0,94,351
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 67","North York",22,6,60,5,2,1,96,457
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 68","North York",28,4,80,23,1,1,137,385
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 69","North York",32,5,99,15,3,0,154,387
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 70","North York",36,9,126,37,7,0,215,629
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 71","North York",26,1,82,10,1,1,121,312
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 72","North York",6,4,129,12,1,2,154,379
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 73","North York",26,3,134,15,1,1,180,403
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 74","North York",12,2,191,41,1,0,247,583
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 75","North York",23,6,122,32,1,4,188,558
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 76","Toronto",56,17,115,15,1,2,206,376
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 77","Toronto",44,20,110,18,1,1,194,396
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 78","Toronto",71,8,92,11,0,0,182,345
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 79","Toronto",63,14,95,4,1,2,179,374
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 80","Toronto",72,8,71,6,1,1,159,397
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 81","Toronto",52,11,78,4,2,0,147,380
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 82","Toronto",58,10,76,7,0,0,151,353
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 83","Toronto",50,13,127,20,1,0,211,360
