Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irma DeVries,Roger Fuhr,Geoff Krauter,Pirie Mitchell,John Nater,Collan Simmons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Perth--Wellington/Perth--Wellington"," 44","Mapleton",2,0,19,63,139,16,0,239,483
35083,"Perth--Wellington/Perth--Wellington"," 45","Drayton",4,7,46,38,152,26,3,276,490
35083,"Perth--Wellington/Perth--Wellington"," 46","Drayton",5,3,34,36,136,14,1,229,523
35083,"Perth--Wellington/Perth--Wellington"," 47","Mapleton",7,5,31,34,143,14,2,236,479
35083,"Perth--Wellington/Perth--Wellington"," 48","Mapleton",1,1,10,28,92,10,0,142,508
35083,"Perth--Wellington/Perth--Wellington"," 49","Mapleton",1,4,16,24,60,11,1,117,553
35083,"Perth--Wellington/Perth--Wellington"," 50","North Perth",2,7,48,68,154,28,0,307,666
35083,"Perth--Wellington/Perth--Wellington"," 51","North Perth",6,3,38,61,163,17,0,288,519
35083,"Perth--Wellington/Perth--Wellington"," 52","North Perth",3,5,35,71,127,12,1,254,499
35083,"Perth--Wellington/Perth--Wellington"," 53","North Perth",7,1,13,31,106,7,0,165,430
35083,"Perth--Wellington/Perth--Wellington"," 54","North Perth",12,9,43,52,92,17,0,225,516
35083,"Perth--Wellington/Perth--Wellington"," 55","North Perth",6,1,39,67,153,16,6,288,533
35083,"Perth--Wellington/Perth--Wellington"," 56","North Perth",5,3,35,71,212,18,1,345,548
35083,"Perth--Wellington/Perth--Wellington"," 57","North Perth",0,6,42,60,133,18,0,259,540
35083,"Perth--Wellington/Perth--Wellington"," 58","North Perth",3,3,36,63,134,18,4,261,497
35083,"Perth--Wellington/Perth--Wellington"," 59","North Perth",4,6,48,65,124,22,8,277,559
35083,"Perth--Wellington/Perth--Wellington"," 60","North Perth",3,2,58,62,151,21,5,302,668
35083,"Perth--Wellington/Perth--Wellington"," 61","North Perth",3,2,44,78,188,17,0,332,697
35083,"Perth--Wellington/Perth--Wellington"," 62A","North Perth",Merged with No./Fusionné avec le n°56,,,,,,,,168
35083,"Perth--Wellington/Perth--Wellington"," 62B","North Perth",6,5,62,100,200,20,6,399,813
35083,"Perth--Wellington/Perth--Wellington"," 63","North Perth",8,3,28,28,154,18,0,239,438
35083,"Perth--Wellington/Perth--Wellington"," 64","North Perth",5,7,36,44,172,23,4,291,475
35083,"Perth--Wellington/Perth--Wellington"," 65","North Perth",8,6,35,35,159,22,2,267,435
35083,"Perth--Wellington/Perth--Wellington"," 66","Perth East",1,2,7,24,44,9,0,87,425
35083,"Perth--Wellington/Perth--Wellington"," 67","Perth East",2,5,9,13,89,2,0,120,377
35083,"Perth--Wellington/Perth--Wellington"," 68","Millbank",0,4,9,20,78,9,1,121,324
35083,"Perth--Wellington/Perth--Wellington"," 69","Perth East",0,0,2,18,42,1,0,63,357
35083,"Perth--Wellington/Perth--Wellington"," 70","Milverton",4,1,28,24,97,18,2,174,333
35083,"Perth--Wellington/Perth--Wellington"," 71","Milverton",3,5,19,49,75,10,1,162,287
35083,"Perth--Wellington/Perth--Wellington"," 72","Milverton",6,2,30,32,94,6,2,172,332
35083,"Perth--Wellington/Perth--Wellington"," 73","Milverton",4,1,28,70,128,12,0,243,411
35083,"Perth--Wellington/Perth--Wellington"," 74","Perth East",3,2,7,30,106,9,1,158,413
35083,"Perth--Wellington/Perth--Wellington"," 75","North Perth",6,6,32,32,235,19,0,330,587
35083,"Perth--Wellington/Perth--Wellington"," 76","West Perth",3,1,19,28,121,3,1,176,352
35083,"Perth--Wellington/Perth--Wellington"," 77","West Perth",2,1,10,18,104,5,1,141,299
35083,"Perth--Wellington/Perth--Wellington"," 78","Perth East",4,10,32,33,120,9,2,210,384
35083,"Perth--Wellington/Perth--Wellington"," 79","Perth East",1,0,21,36,115,14,0,187,334
35083,"Perth--Wellington/Perth--Wellington"," 80","Perth East",0,4,23,43,117,9,0,196,432
35083,"Perth--Wellington/Perth--Wellington"," 81","Stratford",0,3,42,64,96,11,0,216,518
35083,"Perth--Wellington/Perth--Wellington"," 82","Stratford",4,4,80,96,117,30,2,333,674
35083,"Perth--Wellington/Perth--Wellington"," 83","Stratford",1,1,55,61,80,24,2,224,553
35083,"Perth--Wellington/Perth--Wellington"," 84","Stratford",4,2,37,149,73,29,1,295,674
35083,"Perth--Wellington/Perth--Wellington"," 85","Stratford",2,4,60,85,61,29,1,242,555
35083,"Perth--Wellington/Perth--Wellington"," 86","Stratford",10,4,57,125,104,30,1,331,714
35083,"Perth--Wellington/Perth--Wellington"," 87","Stratford",2,2,33,112,72,28,2,251,499
35083,"Perth--Wellington/Perth--Wellington"," 88","Stratford",1,7,37,100,86,37,1,269,510
35083,"Perth--Wellington/Perth--Wellington"," 89","Stratford",1,4,41,87,93,19,2,247,546
35083,"Perth--Wellington/Perth--Wellington"," 90","Stratford",1,0,26,110,88,37,1,263,538
35083,"Perth--Wellington/Perth--Wellington"," 91","Stratford",2,0,34,104,83,34,1,258,497
35083,"Perth--Wellington/Perth--Wellington"," 92","Stratford",3,4,37,100,62,35,2,243,509
35083,"Perth--Wellington/Perth--Wellington"," 93","Stratford",0,3,70,128,139,37,0,377,749
35083,"Perth--Wellington/Perth--Wellington"," 94","Stratford",5,5,51,109,71,43,1,285,581
35083,"Perth--Wellington/Perth--Wellington"," 95","Stratford",0,1,48,108,40,37,0,234,513
35083,"Perth--Wellington/Perth--Wellington"," 96","Stratford",2,11,49,95,44,41,1,243,528
35083,"Perth--Wellington/Perth--Wellington"," 97","Stratford",2,4,60,89,46,19,1,221,497
35083,"Perth--Wellington/Perth--Wellington"," 98","Stratford",1,6,45,122,58,49,0,281,551
35083,"Perth--Wellington/Perth--Wellington"," 99","Stratford",4,3,42,73,60,19,3,204,532
35083,"Perth--Wellington/Perth--Wellington"," 100","West Perth",0,1,22,36,141,5,1,206,405
35083,"Perth--Wellington/Perth--Wellington"," 101","Mitchell",5,4,29,39,174,8,0,259,500
35083,"Perth--Wellington/Perth--Wellington"," 102","Mitchell",6,5,18,34,108,19,3,193,437
35083,"Perth--Wellington/Perth--Wellington"," 103","Mitchell",1,3,33,25,128,20,1,211,476
35083,"Perth--Wellington/Perth--Wellington"," 104","Mitchell",1,5,36,53,120,14,1,230,478
35083,"Perth--Wellington/Perth--Wellington"," 105","Mitchell",5,0,52,41,120,13,3,234,538
35083,"Perth--Wellington/Perth--Wellington"," 106","Mitchell",4,4,25,44,161,9,0,247,517
35083,"Perth--Wellington/Perth--Wellington"," 107","Mitchell",2,7,31,41,114,7,2,204,447
35083,"Perth--Wellington/Perth--Wellington"," 108","West Perth",3,1,15,27,126,7,1,180,402
35083,"Perth--Wellington/Perth--Wellington"," 109","Perth East",8,4,11,43,113,11,1,191,280
35083,"Perth--Wellington/Perth--Wellington"," 110","Perth East",4,4,39,58,164,25,3,297,550
35083,"Perth--Wellington/Perth--Wellington"," 111","West Perth",8,4,17,24,84,15,1,153,387
35083,"Perth--Wellington/Perth--Wellington"," 112","Sebringville",1,1,38,75,145,45,3,308,481
35083,"Perth--Wellington/Perth--Wellington"," 113","Perth East",0,3,41,66,122,33,1,266,443
35083,"Perth--Wellington/Perth--Wellington"," 114","Perth East",1,2,32,59,133,31,3,261,426
35083,"Perth--Wellington/Perth--Wellington"," 115","Perth East",5,5,34,79,153,24,1,301,494
35083,"Perth--Wellington/Perth--Wellington"," 116","Perth East",3,8,42,57,144,32,1,287,441
35083,"Perth--Wellington/Perth--Wellington"," 117","Perth East",4,10,27,49,156,20,1,267,429
35083,"Perth--Wellington/Perth--Wellington"," 118","Dublin",5,4,26,27,109,17,1,189,326
35083,"Perth--Wellington/Perth--Wellington"," 119","West Perth",1,4,17,26,88,10,0,146,265
35083,"Perth--Wellington/Perth--Wellington"," 120","West Perth",2,4,15,17,109,9,1,157,271
35083,"Perth--Wellington/Perth--Wellington"," 121","Stratford",4,3,50,143,57,25,3,285,524
35083,"Perth--Wellington/Perth--Wellington"," 122","Stratford",1,6,78,86,84,29,2,286,540
35083,"Perth--Wellington/Perth--Wellington"," 123","Stratford",2,1,37,141,49,34,1,265,565
35083,"Perth--Wellington/Perth--Wellington"," 124","Stratford",0,3,90,84,73,22,2,274,574
35083,"Perth--Wellington/Perth--Wellington"," 125","Stratford",1,2,81,102,55,28,0,269,605
35083,"Perth--Wellington/Perth--Wellington"," 126","Stratford",2,6,57,102,52,21,1,241,563
35083,"Perth--Wellington/Perth--Wellington"," 127","Stratford",4,4,61,77,92,30,0,268,681
35083,"Perth--Wellington/Perth--Wellington"," 128","Stratford",1,3,51,105,32,34,3,229,506
35083,"Perth--Wellington/Perth--Wellington"," 129","Stratford",1,0,71,147,28,39,4,290,609
35083,"Perth--Wellington/Perth--Wellington"," 130","Stratford",0,1,55,136,37,33,1,263,555
35083,"Perth--Wellington/Perth--Wellington"," 131","Stratford",2,5,68,90,70,30,1,266,523
35083,"Perth--Wellington/Perth--Wellington"," 132A","Stratford",Merged with No./Fusionné avec le n°136,,,,,,,,139
35083,"Perth--Wellington/Perth--Wellington"," 132B","Mobile poll/Bureau itinérant",6,2,26,77,61,11,3,186,131
35083,"Perth--Wellington/Perth--Wellington"," 132C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°132B,,,,,,,,145
35083,"Perth--Wellington/Perth--Wellington"," 133","Stratford",5,7,73,77,85,18,1,266,553
35083,"Perth--Wellington/Perth--Wellington"," 134","Stratford",2,4,69,73,91,19,2,260,568
35083,"Perth--Wellington/Perth--Wellington"," 135","Perth East",5,2,41,73,130,20,0,271,510
35083,"Perth--Wellington/Perth--Wellington"," 136","Stratford",1,2,34,89,93,37,0,256,523
35083,"Perth--Wellington/Perth--Wellington"," 137","Stratford",4,8,66,105,97,46,2,328,581
35083,"Perth--Wellington/Perth--Wellington"," 138A","Stratford",4,3,63,101,91,31,2,295,532
35083,"Perth--Wellington/Perth--Wellington"," 138B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°132B,,,,,,,,89
35083,"Perth--Wellington/Perth--Wellington"," 139","Stratford",1,6,47,83,88,30,3,258,549
35083,"Perth--Wellington/Perth--Wellington"," 140","Stratford",4,8,77,83,58,30,0,260,528
35083,"Perth--Wellington/Perth--Wellington"," 141","Stratford",0,3,60,87,109,21,3,283,568
35083,"Perth--Wellington/Perth--Wellington"," 142","Stratford",2,10,103,67,90,27,5,304,648
35083,"Perth--Wellington/Perth--Wellington"," 143","Stratford",0,1,62,73,95,30,3,264,526
35083,"Perth--Wellington/Perth--Wellington"," 144","Stratford",2,5,50,84,101,30,1,273,567
35083,"Perth--Wellington/Perth--Wellington"," 145","Stratford",1,7,58,105,92,27,0,290,592
35083,"Perth--Wellington/Perth--Wellington"," 146","Stratford",3,3,67,68,113,28,1,283,594
35083,"Perth--Wellington/Perth--Wellington"," 147","Stratford",3,1,52,90,107,26,2,281,563
35083,"Perth--Wellington/Perth--Wellington"," 148","Stratford",1,6,71,80,80,22,3,263,546
35083,"Perth--Wellington/Perth--Wellington"," 149","Perth South",5,5,20,44,142,20,0,236,345
35083,"Perth--Wellington/Perth--Wellington"," 150","West Perth",1,0,24,15,87,4,1,132,358
35083,"Perth--Wellington/Perth--Wellington"," 151","Perth South",5,3,37,41,118,17,0,221,352
35083,"Perth--Wellington/Perth--Wellington"," 152","Perth South",3,1,25,48,107,2,0,186,315
35083,"Perth--Wellington/Perth--Wellington"," 153","St. Marys",4,3,25,68,113,26,7,246,583
35083,"Perth--Wellington/Perth--Wellington"," 154","St. Marys",5,4,50,89,123,15,1,287,621
35083,"Perth--Wellington/Perth--Wellington"," 155","St. Marys",1,2,18,77,81,17,0,196,444
35083,"Perth--Wellington/Perth--Wellington"," 156","St. Marys",1,6,40,60,84,14,4,209,462
35083,"Perth--Wellington/Perth--Wellington"," 157","Perth South",3,13,31,67,133,19,3,269,518
35083,"Perth--Wellington/Perth--Wellington"," 158","St. Marys",2,3,36,60,80,21,2,204,460
35083,"Perth--Wellington/Perth--Wellington"," 159","St. Marys",0,6,53,89,57,24,2,231,540
35083,"Perth--Wellington/Perth--Wellington"," 160","St. Marys",3,2,45,69,102,29,0,250,528
35083,"Perth--Wellington/Perth--Wellington"," 161","St. Marys",1,0,37,67,95,24,4,228,481
35083,"Perth--Wellington/Perth--Wellington"," 162","St. Marys",1,5,47,65,84,15,1,218,515
35083,"Perth--Wellington/Perth--Wellington"," 163","St. Marys",1,3,47,62,97,14,0,224,487
35083,"Perth--Wellington/Perth--Wellington"," 164","Perth South",0,3,30,63,124,20,2,242,514
35083,"Perth--Wellington/Perth--Wellington"," 165","St. Marys",2,1,33,101,98,23,4,262,506
35083,"Perth--Wellington/Perth--Wellington"," 166","St. Marys",1,4,49,75,102,28,3,262,550
35083,"Perth--Wellington/Perth--Wellington"," 400","Wellington North",1,2,4,19,27,4,3,60,115
35083,"Perth--Wellington/Perth--Wellington"," 401","Stratford",1,1,6,38,38,9,6,99,178
35083,"Perth--Wellington/Perth--Wellington"," 402","St. Marys",3,3,1,21,17,3,2,50,85
35083,"Perth--Wellington/Perth--Wellington"," 500","Mobile poll/Bureau itinérant",4,0,8,22,46,4,8,92,187
35083,"Perth--Wellington/Perth--Wellington"," 501","Mobile poll/Bureau itinérant",4,0,6,35,50,2,2,99,230
35083,"Perth--Wellington/Perth--Wellington"," 502","Mobile poll/Bureau itinérant",3,0,4,19,28,2,3,59,150
35083,"Perth--Wellington/Perth--Wellington"," 503","Mobile poll/Bureau itinérant",0,0,1,19,16,1,2,39,123
35083,"Perth--Wellington/Perth--Wellington"," 504","Mobile poll/Bureau itinérant",8,2,5,28,52,2,4,101,191
35083,"Perth--Wellington/Perth--Wellington"," 505","Mobile poll/Bureau itinérant",3,2,10,43,43,4,4,109,228
35083,"Perth--Wellington/Perth--Wellington"," 506","Mobile poll/Bureau itinérant",3,2,12,48,57,6,4,132,224
35083,"Perth--Wellington/Perth--Wellington"," 507","Mobile poll/Bureau itinérant",3,0,11,55,46,5,7,127,178
35083,"Perth--Wellington/Perth--Wellington"," 600","Minto",8,8,56,136,377,65,3,653,
35083,"Perth--Wellington/Perth--Wellington"," 601","Wellington North",19,14,127,269,667,112,11,1219,
35083,"Perth--Wellington/Perth--Wellington"," 602","Wellington North",10,29,84,154,467,61,2,807,
35083,"Perth--Wellington/Perth--Wellington"," 603","Minto",12,13,48,111,320,52,3,559,
35083,"Perth--Wellington/Perth--Wellington"," 604","Mapleton",9,10,65,131,423,50,3,691,
35083,"Perth--Wellington/Perth--Wellington"," 605","North Perth",17,6,71,132,369,51,0,646,
35083,"Perth--Wellington/Perth--Wellington"," 606","North Perth",9,11,79,165,442,60,1,767,
35083,"Perth--Wellington/Perth--Wellington"," 607","North Perth",2,2,39,55,175,26,1,300,
35083,"Perth--Wellington/Perth--Wellington"," 608","West Perth",5,3,49,102,398,30,5,592,
35083,"Perth--Wellington/Perth--Wellington"," 609","Perth East",3,11,63,145,335,63,1,621,
35083,"Perth--Wellington/Perth--Wellington"," 610","Stratford",7,12,167,551,414,174,15,1340,
35083,"Perth--Wellington/Perth--Wellington"," 611","Stratford",4,15,176,327,238,79,1,840,
35083,"Perth--Wellington/Perth--Wellington"," 612","Stratford",11,9,166,518,362,150,2,1218,
35083,"Perth--Wellington/Perth--Wellington"," 613","Stratford",7,8,192,355,189,118,2,871,
35083,"Perth--Wellington/Perth--Wellington"," 614","Stratford",5,17,135,272,334,82,7,852,
35083,"Perth--Wellington/Perth--Wellington"," 615","West Perth",4,8,65,134,561,66,6,844,
35083,"Perth--Wellington/Perth--Wellington"," 616","Perth South",5,10,106,291,458,99,6,975,
35083,"Perth--Wellington/Perth--Wellington"," 617","St. Marys",6,13,129,281,385,75,6,895,
35083,"Perth--Wellington/Perth--Wellington",,Group 1/Groupe 1, 0,3,16,51,11,9,2,92,108
35083,"Perth--Wellington/Perth--Wellington",,Group 2/Groupe 2, 8,16,159,414,524,136,20,1277,
