Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Javin Ames-Sinclair,Ashlee Hicks,Robert Kitchen,Judy Mergel,Travis Patron,Phillip Zajac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 117","Alida",5,8,188,3,3,5,0,212,310
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 118","Oungre",0,8,135,3,2,2,0,150,210
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 119","Torquay",2,4,240,1,0,4,1,252,376
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 120","Estevan",7,11,166,1,2,7,0,194,329
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 121","Estevan",11,16,174,1,0,4,1,207,406
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 122","Estevan",7,10,215,4,2,7,0,245,423
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 123","Estevan",2,9,187,2,1,4,0,205,346
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 124","Estevan",5,10,167,0,1,8,0,191,413
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 125","Estevan",3,11,162,4,0,1,0,181,349
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 126","Estevan",10,14,175,7,1,1,1,209,368
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 127","Estevan",9,15,218,0,1,0,2,245,512
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 128","Hitchcock",3,8,179,0,0,4,0,194,348
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 129","Estevan",3,13,141,2,3,7,0,169,399
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 130A","Estevan",1,6,151,4,0,5,0,167,329
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 130B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512,,,,,,,,0
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 131","Estevan",3,15,231,2,0,2,0,253,462
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 132","Estevan",8,5,196,1,0,1,1,212,483
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 133","Estevan",4,9,148,1,3,9,1,175,347
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 134","Estevan",5,8,231,2,1,6,0,253,529
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 135","Estevan",1,9,192,2,1,6,0,211,400
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 136","Shand",6,11,249,0,1,5,0,272,524
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 137","Estevan",14,9,173,2,0,9,1,208,393
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 138","Estevan",4,9,131,2,2,7,0,155,318
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 139","Estevan",0,12,165,1,0,3,1,182,337
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 140","Estevan",2,12,145,3,0,6,1,169,331
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 141","Shand",2,7,152,5,0,5,0,171,343
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 142","Frobisher",6,8,152,2,2,5,3,178,287
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 143","Bienfait",5,5,232,2,0,10,0,254,407
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 144","Bienfait",3,4,248,2,2,11,0,270,399
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 145","Oxbow",1,5,161,4,2,2,1,176,357
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 146","Oxbow",3,6,137,0,0,1,0,147,291
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 147","Oxbow",5,4,110,2,1,1,2,125,260
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 148","Glen Ewen",6,7,214,2,2,3,0,234,391
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 149","Carievale",1,6,201,1,1,1,0,211,309
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 150","Gainsborough",7,3,200,3,1,4,0,218,283
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 151","Carnduff",2,9,174,5,0,0,0,190,340
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 152","Carnduff",2,11,168,4,0,4,1,190,377
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 153","Carnduff",0,3,111,1,0,4,0,119,197
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 154","North Portal",6,5,87,3,0,1,0,102,153
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 500","Mobile poll/Bureau itinérant",4,5,7,1,1,0,0,18,63
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 501","Mobile poll/Bureau itinérant",6,5,24,0,0,0,4,39,21
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 502","Mobile poll/Bureau itinérant",7,6,21,1,0,0,0,35,48
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 503","Mobile poll/Bureau itinérant",14,13,66,6,0,5,3,107,95
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 504","Mobile poll/Bureau itinérant",10,5,36,1,0,1,1,54,99
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 505","Mobile poll/Bureau itinérant",11,17,41,3,0,0,0,72,109
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 506","Mobile poll/Bureau itinérant",5,9,31,2,0,1,3,51,85
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 507","Mobile poll/Bureau itinérant",5,11,31,0,0,1,1,49,62
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 508","Mobile poll/Bureau itinérant",6,3,16,1,2,0,1,29,33
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 509","Mobile poll/Bureau itinérant",6,8,29,1,0,2,3,49,67
