Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Frank Fang,Dean Maher,Marcela Ramirez,Robert Stewart,Adam Vaughan,Diana Yoon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Spadina--Fort York/Spadina--Fort York"," 419-1","Toronto",71,12,1,4,187,50,1,326,273
35101,"Spadina--Fort York/Spadina--Fort York"," 420","Toronto",Merged with No./Fusionné avec le n°421,,,,,,,,250
35101,"Spadina--Fort York/Spadina--Fort York"," 421","Toronto",66,14,0,3,161,33,0,277,324
35101,"Spadina--Fort York/Spadina--Fort York"," 421-1","Toronto",51,6,3,3,116,50,1,230,384
35101,"Spadina--Fort York/Spadina--Fort York"," 421-2","Toronto",38,9,0,3,108,23,1,182,346
35101,"Spadina--Fort York/Spadina--Fort York"," 421-3","Toronto",Merged with No./Fusionné avec le n°421-4,,,,,,,,310
35101,"Spadina--Fort York/Spadina--Fort York"," 421-4","Toronto",86,14,0,4,196,62,0,362,339
35101,"Spadina--Fort York/Spadina--Fort York"," 421-5","Toronto",57,10,1,2,154,48,0,272,447
35101,"Spadina--Fort York/Spadina--Fort York"," 422","Toronto",24,15,0,2,104,43,0,188,247
35101,"Spadina--Fort York/Spadina--Fort York"," 423","Toronto",27,11,0,1,76,14,0,129,272
35101,"Spadina--Fort York/Spadina--Fort York"," 424","Toronto",32,8,0,3,137,66,3,249,288
35101,"Spadina--Fort York/Spadina--Fort York"," 425","Toronto",Merged with No./Fusionné avec le n°425-2,,,,,,,,49
35101,"Spadina--Fort York/Spadina--Fort York"," 425-1","Toronto",52,13,1,6,167,72,1,312,249
35101,"Spadina--Fort York/Spadina--Fort York"," 425-2","Toronto",31,16,0,3,135,45,2,232,365
35101,"Spadina--Fort York/Spadina--Fort York"," 425-3","Toronto",Merged with No./Fusionné avec le n°425-1,,,,,,,,197
35101,"Spadina--Fort York/Spadina--Fort York"," 426","Toronto",Merged with No./Fusionné avec le n°424,,,,,,,,200
35101,"Spadina--Fort York/Spadina--Fort York"," 426-1","Toronto",35,14,1,0,113,52,0,215,407
35101,"Spadina--Fort York/Spadina--Fort York"," 427","Toronto",26,3,0,0,82,44,0,155,285
35101,"Spadina--Fort York/Spadina--Fort York"," 427-1","Toronto",Merged with No./Fusionné avec le n°422,,,,,,,,153
35101,"Spadina--Fort York/Spadina--Fort York"," 428","Toronto",35,11,0,3,156,75,3,283,307
35101,"Spadina--Fort York/Spadina--Fort York"," 429","Toronto",Merged with No./Fusionné avec le n°428,,,,,,,,149
35101,"Spadina--Fort York/Spadina--Fort York"," 429-1","Toronto",Merged with No./Fusionné avec le n°428,,,,,,,,50
35101,"Spadina--Fort York/Spadina--Fort York"," 430","Toronto",22,12,2,2,157,39,7,241,489
35101,"Spadina--Fort York/Spadina--Fort York"," 431","Toronto",Results combined with No./Résultats combinés au n°431-1,,,,,,,,340
35101,"Spadina--Fort York/Spadina--Fort York"," 431-1","Toronto",77,21,0,10,188,96,3,395,321
35101,"Spadina--Fort York/Spadina--Fort York"," 431-2","Toronto",38,13,0,3,139,40,1,234,382
35101,"Spadina--Fort York/Spadina--Fort York"," 431-3","Toronto",40,13,1,2,88,40,0,184,349
35101,"Spadina--Fort York/Spadina--Fort York"," 432","Toronto",39,8,0,2,145,31,0,225,368
35101,"Spadina--Fort York/Spadina--Fort York"," 432-1","Toronto",64,12,1,2,102,30,0,211,362
35101,"Spadina--Fort York/Spadina--Fort York"," 433","Toronto",59,11,1,6,216,61,2,356,548
35101,"Spadina--Fort York/Spadina--Fort York"," 434","Toronto",27,8,0,0,122,45,1,203,330
35101,"Spadina--Fort York/Spadina--Fort York"," 435","Toronto",83,12,0,5,172,61,1,334,508
35101,"Spadina--Fort York/Spadina--Fort York"," 436","Toronto",55,10,0,1,131,24,1,222,386
35101,"Spadina--Fort York/Spadina--Fort York"," 436-1","Toronto",31,10,0,1,92,33,0,167,299
35101,"Spadina--Fort York/Spadina--Fort York"," 436-2","Toronto",54,13,1,5,165,44,0,282,507
35101,"Spadina--Fort York/Spadina--Fort York"," 436-3","Toronto",95,18,1,4,217,74,0,409,575
35101,"Spadina--Fort York/Spadina--Fort York"," 436-4","Toronto",Merged with No./Fusionné avec le n°436-1,,,,,,,,106
35101,"Spadina--Fort York/Spadina--Fort York"," 437","Toronto",56,11,1,2,173,64,1,308,418
35101,"Spadina--Fort York/Spadina--Fort York"," 437-1","Toronto",Merged with No./Fusionné avec le n°437,,,,,,,,155
35101,"Spadina--Fort York/Spadina--Fort York"," 437-2","Toronto",47,12,1,4,174,54,2,294,548
35101,"Spadina--Fort York/Spadina--Fort York"," 438","Toronto",Merged with No./Fusionné avec le n°452,,,,,,,,248
35101,"Spadina--Fort York/Spadina--Fort York"," 439","Toronto",Merged with No./Fusionné avec le n°439-1,,,,,,,,195
35101,"Spadina--Fort York/Spadina--Fort York"," 439-1","Toronto",28,7,0,2,140,30,0,207,235
35101,"Spadina--Fort York/Spadina--Fort York"," 440","Toronto",7,4,0,0,60,15,0,86,205
35101,"Spadina--Fort York/Spadina--Fort York"," 441","Toronto",41,7,0,2,147,57,1,255,373
35101,"Spadina--Fort York/Spadina--Fort York"," 442","Toronto",24,8,0,2,80,30,0,144,261
35101,"Spadina--Fort York/Spadina--Fort York"," 443","Toronto",46,17,0,3,188,126,6,386,587
35101,"Spadina--Fort York/Spadina--Fort York"," 444","Toronto",67,13,0,5,184,63,0,332,503
35101,"Spadina--Fort York/Spadina--Fort York"," 444-1","Toronto",30,11,0,4,123,44,0,212,339
35101,"Spadina--Fort York/Spadina--Fort York"," 444-2","Toronto",37,12,0,3,117,60,0,229,350
35101,"Spadina--Fort York/Spadina--Fort York"," 445","Toronto",Merged with No./Fusionné avec le n°450,,,,,,,,223
35101,"Spadina--Fort York/Spadina--Fort York"," 445-1","Toronto",33,13,0,1,132,33,1,213,352
35101,"Spadina--Fort York/Spadina--Fort York"," 446","Toronto",40,11,1,1,118,49,0,220,329
35101,"Spadina--Fort York/Spadina--Fort York"," 446-1","Toronto",Merged with No./Fusionné avec le n°446,,,,,,,,33
35101,"Spadina--Fort York/Spadina--Fort York"," 446-2","Toronto",42,15,2,1,123,27,0,210,331
35101,"Spadina--Fort York/Spadina--Fort York"," 447","Toronto",54,22,0,3,128,50,1,258,417
35101,"Spadina--Fort York/Spadina--Fort York"," 447-1","Toronto",54,6,0,1,146,36,3,246,382
35101,"Spadina--Fort York/Spadina--Fort York"," 447-2","Toronto",65,13,1,4,205,53,2,343,524
35101,"Spadina--Fort York/Spadina--Fort York"," 448","Toronto",55,11,0,3,156,53,2,280,455
35101,"Spadina--Fort York/Spadina--Fort York"," 449","Toronto",48,13,0,3,87,16,0,167,286
35101,"Spadina--Fort York/Spadina--Fort York"," 450","Toronto",57,14,0,4,160,63,1,299,300
35101,"Spadina--Fort York/Spadina--Fort York"," 451","Toronto",60,23,4,6,187,81,0,361,663
35101,"Spadina--Fort York/Spadina--Fort York"," 451-1","Toronto",46,13,0,2,173,62,0,296,564
35101,"Spadina--Fort York/Spadina--Fort York"," 451-2","Toronto",54,16,1,1,155,46,0,273,492
35101,"Spadina--Fort York/Spadina--Fort York"," 451-3","Toronto",34,13,0,2,112,60,1,222,401
35101,"Spadina--Fort York/Spadina--Fort York"," 452","Toronto",40,14,0,1,167,68,0,290,335
35101,"Spadina--Fort York/Spadina--Fort York"," 453","Toronto",Merged with No./Fusionné avec le n°459,,,,,,,,225
35101,"Spadina--Fort York/Spadina--Fort York"," 454","Toronto",48,18,0,7,154,64,4,295,441
35101,"Spadina--Fort York/Spadina--Fort York"," 454-1","Toronto",69,24,0,1,176,62,0,332,649
35101,"Spadina--Fort York/Spadina--Fort York"," 455","Toronto",60,21,0,1,130,42,0,254,323
35101,"Spadina--Fort York/Spadina--Fort York"," 455-1","Toronto",36,8,1,5,124,33,0,207,418
35101,"Spadina--Fort York/Spadina--Fort York"," 456","Toronto",55,9,0,5,171,73,4,317,521
35101,"Spadina--Fort York/Spadina--Fort York"," 457","Toronto",35,12,1,6,98,40,4,196,304
35101,"Spadina--Fort York/Spadina--Fort York"," 458","Toronto",58,17,0,2,201,49,1,328,327
35101,"Spadina--Fort York/Spadina--Fort York"," 459","Toronto",43,15,0,1,151,57,1,268,324
35101,"Spadina--Fort York/Spadina--Fort York"," 459-1","Toronto",Merged with No./Fusionné avec le n°455,,,,,,,,267
35101,"Spadina--Fort York/Spadina--Fort York"," 460","Toronto",Merged with No./Fusionné avec le n°458,,,,,,,,298
35101,"Spadina--Fort York/Spadina--Fort York"," 461","Toronto",40,19,4,6,165,88,3,325,319
35101,"Spadina--Fort York/Spadina--Fort York"," 461-1","Toronto",Merged with No./Fusionné avec le n°461,,,,,,,,257
35101,"Spadina--Fort York/Spadina--Fort York"," 462","Toronto",45,15,2,6,199,66,1,334,244
35101,"Spadina--Fort York/Spadina--Fort York"," 462-1","Toronto",Merged with No./Fusionné avec le n°462,,,,,,,,227
35101,"Spadina--Fort York/Spadina--Fort York"," 462-2","Toronto",Merged with No./Fusionné avec le n°462,,,,,,,,152
35101,"Spadina--Fort York/Spadina--Fort York"," 463","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,,278
35101,"Spadina--Fort York/Spadina--Fort York"," 463-1","Toronto",50,14,0,3,138,42,2,249,301
35101,"Spadina--Fort York/Spadina--Fort York"," 464","Toronto",25,7,0,2,89,24,3,150,327
35101,"Spadina--Fort York/Spadina--Fort York"," 464-1","Toronto",57,11,0,6,124,26,2,226,423
35101,"Spadina--Fort York/Spadina--Fort York"," 464-2","Toronto",68,12,2,4,132,48,2,268,444
35101,"Spadina--Fort York/Spadina--Fort York"," 465","Toronto",59,12,2,4,121,34,1,233,246
35101,"Spadina--Fort York/Spadina--Fort York"," 465-1","Toronto",42,13,1,4,139,30,0,229,382
35101,"Spadina--Fort York/Spadina--Fort York"," 465-2","Toronto",Merged with No./Fusionné avec le n°404-1,,,,,,,,257
35101,"Spadina--Fort York/Spadina--Fort York"," 465-3","Toronto",Merged with No./Fusionné avec le n°404,,,,,,,,320
35101,"Spadina--Fort York/Spadina--Fort York"," 466","Toronto",Merged with No./Fusionné avec le n°466-1,,,,,,,,300
35101,"Spadina--Fort York/Spadina--Fort York"," 466-1","Toronto",84,6,0,3,171,51,4,319,288
35101,"Spadina--Fort York/Spadina--Fort York"," 467A","Toronto",16,3,0,0,48,10,1,78,162
35101,"Spadina--Fort York/Spadina--Fort York"," 467B","Toronto",20,8,0,1,53,22,2,106,192
35101,"Spadina--Fort York/Spadina--Fort York"," 468A","Toronto",36,4,0,0,60,14,1,115,185
35101,"Spadina--Fort York/Spadina--Fort York"," 468B","Toronto",18,1,0,1,33,2,0,55,167
35101,"Spadina--Fort York/Spadina--Fort York"," 468-1A","Toronto",21,6,0,3,45,15,2,92,211
35101,"Spadina--Fort York/Spadina--Fort York"," 468-1B","Toronto",20,2,0,1,43,24,0,90,179
35101,"Spadina--Fort York/Spadina--Fort York"," 469","Toronto",79,13,0,2,133,34,3,264,541
35101,"Spadina--Fort York/Spadina--Fort York"," 470","Toronto",82,7,0,3,142,34,1,269,371
35101,"Spadina--Fort York/Spadina--Fort York"," 470-1","Toronto",Merged with No./Fusionné avec le n°470,,,,,,,,165
35101,"Spadina--Fort York/Spadina--Fort York"," 471A","Toronto",61,6,0,4,138,20,1,230,380
35101,"Spadina--Fort York/Spadina--Fort York"," 471B","Toronto",48,6,0,0,121,18,2,195,331
35101,"Spadina--Fort York/Spadina--Fort York"," 472","Toronto",76,14,1,10,126,16,1,244,394
35101,"Spadina--Fort York/Spadina--Fort York"," 472-1","Toronto",84,14,0,5,184,25,3,315,495
35101,"Spadina--Fort York/Spadina--Fort York"," 473","Toronto",78,15,0,1,167,22,1,284,449
35101,"Spadina--Fort York/Spadina--Fort York"," 473-1","Toronto",89,13,1,5,160,20,1,289,472
35101,"Spadina--Fort York/Spadina--Fort York"," 474","Toronto",48,7,1,2,145,25,0,228,353
35101,"Spadina--Fort York/Spadina--Fort York"," 475","Toronto",68,12,0,3,194,34,1,312,533
35101,"Spadina--Fort York/Spadina--Fort York"," 476","Toronto",33,6,0,0,105,28,0,172,319
35101,"Spadina--Fort York/Spadina--Fort York"," 476-1","Toronto",61,12,1,5,173,36,3,291,571
35101,"Spadina--Fort York/Spadina--Fort York"," 477","Toronto",78,11,0,3,184,42,3,321,475
35101,"Spadina--Fort York/Spadina--Fort York"," 478A","Toronto",40,14,1,1,127,39,1,223,394
35101,"Spadina--Fort York/Spadina--Fort York"," 478B","Toronto",32,11,0,2,142,33,1,221,354
35101,"Spadina--Fort York/Spadina--Fort York"," 479","Toronto",62,7,0,1,65,19,0,154,359
35101,"Spadina--Fort York/Spadina--Fort York"," 479-1","Toronto",75,11,1,7,112,43,1,250,453
35101,"Spadina--Fort York/Spadina--Fort York"," 480","Toronto",48,8,1,1,157,34,0,249,447
35101,"Spadina--Fort York/Spadina--Fort York"," 480-1","Toronto",Merged with No./Fusionné avec le n°484,,,,,,,,257
35101,"Spadina--Fort York/Spadina--Fort York"," 481","Toronto",Merged with No./Fusionné avec le n°485,,,,,,,,163
35101,"Spadina--Fort York/Spadina--Fort York"," 482","Toronto",19,1,0,0,67,19,0,106,217
35101,"Spadina--Fort York/Spadina--Fort York"," 483","Toronto",17,9,0,0,45,17,0,88,143
35101,"Spadina--Fort York/Spadina--Fort York"," 484","Toronto",10,9,1,1,128,38,2,189,268
35101,"Spadina--Fort York/Spadina--Fort York"," 485","Toronto",30,18,2,2,127,45,4,228,322
35101,"Spadina--Fort York/Spadina--Fort York"," 486","Toronto",Merged with No./Fusionné avec le n°488,,,,,,,,262
35101,"Spadina--Fort York/Spadina--Fort York"," 487","Toronto",54,10,0,2,115,41,1,223,398
35101,"Spadina--Fort York/Spadina--Fort York"," 488","Toronto",52,12,0,5,245,79,1,394,392
35101,"Spadina--Fort York/Spadina--Fort York"," 500","Mobile poll/Bureau itinérant",3,0,0,1,20,3,0,27,86
35101,"Spadina--Fort York/Spadina--Fort York"," 600","Toronto",83,73,2,8,614,221,2,1003,
35101,"Spadina--Fort York/Spadina--Fort York"," 601","Toronto",91,43,0,10,392,244,1,781,
35101,"Spadina--Fort York/Spadina--Fort York"," 602","Toronto",97,62,2,9,533,238,5,946,
35101,"Spadina--Fort York/Spadina--Fort York"," 603","Toronto",70,28,0,6,306,100,0,510,
35101,"Spadina--Fort York/Spadina--Fort York"," 604","Toronto",195,63,2,12,788,251,5,1316,
35101,"Spadina--Fort York/Spadina--Fort York"," 605","Toronto",134,68,1,15,646,242,2,1108,
35101,"Spadina--Fort York/Spadina--Fort York"," 606","Toronto",89,20,1,4,267,87,2,470,
35101,"Spadina--Fort York/Spadina--Fort York"," 607","Toronto",72,24,0,5,280,51,0,432,
35101,"Spadina--Fort York/Spadina--Fort York"," 608","Toronto",119,25,0,5,306,101,1,557,
35101,"Spadina--Fort York/Spadina--Fort York"," 609","Toronto",147,25,2,12,292,87,0,565,
35101,"Spadina--Fort York/Spadina--Fort York"," 610","Toronto",118,33,2,3,405,167,1,729,
35101,"Spadina--Fort York/Spadina--Fort York"," 611","Toronto",82,29,0,6,235,61,1,414,
35101,"Spadina--Fort York/Spadina--Fort York"," 612","Toronto",97,28,1,2,381,101,1,611,
