Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pietro Biacchi,François Desrochers,Simon Marcil,Christian Montpetit,Anne-Marie Saint-Germain,Julie Tremblay,Karl Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 50","Saint-Colomban",1,25,94,1,10,18,62,3,214,532
24048,"Mirabel/Mirabel"," 51","Saint-Colomban",2,19,101,4,18,12,39,5,200,447
24048,"Mirabel/Mirabel"," 52","Saint-Colomban",1,13,106,2,14,15,37,2,190,424
24048,"Mirabel/Mirabel"," 53","Saint-Colomban",0,18,146,1,25,15,47,5,257,559
24048,"Mirabel/Mirabel"," 54","Saint-Colomban",1,9,76,5,10,13,15,3,132,374
24048,"Mirabel/Mirabel"," 55","Saint-Colomban",2,25,108,4,19,8,42,3,211,408
24048,"Mirabel/Mirabel"," 56","Saint-Colomban",0,27,96,0,24,14,46,7,214,450
24048,"Mirabel/Mirabel"," 57","Saint-Colomban",1,17,89,2,16,17,47,5,194,436
24048,"Mirabel/Mirabel"," 58","Saint-Colomban",1,23,128,2,27,11,46,3,241,533
24048,"Mirabel/Mirabel"," 59","Saint-Colomban",2,22,126,2,17,14,36,3,222,447
24048,"Mirabel/Mirabel"," 60","Saint-Colomban",1,13,61,3,18,4,31,6,137,370
24048,"Mirabel/Mirabel"," 61","Saint-Colomban",0,24,100,6,7,5,63,7,212,449
24048,"Mirabel/Mirabel"," 62","Saint-Colomban",0,7,85,2,11,13,33,3,154,358
24048,"Mirabel/Mirabel"," 63","Saint-Colomban",0,18,141,4,14,9,56,5,247,562
24048,"Mirabel/Mirabel"," 64A","Saint-Colomban",4,18,76,1,13,12,29,3,156,427
24048,"Mirabel/Mirabel"," 64B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,8
24048,"Mirabel/Mirabel"," 65","Saint-Colomban",2,16,135,2,17,3,41,0,216,497
24048,"Mirabel/Mirabel"," 66","Saint-Colomban",0,26,116,2,21,24,44,0,233,536
24048,"Mirabel/Mirabel"," 67","Saint-Colomban",1,16,99,0,11,4,34,1,166,424
24048,"Mirabel/Mirabel"," 68","Saint-Colomban",1,28,158,5,31,20,53,3,299,600
24048,"Mirabel/Mirabel"," 69","Saint-Colomban",6,24,99,1,30,12,30,4,206,474
24048,"Mirabel/Mirabel"," 70","Mirabel",1,19,100,4,16,13,29,6,188,420
24048,"Mirabel/Mirabel"," 71","Mirabel",2,22,126,4,20,13,36,6,229,437
24048,"Mirabel/Mirabel"," 72","Mirabel",0,17,95,2,17,19,40,10,200,443
24048,"Mirabel/Mirabel"," 73","Mirabel",2,13,115,1,26,21,57,6,241,440
24048,"Mirabel/Mirabel"," 74","Mirabel",4,24,117,2,14,12,55,6,234,475
24048,"Mirabel/Mirabel"," 75","Mirabel",0,31,174,0,26,18,110,3,362,538
24048,"Mirabel/Mirabel"," 76","Mirabel",1,19,206,1,29,18,110,4,388,571
24048,"Mirabel/Mirabel"," 77","Mirabel",0,39,217,11,17,23,134,6,447,679
24048,"Mirabel/Mirabel"," 78A","Mirabel",0,18,93,0,16,7,24,3,161,330
24048,"Mirabel/Mirabel"," 78B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,104
24048,"Mirabel/Mirabel"," 79","Mirabel",2,19,64,1,21,13,36,3,159,405
24048,"Mirabel/Mirabel"," 80","Mirabel",0,15,119,3,28,11,48,6,230,462
24048,"Mirabel/Mirabel"," 81","Mirabel",1,20,107,3,19,18,63,3,234,541
24048,"Mirabel/Mirabel"," 82","Mirabel",0,21,140,3,27,18,62,2,273,508
24048,"Mirabel/Mirabel"," 83","Mirabel",3,14,128,2,25,18,49,8,247,513
24048,"Mirabel/Mirabel"," 84","Mirabel",2,22,160,4,45,16,94,0,343,820
24048,"Mirabel/Mirabel"," 85","Saint-Colomban",1,18,149,4,27,17,56,7,279,573
24048,"Mirabel/Mirabel"," 86","Saint-Colomban",1,23,157,3,30,11,58,8,291,591
24048,"Mirabel/Mirabel"," 87A","Mirabel",1,17,87,4,18,4,92,2,225,546
24048,"Mirabel/Mirabel"," 87B","Mirabel",1,19,97,0,19,10,93,2,241,568
24048,"Mirabel/Mirabel"," 88","Mirabel",3,24,136,1,22,9,92,2,289,539
24048,"Mirabel/Mirabel"," 89","Mirabel",0,12,102,2,12,15,65,4,212,412
24048,"Mirabel/Mirabel"," 90","Mirabel",0,20,116,1,26,25,82,1,271,494
24048,"Mirabel/Mirabel"," 91","Mirabel",1,24,138,4,23,10,67,3,270,484
24048,"Mirabel/Mirabel"," 92","Mirabel",1,11,96,1,21,10,47,3,190,379
24048,"Mirabel/Mirabel"," 93","Mirabel",1,24,126,2,28,10,121,9,321,641
24048,"Mirabel/Mirabel"," 94","Mirabel",1,26,134,2,16,12,81,4,276,535
24048,"Mirabel/Mirabel"," 95","Mirabel",0,24,152,3,30,9,91,1,310,560
24048,"Mirabel/Mirabel"," 96","Saint-Colomban",0,16,117,6,20,18,64,6,247,488
24048,"Mirabel/Mirabel"," 97","Saint-Colomban",2,28,152,0,14,16,57,8,277,558
24048,"Mirabel/Mirabel"," 98","Saint-Colomban",3,18,110,3,14,14,45,0,207,415
24048,"Mirabel/Mirabel"," 99","Saint-Colomban",0,11,70,3,7,8,23,0,122,293
24048,"Mirabel/Mirabel"," 100","Mirabel",0,13,128,1,30,4,96,4,276,529
24048,"Mirabel/Mirabel"," 101","Mirabel",4,11,91,2,22,11,58,4,203,451
24048,"Mirabel/Mirabel"," 102","Mirabel",1,41,113,5,20,8,87,1,276,608
24048,"Mirabel/Mirabel"," 103","Mirabel",1,25,127,5,19,7,69,0,253,505
24048,"Mirabel/Mirabel"," 104","Mirabel",1,36,102,3,25,14,29,5,215,481
24048,"Mirabel/Mirabel"," 105","Mirabel",0,15,144,4,16,14,34,7,234,480
24048,"Mirabel/Mirabel"," 106","Mirabel",3,26,124,3,27,13,58,6,260,521
24048,"Mirabel/Mirabel"," 107","Mirabel",1,17,147,4,28,12,63,11,283,655
24048,"Mirabel/Mirabel"," 108","Mirabel",3,24,160,4,31,17,51,7,297,533
24048,"Mirabel/Mirabel"," 109A","Mirabel",0,22,127,1,33,15,82,5,285,565
24048,"Mirabel/Mirabel"," 109B","Mirabel",2,26,121,1,37,9,66,4,266,609
24048,"Mirabel/Mirabel"," 109C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502C,,,,,,,,,138
24048,"Mirabel/Mirabel"," 110","Mirabel",1,17,82,3,9,7,31,0,150,309
24048,"Mirabel/Mirabel"," 111","Mirabel",1,21,102,0,17,14,57,7,219,465
24048,"Mirabel/Mirabel"," 112","Mirabel",2,28,150,1,26,11,79,4,301,510
24048,"Mirabel/Mirabel"," 113","Mirabel",0,18,120,0,24,17,73,6,258,502
24048,"Mirabel/Mirabel"," 114","Mirabel",2,26,113,3,25,13,42,6,230,441
24048,"Mirabel/Mirabel"," 115","Mirabel",0,24,128,1,8,12,52,5,230,493
24048,"Mirabel/Mirabel"," 116A","Mirabel",2,30,103,3,21,17,51,7,234,442
24048,"Mirabel/Mirabel"," 116B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31B,,,,,,,,,139
24048,"Mirabel/Mirabel"," 117","Mirabel",1,33,91,0,6,7,26,0,164,378
24048,"Mirabel/Mirabel"," 118","Mirabel",0,23,139,3,24,20,31,8,248,463
24048,"Mirabel/Mirabel"," 119","Mirabel",1,17,137,4,23,24,56,5,267,529
24048,"Mirabel/Mirabel"," 120","Mirabel",1,21,124,0,16,14,45,4,225,455
24048,"Mirabel/Mirabel"," 121","Mirabel",2,20,180,4,41,26,84,6,363,644
24048,"Mirabel/Mirabel"," 122","Mirabel",1,23,180,5,26,21,64,11,331,534
24048,"Mirabel/Mirabel"," 123A","Mirabel",1,23,104,2,27,12,63,3,235,472
24048,"Mirabel/Mirabel"," 123B","Mirabel",2,14,117,1,39,16,82,7,278,515
24048,"Mirabel/Mirabel"," 124","Mirabel",1,30,139,4,33,9,44,10,270,514
24048,"Mirabel/Mirabel"," 125","Mirabel",0,19,135,4,16,27,35,7,243,515
24048,"Mirabel/Mirabel"," 126","Mirabel",0,18,93,5,23,15,75,4,233,453
24048,"Mirabel/Mirabel"," 127","Mirabel",1,11,124,0,26,10,54,3,229,444
24048,"Mirabel/Mirabel"," 128","Mirabel",1,19,153,0,15,15,62,5,270,540
24048,"Mirabel/Mirabel"," 129","Mirabel",1,23,116,1,27,15,50,9,242,502
24048,"Mirabel/Mirabel"," 130","Mirabel",2,23,147,2,14,11,50,6,255,517
24048,"Mirabel/Mirabel"," 131","Mirabel",0,30,149,3,32,14,67,6,301,536
24048,"Mirabel/Mirabel"," 132","Mirabel",0,23,118,5,18,24,47,5,240,426
24048,"Mirabel/Mirabel"," 133","Mirabel",1,34,132,7,20,13,44,13,264,435
24048,"Mirabel/Mirabel"," 134","Mirabel",0,34,127,3,7,11,49,8,239,452
24048,"Mirabel/Mirabel"," 135","Mirabel",0,30,167,3,17,5,55,10,287,431
24048,"Mirabel/Mirabel"," 136","Mirabel",2,41,166,5,13,13,59,1,300,479
24048,"Mirabel/Mirabel"," 137","Mirabel",3,40,130,8,21,19,50,1,272,459
24048,"Mirabel/Mirabel"," 138","Sainte-Marthe-sur-le-Lac",1,36,114,0,17,14,99,4,285,577
24048,"Mirabel/Mirabel"," 139","Sainte-Marthe-sur-le-Lac",0,25,101,6,35,11,84,4,266,491
24048,"Mirabel/Mirabel"," 140","Sainte-Marthe-sur-le-Lac",1,17,78,3,16,9,50,4,178,377
24048,"Mirabel/Mirabel"," 141","Sainte-Marthe-sur-le-Lac",3,19,116,0,30,3,118,7,296,536
24048,"Mirabel/Mirabel"," 142","Sainte-Marthe-sur-le-Lac",0,27,105,2,20,13,86,3,256,435
24048,"Mirabel/Mirabel"," 143","Sainte-Marthe-sur-le-Lac",0,27,122,6,20,11,73,3,262,493
24048,"Mirabel/Mirabel"," 144","Sainte-Marthe-sur-le-Lac",1,24,112,6,19,8,72,6,248,520
24048,"Mirabel/Mirabel"," 145","Sainte-Marthe-sur-le-Lac",1,22,90,0,18,12,97,4,244,414
24048,"Mirabel/Mirabel"," 146","Sainte-Marthe-sur-le-Lac",0,25,100,4,21,9,71,5,235,466
24048,"Mirabel/Mirabel"," 147","Sainte-Marthe-sur-le-Lac",2,18,101,0,17,7,98,2,245,511
24048,"Mirabel/Mirabel"," 148","Sainte-Marthe-sur-le-Lac",1,24,150,2,43,14,79,2,315,560
24048,"Mirabel/Mirabel"," 149","Sainte-Marthe-sur-le-Lac",2,32,155,0,38,14,147,6,394,755
24048,"Mirabel/Mirabel"," 150A","Sainte-Marthe-sur-le-Lac",0,14,105,1,28,8,71,5,232,554
24048,"Mirabel/Mirabel"," 150B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503B,,,,,,,,,12
24048,"Mirabel/Mirabel"," 151","Sainte-Marthe-sur-le-Lac",1,8,80,1,18,12,76,5,201,431
24048,"Mirabel/Mirabel"," 152","Sainte-Marthe-sur-le-Lac",0,15,71,0,16,10,45,6,163,362
24048,"Mirabel/Mirabel"," 153","Sainte-Marthe-sur-le-Lac",0,40,182,5,38,17,180,8,470,829
24048,"Mirabel/Mirabel"," 154","Sainte-Marthe-sur-le-Lac",1,18,116,4,25,21,66,5,256,466
24048,"Mirabel/Mirabel"," 155","Sainte-Marthe-sur-le-Lac",1,27,114,2,25,21,71,14,275,567
24048,"Mirabel/Mirabel"," 156","Sainte-Marthe-sur-le-Lac",0,23,107,4,10,12,40,8,204,404
24048,"Mirabel/Mirabel"," 157","Sainte-Marthe-sur-le-Lac",2,20,79,8,29,14,41,3,196,418
24048,"Mirabel/Mirabel"," 158","Sainte-Marthe-sur-le-Lac",1,17,99,2,20,11,93,6,249,564
24048,"Mirabel/Mirabel"," 159","Sainte-Marthe-sur-le-Lac",3,13,92,3,27,11,58,6,213,380
24048,"Mirabel/Mirabel"," 160","Sainte-Marthe-sur-le-Lac",2,13,79,2,25,12,43,9,185,429
24048,"Mirabel/Mirabel"," 161","Sainte-Marthe-sur-le-Lac",1,14,99,1,25,17,62,4,223,445
24048,"Mirabel/Mirabel"," 162","Sainte-Marthe-sur-le-Lac",3,12,87,1,15,9,25,3,155,361
24048,"Mirabel/Mirabel"," 163","Sainte-Marthe-sur-le-Lac",0,14,113,1,20,13,64,6,231,484
24048,"Mirabel/Mirabel"," 164","Sainte-Marthe-sur-le-Lac",1,12,96,1,15,6,43,2,176,437
24048,"Mirabel/Mirabel"," 165","Sainte-Marthe-sur-le-Lac",0,18,99,2,27,17,27,4,194,424
24048,"Mirabel/Mirabel"," 166","Sainte-Marthe-sur-le-Lac",2,12,85,2,20,9,47,4,181,379
24048,"Mirabel/Mirabel"," 167","Saint-Joseph-du-Lac",2,15,96,2,28,20,50,3,216,433
24048,"Mirabel/Mirabel"," 168","Saint-Joseph-du-Lac",0,29,130,0,19,16,90,5,289,584
24048,"Mirabel/Mirabel"," 169","Saint-Joseph-du-Lac",0,34,95,1,19,1,66,3,219,469
24048,"Mirabel/Mirabel"," 170","Saint-Joseph-du-Lac",1,13,90,3,11,8,47,1,174,308
24048,"Mirabel/Mirabel"," 171","Saint-Joseph-du-Lac",3,14,99,2,19,9,65,0,211,386
24048,"Mirabel/Mirabel"," 172","Saint-Joseph-du-Lac",1,14,96,0,8,6,37,5,167,269
24048,"Mirabel/Mirabel"," 173","Saint-Joseph-du-Lac",0,20,124,0,38,16,66,5,269,454
24048,"Mirabel/Mirabel"," 174","Saint-Joseph-du-Lac",1,17,76,1,13,5,36,6,155,329
24048,"Mirabel/Mirabel"," 175","Saint-Joseph-du-Lac",1,12,93,0,18,6,32,5,167,273
24048,"Mirabel/Mirabel"," 176","Saint-Joseph-du-Lac",1,17,124,2,27,11,77,8,267,496
24048,"Mirabel/Mirabel"," 177","Saint-Joseph-du-Lac",0,12,55,1,6,6,23,6,109,265
24048,"Mirabel/Mirabel"," 178","Saint-Joseph-du-Lac",0,9,74,2,11,3,55,4,158,320
24048,"Mirabel/Mirabel"," 179","Pointe-Calumet",0,11,86,0,16,3,23,5,144,330
24048,"Mirabel/Mirabel"," 180","Pointe-Calumet",1,11,81,4,15,7,53,6,178,398
24048,"Mirabel/Mirabel"," 181","Pointe-Calumet",4,7,80,1,14,11,33,5,155,343
24048,"Mirabel/Mirabel"," 182","Pointe-Calumet",1,13,104,3,12,12,41,7,193,394
24048,"Mirabel/Mirabel"," 183","Pointe-Calumet",3,9,69,2,18,13,33,3,150,357
24048,"Mirabel/Mirabel"," 184","Pointe-Calumet",3,12,79,0,10,7,33,5,149,351
24048,"Mirabel/Mirabel"," 185","Saint-Joseph-du-Lac",0,15,91,4,19,6,59,3,197,431
24048,"Mirabel/Mirabel"," 186","Pointe-Calumet",1,19,108,0,16,7,40,4,195,364
24048,"Mirabel/Mirabel"," 187","Saint-Joseph-du-Lac",2,14,72,0,6,8,28,0,130,303
24048,"Mirabel/Mirabel"," 188","Pointe-Calumet",1,19,90,1,20,13,30,0,174,337
24048,"Mirabel/Mirabel"," 189","Pointe-Calumet",3,13,104,4,19,5,39,4,191,382
24048,"Mirabel/Mirabel"," 190","Pointe-Calumet",4,11,102,3,22,12,21,1,176,327
24048,"Mirabel/Mirabel"," 191","Pointe-Calumet",1,13,99,1,22,15,26,5,182,388
24048,"Mirabel/Mirabel"," 192","Pointe-Calumet",2,25,83,2,8,3,22,5,150,290
24048,"Mirabel/Mirabel"," 193","Pointe-Calumet",2,22,91,3,14,8,38,11,189,410
24048,"Mirabel/Mirabel"," 194","Pointe-Calumet",1,14,65,4,7,13,34,8,146,334
24048,"Mirabel/Mirabel"," 195","Saint-Placide",3,22,118,3,8,9,35,1,199,392
24048,"Mirabel/Mirabel"," 196","Saint-Placide",1,16,103,2,13,6,34,3,178,366
24048,"Mirabel/Mirabel"," 197A","Saint-Placide",0,7,85,1,19,7,24,1,144,372
24048,"Mirabel/Mirabel"," 197B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,9
24048,"Mirabel/Mirabel"," 198","Saint-Placide",0,6,98,2,8,9,37,2,162,327
24048,"Mirabel/Mirabel"," 199","Oka",0,16,46,5,9,16,37,0,129,329
24048,"Mirabel/Mirabel"," 200","Oka",1,11,88,2,19,8,45,1,175,360
24048,"Mirabel/Mirabel"," 201","Oka",1,9,63,1,7,10,36,2,129,261
24048,"Mirabel/Mirabel"," 202","Oka",2,14,101,0,17,16,46,2,198,349
24048,"Mirabel/Mirabel"," 203","Oka",0,11,71,1,23,9,30,7,152,291
24048,"Mirabel/Mirabel"," 204","Oka",1,15,69,5,16,18,52,2,178,387
24048,"Mirabel/Mirabel"," 205A","Oka",1,13,84,0,15,16,44,3,176,478
24048,"Mirabel/Mirabel"," 205B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503C,,,,,,,,,5
24048,"Mirabel/Mirabel"," 206","Oka",1,21,38,1,8,8,46,1,124,623
24048,"Mirabel/Mirabel"," 207","Pointe-aux-Anglais--Oka",1,12,117,2,8,10,44,1,195,314
24048,"Mirabel/Mirabel"," 208","Oka",0,10,42,0,15,5,29,0,101,438
24048,"Mirabel/Mirabel"," 500A","Mobile poll/Bureau itinérant",0,9,43,0,0,0,22,7,81,109
24048,"Mirabel/Mirabel"," 500B","Mobile poll/Bureau itinérant",0,3,8,1,0,0,6,6,24,33
24048,"Mirabel/Mirabel"," 501A","Mobile poll/Bureau itinérant",2,7,42,1,3,0,58,2,115,71
24048,"Mirabel/Mirabel"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,6
24048,"Mirabel/Mirabel"," 502A","Mobile poll/Bureau itinérant",0,0,8,0,1,1,6,1,17,25
24048,"Mirabel/Mirabel"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,1
24048,"Mirabel/Mirabel"," 502C","Mobile poll/Bureau itinérant",0,17,63,1,2,1,42,4,130,29
24048,"Mirabel/Mirabel"," 503A","Mobile poll/Bureau itinérant",1,1,3,0,0,0,2,0,7,6
24048,"Mirabel/Mirabel"," 503B","Mobile poll/Bureau itinérant",0,1,1,0,0,0,8,1,11,27
24048,"Mirabel/Mirabel"," 503C","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,53
24048,"Mirabel/Mirabel"," 600","Saint-Colomban",3,94,453,6,47,61,195,7,866,
24048,"Mirabel/Mirabel"," 601","Saint-Colomban",9,113,637,12,50,69,233,16,1139,
24048,"Mirabel/Mirabel"," 602","Saint-Colomban",3,90,354,4,33,39,171,9,703,
24048,"Mirabel/Mirabel"," 603","Saint-Colomban",3,76,457,12,72,48,193,10,871,
24048,"Mirabel/Mirabel"," 604","Mirabel",7,99,504,0,47,32,193,0,882,
24048,"Mirabel/Mirabel"," 605","Sainte-Anne-des-Plaines",5,79,626,5,42,54,222,18,1051,
24048,"Mirabel/Mirabel"," 606","Sainte-Anne-des-Plaines",4,109,618,6,54,40,208,16,1055,
24048,"Mirabel/Mirabel"," 607","Mirabel",5,85,523,10,77,40,233,24,997,
24048,"Mirabel/Mirabel"," 608","Mirabel",2,101,538,9,70,47,339,13,1119,
24048,"Mirabel/Mirabel"," 609","Mirabel",4,117,606,11,77,44,308,29,1196,
24048,"Mirabel/Mirabel"," 610","Mirabel",5,112,608,12,72,69,230,14,1122,
24048,"Mirabel/Mirabel"," 611","Mirabel",3,92,398,10,51,37,179,0,770,
24048,"Mirabel/Mirabel"," 612","Pointe-aux-Anglais--Oka",2,44,267,2,22,23,90,8,458,
24048,"Mirabel/Mirabel"," 613","Pointe-Calumet",3,69,371,7,67,60,247,10,834,
24048,"Mirabel/Mirabel"," 614","Saint-Joseph-du-Lac",1,56,320,2,37,33,201,0,650,
24048,"Mirabel/Mirabel"," 615","Saint-Joseph-du-Lac",4,87,354,9,41,38,190,20,743,
24048,"Mirabel/Mirabel"," 616","Pointe-Calumet",0,64,294,3,38,28,134,21,582,
24048,"Mirabel/Mirabel"," 617","Sainte-Marthe-sur-le-Lac",6,112,420,12,69,46,292,18,975,
24048,"Mirabel/Mirabel"," 618","Sainte-Marthe-sur-le-Lac",5,84,497,11,74,33,356,3,1063,
24048,"Mirabel/Mirabel"," 619","Sainte-Marthe-sur-le-Lac",8,76,382,9,57,43,236,12,823,
24048,"Mirabel/Mirabel",,Group 1/Groupe 1, 2,12,11,0,2,7,34,3,71,55
24048,"Mirabel/Mirabel",,Group 2/Groupe 2, 4,85,328,10,93,90,227,39,876,
