Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raheem Aman,Eric Duncan,Heather Megill,Kelsey Catherine Schmitz,Sabile Trimm,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 20","Martintown",5,71,42,23,4,0,145,323
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 21","Martintown",4,115,43,36,3,0,201,360
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 22","Lancaster",8,82,60,27,5,2,184,434
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 23","South Lancaster",9,67,46,25,5,3,155,350
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 24","Lancaster",6,47,35,22,2,0,112,262
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 25","Heritage",3,68,51,11,6,3,142,287
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 26","Gravel Hill",0,117,23,20,3,0,163,335
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 27","Strathmore",7,119,34,23,0,0,183,335
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 28","Lodi",7,101,40,15,3,1,167,330
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 29","Duff's Corners",6,94,21,19,4,0,144,307
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 30","Duff's Corners",6,83,33,32,3,0,157,344
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 31","Crysler",7,98,55,37,8,0,205,375
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 32","Crysler",4,98,56,22,4,4,188,351
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 33","Crysler",6,82,54,29,3,3,177,341
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 34","Cahore",1,104,35,20,3,2,165,345
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 35","Berwick",4,129,24,19,6,1,183,382
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 36","Bonville",13,133,27,26,4,0,203,388
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 37","Bonville",5,70,29,26,0,1,131,311
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 38","Harrisons Corners",4,77,30,22,6,3,142,271
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 39","Northfield",4,87,34,23,1,0,149,288
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 40","Harrisons Corners",7,87,27,27,5,0,153,302
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 41","Glendale",6,108,53,33,2,1,203,393
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 42","Paragon",9,69,25,21,2,1,127,268
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 43","Glendale",2,85,39,50,4,1,181,321
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 44","South Glengarry",3,51,44,27,1,0,126,266
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 45","South Glengarry",5,92,89,35,4,2,227,531
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 46","St. Andrews",8,92,42,51,2,1,196,330
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 47","St. Andrews",7,80,35,23,3,0,148,288
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 48","St. Andrews",3,97,24,22,4,2,152,309
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 49","Summerstown",7,97,51,19,10,0,184,373
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 50","Paragon",9,127,62,14,9,0,221,399
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 51","Tyotown",3,89,62,40,1,1,196,348
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 52","Tyotown",6,92,72,12,6,2,190,423
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 53","South Glengarry",11,110,93,36,4,2,256,470
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 54","Cornwall",5,68,34,28,5,0,140,283
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 55","Grants Corners",7,107,31,24,5,1,175,383
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 56","Rosedale Terrace",6,84,40,38,6,2,176,419
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 57","Grants Corners",10,101,52,28,3,1,195,419
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 58","Rosedale Terrace",5,87,46,22,5,0,165,354
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 59","Berwick",7,121,23,31,8,2,192,365
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 60","Finch",5,129,24,18,3,3,182,304
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 61","Berwick",10,148,19,27,0,0,204,325
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 62","Morewood",10,144,18,24,9,1,206,305
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 63","Morewood",10,97,57,18,3,0,185,296
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 64","Morewood",11,126,19,25,5,0,186,321
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 65","Cornwall",9,82,67,44,4,3,209,494
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 66","Cornwall",9,84,65,40,5,3,206,547
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 67","Cornwall",5,69,58,44,8,1,185,419
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 68","Cornwall",4,55,69,24,0,1,153,396
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 69","Cornwall",5,55,38,42,1,4,145,445
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 70","Cornwall",10,62,38,42,6,1,159,461
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 71","Cornwall",22,111,63,65,10,3,274,603
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 72","Cornwall",7,110,62,39,4,2,224,454
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 73","Cornwall",6,92,66,43,5,2,214,476
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 74","Cornwall",7,96,82,40,2,1,228,472
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 75","Cornwall",6,118,114,65,0,1,304,655
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 76","Cornwall",14,77,61,38,5,3,198,430
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 77","Cornwall",9,51,106,29,6,5,206,478
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 78","Cornwall",10,77,86,37,6,7,223,491
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 79","Cornwall",5,84,77,32,2,4,204,472
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 80","Cornwall",5,82,90,47,5,5,234,498
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 81","Cornwall",3,74,71,28,4,1,181,468
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 82","Cornwall",2,65,57,35,2,1,162,403
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 83","Cornwall",2,59,58,25,4,6,154,407
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 84","Cornwall",5,72,44,41,5,0,167,430
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 85","Cornwall",8,52,41,31,4,0,136,507
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 86","Cornwall",3,74,81,36,4,4,202,425
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 87","Cornwall",10,55,62,36,2,9,174,465
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 88","Cornwall",10,81,79,29,4,2,205,463
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 89","Cornwall",8,80,67,20,2,1,178,434
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 90","Cornwall",7,57,43,29,1,1,138,372
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 91","Cornwall",10,88,61,42,6,3,210,510
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 92","Cornwall",4,70,62,34,8,3,181,557
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 93","Cornwall",1,86,44,34,3,1,169,403
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 94","Cornwall",9,79,49,40,4,0,181,469
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 95","Cornwall",6,88,56,37,5,4,196,494
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 96","Cornwall",5,68,35,28,5,2,143,383
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 97","Cornwall",9,98,66,36,6,0,215,559
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 98","Cornwall",1,82,49,31,3,5,171,452
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 99","Cornwall",6,92,54,31,4,4,191,475
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 100","Cornwall",2,58,66,27,10,2,165,382
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 101","Cornwall",9,58,68,43,5,2,185,525
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 102","Cornwall",10,86,53,42,4,2,197,525
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 103","Cornwall",10,73,52,34,7,2,178,507
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 104","Cornwall",5,75,58,44,5,3,190,432
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 105","Cornwall",11,86,60,33,3,3,196,433
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 106","Cornwall",7,91,59,39,5,1,202,497
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 107","Cornwall",10,78,70,33,5,1,197,479
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 108","Cornwall",4,48,41,27,3,3,126,436
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 109","Cornwall",12,67,60,28,4,2,173,506
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 110","Cornwall",8,79,54,37,5,1,184,452
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 111","Cornwall",6,86,47,32,6,1,178,455
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 112","Cornwall",6,61,35,34,5,2,143,588
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 113","Cornwall",5,51,44,31,6,3,140,416
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 114","Cornwall",3,40,34,25,3,1,106,522
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 115","Cornwall",9,62,39,38,4,5,157,451
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 116","Newington",15,174,27,31,7,2,256,395
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 117","Sandtown",9,119,15,14,6,3,166,313
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 118","Cornwall",3,63,44,27,7,0,144,392
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 119","Cornwall",4,44,44,43,1,1,137,502
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 120","Cornwall",4,48,43,17,3,0,115,477
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 121","Cornwall",4,38,45,28,5,2,122,459
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 122","Cornwall",6,66,51,35,0,0,158,454
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 123","Cornwall",6,75,40,29,4,2,156,501
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 124","Cornwall",6,77,39,31,3,2,158,488
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 125","Cornwall",3,72,37,44,1,0,157,468
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 126","Cornwall",13,80,46,38,1,1,179,377
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 127","Cornwall",7,62,47,22,0,3,141,407
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 128","Cornwall",2,71,44,21,3,2,143,408
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 129","Cornwall",7,43,43,21,0,2,116,429
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 130","Cornwall",6,44,51,25,2,1,129,403
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 131","Cornwall",11,43,49,34,1,2,140,437
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 132","The Ninth",16,122,26,13,3,3,183,405
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 133","Chesterville",7,125,30,20,5,1,188,424
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 134","Chesterville",5,132,27,35,12,2,213,432
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 135","Limerick",5,125,35,17,4,0,186,399
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 136","Limerick",6,123,30,21,6,3,189,381
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 137","Cornwall",5,50,41,34,3,0,133,453
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 138","Cornwall",6,82,36,56,2,2,184,556
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 139","Cornwall",7,52,26,46,7,1,139,485
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 140","Cornwall",4,59,22,37,5,1,128,451
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 141","Cornwall Island",2,7,10,22,0,0,41,790
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 142","Cornwall",7,69,27,25,4,0,132,418
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 143","Lunenburg",2,79,20,14,1,2,118,279
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 144","Lakeview Heights",7,80,35,24,1,1,148,387
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 145","Lunenburg",2,86,26,20,0,4,138,289
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 146","Lakeview Heights",5,92,65,23,0,0,185,369
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 147","Long Sault",5,75,55,25,5,1,166,394
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 148","Lakeview Heights",6,91,61,27,1,0,186,386
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 149","Long Sault",7,99,45,31,1,1,184,387
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 150","Long Sault",8,75,30,34,9,1,157,313
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 151","Long Sault",10,118,64,21,1,0,214,449
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 152","Manning",5,99,53,15,1,0,173,341
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 153","Cornwall",3,107,79,31,4,3,227,516
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 154","Cornwall",16,91,43,32,8,0,190,446
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 155","Cornwall",6,84,67,41,5,0,203,468
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 156","Cornwall",15,90,59,46,0,3,213,448
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 157","Cornwall",11,81,78,36,5,1,212,433
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 158","Cornwall",8,95,53,37,6,3,202,437
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 159","Ormond",12,107,27,17,8,0,171,374
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 160","Annable Settlement",3,129,38,27,2,0,199,413
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 161","Old Carriage",9,126,30,26,4,0,195,360
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 162","Winchester",5,80,19,12,4,0,120,344
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 163","Winchester",6,115,24,24,3,0,172,389
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 164","Annable Settlement",9,135,39,38,3,0,224,419
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 165","Mulloys",8,148,24,11,3,0,194,384
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 166","Osnabruck Centre",3,95,12,14,5,1,130,239
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 167","Vin Vista",10,123,31,32,7,0,203,405
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 168","Gallingertown",1,111,6,19,4,5,146,351
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 169","Ingleside",7,63,35,19,0,3,127,296
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 170","Ingleside",8,111,44,26,0,0,189,419
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 171","Ingleside",4,78,30,32,5,0,149,316
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 172","Ingleside",4,69,42,14,6,1,136,306
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 173","Gallingertown",8,124,41,20,1,5,199,472
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 174","Winchester",6,91,32,22,3,2,156,354
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 175","Winchester Springs",8,118,13,16,10,1,166,389
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 176","Winchester",6,117,47,23,1,2,196,396
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 177","Dunbar",7,128,23,21,8,0,187,392
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 178","Elma",6,155,31,18,1,1,212,385
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 179","Boucks Hill",5,127,18,13,4,1,168,320
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 180","Boucks Hill",7,116,36,30,6,2,197,399
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 181","Williamsburg",12,146,26,24,2,3,213,350
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 182","Reids Mills",9,123,38,25,2,1,198,365
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 183","Reids Mills",12,108,44,28,2,0,194,374
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 184","Mountain",15,119,30,23,1,1,189,362
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 185","Inkerman",6,106,29,38,5,0,184,334
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 186","Brinston",4,125,13,10,2,0,154,329
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 187","Nelson",6,103,27,12,4,5,157,309
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 188","Nelson",15,131,28,26,4,1,205,393
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 189","Pleasant Valley",5,134,27,14,5,3,188,379
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 190","Riverside Heights",3,97,11,17,0,1,129,292
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 191","Riverside Heights",6,78,11,14,0,2,111,234
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 192","Morrisburg",2,93,23,12,1,1,132,336
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 193","Morrisburg",3,72,24,14,1,2,116,305
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 194","Morrisburg",4,59,10,17,3,1,94,249
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 195","Dundela",1,130,20,21,6,1,179,368
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 196","Hanesville",5,152,17,18,1,0,193,380
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 197","Rowena",6,145,12,19,5,1,188,360
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 198","Morrisburg",1,105,24,17,3,4,154,292
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 199","Morrisburg",5,66,24,14,0,2,111,271
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 200","Glen Becker",8,87,40,33,5,2,175,307
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 201","Morrisburg",8,119,28,23,4,3,185,329
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 202","Glen Becker",3,97,31,23,5,1,160,308
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 203","Glen Becker",1,118,32,12,0,0,163,347
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 204","Flagg Creek",3,156,27,26,3,0,215,429
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 205","Flagg Creek",5,76,29,16,3,2,131,300
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 206","Iroquois",4,83,20,21,2,2,132,365
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 207","Iroquois",8,90,34,25,1,1,159,401
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 208","Broken Second",2,82,16,19,1,1,121,389
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 209","Broken Second",13,99,28,15,2,0,157,357
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 400","Cornwall",1,35,40,12,1,3,92,170
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 401","Cornwall",5,24,22,10,0,1,62,151
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 402","Cornwall",8,41,46,10,2,4,111,160
