Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ramez Ayoub,Normand Beaudet,Louise Chabot,Marie Claude Fournier,Alain Lamontagne,Désiré Mounanga,Andy Piano,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 16","Blainville",56,15,102,8,1,1,1,18,4,206,399
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 17","Blainville",54,8,52,18,0,3,2,11,0,148,299
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 18","Blainville",52,6,74,24,1,3,0,26,3,189,390
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 19","Blainville",62,8,91,20,1,2,0,19,3,206,485
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 20","Bois-des-Filion",82,8,99,16,0,1,0,20,5,231,505
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 21","Bois-des-Filion",75,5,59,19,0,0,0,15,6,179,357
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 22","Bois-des-Filion",43,2,99,11,0,2,0,10,6,173,337
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 23","Bois-des-Filion",56,6,80,15,0,0,0,3,2,162,352
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 24","Bois-des-Filion",79,19,119,19,3,0,1,15,9,264,502
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 25","Bois-des-Filion",67,8,58,12,0,1,1,20,1,168,338
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 26","Bois-des-Filion",41,10,89,18,0,1,0,23,3,185,338
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 27A","Bois-des-Filion",62,13,105,12,3,2,0,16,4,217,419
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 27B","Mobile poll/Bureau itinérant",9,1,16,0,0,0,0,1,1,28,39
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 28","Bois-des-Filion",99,15,88,18,1,2,1,12,6,242,435
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 29","Bois-des-Filion",70,9,104,25,5,1,0,18,8,240,439
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 30","Bois-des-Filion",78,11,95,9,0,0,0,11,2,206,411
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 31","Bois-des-Filion",50,7,102,22,0,0,0,6,5,192,383
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 32","Bois-des-Filion",73,12,106,23,1,1,0,17,4,237,475
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 33","Bois-des-Filion",49,9,83,14,0,2,0,18,4,179,405
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 34","Bois-des-Filion",45,15,96,18,0,0,1,18,2,195,447
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 35","Bois-des-Filion",39,15,97,13,1,1,1,16,3,186,429
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 36","Bois-des-Filion",71,21,98,17,0,0,1,15,6,229,431
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 37","Bois-des-Filion",60,10,94,13,1,4,0,16,5,203,511
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 38","Lorraine",72,8,64,12,1,1,0,22,2,182,357
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 39","Lorraine",97,21,90,18,2,0,0,26,0,254,468
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 40","Lorraine",89,16,85,26,0,0,0,31,1,248,410
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 41","Lorraine",87,5,60,18,0,1,0,17,1,189,422
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 42","Lorraine",59,6,71,11,0,2,0,13,2,164,339
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 43","Lorraine",96,4,23,35,0,0,1,13,2,174,385
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 44","Lorraine",142,17,71,20,0,0,0,24,0,274,500
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 45","Lorraine",117,10,68,15,2,1,0,12,3,228,466
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 46","Lorraine",141,8,55,31,1,1,0,17,2,256,475
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 47","Lorraine",111,13,75,16,0,4,0,12,2,233,474
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 48","Blainville",112,9,104,24,1,3,0,27,3,283,450
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 49","Blainville",101,6,112,18,2,1,2,22,1,265,475
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 50","Blainville",83,5,107,21,0,2,1,15,0,234,491
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 51","Blainville",66,11,119,12,1,2,0,13,0,224,440
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 52","Blainville",72,13,108,22,1,1,1,24,1,243,416
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 53","Blainville",158,6,158,33,1,5,1,23,4,389,720
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 54A","Blainville",74,6,90,17,0,1,0,9,6,203,367
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 54B","Blainville",83,4,65,22,1,1,0,8,4,188,357
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 55","Blainville",88,17,105,16,0,5,0,15,2,248,472
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 56","Blainville",123,13,105,35,0,1,1,33,5,316,501
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 57","Blainville",166,13,87,57,0,1,0,23,1,348,535
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 58","Blainville",131,10,95,48,1,6,0,25,0,316,502
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 59","Blainville",112,4,88,48,1,3,1,23,2,282,412
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 60","Blainville",141,5,78,62,0,0,0,19,2,307,498
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 61","Blainville",151,13,74,36,1,2,0,21,1,299,483
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 62","Blainville",103,9,66,20,0,1,0,16,1,216,347
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 63","Blainville",128,7,75,36,0,3,0,21,3,273,447
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 64","Blainville",123,5,64,56,0,0,0,30,0,278,466
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 65","Blainville",105,3,77,23,2,0,0,12,2,224,411
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 66A","Blainville",101,8,81,31,0,3,0,20,5,249,410
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 66B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,,54
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 67","Blainville",110,5,51,26,1,0,1,14,2,210,390
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 68","Lorraine",100,5,69,13,1,1,0,24,3,216,390
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 69","Lorraine",112,11,58,17,0,1,1,21,0,221,471
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 70","Lorraine",97,5,72,12,1,3,0,8,2,200,402
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 71","Lorraine",78,10,54,15,0,1,0,17,3,178,345
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 72","Lorraine",108,17,94,20,0,2,0,17,1,259,474
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 73","Lorraine",76,12,47,8,0,3,0,12,3,161,307
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 74","Lorraine",67,14,62,17,2,4,0,22,0,188,442
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 75","Blainville",59,6,89,15,1,0,0,10,0,180,339
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 76","Blainville",53,9,78,21,1,0,0,16,3,181,380
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 77","Blainville",91,6,99,26,3,1,0,19,3,248,437
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 78","Blainville",59,8,111,14,2,0,1,22,3,220,396
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 79","Blainville",50,15,88,12,1,3,0,9,5,183,371
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 80","Blainville",55,15,91,16,1,1,0,23,4,206,385
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 81","Blainville",58,8,74,11,2,0,0,11,5,169,357
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 82A","Blainville",45,12,62,21,0,1,2,12,6,161,325
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 82B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,,30
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 83A","Blainville",31,6,60,5,1,2,0,16,0,121,284
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 83B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°27B,,,,,,,,,,37
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 84","Blainville",65,11,81,27,1,2,0,17,0,204,383
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 85","Blainville",53,11,87,15,1,0,1,31,1,200,395
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 86","Blainville",52,7,83,23,0,3,3,17,0,188,410
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 87","Blainville",50,6,89,21,2,1,3,16,1,189,383
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 88","Blainville",64,19,120,22,2,1,0,18,3,249,403
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 89","Blainville",49,7,104,23,2,2,0,17,2,206,415
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 90","Blainville",55,10,94,23,3,7,0,21,7,220,428
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 91","Blainville",40,6,82,25,0,4,0,19,8,184,378
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 92","Blainville",35,9,75,9,1,0,0,16,3,148,314
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 93","Blainville",109,12,125,23,0,1,0,30,2,302,490
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 94","Blainville",83,14,121,26,1,2,0,20,2,269,463
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 95","Blainville",74,11,96,13,1,1,2,36,6,240,424
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 96A","Blainville",117,19,137,19,1,0,0,21,4,318,559
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 96B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,,33
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 97","Blainville",60,6,62,20,2,0,0,16,0,166,327
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 98","Sainte-Thérèse",98,4,95,24,1,1,0,10,3,236,406
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 99","Blainville",90,8,87,9,1,0,0,17,0,212,390
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 100","Sainte-Thérèse",53,17,60,6,1,1,0,9,1,148,281
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 101","Blainville",67,7,73,30,3,1,0,11,5,197,374
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 102","Sainte-Thérèse",56,1,62,13,0,0,0,1,4,137,490
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 103","Sainte-Thérèse",70,9,99,11,0,1,0,7,4,201,465
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 104","Sainte-Thérèse",58,10,65,13,2,0,0,10,3,161,329
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 105","Sainte-Thérèse",63,12,102,9,0,1,0,19,1,207,411
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 106","Sainte-Thérèse",63,14,76,15,1,1,2,11,3,186,416
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 107","Sainte-Thérèse",43,11,116,16,2,1,0,23,6,218,498
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 108","Sainte-Thérèse",45,10,89,16,0,2,1,26,7,196,426
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 109","Sainte-Thérèse",39,11,54,14,0,1,1,15,5,140,367
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 110","Sainte-Thérèse",31,10,63,17,0,1,0,31,4,157,425
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 111","Sainte-Thérèse",71,17,130,18,3,2,0,41,4,286,796
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 112","Blainville",69,8,85,13,1,2,1,12,3,194,334
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 113","Blainville",80,8,77,9,0,4,0,17,5,200,378
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 114","Blainville",76,11,92,13,1,0,0,9,5,207,397
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 115","Blainville",74,10,103,21,0,0,0,22,3,233,538
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 116A","Blainville",48,5,75,12,0,2,0,13,4,159,373
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 116B","Blainville",48,8,60,13,1,1,0,8,0,139,369
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 116C","Blainville",54,6,72,14,1,0,0,18,2,167,395
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 117","Blainville",18,1,71,6,0,0,0,5,2,103,282
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 118","Blainville",55,10,99,25,0,3,0,32,5,229,447
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 119","Blainville",46,3,78,15,0,2,1,11,3,159,393
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 120","Blainville",63,11,74,20,0,2,0,9,4,183,411
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 121","Blainville",65,9,65,19,0,1,0,18,3,180,433
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 122","Blainville",48,10,86,11,0,1,0,12,3,171,388
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 123","Blainville",62,14,73,12,1,3,0,12,5,182,413
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 124","Blainville",79,15,108,11,1,0,0,23,1,238,539
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 125","Blainville",72,7,102,14,2,2,0,17,5,221,432
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 126","Blainville",39,4,63,5,2,1,0,25,2,141,331
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 127","Blainville",29,5,75,12,1,1,0,13,13,149,406
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 128","Blainville",40,4,69,9,0,0,0,17,5,144,349
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 129","Blainville",136,4,98,17,0,2,0,3,0,260,339
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 130","Blainville",114,13,98,17,1,1,0,28,1,273,473
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 131","Blainville",121,12,117,23,0,0,0,44,8,325,526
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 132","Blainville",141,16,77,18,1,1,0,31,4,289,474
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 133","Blainville",116,15,122,30,0,2,0,28,3,316,518
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 134","Blainville",97,14,122,27,1,2,0,30,5,298,442
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 135","Blainville",52,11,88,20,1,1,0,21,4,198,342
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 136","Blainville",75,13,107,10,2,1,0,16,3,227,349
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 137","Blainville",62,9,123,30,1,1,1,24,5,256,378
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 138","Blainville",81,11,121,12,2,1,0,22,7,257,401
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 139","Blainville",41,11,117,15,2,0,0,17,12,215,421
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 140","Blainville",66,16,120,21,1,1,0,20,5,250,451
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 141A","Blainville",73,15,107,19,0,3,0,26,6,249,471
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 141B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°27B,,,,,,,,,,12
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 142","Blainville",54,14,121,14,0,1,0,18,4,226,353
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 143","Blainville",100,11,101,25,1,2,0,24,1,265,454
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 144","Blainville",100,9,71,24,1,4,0,23,0,232,411
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 145","Blainville",58,10,99,18,1,1,1,22,5,215,433
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 146","Blainville",89,12,116,27,2,3,0,33,8,290,479
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 147","Blainville",76,5,77,14,3,2,0,9,3,189,403
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 148","Blainville",95,12,77,20,2,2,0,20,1,229,413
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 149","Sainte-Thérèse",94,9,91,10,0,1,1,10,0,216,363
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 150","Sainte-Thérèse",118,11,100,16,0,1,0,20,1,267,437
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 151","Sainte-Thérèse",103,10,91,16,0,3,2,12,1,238,381
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 152","Sainte-Thérèse",115,16,112,11,2,0,1,15,3,275,412
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 153","Blainville",43,8,77,16,1,0,0,15,1,161,393
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 154","Sainte-Thérèse",68,12,118,22,0,0,0,17,6,243,437
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 155","Sainte-Thérèse",81,20,107,8,0,0,0,14,4,234,404
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 156","Sainte-Thérèse",113,15,107,8,1,0,0,16,2,262,415
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 157","Sainte-Thérèse",121,13,80,15,0,1,0,23,1,254,402
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 158","Sainte-Thérèse",39,8,56,6,1,1,0,17,5,133,330
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 159","Sainte-Thérèse",72,12,81,14,0,0,0,21,6,206,457
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 160","Sainte-Thérèse",67,14,74,14,2,0,1,21,2,195,431
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 161","Sainte-Thérèse",70,6,74,16,0,0,0,9,4,179,354
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 162","Sainte-Thérèse",37,10,52,10,0,5,0,12,2,128,361
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 163","Sainte-Thérèse",74,12,124,26,1,0,0,16,5,258,483
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 164","Sainte-Thérèse",72,10,85,15,2,1,0,17,1,203,474
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 165","Sainte-Thérèse",67,19,69,7,0,4,0,20,6,192,441
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 166","Sainte-Thérèse",58,11,78,11,1,0,1,16,0,176,458
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 167","Sainte-Thérèse",43,16,80,10,0,0,2,21,6,178,422
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 168A","Sainte-Thérèse",42,8,61,11,2,5,0,22,2,153,378
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 168B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,,37
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 169","Sainte-Thérèse",45,11,74,15,0,1,0,14,4,164,412
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 170","Sainte-Thérèse",41,11,74,8,0,4,0,20,2,160,360
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 171","Sainte-Thérèse",183,4,139,35,0,2,2,2,17,384,525
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 172","Sainte-Thérèse",37,12,88,20,1,1,0,29,2,190,397
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 173","Sainte-Thérèse",29,22,63,5,1,0,1,24,7,152,341
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 174","Sainte-Thérèse",51,11,71,13,0,0,1,22,2,171,380
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 175","Sainte-Thérèse",45,8,66,8,1,1,1,14,4,148,353
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 176","Sainte-Thérèse",36,15,97,9,2,2,2,11,2,176,391
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 177","Sainte-Thérèse",56,10,85,11,1,2,0,10,1,176,440
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 178","Sainte-Thérèse",41,15,62,15,3,0,2,24,7,169,403
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 179","Sainte-Thérèse",46,9,76,7,2,1,0,15,4,160,395
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 180","Sainte-Thérèse",30,8,71,8,1,0,0,18,4,140,356
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 181","Sainte-Thérèse",39,5,54,12,0,2,1,7,6,126,339
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 182","Sainte-Thérèse",50,9,73,11,2,3,0,18,4,170,469
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 183","Sainte-Thérèse",49,4,103,16,1,0,0,23,6,202,475
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 184","Sainte-Thérèse",55,9,75,15,0,1,0,23,9,187,499
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 185","Sainte-Thérèse",75,17,111,30,1,1,0,21,5,261,557
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 186","Sainte-Thérèse",62,16,122,17,2,3,0,29,6,257,522
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 187","Sainte-Thérèse",65,19,70,10,3,0,2,18,3,190,398
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 400","Blainville",172,4,125,33,0,1,0,4,14,353,445
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 401","Blainville",67,0,30,8,1,1,0,1,2,110,149
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 402","Sainte-Thérèse",108,4,59,14,1,1,0,0,9,196,296
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 403","Sainte-Thérèse",98,6,70,7,1,0,0,3,2,187,263
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 404","Lorraine",58,2,35,5,0,0,0,1,3,104,159
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 500","Mobile poll/Bureau itinérant",57,6,31,11,2,0,0,0,3,110,179
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 501","Mobile poll/Bureau itinérant",41,2,30,6,0,0,0,0,3,82,103
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 502A","Mobile poll/Bureau itinérant",36,4,36,4,1,1,0,4,5,91,117
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 502B","Mobile poll/Bureau itinérant",20,9,0,6,0,2,0,0,1,38,293
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 503","Mobile poll/Bureau itinérant",64,4,49,17,0,1,0,4,0,139,163
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 504","Mobile poll/Bureau itinérant",35,0,25,4,1,0,0,1,5,71,74
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 600","Blainville",372,38,400,148,2,4,0,46,5,1015,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 601","Bois-des-Filion",252,34,386,59,1,2,1,41,14,790,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 602","Bois-des-Filion",259,18,367,66,3,3,3,44,18,781,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 603","Lorraine",371,24,285,84,0,5,0,34,7,810,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 604","Lorraine",482,57,382,88,1,4,1,53,7,1075,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 605","Blainville",446,55,518,111,4,12,2,95,12,1255,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 606","Blainville",359,38,656,145,6,8,1,59,26,1298,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 607","Blainville",306,29,294,118,4,2,1,49,8,811,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 608","Blainville",293,41,506,120,1,4,1,53,12,1031,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 609","Blainville",335,41,446,107,0,6,3,56,14,1008,
