Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Dias,Todd McCarthy,Mirko Pejic,Paul Slavchenko,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 42","Whitby",38,88,0,7,128,1,262,566
35114,"Whitby/Whitby"," 43","Whitby",46,105,5,17,116,5,294,570
35114,"Whitby/Whitby"," 44","Whitby",26,116,5,13,153,0,313,684
35114,"Whitby/Whitby"," 45","Whitby",35,77,3,9,123,2,249,564
35114,"Whitby/Whitby"," 46","Whitby",35,67,1,9,153,0,265,568
35114,"Whitby/Whitby"," 47","Whitby",16,33,0,9,80,0,138,324
35114,"Whitby/Whitby"," 48","Whitby",35,80,4,7,118,3,247,482
35114,"Whitby/Whitby"," 49","Whitby",31,58,2,7,92,0,190,419
35114,"Whitby/Whitby"," 50","Whitby",44,61,3,14,101,3,226,522
35114,"Whitby/Whitby"," 51","Whitby",34,78,0,5,107,0,224,470
35114,"Whitby/Whitby"," 52","Whitby",41,96,4,6,148,1,296,561
35114,"Whitby/Whitby"," 53","Whitby",49,55,6,3,63,4,180,306
35114,"Whitby/Whitby"," 54","Whitby",26,56,4,7,80,4,177,403
35114,"Whitby/Whitby"," 55","Whitby",26,66,1,3,71,0,167,349
35114,"Whitby/Whitby"," 56A","Whitby",31,67,3,3,83,2,189,395
35114,"Whitby/Whitby"," 56B","Whitby",27,58,1,1,87,1,175,334
35114,"Whitby/Whitby"," 57","Whitby",51,80,3,16,93,2,245,463
35114,"Whitby/Whitby"," 58","Whitby",32,40,1,3,82,2,160,358
35114,"Whitby/Whitby"," 59","Whitby",26,69,6,10,89,0,200,538
35114,"Whitby/Whitby"," 60","Whitby",40,84,1,19,129,1,274,487
35114,"Whitby/Whitby"," 61","Whitby",31,89,3,8,133,5,269,546
35114,"Whitby/Whitby"," 62","Whitby",35,101,2,19,137,3,297,521
35114,"Whitby/Whitby"," 63A","Whitby",38,98,2,4,120,5,267,453
35114,"Whitby/Whitby"," 63B","Whitby",27,82,2,7,135,3,256,432
35114,"Whitby/Whitby"," 64","Whitby",24,60,6,10,76,1,177,425
35114,"Whitby/Whitby"," 65","Whitby",22,72,0,14,88,0,196,437
35114,"Whitby/Whitby"," 66","Whitby",38,77,6,4,98,0,223,434
35114,"Whitby/Whitby"," 67","Whitby",27,75,2,8,92,1,205,502
35114,"Whitby/Whitby"," 68","Whitby",23,78,2,13,72,1,189,400
35114,"Whitby/Whitby"," 69","Whitby",35,52,1,6,87,2,183,410
35114,"Whitby/Whitby"," 70","Whitby",31,64,3,16,131,2,247,452
35114,"Whitby/Whitby"," 71","Whitby",37,81,1,9,123,0,251,458
35114,"Whitby/Whitby"," 72","Whitby",34,65,3,9,89,2,202,389
35114,"Whitby/Whitby"," 73","Whitby",41,76,3,12,80,1,213,410
35114,"Whitby/Whitby"," 74","Whitby",29,100,2,12,75,1,219,431
35114,"Whitby/Whitby"," 75","Whitby",22,96,1,5,89,3,216,445
35114,"Whitby/Whitby"," 76","Whitby",37,88,1,14,89,0,229,445
35114,"Whitby/Whitby"," 77","Whitby",23,82,6,21,78,0,210,427
35114,"Whitby/Whitby"," 78","Whitby",31,105,2,17,123,2,280,540
35114,"Whitby/Whitby"," 79","Whitby",12,94,4,16,81,3,210,364
35114,"Whitby/Whitby"," 80","Whitby",37,89,3,6,133,0,268,452
35114,"Whitby/Whitby"," 81","Whitby",35,73,1,7,80,0,196,301
35114,"Whitby/Whitby"," 82","Whitby",29,100,3,23,144,0,299,526
35114,"Whitby/Whitby"," 83","Whitby",36,71,2,15,118,0,242,429
35114,"Whitby/Whitby"," 84","Whitby",38,122,3,16,85,1,265,450
35114,"Whitby/Whitby"," 85","Whitby",40,106,8,12,98,0,264,445
