Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kira Brunner,Roberta Marie Graham,Alain Houle,Robert McFadzean,Shannon Stubbs,Jeffrey Swanson,Mark Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 52","Bruderheim",5,1,8,0,254,35,15,0,318,561
48025,"Lakeland/Lakeland"," 53","Beaverhill",7,1,7,0,144,3,11,0,173,253
48025,"Lakeland/Lakeland"," 54","St. Vincent",5,0,5,2,189,7,17,0,225,420
48025,"Lakeland/Lakeland"," 55","Ashmont",6,0,8,0,225,19,14,0,272,597
48025,"Lakeland/Lakeland"," 56","Hoselaw",3,0,2,2,195,4,5,0,211,325
48025,"Lakeland/Lakeland"," 57","Andrew",1,0,2,0,90,7,6,1,107,182
48025,"Lakeland/Lakeland"," 58","Andrew",2,2,2,0,81,5,2,0,94,150
48025,"Lakeland/Lakeland"," 59","Andrew",6,3,9,1,150,10,11,0,190,340
48025,"Lakeland/Lakeland"," 60","Wostok",3,0,4,0,101,6,2,0,116,186
48025,"Lakeland/Lakeland"," 61","Bonnyville",0,0,1,0,186,7,9,0,203,235
48025,"Lakeland/Lakeland"," 62","Bonnyville Beach",2,0,2,2,325,1,3,0,335,686
48025,"Lakeland/Lakeland"," 63","Bonnyville",1,0,8,2,235,11,11,0,268,657
48025,"Lakeland/Lakeland"," 64","Bonnyville",4,0,4,2,217,12,12,1,252,628
48025,"Lakeland/Lakeland"," 65","Bonnyville",0,0,2,1,94,9,11,0,117,331
48025,"Lakeland/Lakeland"," 66","Bonnyville",5,0,5,2,157,8,6,0,183,465
48025,"Lakeland/Lakeland"," 67","Bonnyville",1,0,7,1,113,10,4,0,136,360
48025,"Lakeland/Lakeland"," 68","Bonnyville",4,0,3,1,141,4,5,0,158,425
48025,"Lakeland/Lakeland"," 69","Bonnyville",3,0,8,0,211,12,13,1,248,512
48025,"Lakeland/Lakeland"," 70","Bonnyville",2,0,9,1,161,8,8,0,189,424
48025,"Lakeland/Lakeland"," 71","Bonnyville",2,0,2,2,199,5,7,0,217,422
48025,"Lakeland/Lakeland"," 72","Muriel Lake",1,1,4,2,188,7,7,0,210,516
48025,"Lakeland/Lakeland"," 73","Bonnyville Beach",1,0,6,0,106,2,5,0,120,239
48025,"Lakeland/Lakeland"," 74","Muriel Lake",3,0,4,0,208,6,7,0,228,517
48025,"Lakeland/Lakeland"," 75","Muriel Lake",3,0,14,0,228,11,3,0,259,587
48025,"Lakeland/Lakeland"," 76","St. Michael",0,0,4,1,94,6,5,0,110,193
48025,"Lakeland/Lakeland"," 77","Lamont",8,1,2,0,171,14,7,0,203,467
48025,"Lakeland/Lakeland"," 78","Lamont",5,0,6,0,115,11,2,0,139,377
48025,"Lakeland/Lakeland"," 79","Lamont",2,0,4,0,157,13,5,0,181,424
48025,"Lakeland/Lakeland"," 80","Lamont",5,1,1,0,109,3,3,0,122,198
48025,"Lakeland/Lakeland"," 81","Saddle Lake 125",18,1,3,6,32,170,38,4,272,1658
48025,"Lakeland/Lakeland"," 82","Kehiwin 123",13,0,3,1,40,104,27,2,190,554
48025,"Lakeland/Lakeland"," 83","Owlseye",2,0,0,1,115,10,10,0,138,276
48025,"Lakeland/Lakeland"," 84","Owlseye",0,0,9,0,177,13,9,2,210,417
48025,"Lakeland/Lakeland"," 85","Owlseye",6,0,7,1,196,15,10,0,235,435
48025,"Lakeland/Lakeland"," 86","Owlseye",5,1,7,3,101,19,15,2,153,312
48025,"Lakeland/Lakeland"," 87","St. Paul",9,0,5,3,172,17,17,1,224,537
48025,"Lakeland/Lakeland"," 88","St. Paul",4,1,6,0,175,9,15,1,211,521
48025,"Lakeland/Lakeland"," 89","St. Paul",4,0,3,3,161,17,4,0,192,450
48025,"Lakeland/Lakeland"," 90","St. Paul",5,0,4,2,127,18,13,1,170,348
48025,"Lakeland/Lakeland"," 91","St. Paul",4,0,6,0,141,15,12,1,179,392
48025,"Lakeland/Lakeland"," 92","St. Paul",7,0,0,0,105,9,13,0,134,386
48025,"Lakeland/Lakeland"," 93","St. Edouard",5,1,7,1,220,8,6,0,248,456
48025,"Lakeland/Lakeland"," 94","St. Paul",12,0,5,2,192,20,2,1,234,332
48025,"Lakeland/Lakeland"," 95","Beaverdam",7,0,4,0,128,32,11,0,182,377
48025,"Lakeland/Lakeland"," 96","Willingdon",9,0,7,1,217,12,5,0,251,504
48025,"Lakeland/Lakeland"," 97","Hairy Hill",1,1,2,1,145,6,5,0,161,386
48025,"Lakeland/Lakeland"," 98","Brosseau",0,1,0,0,96,7,3,0,107,224
48025,"Lakeland/Lakeland"," 99","Chipman",5,3,10,1,235,19,22,0,295,491
48025,"Lakeland/Lakeland"," 100","Hilliard",4,1,6,0,197,13,13,0,234,307
48025,"Lakeland/Lakeland"," 101","Two Hills",1,0,5,0,128,6,1,0,141,404
48025,"Lakeland/Lakeland"," 102","Elk Point",3,3,6,2,218,16,12,5,265,519
48025,"Lakeland/Lakeland"," 103","Lindbergh",2,0,8,1,112,3,10,0,136,246
48025,"Lakeland/Lakeland"," 104","Elk Point",5,1,4,1,262,16,10,0,299,591
48025,"Lakeland/Lakeland"," 105","Elk Point East",1,0,2,2,169,16,17,0,207,406
48025,"Lakeland/Lakeland"," 106","Lafond",3,0,5,0,61,6,3,0,78,201
48025,"Lakeland/Lakeland"," 107","Lake Eliza",4,0,3,1,121,9,4,1,143,240
48025,"Lakeland/Lakeland"," 108","Mundare",5,2,24,0,219,15,6,1,272,429
48025,"Lakeland/Lakeland"," 109","Mundare",2,2,14,4,234,12,8,2,278,436
48025,"Lakeland/Lakeland"," 110","Mundare",4,1,7,1,201,15,25,7,261,416
48025,"Lakeland/Lakeland"," 111","Fishing Lake Metis Settlement",3,0,3,4,53,40,43,0,146,289
48025,"Lakeland/Lakeland"," 112","Frog Lake",10,0,0,2,23,71,72,0,178,634
48025,"Lakeland/Lakeland"," 113","Two Hills",4,0,3,0,150,3,5,1,166,354
48025,"Lakeland/Lakeland"," 114","Two Hills",0,0,4,0,139,8,0,1,152,443
48025,"Lakeland/Lakeland"," 115","Two Hills",4,0,4,0,119,7,9,0,143,390
48025,"Lakeland/Lakeland"," 116","Heinsburg",1,1,0,1,118,3,6,0,130,332
48025,"Lakeland/Lakeland"," 117","Warwick",8,0,9,2,171,23,9,0,222,522
48025,"Lakeland/Lakeland"," 118","Inland",7,1,9,0,176,11,9,0,213,470
48025,"Lakeland/Lakeland"," 119","Warwick",1,0,8,0,182,16,11,0,218,455
48025,"Lakeland/Lakeland"," 120","Inland",1,0,10,2,148,20,7,0,188,504
48025,"Lakeland/Lakeland"," 121","Inland",9,1,6,0,172,7,15,1,211,454
48025,"Lakeland/Lakeland"," 122","Myrnam",Merged with No./Fusionné avec le n°130,,,,,,,,,284
48025,"Lakeland/Lakeland"," 123","Beauvallon",Merged with No./Fusionné avec le n°130,,,,,,,,,407
48025,"Lakeland/Lakeland"," 124","Vegreville",4,0,7,1,142,16,14,0,184,427
48025,"Lakeland/Lakeland"," 125","Vegreville",4,0,5,1,106,15,7,1,139,372
48025,"Lakeland/Lakeland"," 126","Vegreville",5,1,10,3,152,20,7,0,198,548
48025,"Lakeland/Lakeland"," 127","Vegreville",6,1,13,0,138,23,17,0,198,463
48025,"Lakeland/Lakeland"," 128","Vegreville",4,0,8,0,115,21,14,1,163,403
48025,"Lakeland/Lakeland"," 129","Vegreville",7,0,3,0,159,19,7,0,195,431
48025,"Lakeland/Lakeland"," 130","Derwent",8,4,25,3,444,27,16,6,533,286
48025,"Lakeland/Lakeland"," 131","Lavoy",1,0,6,1,155,5,9,1,178,349
48025,"Lakeland/Lakeland"," 132","Tulliby Lake",4,0,14,0,110,3,2,0,133,178
48025,"Lakeland/Lakeland"," 133","Clandonald",1,0,2,0,122,5,3,0,133,215
48025,"Lakeland/Lakeland"," 134","Clandonald",4,0,4,1,120,2,5,1,137,217
48025,"Lakeland/Lakeland"," 135","Ranfurly",1,0,6,0,108,4,4,0,123,201
48025,"Lakeland/Lakeland"," 136","Lea Park",2,1,2,1,124,5,2,0,137,294
48025,"Lakeland/Lakeland"," 137","Dewberry",3,1,3,1,164,13,7,0,192,342
48025,"Lakeland/Lakeland"," 138","Innisfree",4,1,2,2,97,7,7,1,121,181
48025,"Lakeland/Lakeland"," 139","Innisfree",4,0,3,0,180,3,6,0,196,294
48025,"Lakeland/Lakeland"," 140","Marwayne",6,0,9,0,280,10,5,2,312,489
48025,"Lakeland/Lakeland"," 141","Marwayne",0,0,2,1,177,4,3,0,187,283
48025,"Lakeland/Lakeland"," 142","Minburn",2,0,3,0,114,11,5,0,135,248
48025,"Lakeland/Lakeland"," 143","Mannville",5,1,6,1,228,11,4,1,257,400
48025,"Lakeland/Lakeland"," 144","Mannville",3,2,7,2,155,12,5,0,186,280
48025,"Lakeland/Lakeland"," 145","Mannville",4,0,4,0,191,3,7,2,211,356
48025,"Lakeland/Lakeland"," 146","Vermilion",3,0,6,4,186,5,8,0,212,479
48025,"Lakeland/Lakeland"," 147","Vermilion",4,2,3,1,159,15,9,0,193,392
48025,"Lakeland/Lakeland"," 148","Vermilion",7,0,1,1,168,14,4,0,195,401
48025,"Lakeland/Lakeland"," 149","Vermilion",6,0,4,1,129,6,9,0,155,331
48025,"Lakeland/Lakeland"," 150","Vermilion",10,2,5,3,265,20,15,0,320,625
48025,"Lakeland/Lakeland"," 151","Vermilion",1,0,3,0,97,10,5,1,117,262
48025,"Lakeland/Lakeland"," 152","Streamstown",8,2,5,1,256,6,7,0,285,419
48025,"Lakeland/Lakeland"," 153","Islay",5,0,5,0,197,10,13,0,230,343
48025,"Lakeland/Lakeland"," 154","Vermilion",0,0,1,1,185,11,9,0,207,380
48025,"Lakeland/Lakeland"," 155","Borradaile",1,0,2,1,112,1,2,0,119,219
48025,"Lakeland/Lakeland"," 156","Vermilion",3,1,2,2,139,16,7,0,170,192
48025,"Lakeland/Lakeland"," 157","Vermilion",4,0,5,2,238,14,7,0,270,543
48025,"Lakeland/Lakeland"," 158","Vermilion",0,0,10,3,180,4,5,0,202,371
48025,"Lakeland/Lakeland"," 159","Vermilion",1,0,0,0,123,5,1,0,130,257
48025,"Lakeland/Lakeland"," 160","Kitscoty",3,1,5,1,248,11,4,0,273,557
48025,"Lakeland/Lakeland"," 161","Blackfoot",3,1,4,0,312,9,2,0,331,681
48025,"Lakeland/Lakeland"," 162","Kitscoty",0,0,5,0,200,7,1,0,213,445
48025,"Lakeland/Lakeland"," 163","Kitscoty",3,0,2,0,180,4,4,1,194,393
48025,"Lakeland/Lakeland"," 164","Lloydminster (Part)",6,0,5,0,101,4,3,0,119,311
48025,"Lakeland/Lakeland"," 165","Lloydminster (Part)",2,1,2,0,140,11,4,1,161,365
48025,"Lakeland/Lakeland"," 166","Lloydminster (Part)",2,0,1,0,141,2,2,0,148,323
48025,"Lakeland/Lakeland"," 167","Lloydminster (Part)",1,0,7,0,114,13,6,0,141,369
48025,"Lakeland/Lakeland"," 168","Lloydminster (Part)",3,0,2,0,119,14,7,0,145,380
48025,"Lakeland/Lakeland"," 169","Lloydminster (Part)",0,2,4,1,119,9,2,0,137,350
48025,"Lakeland/Lakeland"," 170","Lloydminster (Part)",1,0,0,0,130,8,13,1,153,389
48025,"Lakeland/Lakeland"," 171","Lloydminster (Part)",3,0,2,1,116,8,12,1,143,402
48025,"Lakeland/Lakeland"," 172","Lloydminster (Part)",4,0,4,1,127,7,7,2,152,388
48025,"Lakeland/Lakeland"," 173","Lloydminster (Part)",1,0,2,2,108,6,7,1,127,360
48025,"Lakeland/Lakeland"," 174","Lloydminster (Part)",0,1,4,1,166,10,5,0,187,438
48025,"Lakeland/Lakeland"," 175","Lloydminster (Part)",0,0,5,0,184,5,1,0,195,433
48025,"Lakeland/Lakeland"," 176A","Lloydminster (Part)",1,0,1,0,86,7,5,1,101,381
48025,"Lakeland/Lakeland"," 176B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,,,22
48025,"Lakeland/Lakeland"," 177A","Lloydminster (Part)",3,0,3,0,167,6,16,0,195,538
48025,"Lakeland/Lakeland"," 177B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512A,,,,,,,,,7
48025,"Lakeland/Lakeland"," 178","Lloydminster (Part)",0,0,2,0,161,7,8,0,178,382
48025,"Lakeland/Lakeland"," 179","Lloydminster (Part)",2,0,2,0,133,11,3,0,151,380
48025,"Lakeland/Lakeland"," 180","Lloydminster (Part)",5,1,4,1,126,19,6,0,162,486
48025,"Lakeland/Lakeland"," 181","Lloydminster (Part)",6,0,4,2,151,17,16,0,196,191
48025,"Lakeland/Lakeland"," 182","Lloydminster (Part)",4,0,3,2,73,6,3,0,91,333
48025,"Lakeland/Lakeland"," 183","Lloydminster (Part)",5,0,2,1,153,18,6,0,185,392
48025,"Lakeland/Lakeland"," 184","Lloydminster (Part)",7,1,3,2,143,4,8,0,168,352
48025,"Lakeland/Lakeland"," 185","Lloydminster (Part)",7,0,0,0,157,7,5,0,176,389
48025,"Lakeland/Lakeland"," 186","Lloydminster (Part)",4,0,7,1,206,12,8,1,239,638
48025,"Lakeland/Lakeland"," 187","Lloydminster (Part)",1,0,0,0,130,6,6,0,143,380
48025,"Lakeland/Lakeland"," 188","Lloydminster (Part)",3,0,6,0,123,4,7,0,143,323
48025,"Lakeland/Lakeland"," 189","Lloydminster (Part)",1,0,4,1,162,9,11,0,188,389
48025,"Lakeland/Lakeland"," 190","Lloydminster (Part)",0,0,1,0,208,9,9,0,227,383
48025,"Lakeland/Lakeland"," 191A","Lloydminster (Part)",4,1,3,0,159,7,6,1,181,488
48025,"Lakeland/Lakeland"," 191B","Lloydminster (Part)",2,0,4,2,209,5,13,2,237,463
48025,"Lakeland/Lakeland"," 192","Lloydminster (Part)",6,1,2,0,222,13,5,4,253,502
48025,"Lakeland/Lakeland"," 193","Lloydminster (Part)",0,0,1,1,173,5,5,1,186,403
48025,"Lakeland/Lakeland"," 194","Lloydminster (Part)",3,1,6,0,314,8,8,1,341,706
48025,"Lakeland/Lakeland"," 195","Lloydminster (Part)",4,0,3,4,291,12,15,0,329,744
48025,"Lakeland/Lakeland"," 196","Blackfoot",5,0,7,0,236,5,3,0,256,462
48025,"Lakeland/Lakeland"," 197","Paradise Valley",3,0,10,1,252,13,0,0,279,413
48025,"Lakeland/Lakeland"," 198","McLaughlin",0,0,1,0,187,6,3,0,197,251
48025,"Lakeland/Lakeland"," 500A","Mobile poll/Bureau itinérant",2,0,1,0,24,3,4,0,34,65
48025,"Lakeland/Lakeland"," 500B","Athabasca",Merged with No./Fusionné avec le n°10,,,,,,,,,3
48025,"Lakeland/Lakeland"," 501","Mobile poll/Bureau itinérant",2,2,2,1,30,7,0,0,44,46
48025,"Lakeland/Lakeland"," 502","Mobile poll/Bureau itinérant",3,1,5,3,55,5,11,5,88,102
48025,"Lakeland/Lakeland"," 503A","Mobile poll/Bureau itinérant",1,0,0,0,14,0,3,0,18,61
48025,"Lakeland/Lakeland"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503D,,,,,,,,,2
48025,"Lakeland/Lakeland"," 503C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503D,,,,,,,,,8
48025,"Lakeland/Lakeland"," 503D","Mobile poll/Bureau itinérant",5,2,3,3,58,2,8,4,85,79
48025,"Lakeland/Lakeland"," 504","Mobile poll/Bureau itinérant",1,0,1,0,79,6,11,1,99,81
48025,"Lakeland/Lakeland"," 505A","Mobile poll/Bureau itinérant",1,1,1,1,40,5,14,2,65,95
48025,"Lakeland/Lakeland"," 505B","Mobile poll/Bureau itinérant",2,0,2,2,63,4,15,2,90,125
48025,"Lakeland/Lakeland"," 505C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,,,8
48025,"Lakeland/Lakeland"," 506","Mobile poll/Bureau itinérant",3,0,5,3,44,2,3,1,61,69
48025,"Lakeland/Lakeland"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509B,,,,,,,,,8
48025,"Lakeland/Lakeland"," 508A","Mobile poll/Bureau itinérant",2,0,4,1,40,2,4,0,53,28
48025,"Lakeland/Lakeland"," 508B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°511,,,,,,,,,2
48025,"Lakeland/Lakeland"," 509A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,,52
48025,"Lakeland/Lakeland"," 509B","Mobile poll/Bureau itinérant",1,1,1,1,44,7,8,3,66,4
48025,"Lakeland/Lakeland"," 510A","Mobile poll/Bureau itinérant",1,3,2,2,85,9,4,2,108,74
48025,"Lakeland/Lakeland"," 510B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,,20
48025,"Lakeland/Lakeland"," 511","Mobile poll/Bureau itinérant",2,1,1,3,66,7,5,1,86,36
48025,"Lakeland/Lakeland"," 512A","Mobile poll/Bureau itinérant",0,6,4,1,99,10,7,1,128,155
48025,"Lakeland/Lakeland"," 512B","Mobile poll/Bureau itinérant",1,0,0,1,51,7,5,5,70,55
48025,"Lakeland/Lakeland"," 513","Mobile poll/Bureau itinérant",2,0,3,1,133,12,10,6,167,127
48025,"Lakeland/Lakeland"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512B,,,,,,,,,33
48025,"Lakeland/Lakeland"," 600","Boyle",6,1,17,1,565,20,23,1,634,
48025,"Lakeland/Lakeland"," 601","Athabasca",55,3,53,0,1193,135,91,2,1532,
48025,"Lakeland/Lakeland"," 602","Thorhild",12,0,20,2,388,33,12,0,467,
48025,"Lakeland/Lakeland"," 603","Smoky Lake",15,1,14,5,420,30,16,1,502,
48025,"Lakeland/Lakeland"," 604","Vilna",12,0,7,0,219,21,6,2,267,
48025,"Lakeland/Lakeland"," 605","Saint-Paul",24,0,16,0,779,31,30,0,880,
48025,"Lakeland/Lakeland"," 606","Saint-Paul",22,1,15,0,691,48,41,0,818,
48025,"Lakeland/Lakeland"," 607","Bonnyville",9,5,23,1,987,25,17,4,1071,
48025,"Lakeland/Lakeland"," 608","Bonnyville",7,1,19,2,518,23,17,6,593,
48025,"Lakeland/Lakeland"," 609","Elk Point",9,2,4,0,445,29,12,0,501,
48025,"Lakeland/Lakeland"," 610","Two Hills County",9,0,9,0,312,27,18,0,375,
48025,"Lakeland/Lakeland"," 611","Lamont",6,0,15,0,299,23,22,0,365,
48025,"Lakeland/Lakeland"," 612","Lamont County",11,0,5,2,516,32,28,4,598,
48025,"Lakeland/Lakeland"," 613","Vegreville",16,3,31,2,519,41,40,1,653,
48025,"Lakeland/Lakeland"," 614","Minburn County--Vegreville",6,1,20,1,525,52,23,0,628,
48025,"Lakeland/Lakeland"," 615","Vermilion County -- Vermilion",19,0,17,7,1131,54,38,1,1267,
48025,"Lakeland/Lakeland"," 616","Vermilion County -- Kitscoty",4,1,14,0,432,13,13,0,477,
48025,"Lakeland/Lakeland"," 617","Kitscoty",5,2,23,0,705,15,5,0,755,
48025,"Lakeland/Lakeland"," 618","Lloydminster",27,5,29,3,1329,67,47,1,1508,
48025,"Lakeland/Lakeland"," 619","Lloydminster (Part)",6,2,20,4,1213,38,34,0,1317,
48025,"Lakeland/Lakeland"," 620","Lloydminster",11,1,20,4,1274,37,28,3,1378,
48025,"Lakeland/Lakeland",,Group 1/Groupe 1, 13,0,7,4,42,9,40,12,127,131
48025,"Lakeland/Lakeland",,Group 2/Groupe 2, 41,4,52,8,1532,127,82,39,1885,
