Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kirsty Duncan,Naiima Farah,Renata Ford,Nancy Ghuman,Sarabjit Kaur,Sudhir Mehta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Etobicoke North/Etobicoke-Nord"," 40","Etobicoke",149,23,5,5,33,0,2,217,424
35029,"Etobicoke North/Etobicoke-Nord"," 41","Etobicoke",138,26,2,6,44,0,0,216,402
35029,"Etobicoke North/Etobicoke-Nord"," 42","Etobicoke",173,23,4,7,59,1,1,268,573
35029,"Etobicoke North/Etobicoke-Nord"," 43","Etobicoke",104,11,2,5,33,0,1,156,435
35029,"Etobicoke North/Etobicoke-Nord"," 44","Etobicoke",109,17,5,4,34,1,10,180,449
35029,"Etobicoke North/Etobicoke-Nord"," 45","Etobicoke",125,13,9,3,34,0,0,184,379
35029,"Etobicoke North/Etobicoke-Nord"," 46","Etobicoke",89,15,16,2,90,1,0,213,529
35029,"Etobicoke North/Etobicoke-Nord"," 47","Etobicoke",124,14,7,9,30,0,0,184,497
35029,"Etobicoke North/Etobicoke-Nord"," 48","Etobicoke",141,15,4,3,68,4,0,235,575
35029,"Etobicoke North/Etobicoke-Nord"," 49","Etobicoke",286,31,2,9,55,4,2,389,1015
35029,"Etobicoke North/Etobicoke-Nord"," 50","Etobicoke",135,24,5,1,60,0,2,227,529
35029,"Etobicoke North/Etobicoke-Nord"," 51","Etobicoke",167,24,5,5,52,0,10,263,600
35029,"Etobicoke North/Etobicoke-Nord"," 52","Etobicoke",152,28,7,10,72,1,5,275,578
35029,"Etobicoke North/Etobicoke-Nord"," 53","Etobicoke",173,21,7,2,26,0,1,230,596
35029,"Etobicoke North/Etobicoke-Nord"," 54","Etobicoke",127,27,6,2,36,0,3,201,561
35029,"Etobicoke North/Etobicoke-Nord"," 55","Etobicoke",123,30,2,4,16,0,5,180,436
35029,"Etobicoke North/Etobicoke-Nord"," 56","Etobicoke",179,40,4,3,31,0,3,260,576
35029,"Etobicoke North/Etobicoke-Nord"," 57","Etobicoke",177,29,14,8,45,1,3,277,624
35029,"Etobicoke North/Etobicoke-Nord"," 58","Etobicoke",148,19,4,3,19,0,0,193,421
35029,"Etobicoke North/Etobicoke-Nord"," 59","Etobicoke",85,14,2,2,19,0,1,123,341
35029,"Etobicoke North/Etobicoke-Nord"," 60","Etobicoke",119,24,2,4,13,1,3,166,417
35029,"Etobicoke North/Etobicoke-Nord"," 61","Etobicoke",101,17,7,2,20,0,3,150,507
35029,"Etobicoke North/Etobicoke-Nord"," 62","Etobicoke",125,21,14,12,44,0,5,221,384
35029,"Etobicoke North/Etobicoke-Nord"," 63","Etobicoke",133,31,5,11,82,0,0,262,467
35029,"Etobicoke North/Etobicoke-Nord"," 64","Etobicoke",112,23,9,8,78,0,3,233,373
35029,"Etobicoke North/Etobicoke-Nord"," 65","Etobicoke",90,30,6,12,68,0,2,208,385
35029,"Etobicoke North/Etobicoke-Nord"," 66","Etobicoke",104,34,8,9,92,0,5,252,492
35029,"Etobicoke North/Etobicoke-Nord"," 67","Etobicoke",98,22,9,8,58,0,5,200,503
35029,"Etobicoke North/Etobicoke-Nord"," 68","Etobicoke",80,19,4,1,35,0,1,140,288
35029,"Etobicoke North/Etobicoke-Nord"," 69","Etobicoke",93,17,1,2,26,2,1,142,373
35029,"Etobicoke North/Etobicoke-Nord"," 70","Etobicoke",136,25,5,2,44,0,2,214,516
35029,"Etobicoke North/Etobicoke-Nord"," 71","Etobicoke",143,30,5,4,47,2,4,235,466
35029,"Etobicoke North/Etobicoke-Nord"," 72","Etobicoke",143,9,36,40,5,0,5,238,466
35029,"Etobicoke North/Etobicoke-Nord"," 73","Etobicoke",77,18,7,1,39,0,3,145,421
35029,"Etobicoke North/Etobicoke-Nord"," 74","Etobicoke",127,21,6,8,51,0,0,213,484
35029,"Etobicoke North/Etobicoke-Nord"," 75","Etobicoke",132,24,7,7,56,1,4,231,532
35029,"Etobicoke North/Etobicoke-Nord"," 76","Etobicoke",134,20,3,2,20,0,10,189,516
35029,"Etobicoke North/Etobicoke-Nord"," 77","Etobicoke",136,37,4,7,43,0,3,230,549
35029,"Etobicoke North/Etobicoke-Nord"," 78","Etobicoke",119,29,4,2,80,0,7,241,540
35029,"Etobicoke North/Etobicoke-Nord"," 79","Etobicoke",94,12,5,2,43,3,2,161,401
35029,"Etobicoke North/Etobicoke-Nord"," 80","Etobicoke",98,25,10,11,81,1,7,233,448
35029,"Etobicoke North/Etobicoke-Nord"," 81","Etobicoke",143,29,14,12,79,2,5,284,534
35029,"Etobicoke North/Etobicoke-Nord"," 82","Etobicoke",149,29,8,3,63,0,1,253,432
35029,"Etobicoke North/Etobicoke-Nord"," 83","Etobicoke",117,43,3,6,61,0,1,231,448
35029,"Etobicoke North/Etobicoke-Nord"," 84","Etobicoke",119,30,11,4,62,0,3,229,424
35029,"Etobicoke North/Etobicoke-Nord"," 85","Etobicoke",106,30,10,6,79,0,1,232,471
35029,"Etobicoke North/Etobicoke-Nord"," 86","Etobicoke",82,30,5,6,52,0,0,175,403
35029,"Etobicoke North/Etobicoke-Nord"," 87","Etobicoke",88,22,14,4,34,0,4,166,375
35029,"Etobicoke North/Etobicoke-Nord"," 88","Etobicoke",96,25,2,2,24,0,5,154,437
35029,"Etobicoke North/Etobicoke-Nord"," 89","Etobicoke",108,33,0,3,22,0,3,169,546
35029,"Etobicoke North/Etobicoke-Nord"," 90","Etobicoke",104,22,3,6,20,0,0,155,480
35029,"Etobicoke North/Etobicoke-Nord"," 91","Etobicoke",69,18,3,3,25,0,0,118,442
35029,"Etobicoke North/Etobicoke-Nord"," 92","Etobicoke",112,7,3,1,24,0,0,147,409
35029,"Etobicoke North/Etobicoke-Nord"," 93","Etobicoke",127,10,8,1,21,0,1,168,465
35029,"Etobicoke North/Etobicoke-Nord"," 94","Etobicoke",136,36,6,3,40,1,0,222,615
35029,"Etobicoke North/Etobicoke-Nord"," 95","Etobicoke",96,37,2,1,31,0,0,167,386
35029,"Etobicoke North/Etobicoke-Nord"," 96","Etobicoke",83,19,5,4,17,0,0,128,322
35029,"Etobicoke North/Etobicoke-Nord"," 97","Etobicoke",94,30,7,4,46,4,4,189,572
35029,"Etobicoke North/Etobicoke-Nord"," 98","Etobicoke",113,16,1,0,26,0,2,158,452
35029,"Etobicoke North/Etobicoke-Nord"," 99","Etobicoke",119,30,2,6,49,1,0,207,497
35029,"Etobicoke North/Etobicoke-Nord"," 100","Etobicoke",108,31,3,7,54,0,0,203,471
35029,"Etobicoke North/Etobicoke-Nord"," 101","Etobicoke",155,30,18,5,98,0,2,308,544
35029,"Etobicoke North/Etobicoke-Nord"," 102","Etobicoke",88,30,16,12,62,1,3,212,399
35029,"Etobicoke North/Etobicoke-Nord"," 103","Etobicoke",88,28,12,3,51,0,2,184,352
35029,"Etobicoke North/Etobicoke-Nord"," 104","Etobicoke",83,18,11,10,41,0,2,165,380
35029,"Etobicoke North/Etobicoke-Nord"," 105","Etobicoke",118,30,3,26,62,1,2,242,522
35029,"Etobicoke North/Etobicoke-Nord"," 106","Etobicoke",120,24,4,6,50,1,6,211,453
35029,"Etobicoke North/Etobicoke-Nord"," 107","Etobicoke",141,37,18,9,53,0,1,259,490
35029,"Etobicoke North/Etobicoke-Nord"," 108","Etobicoke",106,27,14,6,42,1,13,209,557
35029,"Etobicoke North/Etobicoke-Nord"," 109","Etobicoke",140,33,8,9,32,0,5,227,539
35029,"Etobicoke North/Etobicoke-Nord"," 110","Etobicoke",132,26,7,3,31,2,1,202,543
35029,"Etobicoke North/Etobicoke-Nord"," 111","Etobicoke",144,18,3,2,45,0,5,217,461
35029,"Etobicoke North/Etobicoke-Nord"," 112","Etobicoke",246,28,7,1,17,0,0,299,631
35029,"Etobicoke North/Etobicoke-Nord"," 113","Etobicoke",70,15,2,0,18,0,4,109,355
35029,"Etobicoke North/Etobicoke-Nord"," 114","Etobicoke",88,17,7,6,66,0,0,184,378
35029,"Etobicoke North/Etobicoke-Nord"," 115","Etobicoke",92,28,11,13,59,0,0,203,469
35029,"Etobicoke North/Etobicoke-Nord"," 116","Etobicoke",190,23,6,3,59,0,1,282,596
35029,"Etobicoke North/Etobicoke-Nord"," 117","Etobicoke",90,18,0,2,29,0,1,140,332
35029,"Etobicoke North/Etobicoke-Nord"," 118","Etobicoke",120,32,5,17,41,0,1,216,361
35029,"Etobicoke North/Etobicoke-Nord"," 119","Etobicoke",116,15,4,6,68,0,1,210,403
35029,"Etobicoke North/Etobicoke-Nord"," 120","Etobicoke",96,34,12,11,73,0,5,231,424
35029,"Etobicoke North/Etobicoke-Nord"," 121","Etobicoke",102,27,7,13,70,1,1,221,437
35029,"Etobicoke North/Etobicoke-Nord"," 122","Etobicoke",128,21,6,4,71,1,3,234,471
35029,"Etobicoke North/Etobicoke-Nord"," 123","Etobicoke",121,16,11,5,57,1,7,218,432
35029,"Etobicoke North/Etobicoke-Nord"," 124","Etobicoke",110,19,14,2,39,0,3,187,445
35029,"Etobicoke North/Etobicoke-Nord"," 125","Etobicoke",107,24,4,2,37,0,0,174,423
35029,"Etobicoke North/Etobicoke-Nord"," 126","Etobicoke",137,25,4,8,35,0,2,211,528
35029,"Etobicoke North/Etobicoke-Nord"," 127","Etobicoke",114,29,7,3,32,0,0,185,538
35029,"Etobicoke North/Etobicoke-Nord"," 128","Etobicoke",155,29,9,8,54,2,1,258,455
35029,"Etobicoke North/Etobicoke-Nord"," 129","Etobicoke",221,27,7,16,68,0,2,341,609
35029,"Etobicoke North/Etobicoke-Nord"," 130","Etobicoke",155,24,7,6,63,0,2,257,411
35029,"Etobicoke North/Etobicoke-Nord"," 131","Etobicoke",139,34,12,12,95,1,3,296,546
35029,"Etobicoke North/Etobicoke-Nord"," 132","Etobicoke",101,16,9,9,59,0,2,196,349
35029,"Etobicoke North/Etobicoke-Nord"," 133","Etobicoke",139,22,5,10,41,0,3,220,425
35029,"Etobicoke North/Etobicoke-Nord"," 134","Etobicoke",139,35,3,6,20,0,2,205,400
35029,"Etobicoke North/Etobicoke-Nord"," 135","Etobicoke",158,28,9,15,61,0,6,277,449
35029,"Etobicoke North/Etobicoke-Nord"," 400","Etobicoke",131,15,5,6,14,0,0,171,403
35029,"Etobicoke North/Etobicoke-Nord"," 401","Etobicoke",156,34,1,2,10,2,1,206,593
35029,"Etobicoke North/Etobicoke-Nord"," 402","Etobicoke",103,9,5,2,31,0,4,154,379
35029,"Etobicoke North/Etobicoke-Nord"," 403","Etobicoke",148,13,3,6,23,0,0,193,453
35029,"Etobicoke North/Etobicoke-Nord"," 404","Etobicoke",142,12,7,4,20,0,0,185,516
35029,"Etobicoke North/Etobicoke-Nord"," 405","Etobicoke",65,11,8,5,101,2,2,194,380
35029,"Etobicoke North/Etobicoke-Nord"," 406","Etobicoke",70,14,14,1,91,0,1,191,369
35029,"Etobicoke North/Etobicoke-Nord"," 407","Etobicoke",83,17,5,1,66,2,3,177,371
35029,"Etobicoke North/Etobicoke-Nord"," 408","Etobicoke",81,13,2,1,32,1,2,132,322
35029,"Etobicoke North/Etobicoke-Nord"," 409","Etobicoke",54,2,2,3,7,0,5,73,174
35029,"Etobicoke North/Etobicoke-Nord"," 410","Etobicoke",73,27,7,4,31,0,0,142,256
35029,"Etobicoke North/Etobicoke-Nord"," 411","Etobicoke",52,50,1,16,11,0,0,130,141
35029,"Etobicoke North/Etobicoke-Nord"," 412","Etobicoke",65,11,3,4,13,0,0,96,245
35029,"Etobicoke North/Etobicoke-Nord"," 413","Etobicoke",52,11,3,3,15,0,0,84,132
35029,"Etobicoke North/Etobicoke-Nord"," 414","Etobicoke",168,35,6,6,56,1,0,272,546
35029,"Etobicoke North/Etobicoke-Nord"," 415","Etobicoke",182,41,3,10,38,0,3,277,515
35029,"Etobicoke North/Etobicoke-Nord"," 416","Etobicoke",71,9,7,5,20,0,7,119,188
35029,"Etobicoke North/Etobicoke-Nord"," 417","Etobicoke",95,23,6,3,21,0,0,148,374
35029,"Etobicoke North/Etobicoke-Nord"," 418","Etobicoke",81,38,3,7,28,1,3,161,368
35029,"Etobicoke North/Etobicoke-Nord"," 419","Etobicoke",93,13,1,0,2,0,1,110,228
35029,"Etobicoke North/Etobicoke-Nord"," 420","Etobicoke",79,6,6,4,62,0,1,158,244
35029,"Etobicoke North/Etobicoke-Nord"," 421","Etobicoke",104,3,4,3,57,1,4,176,246
35029,"Etobicoke North/Etobicoke-Nord"," 422","Etobicoke",234,26,4,1,11,0,3,279,671
35029,"Etobicoke North/Etobicoke-Nord"," 423","Etobicoke",93,10,7,1,12,0,1,124,298
35029,"Etobicoke North/Etobicoke-Nord"," 424","Etobicoke",278,17,4,0,8,0,4,311,728
35029,"Etobicoke North/Etobicoke-Nord"," 425","Etobicoke",261,32,2,3,26,0,2,326,831
35029,"Etobicoke North/Etobicoke-Nord"," 426","Etobicoke",93,21,2,3,18,0,0,137,337
35029,"Etobicoke North/Etobicoke-Nord"," 427","Etobicoke",227,20,9,4,7,0,1,268,677
35029,"Etobicoke North/Etobicoke-Nord"," 428","Etobicoke",197,14,2,0,2,1,0,216,415
35029,"Etobicoke North/Etobicoke-Nord"," 429","Etobicoke",155,20,1,1,14,1,4,196,387
35029,"Etobicoke North/Etobicoke-Nord"," 500","Mobile poll/Bureau itinérant",59,11,6,2,17,0,3,98,420
35029,"Etobicoke North/Etobicoke-Nord"," 501","Mobile poll/Bureau itinérant",66,7,3,6,10,2,0,94,283
35029,"Etobicoke North/Etobicoke-Nord"," 600","Etobicoke",476,44,12,9,127,2,8,678,
35029,"Etobicoke North/Etobicoke-Nord"," 601","Etobicoke",344,42,13,6,138,0,18,561,
35029,"Etobicoke North/Etobicoke-Nord"," 602","Etobicoke",351,52,5,13,114,3,6,544,
35029,"Etobicoke North/Etobicoke-Nord"," 603","Etobicoke",415,60,8,17,165,2,3,670,
35029,"Etobicoke North/Etobicoke-Nord"," 604","Etobicoke",321,48,9,7,158,4,8,555,
35029,"Etobicoke North/Etobicoke-Nord"," 605","Etobicoke",394,64,8,8,131,2,12,619,
35029,"Etobicoke North/Etobicoke-Nord"," 606","Etobicoke",635,121,20,17,211,4,25,1033,
35029,"Etobicoke North/Etobicoke-Nord"," 607","Etobicoke",300,82,13,20,157,1,7,580,
35029,"Etobicoke North/Etobicoke-Nord"," 608","Etobicoke",441,68,14,14,174,0,2,713,
35029,"Etobicoke North/Etobicoke-Nord"," 609","Etobicoke",386,43,16,12,157,1,7,622,
35029,"Etobicoke North/Etobicoke-Nord"," 610","Etobicoke",283,57,16,17,142,3,2,520,
35029,"Etobicoke North/Etobicoke-Nord"," 611","Etobicoke",242,36,9,17,141,0,4,449,
35029,"Etobicoke North/Etobicoke-Nord"," 612","Etobicoke",211,49,7,8,95,0,3,373,
35029,"Etobicoke North/Etobicoke-Nord"," 613","Etobicoke",430,55,31,14,117,0,25,672,
35029,"Etobicoke North/Etobicoke-Nord"," 614","Etobicoke",226,34,22,21,106,0,4,413,
35029,"Etobicoke North/Etobicoke-Nord",,Group 1/Groupe 1, 90,15,3,2,14,0,7,131,155
35029,"Etobicoke North/Etobicoke-Nord",,Group 2/Groupe 2, 355,93,14,18,129,2,26,637,
