Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Di Carlo,Peter Fonseca,Wladyslaw Lizon,Maha Rasheed,Syed Rizvi,Tom Takacs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 59","Mississauga",0,92,66,9,2,11,2,182,434
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 60","Mississauga",0,72,63,3,0,6,2,146,310
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 61","Mississauga",0,147,96,7,0,13,3,266,452
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 62","Mississauga",0,97,64,8,2,20,3,194,408
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 63","Mississauga",1,134,109,7,1,14,2,268,506
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 64","Mississauga",1,139,117,9,4,30,2,302,542
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 65","Mississauga",1,80,113,2,4,20,2,222,371
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 66","Mississauga",0,134,111,13,7,21,2,288,522
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 67","Mississauga",1,154,84,8,0,33,2,282,586
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 68","Mississauga",1,97,48,8,0,25,1,180,432
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 69","Mississauga",0,101,98,3,3,18,1,224,413
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 70","Mississauga",1,85,71,2,2,18,3,182,404
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 71","Mississauga",0,63,40,2,2,11,1,119,378
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 72","Mississauga",0,108,71,8,5,19,1,212,649
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 73","Mississauga",1,76,68,4,2,26,0,177,313
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 74","Mississauga",0,102,78,8,2,25,0,215,407
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 75","Mississauga",0,120,81,10,2,20,3,236,489
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 76","Mississauga",0,125,64,7,5,15,0,216,450
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 77","Mississauga",1,114,69,7,2,13,1,207,511
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 78","Mississauga",4,105,54,4,4,12,2,185,342
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 79","Mississauga",1,81,98,7,1,13,2,203,373
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 80","Mississauga",1,89,67,2,5,16,0,180,352
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 81","Mississauga",0,99,115,2,3,14,3,236,464
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 82","Mississauga",0,83,82,2,1,11,1,180,333
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 83","Mississauga",1,59,53,1,3,12,1,130,322
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 84","Mississauga",0,115,128,11,0,27,4,285,498
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 85","Mississauga",2,118,76,10,5,17,1,229,451
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 86","Mississauga",1,136,106,14,3,16,3,279,444
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 87","Mississauga",0,106,95,7,3,26,2,239,468
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 88","Mississauga",0,99,94,4,4,18,0,219,445
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 89","Mississauga",0,144,98,3,4,19,4,272,466
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 90","Mississauga",2,128,73,5,1,18,5,232,472
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 91","Mississauga",0,59,31,2,0,14,5,111,280
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 92","Mississauga",0,110,30,6,6,35,2,189,415
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 93","Mississauga",2,154,94,12,2,56,2,322,723
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 94","Mississauga",0,71,55,3,2,16,1,148,299
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 95","Mississauga",0,79,67,8,2,31,3,190,436
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 96","Mississauga",2,123,122,14,5,17,4,287,537
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 97","Mississauga",1,66,66,6,1,13,3,156,361
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 98","Mississauga",1,138,84,7,2,8,2,242,429
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 99","Mississauga",1,82,71,1,1,15,4,175,342
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 100","Mississauga",3,131,67,8,2,17,3,231,537
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 101","Mississauga",0,105,80,8,2,17,5,217,421
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 102","Mississauga",0,106,74,5,2,22,0,209,439
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 103","Mississauga",2,112,82,8,0,22,4,230,441
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 104","Mississauga",2,90,70,2,1,18,3,186,385
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 105","Mississauga",0,92,57,2,5,23,0,179,424
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 106","Mississauga",0,108,61,6,1,22,0,198,557
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 107","Mississauga",0,92,75,9,3,17,5,201,497
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 108","Mississauga",0,93,109,4,5,24,1,236,510
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 109","Mississauga",1,99,96,9,0,26,4,235,479
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 110","Mississauga",1,150,93,3,5,26,1,279,528
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 111","Mississauga",0,77,75,5,4,8,0,169,374
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 112","Mississauga",2,142,134,8,3,30,1,320,546
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 113","Mississauga",1,178,75,16,9,33,5,317,547
