Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Matt Jeneroux,Valerie Kennedy,Kevin Morris,Audrey Redman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 56B","Edmonton",Merged with No./Fusionné avec le n°53,,,,,,,115
48018,"Edmonton Riverbend/Edmonton Riverbend"," 57","Edmonton",43,100,6,0,23,0,172,454
48018,"Edmonton Riverbend/Edmonton Riverbend"," 58","Edmonton",47,166,6,0,39,0,258,601
48018,"Edmonton Riverbend/Edmonton Riverbend"," 59","Edmonton",87,159,5,5,52,1,309,581
48018,"Edmonton Riverbend/Edmonton Riverbend"," 60","Edmonton",55,145,6,0,20,3,229,567
48018,"Edmonton Riverbend/Edmonton Riverbend"," 61","Edmonton",58,126,3,4,35,2,228,535
48018,"Edmonton Riverbend/Edmonton Riverbend"," 62","Edmonton",55,112,5,5,21,0,198,366
48018,"Edmonton Riverbend/Edmonton Riverbend"," 63","Edmonton",41,116,3,1,22,0,183,342
48018,"Edmonton Riverbend/Edmonton Riverbend"," 64","Edmonton",47,112,3,1,25,1,189,359
48018,"Edmonton Riverbend/Edmonton Riverbend"," 65","Edmonton",39,107,5,1,24,0,176,355
48018,"Edmonton Riverbend/Edmonton Riverbend"," 66","Edmonton",67,136,4,4,36,0,247,479
48018,"Edmonton Riverbend/Edmonton Riverbend"," 67","Edmonton",34,104,0,4,26,0,168,350
48018,"Edmonton Riverbend/Edmonton Riverbend"," 68","Edmonton",43,101,3,1,42,2,192,405
48018,"Edmonton Riverbend/Edmonton Riverbend"," 69","Edmonton",56,107,7,3,25,4,202,413
48018,"Edmonton Riverbend/Edmonton Riverbend"," 70","Edmonton",36,75,7,4,31,0,153,346
48018,"Edmonton Riverbend/Edmonton Riverbend"," 71","Edmonton",66,143,6,4,57,1,277,442
48018,"Edmonton Riverbend/Edmonton Riverbend"," 72","Edmonton",46,97,11,3,60,1,218,397
48018,"Edmonton Riverbend/Edmonton Riverbend"," 73","Edmonton",46,122,8,1,37,2,216,353
48018,"Edmonton Riverbend/Edmonton Riverbend"," 74","Edmonton",61,134,13,1,45,1,255,458
48018,"Edmonton Riverbend/Edmonton Riverbend"," 75","Edmonton",66,110,16,1,56,0,249,454
48018,"Edmonton Riverbend/Edmonton Riverbend"," 76","Edmonton",68,157,14,1,49,1,290,449
48018,"Edmonton Riverbend/Edmonton Riverbend"," 77","Edmonton",74,116,7,6,57,3,263,479
48018,"Edmonton Riverbend/Edmonton Riverbend"," 78","Edmonton",52,135,5,1,50,1,244,417
48018,"Edmonton Riverbend/Edmonton Riverbend"," 79","Edmonton",48,81,10,7,45,0,191,429
48018,"Edmonton Riverbend/Edmonton Riverbend"," 80","Edmonton",75,89,5,1,18,3,191,474
48018,"Edmonton Riverbend/Edmonton Riverbend"," 81","Edmonton",42,93,7,1,17,0,160,388
48018,"Edmonton Riverbend/Edmonton Riverbend"," 82","Edmonton",52,141,2,4,24,0,223,432
48018,"Edmonton Riverbend/Edmonton Riverbend"," 83","Edmonton",33,111,0,4,27,0,175,459
48018,"Edmonton Riverbend/Edmonton Riverbend"," 84","Edmonton",42,104,3,0,23,0,172,421
48018,"Edmonton Riverbend/Edmonton Riverbend"," 85","Edmonton",32,121,2,2,25,0,182,409
48018,"Edmonton Riverbend/Edmonton Riverbend"," 86","Edmonton",59,130,4,5,31,0,229,564
48018,"Edmonton Riverbend/Edmonton Riverbend"," 87","Edmonton",45,102,2,2,27,0,178,528
48018,"Edmonton Riverbend/Edmonton Riverbend"," 88A","Edmonton",58,182,3,0,18,0,261,567
48018,"Edmonton Riverbend/Edmonton Riverbend"," 88B","Edmonton",Merged with No./Fusionné avec le n°89B,,,,,,,121
48018,"Edmonton Riverbend/Edmonton Riverbend"," 89A","Edmonton",68,167,7,2,35,1,280,606
48018,"Edmonton Riverbend/Edmonton Riverbend"," 89B","Edmonton",41,171,0,2,26,0,240,462
48018,"Edmonton Riverbend/Edmonton Riverbend"," 90","Edmonton",45,111,4,10,38,0,208,531
48018,"Edmonton Riverbend/Edmonton Riverbend"," 91","Edmonton",45,116,5,7,27,3,203,435
48018,"Edmonton Riverbend/Edmonton Riverbend"," 92A","Edmonton",63,135,7,4,58,0,267,540
48018,"Edmonton Riverbend/Edmonton Riverbend"," 92B","Edmonton",Merged with No./Fusionné avec le n°400,,,,,,,77
48018,"Edmonton Riverbend/Edmonton Riverbend"," 93","Edmonton",50,112,4,4,33,2,205,429
48018,"Edmonton Riverbend/Edmonton Riverbend"," 94","Edmonton",41,139,7,1,51,0,239,478
48018,"Edmonton Riverbend/Edmonton Riverbend"," 95","Edmonton",69,109,16,1,56,2,253,471
48018,"Edmonton Riverbend/Edmonton Riverbend"," 96","Edmonton",60,94,5,0,51,1,211,467
48018,"Edmonton Riverbend/Edmonton Riverbend"," 97","Edmonton",72,86,10,2,53,3,226,463
48018,"Edmonton Riverbend/Edmonton Riverbend"," 98","Edmonton",36,86,2,1,33,1,159,342
48018,"Edmonton Riverbend/Edmonton Riverbend"," 99","Edmonton",42,111,7,5,26,0,191,361
48018,"Edmonton Riverbend/Edmonton Riverbend"," 100","Edmonton",80,120,8,5,45,0,258,408
48018,"Edmonton Riverbend/Edmonton Riverbend"," 101","Edmonton",68,81,8,4,44,2,207,418
48018,"Edmonton Riverbend/Edmonton Riverbend"," 102","Edmonton",69,132,6,2,42,0,251,458
48018,"Edmonton Riverbend/Edmonton Riverbend"," 103A","Edmonton",53,117,7,8,55,3,243,559
48018,"Edmonton Riverbend/Edmonton Riverbend"," 103B","Edmonton",Merged with No./Fusionné avec le n°100,,,,,,,149
48018,"Edmonton Riverbend/Edmonton Riverbend"," 104A","Edmonton",34,197,0,1,24,0,256,586
48018,"Edmonton Riverbend/Edmonton Riverbend"," 104B","Edmonton",Merged with No./Fusionné avec le n°105,,,,,,,197
48018,"Edmonton Riverbend/Edmonton Riverbend"," 105","Edmonton",41,137,2,2,30,1,213,282
48018,"Edmonton Riverbend/Edmonton Riverbend"," 106","Edmonton",47,172,0,1,21,0,241,620
48018,"Edmonton Riverbend/Edmonton Riverbend"," 107A","Edmonton",69,155,1,2,33,4,264,594
48018,"Edmonton Riverbend/Edmonton Riverbend"," 107B","Edmonton",Merged with No./Fusionné avec le n°109B,,,,,,,124
48018,"Edmonton Riverbend/Edmonton Riverbend"," 108","Edmonton",58,165,5,2,34,0,264,619
48018,"Edmonton Riverbend/Edmonton Riverbend"," 109A","Edmonton",39,141,5,4,44,0,233,545
48018,"Edmonton Riverbend/Edmonton Riverbend"," 109B","Edmonton",40,110,2,0,25,2,179,275
48018,"Edmonton Riverbend/Edmonton Riverbend"," 110","Edmonton",50,76,5,5,41,1,178,362
48018,"Edmonton Riverbend/Edmonton Riverbend"," 111","Edmonton",45,96,9,6,63,5,224,461
48018,"Edmonton Riverbend/Edmonton Riverbend"," 112","Edmonton",44,57,4,1,32,0,138,309
48018,"Edmonton Riverbend/Edmonton Riverbend"," 113","Edmonton",47,96,1,5,44,2,195,375
48018,"Edmonton Riverbend/Edmonton Riverbend"," 114","Edmonton",52,104,9,3,37,0,205,351
48018,"Edmonton Riverbend/Edmonton Riverbend"," 115","Edmonton",36,96,5,4,35,0,176,346
48018,"Edmonton Riverbend/Edmonton Riverbend"," 116A","Edmonton",45,128,9,6,42,1,231,466
48018,"Edmonton Riverbend/Edmonton Riverbend"," 116B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,177
48018,"Edmonton Riverbend/Edmonton Riverbend"," 117A","Edmonton",60,147,5,1,37,2,252,529
48018,"Edmonton Riverbend/Edmonton Riverbend"," 117B","Edmonton",52,139,8,5,34,1,239,278
48018,"Edmonton Riverbend/Edmonton Riverbend"," 118","Edmonton",58,138,7,2,47,0,252,463
48018,"Edmonton Riverbend/Edmonton Riverbend"," 119","Edmonton",95,142,17,6,34,1,295,589
48018,"Edmonton Riverbend/Edmonton Riverbend"," 120","Edmonton",34,73,5,4,41,1,158,405
48018,"Edmonton Riverbend/Edmonton Riverbend"," 121","Edmonton",33,100,3,7,54,1,198,432
48018,"Edmonton Riverbend/Edmonton Riverbend"," 122","Edmonton",52,173,2,1,33,0,261,403
48018,"Edmonton Riverbend/Edmonton Riverbend"," 123","Edmonton",42,117,6,1,20,1,187,452
48018,"Edmonton Riverbend/Edmonton Riverbend"," 124A","Edmonton",60,125,6,5,28,0,224,513
48018,"Edmonton Riverbend/Edmonton Riverbend"," 124B","Edmonton",Merged with No./Fusionné avec le n°122,,,,,,,137
48018,"Edmonton Riverbend/Edmonton Riverbend"," 125","Edmonton",71,130,7,2,41,1,252,523
48018,"Edmonton Riverbend/Edmonton Riverbend"," 126","Edmonton",47,109,5,1,28,0,190,422
48018,"Edmonton Riverbend/Edmonton Riverbend"," 127","Edmonton",38,135,4,3,33,2,215,417
48018,"Edmonton Riverbend/Edmonton Riverbend"," 128A","Edmonton",32,102,6,4,50,0,194,529
48018,"Edmonton Riverbend/Edmonton Riverbend"," 128B","Edmonton",Merged with No./Fusionné avec le n°127,,,,,,,136
48018,"Edmonton Riverbend/Edmonton Riverbend"," 129","Edmonton",56,141,4,6,71,0,278,553
48018,"Edmonton Riverbend/Edmonton Riverbend"," 130","Edmonton",47,93,6,2,43,1,192,440
48018,"Edmonton Riverbend/Edmonton Riverbend"," 131","Edmonton",43,144,6,4,39,0,236,490
48018,"Edmonton Riverbend/Edmonton Riverbend"," 132","Edmonton",36,80,1,1,22,0,140,328
48018,"Edmonton Riverbend/Edmonton Riverbend"," 133","Edmonton",33,94,1,5,38,0,171,370
48018,"Edmonton Riverbend/Edmonton Riverbend"," 134","Edmonton",37,110,0,7,41,2,197,454
48018,"Edmonton Riverbend/Edmonton Riverbend"," 135","Edmonton",36,109,2,2,23,0,172,461
48018,"Edmonton Riverbend/Edmonton Riverbend"," 136","Edmonton",41,133,3,1,22,0,200,484
48018,"Edmonton Riverbend/Edmonton Riverbend"," 137","Edmonton",55,152,5,2,15,0,229,548
48018,"Edmonton Riverbend/Edmonton Riverbend"," 138","Edmonton",37,109,5,1,16,4,172,482
48018,"Edmonton Riverbend/Edmonton Riverbend"," 139A","Edmonton",36,132,7,2,17,4,198,502
48018,"Edmonton Riverbend/Edmonton Riverbend"," 139B","Edmonton",Merged with No./Fusionné avec le n°142B,,,,,,,161
48018,"Edmonton Riverbend/Edmonton Riverbend"," 140","Edmonton",46,159,3,3,31,1,243,551
48018,"Edmonton Riverbend/Edmonton Riverbend"," 141A","Edmonton",51,150,0,2,15,1,219,503
48018,"Edmonton Riverbend/Edmonton Riverbend"," 141B","Edmonton",Merged with No./Fusionné avec le n°142B,,,,,,,155
48018,"Edmonton Riverbend/Edmonton Riverbend"," 142A","Edmonton",30,126,3,3,43,2,207,528
48018,"Edmonton Riverbend/Edmonton Riverbend"," 142B","Edmonton",32,130,6,1,24,2,195,203
48018,"Edmonton Riverbend/Edmonton Riverbend"," 143A","Edmonton",40,135,1,1,25,0,202,514
48018,"Edmonton Riverbend/Edmonton Riverbend"," 143B","Edmonton",Merged with No./Fusionné avec le n°403,,,,,,,151
48018,"Edmonton Riverbend/Edmonton Riverbend"," 144","Edmonton",55,147,1,5,39,0,247,557
48018,"Edmonton Riverbend/Edmonton Riverbend"," 145","Edmonton",68,192,11,5,36,1,313,583
48018,"Edmonton Riverbend/Edmonton Riverbend"," 146","Edmonton",56,158,2,1,39,1,257,599
48018,"Edmonton Riverbend/Edmonton Riverbend"," 147","Edmonton",51,133,3,1,33,0,221,435
48018,"Edmonton Riverbend/Edmonton Riverbend"," 148","Edmonton",62,146,5,1,44,1,259,443
48018,"Edmonton Riverbend/Edmonton Riverbend"," 149","Edmonton",50,96,2,5,41,0,194,402
48018,"Edmonton Riverbend/Edmonton Riverbend"," 150","Edmonton",52,122,6,4,50,2,236,445
48018,"Edmonton Riverbend/Edmonton Riverbend"," 151","Edmonton",61,143,8,2,23,2,239,418
48018,"Edmonton Riverbend/Edmonton Riverbend"," 152","Edmonton",52,122,9,2,54,1,240,453
48018,"Edmonton Riverbend/Edmonton Riverbend"," 153","Edmonton",35,120,2,2,19,0,178,423
48018,"Edmonton Riverbend/Edmonton Riverbend"," 154","Edmonton",42,124,4,3,23,1,197,458
48018,"Edmonton Riverbend/Edmonton Riverbend"," 155","Edmonton",43,143,3,4,43,1,237,531
48018,"Edmonton Riverbend/Edmonton Riverbend"," 156","Edmonton",38,120,2,3,24,0,187,424
48018,"Edmonton Riverbend/Edmonton Riverbend"," 157","Edmonton",58,125,5,7,21,0,216,479
48018,"Edmonton Riverbend/Edmonton Riverbend"," 158","Edmonton",52,133,9,2,27,3,226,496
48018,"Edmonton Riverbend/Edmonton Riverbend"," 159","Edmonton",39,122,5,1,34,0,201,414
48018,"Edmonton Riverbend/Edmonton Riverbend"," 160","Edmonton",34,122,8,1,26,0,191,446
48018,"Edmonton Riverbend/Edmonton Riverbend"," 161","Edmonton",45,127,8,9,24,1,214,469
48018,"Edmonton Riverbend/Edmonton Riverbend"," 162","Edmonton",55,101,7,3,26,0,192,426
48018,"Edmonton Riverbend/Edmonton Riverbend"," 163","Edmonton",49,112,3,2,38,3,207,461
48018,"Edmonton Riverbend/Edmonton Riverbend"," 164","Edmonton",45,83,11,2,54,0,195,423
48018,"Edmonton Riverbend/Edmonton Riverbend"," 165","Edmonton",39,100,3,1,21,0,164,332
48018,"Edmonton Riverbend/Edmonton Riverbend"," 166","Edmonton",25,88,5,4,41,0,163,380
48018,"Edmonton Riverbend/Edmonton Riverbend"," 167","Edmonton",53,107,5,4,37,0,206,381
48018,"Edmonton Riverbend/Edmonton Riverbend"," 168","Edmonton",57,159,7,5,37,2,267,513
48018,"Edmonton Riverbend/Edmonton Riverbend"," 169","Edmonton",75,181,9,6,59,2,332,558
48018,"Edmonton Riverbend/Edmonton Riverbend"," 170","Edmonton",60,151,4,4,35,2,256,443
48018,"Edmonton Riverbend/Edmonton Riverbend"," 171","Edmonton",38,121,4,0,37,3,203,481
48018,"Edmonton Riverbend/Edmonton Riverbend"," 172","Edmonton",45,127,3,3,32,0,210,451
48018,"Edmonton Riverbend/Edmonton Riverbend"," 173","Edmonton",31,128,8,2,41,3,213,460
48018,"Edmonton Riverbend/Edmonton Riverbend"," 174","Edmonton",35,96,3,2,48,1,185,486
48018,"Edmonton Riverbend/Edmonton Riverbend"," 175","Edmonton",62,143,5,4,40,3,257,544
48018,"Edmonton Riverbend/Edmonton Riverbend"," 176","Edmonton",68,140,7,5,55,0,275,548
48018,"Edmonton Riverbend/Edmonton Riverbend"," 177","Edmonton",32,126,6,5,32,0,201,456
48018,"Edmonton Riverbend/Edmonton Riverbend"," 178","Edmonton",71,166,2,5,42,2,288,403
48018,"Edmonton Riverbend/Edmonton Riverbend"," 179A","Edmonton",54,153,3,2,47,4,263,574
48018,"Edmonton Riverbend/Edmonton Riverbend"," 179B","Edmonton",Merged with No./Fusionné avec le n°178,,,,,,,185
48018,"Edmonton Riverbend/Edmonton Riverbend"," 180","Edmonton",31,131,5,3,25,1,196,457
48018,"Edmonton Riverbend/Edmonton Riverbend"," 181","Edmonton",27,121,4,0,22,1,175,420
48018,"Edmonton Riverbend/Edmonton Riverbend"," 182","Edmonton",67,178,0,4,55,2,306,594
48018,"Edmonton Riverbend/Edmonton Riverbend"," 400","Edmonton",26,59,2,2,21,0,110,203
48018,"Edmonton Riverbend/Edmonton Riverbend"," 401","Edmonton",13,37,0,0,5,0,55,212
48018,"Edmonton Riverbend/Edmonton Riverbend"," 402","Edmonton",Merged with No./Fusionné avec le n°117B,,,,,,,181
48018,"Edmonton Riverbend/Edmonton Riverbend"," 403","Edmonton",30,85,8,1,19,2,145,250
48018,"Edmonton Riverbend/Edmonton Riverbend"," 404","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°405,,,,,,,42
48018,"Edmonton Riverbend/Edmonton Riverbend"," 405","Mobile poll/Bureau itinérant",15,49,3,0,15,0,82,61
48018,"Edmonton Riverbend/Edmonton Riverbend"," 500A","Mobile poll/Bureau itinérant",19,57,4,4,14,4,102,107
48018,"Edmonton Riverbend/Edmonton Riverbend"," 500B","Mobile poll/Bureau itinérant",24,102,3,1,10,3,143,150
48018,"Edmonton Riverbend/Edmonton Riverbend"," 501A","Mobile poll/Bureau itinérant",16,141,6,0,8,14,185,95
48018,"Edmonton Riverbend/Edmonton Riverbend"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,40
48018,"Edmonton Riverbend/Edmonton Riverbend"," 502A","Mobile poll/Bureau itinérant",33,135,10,2,16,9,205,192
48018,"Edmonton Riverbend/Edmonton Riverbend"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,43
48018,"Edmonton Riverbend/Edmonton Riverbend"," 503A","Mobile poll/Bureau itinérant",35,42,4,0,12,1,94,93
48018,"Edmonton Riverbend/Edmonton Riverbend"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,103
48018,"Edmonton Riverbend/Edmonton Riverbend"," 600","Edmonton",228,465,42,23,124,4,886,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 601","Edmonton",268,883,33,11,118,8,1321,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 602","Edmonton",273,755,24,12,85,0,1149,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 603","Edmonton",249,517,40,13,159,1,979,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 604","Edmonton",187,445,31,8,153,0,824,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 605","Edmonton",178,396,29,14,104,3,724,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 606","Edmonton",258,672,22,11,86,1,1050,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 607","Edmonton",200,400,144,14,23,0,781,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 608","Edmonton",203,624,30,28,134,3,1022,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 609","Edmonton",259,797,39,26,127,3,1251,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 610","Edmonton",344,1014,20,8,116,0,1502,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 611","Edmonton",256,595,28,21,121,1,1022,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 612","Edmonton",181,478,25,8,124,5,821,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 613","Edmonton",276,912,26,31,109,7,1361,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 614","Edmonton",287,952,23,18,116,3,1399,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 615","Edmonton",178,555,23,21,97,10,884,
48018,"Edmonton Riverbend/Edmonton Riverbend",,Group 1/Groupe 1, 94,69,7,0,31,18,219,289
48018,"Edmonton Riverbend/Edmonton Riverbend",,Group 2/Groupe 2, 536,1179,107,21,358,61,2262,
