Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Barré,Jean-François Bélanger,Sabrina Huet-Côté,Brigitte Sansoucy,Simon-Pierre Savard-Tremblay,René Vincelette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 139","Saint-Hyacinthe",21,2,9,30,64,47,1,174,366
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 140","Saint-Hyacinthe",39,2,0,11,55,59,7,173,240
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 141","Saint-Hyacinthe",15,0,4,38,81,37,2,177,365
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 142","Saint-Hyacinthe",16,1,4,36,57,31,2,147,351
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 143","Saint-Hyacinthe",27,0,7,55,123,60,6,278,496
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 144","Saint-Hyacinthe",30,2,2,40,87,37,4,202,395
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 145","Saint-Hyacinthe",34,0,7,34,90,51,7,223,417
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 146","Saint-Hyacinthe",27,2,9,42,82,43,3,208,424
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 147","Saint-Hyacinthe",16,1,13,31,87,39,4,191,427
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 148","Saint-Hyacinthe",15,2,5,24,51,32,2,131,363
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 149","Saint-Hyacinthe",31,1,6,34,88,31,3,194,370
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 150","Saint-Hyacinthe",19,1,5,36,75,39,4,179,363
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 151","Saint-Hyacinthe",17,0,9,36,81,50,4,197,354
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 152","Saint-Hyacinthe",48,1,9,38,86,40,2,224,423
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 153","Saint-Hyacinthe",37,4,15,42,109,69,3,279,570
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 154","Saint-Hyacinthe",37,1,11,44,99,74,5,271,582
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 155","Saint-Hyacinthe",27,8,13,38,88,43,4,221,490
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 156","Saint-Dominique",19,0,5,26,52,27,8,137,239
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 157","Saint-Dominique",39,1,15,31,104,42,7,239,439
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 158","Saint-Dominique",23,0,6,36,51,39,5,160,319
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 159","Saint-Dominique",26,1,6,23,74,33,8,171,287
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 160","Saint-Dominique",13,3,9,19,65,17,4,130,284
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 161","Saint-Dominique",40,0,11,33,100,42,8,234,431
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 162","Saint-Hyacinthe",30,1,5,56,84,73,0,249,436
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 163","Saint-Hyacinthe",25,1,2,37,95,84,3,247,512
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164","Saint-Hyacinthe",19,1,4,36,77,37,4,178,386
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 165","Saint-Hyacinthe",30,0,9,38,78,38,5,198,360
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 166","Saint-Hyacinthe",30,2,5,22,65,42,3,169,349
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 167","Saint-Hyacinthe",25,2,8,33,76,64,3,211,394
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 168","Saint-Hyacinthe",21,2,6,32,62,50,8,181,367
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 169","Saint-Hyacinthe",12,3,7,46,96,55,0,219,403
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 170","Saint-Hyacinthe",15,2,9,41,77,37,3,184,380
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 171","Saint-Hyacinthe",16,0,4,47,82,40,2,191,374
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 172A","Saint-Hyacinthe",21,0,3,30,77,44,4,179,359
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 172B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°106B,,,,,,,,83
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 173","Saint-Hyacinthe",24,0,7,56,98,47,4,236,446
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 174","Saint-Hyacinthe",15,1,14,45,91,39,2,207,371
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 175","Sainte-Marie-Madeleine",23,2,13,53,88,58,3,240,490
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 176","Saint-Hyacinthe",32,1,12,64,95,68,2,274,509
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 177","Saint-Hyacinthe",32,0,6,38,66,34,3,179,413
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 178","Saint-Hyacinthe",31,1,5,35,60,28,7,167,395
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 179","Saint-Hyacinthe",32,0,7,29,70,28,3,169,369
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 180","Saint-Hyacinthe",25,0,3,50,84,41,1,204,453
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 181","Saint-Hyacinthe",31,2,8,48,88,44,5,226,450
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 182","Saint-Hyacinthe",31,3,9,32,100,35,3,213,474
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 183","Saint-Hyacinthe",29,1,5,37,110,33,1,216,390
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 184","Saint-Hyacinthe",40,2,9,48,110,37,9,255,441
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 185","Saint-Hyacinthe",48,2,7,45,117,74,10,303,567
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 186","Notre-Dame-de-Saint-Hyacinthe",30,1,4,52,121,41,5,254,514
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 187","Sainte-Marie-Madeleine",22,3,7,19,84,20,2,157,341
