Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Han Dong,Sarah Fischer,Daniel Giavedoni,Bruce Griffin,Jay Sobel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Don Valley North/Don Valley-Nord"," 104B","North York",101,67,4,32,2,4,210,435
35020,"Don Valley North/Don Valley-Nord"," 105A","North York",79,33,3,31,0,1,147,350
35020,"Don Valley North/Don Valley-Nord"," 105B","North York",71,27,4,30,3,1,136,365
35020,"Don Valley North/Don Valley-Nord"," 106","North York",129,49,5,33,2,0,218,550
35020,"Don Valley North/Don Valley-Nord"," 107","North York",100,70,10,17,3,6,206,535
35020,"Don Valley North/Don Valley-Nord"," 108","North York",95,81,9,11,2,2,200,446
35020,"Don Valley North/Don Valley-Nord"," 109","North York",100,66,13,14,0,0,193,494
35020,"Don Valley North/Don Valley-Nord"," 110","North York",108,75,13,15,0,0,211,457
35020,"Don Valley North/Don Valley-Nord"," 111","North York",145,68,14,20,0,1,248,552
35020,"Don Valley North/Don Valley-Nord"," 112","North York",140,46,6,22,2,0,216,519
35020,"Don Valley North/Don Valley-Nord"," 113","North York",125,81,6,18,1,1,232,465
35020,"Don Valley North/Don Valley-Nord"," 114","North York",98,87,6,12,1,4,208,461
35020,"Don Valley North/Don Valley-Nord"," 115","North York",99,75,6,28,3,3,214,524
35020,"Don Valley North/Don Valley-Nord"," 116","North York",134,61,15,35,4,0,249,579
35020,"Don Valley North/Don Valley-Nord"," 117","North York",119,92,17,29,1,0,258,587
35020,"Don Valley North/Don Valley-Nord"," 118","North York",128,116,8,22,2,0,276,588
35020,"Don Valley North/Don Valley-Nord"," 119","North York",102,120,3,10,1,1,237,429
35020,"Don Valley North/Don Valley-Nord"," 120A","North York",82,44,9,16,2,0,153,499
35020,"Don Valley North/Don Valley-Nord"," 120B","North York",90,43,3,18,1,2,157,485
35020,"Don Valley North/Don Valley-Nord"," 121","North York",85,54,13,18,0,1,171,368
35020,"Don Valley North/Don Valley-Nord"," 122A","North York",55,31,11,12,1,1,111,305
35020,"Don Valley North/Don Valley-Nord"," 122B","North York",69,38,5,17,1,1,131,315
35020,"Don Valley North/Don Valley-Nord"," 123","North York",126,46,10,30,3,5,220,498
35020,"Don Valley North/Don Valley-Nord"," 124","North York",114,48,7,10,1,2,182,293
35020,"Don Valley North/Don Valley-Nord"," 125","North York",105,65,5,10,0,6,191,278
35020,"Don Valley North/Don Valley-Nord"," 400","North York",49,61,1,7,2,3,123,358
35020,"Don Valley North/Don Valley-Nord"," 401","North York",132,102,8,11,2,0,255,388
35020,"Don Valley North/Don Valley-Nord"," 402","North York",90,55,4,6,1,2,158,249
