Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Den Tandt,Daniel Little,Alex Ruff,Chris Stephen,Bill Townsend,Danielle Valiquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 76","Keppel",70,1,122,33,2,11,0,239,493
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 77","Cruickshank",43,3,115,25,3,9,2,200,328
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 78","Keppel",45,3,103,11,4,8,1,175,335
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 79","Keppel",45,1,120,25,6,18,1,216,480
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 80","Meaford",57,0,92,16,1,8,0,174,394
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 81","Meaford",24,0,67,8,2,11,0,112,233
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 82","Meaford",36,3,80,20,7,17,0,163,265
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 83","Meaford",39,0,89,20,8,9,1,166,308
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 84","Massie",39,1,85,17,6,15,0,163,376
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 85","Owen Sound",49,0,54,29,6,8,0,146,400
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 86","Owen Sound",57,1,87,23,5,12,6,191,423
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 87","Owen Sound",72,0,81,29,2,10,0,194,340
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 88","Owen Sound",57,1,76,20,3,18,3,178,365
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 89","Meaford",56,1,71,6,2,15,0,151,318
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 90","Meaford",74,2,63,8,3,20,0,170,369
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 91","Owen Sound",69,1,63,35,4,18,1,191,369
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 92","Owen Sound",66,1,51,40,6,17,0,181,487
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 93","Owen Sound",64,3,59,49,3,22,2,202,533
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 94","Owen Sound",81,0,80,30,6,21,1,219,475
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 95","Owen Sound",110,1,54,41,8,11,0,225,501
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 96","Owen Sound",90,3,68,29,3,23,0,216,482
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 97","Owen Sound",103,0,77,29,1,14,0,224,492
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 98","Owen Sound",81,5,51,42,3,13,0,195,514
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 99","Owen Sound",67,2,54,28,5,22,0,178,406
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 100","Owen Sound",32,4,43,12,6,9,3,109,358
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 101","Owen Sound",69,3,41,26,2,19,0,160,367
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 102","South Bruce Peninsula",54,2,124,30,2,16,2,230,448
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 103","South Bruce Peninsula",63,1,141,28,2,15,2,252,451
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 104","South Bruce Peninsula",47,2,93,19,5,12,0,178,385
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 105","Owen Sound",82,1,67,18,3,11,0,182,392
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 106","Owen Sound",92,1,102,22,3,13,1,234,407
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 107","Owen Sound",90,2,41,23,4,29,0,189,393
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 108","Owen Sound",113,2,102,20,4,19,0,260,468
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 109","Owen Sound",115,0,58,18,2,13,0,206,377
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 110","Owen Sound",125,1,112,28,2,18,0,286,481
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 111","Owen Sound",105,2,91,22,3,21,1,245,454
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 112","Owen Sound",92,0,71,24,2,11,0,200,351
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 113","Owen Sound",79,1,48,14,2,13,0,157,330
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 114","Derby",100,2,96,23,4,11,2,238,453
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 115","South Bruce Peninsula",60,3,26,156,2,15,1,263,609
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 116","Derby",44,0,103,27,2,9,0,185,386
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 117","Meaford",53,1,134,21,6,22,0,237,489
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 118","Derby",34,0,103,7,9,8,0,161,291
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 119","Derby",52,1,109,12,4,4,2,184,424
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 120","Rocklyn",39,1,124,12,9,21,0,206,382
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 121","Kimberley",63,0,47,17,1,27,0,155,303
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 122","Wodehouse",75,0,122,23,6,32,0,258,507
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 123","Chatsworth",33,0,61,16,4,7,2,123,280
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 124","Massie",37,1,97,15,1,9,0,160,322
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 125","Hemstock Mills",54,1,139,27,8,12,1,242,489
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 126","Arnott",39,0,83,17,8,17,0,164,394
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 127","Holland Centre",60,0,90,19,7,24,3,203,469
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 128","Kilsyth",44,0,156,12,5,9,1,227,561
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 129","Elsinore",26,0,146,23,8,20,0,223,460
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 130","Invermay",40,0,134,19,4,10,0,207,426
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 131","Invermay",33,0,123,21,3,11,1,192,426
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 132","Invermay",50,1,143,22,8,9,0,233,432
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 133","Desboro",37,2,85,21,6,4,0,155,342
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 134","Arranvale",19,0,94,9,2,4,1,129,302
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 135","Rob Roy",54,3,136,18,0,33,0,244,531
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 136","Feversham",36,3,154,33,4,25,0,255,569
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 137","McIntyre",27,0,69,8,4,15,0,123,372
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 138","Eugenia",44,0,52,15,6,11,0,128,335
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 139","Maxwell",28,2,104,12,2,28,0,176,528
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 140","Williamsford",50,1,105,21,5,17,1,200,416
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 141","Hemstock Mills",41,0,115,14,7,10,0,187,419
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 142","Williamsford",43,1,92,25,7,31,0,199,381
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 143","Kinghurst",56,0,111,17,8,15,1,208,407
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 144","Berkeley",37,1,88,17,11,28,1,183,474
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 145","Markdale",47,1,74,16,2,17,0,157,402
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 146","Flesherton",47,0,52,8,4,15,1,127,327
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 147","Markdale",59,2,83,20,2,22,1,189,398
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 148","Markdale",34,0,65,10,5,16,1,131,347
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 149","Lauriston",70,0,90,21,2,32,0,215,580
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 150","Traverston",44,0,79,18,5,15,0,161,359
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 151","Flesherton",42,2,69,21,6,17,0,157,399
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 152","Grey Highlands",62,1,80,22,10,33,0,208,463
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 153","Scone",19,0,66,25,2,8,0,120,220
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 154","Peabody",34,0,73,23,9,10,0,149,346
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 155","Scone",42,0,110,17,1,13,0,183,345
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 156","Scone",23,0,79,26,3,9,2,142,313
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 157","Scone",43,0,73,28,2,10,1,157,329
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 158","Chesley",50,0,74,26,4,8,0,162,349
