Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Ducharme,Louis Gagnon,Bernard Généreux,Serge Haché,Hugo Latulippe,Aladin Legault d'Auteuil,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 100","Saint-Pacôme",1,35,47,4,15,18,3,123,281
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 101","Saint-Pacôme",0,73,49,1,15,19,0,157,367
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 102","Saint-Pacôme",1,40,59,0,9,23,6,138,312
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 103","Saint-Pacôme",7,50,76,0,10,17,3,163,333
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 104","Saint-Gabriel-Lalemant",1,40,70,1,7,19,3,141,318
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 105","Saint-Gabriel-Lalemant",3,61,47,0,3,15,1,130,269
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 106","La Pocatière",3,41,77,2,14,27,5,169,393
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 107","La Pocatière",3,50,83,3,8,22,6,175,386
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 108","La Pocatière",8,44,53,0,17,18,1,141,365
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 109","La Pocatière",4,35,51,1,31,17,4,143,399
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 110","Sainte-Anne-de-la-Pocatière",2,55,81,1,17,28,3,187,372
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 111","Sainte-Anne-de-la-Pocatière",2,49,89,2,8,17,3,170,359
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 112","La Pocatière",2,52,56,3,7,21,2,143,393
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 113","La Pocatière",3,28,50,3,8,17,4,113,284
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 114","La Pocatière",1,63,82,1,16,23,3,189,404
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 115","La Pocatière",2,29,40,0,17,16,1,105,211
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 116","La Pocatière",1,53,67,2,10,17,1,151,398
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 117","Sainte-Anne-de-la-Pocatière",4,32,62,1,13,10,1,123,250
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 118","Sainte-Anne-de-la-Pocatière",5,55,83,1,11,20,1,176,349
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 119","Mont-Carmel",2,57,52,0,12,19,2,144,261
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 120","Mont-Carmel",2,34,62,0,9,18,2,127,219
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 121","Mont-Carmel",5,74,88,3,22,25,1,218,426
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 122","Saint-Onésime-d'Ixworth",5,32,66,1,8,6,2,120,224
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 123","Saint-Onésime-d'Ixworth",2,29,64,3,7,4,0,109,229
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 124","Saint-Roch-des-Aulnaies",7,87,98,1,10,39,2,244,396
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 125","Saint-Roch-des-Aulnaies",5,95,79,4,13,32,5,233,365
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 126","Sainte-Louise",6,61,49,2,12,17,1,148,269
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 127A","Sainte-Louise",4,56,58,2,12,8,4,144,259
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 127B","Sainte-Louise",Merged with No./Fusionné avec le n°125,,,,,,,,19
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 128","Saint-Damase-de-L'Islet",0,16,71,0,0,7,2,96,169
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 129","Saint-Damase-de-L'Islet",2,26,103,1,2,20,5,159,311
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 130","Saint-Jean-Port-Joli",5,41,80,2,19,24,2,173,394
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 131","Saint-Jean-Port-Joli",0,43,46,0,13,16,6,124,309
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 132","Saint-Jean-Port-Joli",3,54,81,0,9,30,2,179,368
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 133","Saint-Jean-Port-Joli",4,50,97,0,14,27,5,197,369
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 134","Saint-Jean-Port-Joli",5,72,72,0,18,46,4,217,421
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 135","Saint-Jean-Port-Joli",1,49,50,0,10,15,1,126,285
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 136","Saint-Jean-Port-Joli",4,63,48,2,15,26,1,159,338
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 137","Saint-Jean-Port-Joli",4,50,40,3,8,16,0,121,308
