Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tony Baldinelli,Brian Barker,Andrea Kaiser,Sandra O'Connor,Tricia O'Connor,Mike Strange,Alexander Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Niagara Falls/Niagara Falls"," 46","Niagara Falls",79,47,127,14,1,27,5,4,304,612
35067,"Niagara Falls/Niagara Falls"," 47","Niagara Falls",42,57,55,4,0,27,3,3,191,439
35067,"Niagara Falls/Niagara Falls"," 48","Niagara Falls",55,62,40,12,2,10,5,4,190,570
35067,"Niagara Falls/Niagara Falls"," 49","Niagara Falls",60,85,87,20,2,29,7,2,292,714
35067,"Niagara Falls/Niagara Falls"," 50","Niagara Falls",46,60,50,17,1,13,6,1,194,487
35067,"Niagara Falls/Niagara Falls"," 51","Niagara Falls",61,53,55,8,1,22,8,5,213,450
35067,"Niagara Falls/Niagara Falls"," 52","Niagara Falls",47,30,51,10,0,31,2,0,171,393
35067,"Niagara Falls/Niagara Falls"," 53","Niagara Falls",87,53,111,11,0,18,1,7,288,591
35067,"Niagara Falls/Niagara Falls"," 54","Niagara Falls",122,11,69,6,0,19,2,1,230,461
35067,"Niagara Falls/Niagara Falls"," 55","Niagara Falls",106,11,76,4,0,25,0,0,222,475
35067,"Niagara Falls/Niagara Falls"," 56","Niagara Falls",54,23,26,8,0,15,2,1,129,294
35067,"Niagara Falls/Niagara Falls"," 57","Niagara Falls",94,29,78,10,1,5,4,0,221,577
35067,"Niagara Falls/Niagara Falls"," 58","Niagara Falls",78,63,114,12,2,26,6,4,305,571
35067,"Niagara Falls/Niagara Falls"," 59","Niagara Falls",97,63,101,15,1,23,7,3,310,638
35067,"Niagara Falls/Niagara Falls"," 60","Niagara Falls",67,51,115,12,1,24,0,3,273,560
35067,"Niagara Falls/Niagara Falls"," 61","Niagara Falls",41,47,68,17,3,14,1,1,192,605
35067,"Niagara Falls/Niagara Falls"," 62","Niagara Falls",66,27,78,9,1,13,2,2,198,449
35067,"Niagara Falls/Niagara Falls"," 63","Niagara Falls",73,42,69,13,0,16,2,0,215,508
35067,"Niagara Falls/Niagara Falls"," 64","Niagara Falls",44,47,67,13,1,11,3,0,186,518
35067,"Niagara Falls/Niagara Falls"," 65","Niagara Falls",55,61,79,22,2,13,3,2,237,536
35067,"Niagara Falls/Niagara Falls"," 66","Niagara Falls",106,39,132,9,0,29,6,2,323,558
35067,"Niagara Falls/Niagara Falls"," 67","Niagara Falls",86,47,83,9,0,23,4,1,253,496
35067,"Niagara Falls/Niagara Falls"," 68","Niagara Falls",62,65,72,11,0,19,1,0,230,553
35067,"Niagara Falls/Niagara Falls"," 69","Niagara Falls",84,67,88,4,3,20,5,1,272,484
35067,"Niagara Falls/Niagara Falls"," 70","Niagara Falls",37,52,51,6,3,10,2,2,163,477
35067,"Niagara Falls/Niagara Falls"," 71","Niagara Falls",68,63,56,17,4,18,4,4,234,571
35067,"Niagara Falls/Niagara Falls"," 72","Niagara Falls",52,54,53,10,1,21,5,1,197,510
35067,"Niagara Falls/Niagara Falls"," 73","Niagara Falls",55,59,74,10,3,19,7,1,228,651
35067,"Niagara Falls/Niagara Falls"," 74","Niagara Falls",73,56,53,12,3,39,2,0,238,500
35067,"Niagara Falls/Niagara Falls"," 75","Niagara Falls",95,55,76,16,1,38,3,1,285,655
35067,"Niagara Falls/Niagara Falls"," 76","Niagara Falls",74,78,80,23,3,32,9,2,301,648
35067,"Niagara Falls/Niagara Falls"," 77","Niagara Falls",62,43,47,7,1,18,5,3,186,545
35067,"Niagara Falls/Niagara Falls"," 78","Niagara Falls",65,42,72,13,2,23,1,11,229,564
35067,"Niagara Falls/Niagara Falls"," 79","Niagara Falls",108,47,116,11,2,29,3,6,322,660
35067,"Niagara Falls/Niagara Falls"," 80","Niagara Falls",81,58,70,5,0,26,3,3,246,598
35067,"Niagara Falls/Niagara Falls"," 81","Niagara Falls",70,46,87,2,3,25,4,3,240,584
35067,"Niagara Falls/Niagara Falls"," 82","Niagara Falls",94,45,91,9,1,24,7,3,274,588
35067,"Niagara Falls/Niagara Falls"," 83","Niagara Falls",66,54,85,5,0,20,4,0,234,574
35067,"Niagara Falls/Niagara Falls"," 84","Niagara Falls",55,79,80,14,2,32,1,4,267,602
35067,"Niagara Falls/Niagara Falls"," 85","Niagara Falls",73,50,100,20,0,31,3,5,282,565
35067,"Niagara Falls/Niagara Falls"," 86","Niagara Falls",94,66,82,18,1,23,3,4,291,717
35067,"Niagara Falls/Niagara Falls"," 87","Niagara Falls",58,29,75,10,1,21,6,2,202,432
35067,"Niagara Falls/Niagara Falls"," 88","Niagara Falls",33,27,44,5,3,13,5,1,131,461
35067,"Niagara Falls/Niagara Falls"," 89","Niagara Falls",30,43,56,6,0,22,3,2,162,505
35067,"Niagara Falls/Niagara Falls"," 90","Niagara Falls",51,46,67,3,2,26,2,3,200,483
35067,"Niagara Falls/Niagara Falls"," 91","Niagara Falls",75,53,66,8,0,17,5,4,228,558
35067,"Niagara Falls/Niagara Falls"," 92","Niagara Falls",84,79,82,8,4,21,7,1,286,606
35067,"Niagara Falls/Niagara Falls"," 93","Niagara Falls",83,39,64,7,0,16,2,1,212,517
35067,"Niagara Falls/Niagara Falls"," 94","Niagara Falls",104,68,48,10,1,23,0,0,254,570
35067,"Niagara Falls/Niagara Falls"," 95","Niagara Falls",61,56,72,20,2,23,6,4,244,572
35067,"Niagara Falls/Niagara Falls"," 96","Niagara Falls",73,61,74,9,3,33,1,2,256,570
35067,"Niagara Falls/Niagara Falls"," 97","Niagara Falls",76,60,67,16,1,29,4,3,256,622
35067,"Niagara Falls/Niagara Falls"," 98","Niagara Falls",68,50,69,9,2,23,3,2,226,561
35067,"Niagara Falls/Niagara Falls"," 99","Niagara Falls",66,51,75,15,2,27,8,6,250,621
35067,"Niagara Falls/Niagara Falls"," 100","Niagara Falls",66,37,64,16,1,26,6,2,218,534
35067,"Niagara Falls/Niagara Falls"," 101","Niagara Falls",99,65,85,11,2,42,6,0,310,607
35067,"Niagara Falls/Niagara Falls"," 102","Niagara Falls",73,83,80,11,0,39,9,0,295,572
35067,"Niagara Falls/Niagara Falls"," 103","Niagara Falls",93,72,74,22,3,22,1,2,289,608
35067,"Niagara Falls/Niagara Falls"," 104","Niagara Falls",86,37,111,8,0,23,4,2,271,575
35067,"Niagara Falls/Niagara Falls"," 105","Niagara Falls",82,43,71,7,0,31,2,0,236,563
35067,"Niagara Falls/Niagara Falls"," 106","Niagara Falls",62,53,73,8,3,18,3,0,220,573
35067,"Niagara Falls/Niagara Falls"," 107","Niagara Falls",86,56,98,10,0,19,3,0,272,634
35067,"Niagara Falls/Niagara Falls"," 108","Niagara Falls",123,35,97,10,1,14,1,1,282,583
35067,"Niagara Falls/Niagara Falls"," 109","Niagara Falls",70,65,82,12,1,30,2,4,266,602
35067,"Niagara Falls/Niagara Falls"," 110","Niagara Falls",73,24,57,1,2,4,2,5,168,426
35067,"Niagara Falls/Niagara Falls"," 111","Niagara Falls",101,51,87,4,1,40,2,4,290,558
35067,"Niagara Falls/Niagara Falls"," 112","Niagara Falls",118,49,118,9,0,10,0,5,309,681
35067,"Niagara Falls/Niagara Falls"," 113","Niagara Falls",120,29,95,8,0,18,0,5,275,577
35067,"Niagara Falls/Niagara Falls"," 114","Niagara Falls",105,73,87,17,0,22,7,8,319,684
35067,"Niagara Falls/Niagara Falls"," 115","Niagara Falls",65,67,70,18,3,42,5,3,273,601
35067,"Niagara Falls/Niagara Falls"," 116","Niagara Falls",55,44,54,8,0,21,11,2,195,491
35067,"Niagara Falls/Niagara Falls"," 117","Niagara Falls",56,40,94,15,1,22,5,12,245,552
35067,"Niagara Falls/Niagara Falls"," 118","Niagara Falls",52,54,54,19,1,35,1,3,219,502
35067,"Niagara Falls/Niagara Falls"," 119","Niagara Falls",132,43,97,8,0,13,5,6,304,563
35067,"Niagara Falls/Niagara Falls"," 120","Niagara Falls",67,60,85,10,0,15,4,1,242,597
35067,"Niagara Falls/Niagara Falls"," 121","Niagara Falls",82,42,80,10,2,38,4,1,259,543
35067,"Niagara Falls/Niagara Falls"," 122","Niagara Falls",49,32,55,3,0,10,1,0,150,342
35067,"Niagara Falls/Niagara Falls"," 123","Niagara Falls",63,67,63,10,0,41,5,3,252,584
35067,"Niagara Falls/Niagara Falls"," 124","Niagara Falls",32,66,68,9,0,13,0,3,191,471
35067,"Niagara Falls/Niagara Falls"," 125","Niagara Falls",46,59,72,10,0,22,5,1,215,517
35067,"Niagara Falls/Niagara Falls"," 126","Niagara Falls",73,42,56,16,3,21,3,2,216,523
35067,"Niagara Falls/Niagara Falls"," 127","Niagara Falls",82,56,67,12,4,19,14,3,257,703
35067,"Niagara Falls/Niagara Falls"," 128","Niagara Falls",88,52,71,7,1,23,6,1,249,561
35067,"Niagara Falls/Niagara Falls"," 129","Niagara Falls",70,57,87,10,4,25,0,0,253,516
35067,"Niagara Falls/Niagara Falls"," 130","Niagara Falls",46,67,62,15,0,24,2,0,216,487
35067,"Niagara Falls/Niagara Falls"," 131","Niagara Falls",31,45,43,6,0,19,2,5,151,444
35067,"Niagara Falls/Niagara Falls"," 132","Niagara Falls",55,68,51,7,3,28,2,3,217,564
35067,"Niagara Falls/Niagara Falls"," 133","Niagara Falls",61,78,76,4,1,29,3,9,261,632
35067,"Niagara Falls/Niagara Falls"," 134","Niagara Falls",74,53,76,8,2,24,3,3,243,596
35067,"Niagara Falls/Niagara Falls"," 135","Niagara Falls",57,42,43,7,0,29,4,1,183,410
35067,"Niagara Falls/Niagara Falls"," 136","Niagara Falls",64,62,80,13,0,22,2,1,244,510
35067,"Niagara Falls/Niagara Falls"," 137","Niagara Falls",54,31,63,5,0,24,4,7,188,487
35067,"Niagara Falls/Niagara Falls"," 138","Niagara Falls",Merged with No./Fusionné avec le n°139,,,,,,,,,244
35067,"Niagara Falls/Niagara Falls"," 139","Niagara Falls",62,54,66,7,2,18,3,3,215,341
35067,"Niagara Falls/Niagara Falls"," 140","Niagara Falls",78,50,93,7,0,18,3,1,250,579
35067,"Niagara Falls/Niagara Falls"," 141","Niagara Falls",86,89,85,10,2,37,4,2,315,613
35067,"Niagara Falls/Niagara Falls"," 142","Niagara Falls",106,71,96,13,3,41,3,2,335,655
35067,"Niagara Falls/Niagara Falls"," 143","Niagara Falls",72,42,43,17,0,24,2,3,203,402
35067,"Niagara Falls/Niagara Falls"," 144","Niagara Falls",79,49,55,15,2,28,2,4,234,467
35067,"Niagara Falls/Niagara Falls"," 145","Niagara Falls",79,53,75,12,0,28,4,0,251,579
35067,"Niagara Falls/Niagara Falls"," 146","Niagara Falls",59,74,57,6,1,44,6,2,249,546
35067,"Niagara Falls/Niagara Falls"," 147","Niagara Falls",85,52,97,18,2,55,2,1,312,572
35067,"Niagara Falls/Niagara Falls"," 148","Niagara Falls",109,34,89,4,1,22,2,4,265,612
35067,"Niagara Falls/Niagara Falls"," 149","Niagara Falls",76,23,76,9,0,22,1,1,208,470
35067,"Niagara Falls/Niagara Falls"," 150","Niagara Falls",59,32,70,5,0,8,1,1,176,445
35067,"Niagara Falls/Niagara Falls"," 151","Niagara Falls",44,20,60,4,0,9,2,2,141,412
35067,"Niagara Falls/Niagara Falls"," 152","Niagara Falls",82,40,99,7,0,10,4,4,246,612
35067,"Niagara Falls/Niagara Falls"," 153","Niagara Falls",97,23,54,15,1,24,3,2,219,430
35067,"Niagara Falls/Niagara Falls"," 154A","Niagara Falls",59,35,74,3,0,15,3,3,192,462
35067,"Niagara Falls/Niagara Falls"," 154B","Niagara Falls",94,24,71,7,1,17,1,0,215,452
35067,"Niagara Falls/Niagara Falls"," 155","Niagara Falls",137,29,48,23,2,38,3,4,284,559
35067,"Niagara Falls/Niagara Falls"," 156","Niagara Falls",101,47,55,12,0,21,2,2,240,389
35067,"Niagara Falls/Niagara Falls"," 157","Niagara Falls",111,35,48,11,0,18,0,1,224,427
35067,"Niagara Falls/Niagara Falls"," 158","Niagara Falls",72,36,53,14,2,27,4,4,212,349
35067,"Niagara Falls/Niagara Falls"," 159","Fort Erie",87,60,58,8,2,48,7,1,271,457
35067,"Niagara Falls/Niagara Falls"," 160","Fort Erie",90,26,53,11,1,22,7,1,211,384
35067,"Niagara Falls/Niagara Falls"," 161","Fort Erie",119,49,85,12,4,17,4,2,292,667
35067,"Niagara Falls/Niagara Falls"," 162","Fort Erie",63,89,67,9,4,9,4,0,245,574
35067,"Niagara Falls/Niagara Falls"," 163","Fort Erie",64,60,43,11,0,21,0,0,199,533
35067,"Niagara Falls/Niagara Falls"," 164","Fort Erie",69,26,35,2,0,3,2,2,139,402
35067,"Niagara Falls/Niagara Falls"," 165","Fort Erie",93,77,64,19,3,5,11,3,275,753
35067,"Niagara Falls/Niagara Falls"," 166","Fort Erie",75,72,60,12,1,17,1,5,243,650
35067,"Niagara Falls/Niagara Falls"," 167","Fort Erie",100,62,33,9,1,15,3,0,223,552
35067,"Niagara Falls/Niagara Falls"," 168","Fort Erie",77,62,54,15,0,9,3,2,222,620
35067,"Niagara Falls/Niagara Falls"," 169","Fort Erie",85,41,44,13,2,18,5,1,209,386
35067,"Niagara Falls/Niagara Falls"," 170","Fort Erie",70,47,33,4,2,12,3,3,174,394
35067,"Niagara Falls/Niagara Falls"," 171","Fort Erie",161,83,69,8,2,23,2,2,350,638
35067,"Niagara Falls/Niagara Falls"," 172","Fort Erie",138,51,39,11,1,8,5,2,255,515
35067,"Niagara Falls/Niagara Falls"," 173","Fort Erie",71,45,56,19,1,17,1,1,211,409
35067,"Niagara Falls/Niagara Falls"," 174","Fort Erie",83,64,87,9,2,15,7,5,272,608
35067,"Niagara Falls/Niagara Falls"," 175","Fort Erie",84,62,48,8,2,8,7,4,223,561
35067,"Niagara Falls/Niagara Falls"," 176","Fort Erie",81,40,57,8,0,5,0,1,192,436
35067,"Niagara Falls/Niagara Falls"," 177","Fort Erie",89,51,79,11,1,11,7,2,251,579
35067,"Niagara Falls/Niagara Falls"," 178","Fort Erie",121,47,55,16,1,13,6,4,263,580
35067,"Niagara Falls/Niagara Falls"," 179","Fort Erie",101,58,68,15,1,6,5,2,256,554
35067,"Niagara Falls/Niagara Falls"," 180","Fort Erie",92,57,62,12,1,15,8,0,247,560
35067,"Niagara Falls/Niagara Falls"," 181","Fort Erie",129,40,56,13,4,12,4,0,258,604
35067,"Niagara Falls/Niagara Falls"," 182","Fort Erie",98,70,66,29,2,11,2,1,279,620
35067,"Niagara Falls/Niagara Falls"," 183","Fort Erie",107,79,91,14,0,9,8,4,312,648
35067,"Niagara Falls/Niagara Falls"," 184","Fort Erie",168,62,76,20,2,15,8,3,354,743
35067,"Niagara Falls/Niagara Falls"," 185","Fort Erie",82,44,72,3,1,6,3,2,213,442
35067,"Niagara Falls/Niagara Falls"," 186","Fort Erie",122,66,67,4,2,6,6,3,276,569
35067,"Niagara Falls/Niagara Falls"," 187","Fort Erie",101,52,82,17,5,13,3,0,273,677
35067,"Niagara Falls/Niagara Falls"," 188","Fort Erie",76,67,57,11,0,8,0,1,220,475
35067,"Niagara Falls/Niagara Falls"," 189","Fort Erie",96,58,68,7,1,5,2,1,238,499
35067,"Niagara Falls/Niagara Falls"," 190","Fort Erie",102,41,64,14,1,15,4,0,241,579
35067,"Niagara Falls/Niagara Falls"," 191","Fort Erie",89,55,71,10,3,15,2,1,246,636
35067,"Niagara Falls/Niagara Falls"," 192","Fort Erie",79,83,70,12,3,7,3,1,258,616
35067,"Niagara Falls/Niagara Falls"," 193","Fort Erie",51,44,75,18,0,10,11,2,211,543
35067,"Niagara Falls/Niagara Falls"," 194","Fort Erie",100,75,81,17,0,13,3,3,292,662
35067,"Niagara Falls/Niagara Falls"," 195","Fort Erie",90,59,62,20,2,20,4,1,258,567
35067,"Niagara Falls/Niagara Falls"," 196","Fort Erie",110,75,79,27,2,11,4,1,309,663
35067,"Niagara Falls/Niagara Falls"," 197","Fort Erie",98,55,94,21,0,14,5,1,288,638
35067,"Niagara Falls/Niagara Falls"," 198","Fort Erie",85,44,60,14,1,11,4,3,222,550
35067,"Niagara Falls/Niagara Falls"," 199","Fort Erie",98,44,89,23,1,13,6,2,276,636
35067,"Niagara Falls/Niagara Falls"," 200","Fort Erie",143,38,120,17,0,6,2,2,328,618
35067,"Niagara Falls/Niagara Falls"," 201","Fort Erie",74,71,79,17,1,16,6,2,266,632
35067,"Niagara Falls/Niagara Falls"," 202","Fort Erie",110,39,69,22,3,12,5,0,260,555
35067,"Niagara Falls/Niagara Falls"," 400","Niagara Falls",14,20,36,7,1,3,3,1,85,195
35067,"Niagara Falls/Niagara Falls"," 401","Fort Erie",158,61,127,22,3,11,4,5,391,645
35067,"Niagara Falls/Niagara Falls"," 402","Fort Erie",34,19,23,3,1,2,0,0,82,138
35067,"Niagara Falls/Niagara Falls"," 500","Mobile poll/Bureau itinérant",14,9,17,5,0,2,1,4,52,142
35067,"Niagara Falls/Niagara Falls"," 501","Mobile poll/Bureau itinérant",52,7,20,3,2,4,2,3,93,73
35067,"Niagara Falls/Niagara Falls"," 502","Mobile poll/Bureau itinérant",36,8,25,4,0,9,1,6,89,166
35067,"Niagara Falls/Niagara Falls"," 503","Mobile poll/Bureau itinérant",36,8,43,6,1,10,0,5,109,210
35067,"Niagara Falls/Niagara Falls"," 504","Mobile poll/Bureau itinérant",20,9,25,3,0,11,0,1,69,130
35067,"Niagara Falls/Niagara Falls"," 505","Mobile poll/Bureau itinérant",21,12,33,2,0,7,0,2,77,132
35067,"Niagara Falls/Niagara Falls"," 506","Mobile poll/Bureau itinérant",21,10,33,3,1,15,1,2,86,128
35067,"Niagara Falls/Niagara Falls"," 507","Mobile poll/Bureau itinérant",17,5,26,1,2,8,0,5,64,155
35067,"Niagara Falls/Niagara Falls"," 508","Mobile poll/Bureau itinérant",19,9,17,0,0,3,1,0,49,220
35067,"Niagara Falls/Niagara Falls"," 509","Mobile poll/Bureau itinérant",20,2,32,3,2,0,1,4,64,126
35067,"Niagara Falls/Niagara Falls"," 510","Mobile poll/Bureau itinérant",12,7,16,1,0,1,3,1,41,120
35067,"Niagara Falls/Niagara Falls"," 600","Niagara-on-the-Lake",684,99,827,109,3,12,12,8,1754,
35067,"Niagara Falls/Niagara Falls"," 601","Niagara-on-the-Lake",429,70,376,50,7,17,7,10,966,
35067,"Niagara Falls/Niagara Falls"," 602","Niagara-on-the-Lake",426,76,367,56,4,15,10,3,957,
35067,"Niagara Falls/Niagara Falls"," 603","Niagara Falls",442,136,433,35,1,90,10,4,1151,
35067,"Niagara Falls/Niagara Falls"," 604","Niagara Falls",348,111,330,28,2,79,9,11,918,
35067,"Niagara Falls/Niagara Falls"," 605","Niagara Falls",199,79,167,27,5,68,8,3,556,
35067,"Niagara Falls/Niagara Falls"," 606","Niagara Falls",165,89,195,43,4,57,20,4,577,
35067,"Niagara Falls/Niagara Falls"," 607","Niagara Falls",126,81,121,24,1,39,5,1,398,
35067,"Niagara Falls/Niagara Falls"," 608","Niagara Falls",184,104,190,26,2,78,10,4,598,
35067,"Niagara Falls/Niagara Falls"," 609","Niagara Falls",280,73,259,22,2,90,9,4,739,
35067,"Niagara Falls/Niagara Falls"," 610","Niagara Falls",375,185,306,42,1,101,8,6,1024,
35067,"Niagara Falls/Niagara Falls"," 611","Niagara Falls",287,137,251,25,2,46,10,12,770,
35067,"Niagara Falls/Niagara Falls"," 612","Niagara Falls",227,101,251,27,4,47,6,4,667,
35067,"Niagara Falls/Niagara Falls"," 613","Niagara Falls",291,142,289,29,3,52,16,11,833,
35067,"Niagara Falls/Niagara Falls"," 614","Niagara Falls",261,96,225,29,3,42,6,3,665,
35067,"Niagara Falls/Niagara Falls"," 615","Niagara Falls",337,132,248,38,6,98,9,3,871,
35067,"Niagara Falls/Niagara Falls"," 616","Niagara Falls",313,67,150,38,7,22,6,3,606,
35067,"Niagara Falls/Niagara Falls"," 617","Fort Erie",234,114,148,28,3,16,13,6,562,
35067,"Niagara Falls/Niagara Falls"," 618","Fort Erie",231,102,161,23,2,14,11,6,550,
35067,"Niagara Falls/Niagara Falls"," 619","Fort Erie",394,126,214,47,3,25,11,4,824,
35067,"Niagara Falls/Niagara Falls"," 620","Fort Erie",309,118,217,58,3,22,11,1,739,
35067,"Niagara Falls/Niagara Falls"," 621","Fort Erie",270,115,253,45,4,18,10,2,717,
35067,"Niagara Falls/Niagara Falls",,Group 1/Groupe 1, 36,31,94,11,0,3,3,8,186,227
35067,"Niagara Falls/Niagara Falls",,Group 2/Groupe 2, 450,270,538,97,5,81,25,44,1510,
