Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Del Arnold,Tom Kmiec,Kyle Scott,David Brian Smith,Evelyn Tanaka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Calgary Shepard/Calgary Shepard"," 65","Calgary",10,139,3,11,1,0,164,454
48011,"Calgary Shepard/Calgary Shepard"," 66","Calgary",28,129,2,29,10,1,199,457
48011,"Calgary Shepard/Calgary Shepard"," 67","Calgary",19,118,12,14,4,1,168,402
48011,"Calgary Shepard/Calgary Shepard"," 68","Calgary",7,108,7,14,7,1,144,418
48011,"Calgary Shepard/Calgary Shepard"," 69","Calgary",17,110,2,17,5,0,151,398
48011,"Calgary Shepard/Calgary Shepard"," 70","Calgary",26,131,2,10,3,0,172,430
48011,"Calgary Shepard/Calgary Shepard"," 71","Calgary",25,124,5,10,7,1,172,494
48011,"Calgary Shepard/Calgary Shepard"," 72","Calgary",23,153,0,13,1,0,190,420
48011,"Calgary Shepard/Calgary Shepard"," 73","Calgary",18,153,11,11,3,2,198,464
48011,"Calgary Shepard/Calgary Shepard"," 74","Calgary",12,106,1,17,6,1,143,412
48011,"Calgary Shepard/Calgary Shepard"," 75A","Calgary",8,88,3,14,2,0,115,382
48011,"Calgary Shepard/Calgary Shepard"," 75B","Calgary",18,75,2,10,4,0,109,333
48011,"Calgary Shepard/Calgary Shepard"," 76","Calgary",Merged with No./Fusionné avec le n°79,,,,,,,193
48011,"Calgary Shepard/Calgary Shepard"," 77","Calgary",28,109,3,17,2,0,159,430
48011,"Calgary Shepard/Calgary Shepard"," 78","Calgary",28,120,1,25,5,0,179,444
48011,"Calgary Shepard/Calgary Shepard"," 79","Calgary",12,89,4,8,1,0,114,214
48011,"Calgary Shepard/Calgary Shepard"," 80","Calgary",14,124,3,11,3,0,155,376
48011,"Calgary Shepard/Calgary Shepard"," 81","Calgary",17,153,3,8,8,0,189,400
48011,"Calgary Shepard/Calgary Shepard"," 82","Calgary",15,115,9,18,7,0,164,368
48011,"Calgary Shepard/Calgary Shepard"," 83","Calgary",21,193,4,14,6,0,238,487
48011,"Calgary Shepard/Calgary Shepard"," 84","Calgary",19,149,2,12,5,1,188,363
48011,"Calgary Shepard/Calgary Shepard"," 85","Calgary",31,137,9,10,1,1,189,421
48011,"Calgary Shepard/Calgary Shepard"," 86","Calgary",15,130,3,28,4,0,180,424
48011,"Calgary Shepard/Calgary Shepard"," 87","Calgary",10,124,1,9,1,0,145,392
48011,"Calgary Shepard/Calgary Shepard"," 88","Calgary",24,137,1,23,12,0,197,424
48011,"Calgary Shepard/Calgary Shepard"," 89","Calgary",19,142,2,16,8,3,190,442
48011,"Calgary Shepard/Calgary Shepard"," 90","Calgary",31,137,4,24,11,2,209,407
48011,"Calgary Shepard/Calgary Shepard"," 91","Calgary",20,125,3,16,3,1,168,339
48011,"Calgary Shepard/Calgary Shepard"," 92","Calgary",24,144,14,27,6,1,216,403
48011,"Calgary Shepard/Calgary Shepard"," 93","Calgary",35,190,7,31,10,2,275,551
48011,"Calgary Shepard/Calgary Shepard"," 94","Calgary",24,142,3,21,5,0,195,402
48011,"Calgary Shepard/Calgary Shepard"," 95","Calgary",43,116,3,24,3,0,189,486
48011,"Calgary Shepard/Calgary Shepard"," 96","Calgary",20,155,2,24,8,1,210,439
48011,"Calgary Shepard/Calgary Shepard"," 97","Calgary",26,158,1,17,10,1,213,449
48011,"Calgary Shepard/Calgary Shepard"," 98","Calgary",22,134,4,20,9,0,189,439
48011,"Calgary Shepard/Calgary Shepard"," 99","Calgary",19,152,4,20,5,3,203,420
48011,"Calgary Shepard/Calgary Shepard"," 100","Calgary",23,142,2,22,3,1,193,407
48011,"Calgary Shepard/Calgary Shepard"," 101","Calgary",16,87,5,10,2,1,121,379
48011,"Calgary Shepard/Calgary Shepard"," 102","Calgary",23,121,2,29,3,0,178,465
48011,"Calgary Shepard/Calgary Shepard"," 103","Calgary",17,101,7,14,6,0,145,380
48011,"Calgary Shepard/Calgary Shepard"," 104","Calgary",24,167,4,19,9,0,223,480
48011,"Calgary Shepard/Calgary Shepard"," 105","Calgary",19,93,4,14,3,2,135,359
48011,"Calgary Shepard/Calgary Shepard"," 106","Calgary",20,138,0,12,8,1,179,442
48011,"Calgary Shepard/Calgary Shepard"," 107","Calgary",19,89,5,18,5,0,136,352
48011,"Calgary Shepard/Calgary Shepard"," 108","Calgary",56,170,5,27,5,2,265,627
48011,"Calgary Shepard/Calgary Shepard"," 109","Calgary",34,221,3,23,10,3,294,705
48011,"Calgary Shepard/Calgary Shepard"," 110","Calgary",27,154,0,16,3,4,204,503
48011,"Calgary Shepard/Calgary Shepard"," 111","Calgary",22,130,6,23,2,0,183,466
48011,"Calgary Shepard/Calgary Shepard"," 112","Calgary",44,131,7,14,2,1,199,583
48011,"Calgary Shepard/Calgary Shepard"," 113","Calgary",25,177,2,9,3,3,219,510
48011,"Calgary Shepard/Calgary Shepard"," 114","Calgary",24,117,1,16,6,1,165,432
48011,"Calgary Shepard/Calgary Shepard"," 115","Calgary",26,130,4,17,6,3,186,412
48011,"Calgary Shepard/Calgary Shepard"," 116","Calgary",40,162,9,15,3,2,231,536
48011,"Calgary Shepard/Calgary Shepard"," 117","Calgary",29,135,5,25,7,1,202,456
48011,"Calgary Shepard/Calgary Shepard"," 118","Calgary",14,188,6,6,3,0,217,501
48011,"Calgary Shepard/Calgary Shepard"," 119","Calgary",20,141,4,8,8,4,185,358
48011,"Calgary Shepard/Calgary Shepard"," 120","Calgary",13,120,2,11,4,2,152,344
48011,"Calgary Shepard/Calgary Shepard"," 121","Calgary",13,135,5,20,7,0,180,336
48011,"Calgary Shepard/Calgary Shepard"," 122","Calgary",31,217,4,16,11,1,280,529
48011,"Calgary Shepard/Calgary Shepard"," 123","Calgary",27,134,6,9,7,2,185,400
48011,"Calgary Shepard/Calgary Shepard"," 124","Calgary",24,121,1,8,5,2,161,344
48011,"Calgary Shepard/Calgary Shepard"," 125","Calgary",23,181,2,22,3,2,233,459
48011,"Calgary Shepard/Calgary Shepard"," 126","Calgary",19,158,8,20,3,1,209,447
48011,"Calgary Shepard/Calgary Shepard"," 127","Calgary",32,173,2,20,7,0,234,502
48011,"Calgary Shepard/Calgary Shepard"," 128","Calgary",37,147,3,16,4,0,207,465
48011,"Calgary Shepard/Calgary Shepard"," 129","Calgary",22,119,5,21,7,0,174,445
48011,"Calgary Shepard/Calgary Shepard"," 130","Calgary",23,147,6,18,3,2,199,474
48011,"Calgary Shepard/Calgary Shepard"," 131","Calgary",28,121,4,14,4,0,171,391
48011,"Calgary Shepard/Calgary Shepard"," 132","Calgary",33,127,4,18,10,1,193,429
48011,"Calgary Shepard/Calgary Shepard"," 133","Calgary",16,76,2,7,3,1,105,238
48011,"Calgary Shepard/Calgary Shepard"," 134","Calgary",31,138,5,21,4,2,201,443
48011,"Calgary Shepard/Calgary Shepard"," 135","Calgary",28,181,7,20,6,0,242,458
48011,"Calgary Shepard/Calgary Shepard"," 136","Calgary",17,179,2,18,2,0,218,451
48011,"Calgary Shepard/Calgary Shepard"," 137","Calgary",21,131,6,19,12,2,191,353
48011,"Calgary Shepard/Calgary Shepard"," 138","Calgary",17,134,5,14,4,1,175,387
48011,"Calgary Shepard/Calgary Shepard"," 139","Calgary",18,149,10,22,14,0,213,422
48011,"Calgary Shepard/Calgary Shepard"," 140","Calgary",20,134,10,26,14,1,205,352
48011,"Calgary Shepard/Calgary Shepard"," 141","Calgary",29,117,6,22,5,2,181,414
48011,"Calgary Shepard/Calgary Shepard"," 142","Calgary",12,135,1,28,15,0,191,432
48011,"Calgary Shepard/Calgary Shepard"," 143","Calgary",20,142,6,24,11,3,206,403
48011,"Calgary Shepard/Calgary Shepard"," 144","Calgary",20,118,1,14,11,0,164,400
48011,"Calgary Shepard/Calgary Shepard"," 145","Calgary",20,134,4,32,11,0,201,432
48011,"Calgary Shepard/Calgary Shepard"," 146","Calgary",37,132,4,23,4,0,200,454
48011,"Calgary Shepard/Calgary Shepard"," 147","Calgary",26,164,2,22,3,0,217,450
48011,"Calgary Shepard/Calgary Shepard"," 148","Calgary",24,172,4,35,7,0,242,435
48011,"Calgary Shepard/Calgary Shepard"," 149","Calgary",27,119,3,18,5,0,172,379
48011,"Calgary Shepard/Calgary Shepard"," 150","Calgary",17,117,7,11,9,5,166,349
48011,"Calgary Shepard/Calgary Shepard"," 151","Calgary",36,148,7,38,7,3,239,602
48011,"Calgary Shepard/Calgary Shepard"," 152","Calgary",17,124,4,21,2,0,168,408
48011,"Calgary Shepard/Calgary Shepard"," 153","Calgary",21,176,4,8,1,1,211,474
48011,"Calgary Shepard/Calgary Shepard"," 154","Calgary",28,124,3,17,7,2,181,421
48011,"Calgary Shepard/Calgary Shepard"," 155","Calgary",18,159,5,14,5,0,201,470
48011,"Calgary Shepard/Calgary Shepard"," 156","Calgary",15,151,1,24,6,2,199,429
48011,"Calgary Shepard/Calgary Shepard"," 157","Calgary",13,127,5,16,7,0,168,419
48011,"Calgary Shepard/Calgary Shepard"," 158","Calgary",16,121,11,13,4,0,165,414
48011,"Calgary Shepard/Calgary Shepard"," 159","Calgary",21,158,9,29,4,0,221,430
48011,"Calgary Shepard/Calgary Shepard"," 160","Calgary",30,148,8,14,7,1,208,429
48011,"Calgary Shepard/Calgary Shepard"," 161","Calgary",23,191,6,27,9,0,256,512
48011,"Calgary Shepard/Calgary Shepard"," 162","Calgary",24,163,6,19,1,0,213,472
48011,"Calgary Shepard/Calgary Shepard"," 163","Calgary",33,198,6,35,3,0,275,636
48011,"Calgary Shepard/Calgary Shepard"," 164","Calgary",28,166,6,19,4,1,224,472
48011,"Calgary Shepard/Calgary Shepard"," 165","Calgary",39,185,5,21,6,1,257,523
48011,"Calgary Shepard/Calgary Shepard"," 166A","Calgary",25,87,3,12,6,0,133,381
48011,"Calgary Shepard/Calgary Shepard"," 166B","Calgary",22,124,5,21,8,0,180,400
48011,"Calgary Shepard/Calgary Shepard"," 167","Calgary",33,152,7,8,4,0,204,421
48011,"Calgary Shepard/Calgary Shepard"," 168","Calgary",32,167,1,25,0,1,226,486
48011,"Calgary Shepard/Calgary Shepard"," 169","Calgary",31,182,6,28,16,2,265,630
48011,"Calgary Shepard/Calgary Shepard"," 170","Calgary",Merged with No./Fusionné avec le n°171,,,,,,,259
48011,"Calgary Shepard/Calgary Shepard"," 171","Calgary",34,195,8,22,8,0,267,294
48011,"Calgary Shepard/Calgary Shepard"," 172","Calgary",18,190,1,28,6,1,244,462
48011,"Calgary Shepard/Calgary Shepard"," 173","Calgary",22,119,2,21,6,0,170,447
48011,"Calgary Shepard/Calgary Shepard"," 174","Calgary",19,149,6,19,11,0,204,491
48011,"Calgary Shepard/Calgary Shepard"," 175","Calgary",20,107,2,10,4,0,143,355
48011,"Calgary Shepard/Calgary Shepard"," 176","Calgary",21,120,5,14,3,0,163,390
48011,"Calgary Shepard/Calgary Shepard"," 177","Calgary",11,90,2,8,2,2,115,338
48011,"Calgary Shepard/Calgary Shepard"," 178","Calgary",18,144,2,18,7,1,190,404
48011,"Calgary Shepard/Calgary Shepard"," 179","Calgary",20,149,1,18,8,0,196,419
48011,"Calgary Shepard/Calgary Shepard"," 180","Calgary",26,148,8,29,4,0,215,496
48011,"Calgary Shepard/Calgary Shepard"," 181","Calgary",17,140,6,7,4,1,175,411
48011,"Calgary Shepard/Calgary Shepard"," 182","Calgary",32,166,5,25,4,3,235,474
48011,"Calgary Shepard/Calgary Shepard"," 183","Calgary",39,221,2,33,10,5,310,618
48011,"Calgary Shepard/Calgary Shepard"," 184","Calgary",10,103,8,4,6,0,131,396
48011,"Calgary Shepard/Calgary Shepard"," 185","Calgary",29,149,6,16,1,0,201,501
48011,"Calgary Shepard/Calgary Shepard"," 186","Calgary",29,189,1,26,8,1,254,554
48011,"Calgary Shepard/Calgary Shepard"," 187","Calgary",17,169,5,12,2,1,206,433
48011,"Calgary Shepard/Calgary Shepard"," 188","Calgary",12,154,2,17,6,0,191,536
48011,"Calgary Shepard/Calgary Shepard"," 189","Calgary",24,205,5,27,8,1,270,573
48011,"Calgary Shepard/Calgary Shepard"," 190","Calgary",9,163,7,20,2,3,204,481
48011,"Calgary Shepard/Calgary Shepard"," 191","Calgary",23,124,1,29,5,0,182,480
48011,"Calgary Shepard/Calgary Shepard"," 192","Calgary",19,187,3,14,9,1,233,654
48011,"Calgary Shepard/Calgary Shepard"," 193","Calgary",21,184,2,23,6,4,240,604
48011,"Calgary Shepard/Calgary Shepard"," 194","Calgary",13,148,2,5,2,1,171,425
48011,"Calgary Shepard/Calgary Shepard"," 195","Calgary",22,164,7,21,7,1,222,566
48011,"Calgary Shepard/Calgary Shepard"," 196","Calgary",20,106,7,21,2,0,156,459
48011,"Calgary Shepard/Calgary Shepard"," 197","Calgary",21,211,1,14,3,1,251,667
48011,"Calgary Shepard/Calgary Shepard"," 198","Calgary",29,148,2,11,3,0,193,393
48011,"Calgary Shepard/Calgary Shepard"," 199","Calgary",21,112,3,18,10,1,165,316
48011,"Calgary Shepard/Calgary Shepard"," 200","Calgary",17,128,3,11,2,0,161,418
48011,"Calgary Shepard/Calgary Shepard"," 201","Calgary",37,197,1,12,2,0,249,526
48011,"Calgary Shepard/Calgary Shepard"," 202","Calgary",29,170,3,10,6,0,218,428
48011,"Calgary Shepard/Calgary Shepard"," 203","Calgary",17,140,0,3,6,1,167,396
48011,"Calgary Shepard/Calgary Shepard"," 204","Calgary",25,86,0,16,2,1,130,279
48011,"Calgary Shepard/Calgary Shepard"," 205","Calgary",18,160,4,11,5,0,198,421
48011,"Calgary Shepard/Calgary Shepard"," 206","Calgary",38,250,5,14,1,2,310,619
48011,"Calgary Shepard/Calgary Shepard"," 207","Calgary",44,276,6,21,3,2,352,713
48011,"Calgary Shepard/Calgary Shepard"," 208","Calgary",54,286,8,29,9,2,388,726
48011,"Calgary Shepard/Calgary Shepard"," 209","Calgary",51,208,9,30,2,2,302,676
48011,"Calgary Shepard/Calgary Shepard"," 210","Calgary",26,159,3,11,8,0,207,562
48011,"Calgary Shepard/Calgary Shepard"," 211","Calgary",19,193,1,17,5,0,235,566
48011,"Calgary Shepard/Calgary Shepard"," 212","Calgary",31,205,1,25,8,4,274,572
48011,"Calgary Shepard/Calgary Shepard"," 213A","Calgary",21,154,2,14,10,2,203,434
48011,"Calgary Shepard/Calgary Shepard"," 213B","Calgary",32,124,5,14,10,1,186,415
48011,"Calgary Shepard/Calgary Shepard"," 214A","Calgary",29,150,2,18,1,2,202,494
48011,"Calgary Shepard/Calgary Shepard"," 214B","Calgary",34,142,3,11,5,1,196,484
48011,"Calgary Shepard/Calgary Shepard"," 214C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,77
48011,"Calgary Shepard/Calgary Shepard"," 215","Calgary",36,134,2,16,6,0,194,432
48011,"Calgary Shepard/Calgary Shepard"," 216","Calgary",50,218,5,18,8,1,300,716
48011,"Calgary Shepard/Calgary Shepard"," 217","Calgary",28,157,8,11,5,1,210,605
48011,"Calgary Shepard/Calgary Shepard"," 218","Calgary",18,167,4,18,6,1,214,468
48011,"Calgary Shepard/Calgary Shepard"," 219","Calgary",25,135,4,20,6,1,191,446
48011,"Calgary Shepard/Calgary Shepard"," 220","Calgary",16,133,4,6,3,0,162,456
48011,"Calgary Shepard/Calgary Shepard"," 221","Calgary",21,158,3,7,2,1,192,557
48011,"Calgary Shepard/Calgary Shepard"," 222","Calgary",26,133,4,18,7,0,188,481
48011,"Calgary Shepard/Calgary Shepard"," 223","Calgary",15,135,0,17,5,0,172,394
48011,"Calgary Shepard/Calgary Shepard"," 224","Calgary",19,152,5,12,8,1,197,539
48011,"Calgary Shepard/Calgary Shepard"," 225","Calgary",40,154,4,21,7,1,227,552
48011,"Calgary Shepard/Calgary Shepard"," 226","Calgary",22,145,8,21,8,1,205,492
48011,"Calgary Shepard/Calgary Shepard"," 227","Calgary",28,180,2,15,4,3,232,669
48011,"Calgary Shepard/Calgary Shepard"," 228","Calgary",28,178,1,16,4,1,228,527
48011,"Calgary Shepard/Calgary Shepard"," 229","Calgary",27,166,4,18,7,0,222,529
48011,"Calgary Shepard/Calgary Shepard"," 230","Calgary",18,94,3,14,5,1,135,309
48011,"Calgary Shepard/Calgary Shepard"," 231","Calgary",32,167,3,12,5,0,219,540
48011,"Calgary Shepard/Calgary Shepard"," 232","Calgary",25,125,4,14,6,1,175,401
48011,"Calgary Shepard/Calgary Shepard"," 233","Calgary",35,146,5,9,3,0,198,492
48011,"Calgary Shepard/Calgary Shepard"," 234","Calgary",22,203,2,23,9,0,259,648
48011,"Calgary Shepard/Calgary Shepard"," 235","Calgary",34,129,9,35,4,5,216,577
48011,"Calgary Shepard/Calgary Shepard"," 236","Calgary",16,97,1,9,4,0,127,385
48011,"Calgary Shepard/Calgary Shepard"," 237A","Calgary",12,123,3,21,2,3,164,498
48011,"Calgary Shepard/Calgary Shepard"," 237B","Calgary",35,129,8,17,3,1,193,491
48011,"Calgary Shepard/Calgary Shepard"," 238","Calgary",27,135,3,12,4,1,182,387
48011,"Calgary Shepard/Calgary Shepard"," 500","Mobile poll/Bureau itinérant",27,142,7,18,8,3,205,353
48011,"Calgary Shepard/Calgary Shepard"," 501A","Mobile poll/Bureau itinérant",27,181,1,14,4,8,235,442
48011,"Calgary Shepard/Calgary Shepard"," 501B","Mobile poll/Bureau itinérant",17,36,5,4,4,0,66,59
48011,"Calgary Shepard/Calgary Shepard"," 502","Mobile poll/Bureau itinérant",15,78,6,8,2,2,111,164
48011,"Calgary Shepard/Calgary Shepard"," 600","Calgary",69,462,27,72,32,3,665,
48011,"Calgary Shepard/Calgary Shepard"," 601","Calgary",70,484,27,75,30,5,691,
48011,"Calgary Shepard/Calgary Shepard"," 602","Calgary",47,385,11,44,16,0,503,
48011,"Calgary Shepard/Calgary Shepard"," 603","Calgary",81,686,25,77,29,0,898,
48011,"Calgary Shepard/Calgary Shepard"," 604","Calgary",108,1043,32,98,46,8,1335,
48011,"Calgary Shepard/Calgary Shepard"," 605","Calgary",148,1118,28,88,33,0,1415,
48011,"Calgary Shepard/Calgary Shepard"," 606","Calgary",71,799,25,95,50,2,1042,
48011,"Calgary Shepard/Calgary Shepard"," 607","Calgary",124,1532,27,86,25,9,1803,
48011,"Calgary Shepard/Calgary Shepard"," 608","Calgary",102,1165,24,85,38,8,1422,
48011,"Calgary Shepard/Calgary Shepard"," 609","Calgary",149,1119,34,121,60,5,1488,
48011,"Calgary Shepard/Calgary Shepard"," 610","Calgary",160,1265,24,114,25,12,1600,
48011,"Calgary Shepard/Calgary Shepard"," 611","Calgary",130,996,8,110,36,5,1285,
48011,"Calgary Shepard/Calgary Shepard"," 612","Calgary",122,1039,33,110,34,5,1343,
48011,"Calgary Shepard/Calgary Shepard"," 613","Calgary",149,1095,15,114,47,2,1422,
48011,"Calgary Shepard/Calgary Shepard"," 614","Calgary",92,1045,24,65,34,2,1262,
48011,"Calgary Shepard/Calgary Shepard"," 615","Calgary",109,1127,16,68,15,6,1341,
48011,"Calgary Shepard/Calgary Shepard"," 616","Calgary",152,1313,23,113,25,4,1630,
48011,"Calgary Shepard/Calgary Shepard"," 617","Calgary",180,1338,31,89,41,12,1691,
48011,"Calgary Shepard/Calgary Shepard"," 618","Calgary",85,998,21,54,19,2,1179,
48011,"Calgary Shepard/Calgary Shepard"," 619","Calgary",120,1342,25,63,30,3,1583,
48011,"Calgary Shepard/Calgary Shepard"," 620","Calgary",176,1605,27,113,39,12,1972,
48011,"Calgary Shepard/Calgary Shepard",,Group 1/Groupe 1, 29,76,7,20,16,14,162,233
48011,"Calgary Shepard/Calgary Shepard",,Group 2/Groupe 2, 249,1796,60,239,94,61,2499,
