Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Betty Achneepineskum,Patty Hajdu,Bruce Hyer,Youssef Khanjari,Frank Pullia,Alexander Vodden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 101","Thunder Bay",35,106,15,3,60,1,0,220,426
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 102","Thunder Bay",39,90,14,3,62,0,2,210,456
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 103","Thunder Bay",37,86,11,4,65,0,0,203,416
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 104","Thunder Bay",39,93,15,0,35,0,1,183,413
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 105","Thunder Bay",50,88,13,1,41,0,1,194,418
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 106","Thunder Bay",49,85,20,3,27,0,1,185,447
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 107","Thunder Bay",64,90,15,3,52,1,2,227,492
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 108","Thunder Bay",68,79,16,5,43,0,0,211,429
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 109","Thunder Bay",54,46,17,6,34,0,1,158,398
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 110","Thunder Bay",49,127,24,3,42,1,0,246,461
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 111","Thunder Bay",62,72,19,2,23,1,4,183,386
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 112","Thunder Bay",33,69,9,2,37,0,0,150,350
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 113","Thunder Bay",34,76,15,4,29,0,1,159,366
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 114","Thunder Bay",58,90,26,0,28,0,2,204,423
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 115","Thunder Bay",35,55,9,5,41,0,2,147,353
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 116","Thunder Bay",46,63,20,4,22,0,1,156,382
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 117","Thunder Bay",85,68,19,1,27,1,0,201,459
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 118","Thunder Bay",70,73,22,3,44,0,4,216,369
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 119","Thunder Bay",57,101,18,4,34,0,0,214,391
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 120","Thunder Bay",64,71,3,4,37,0,4,183,398
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 121","Thunder Bay",43,68,12,4,49,0,3,179,361
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 122","Thunder Bay",37,66,8,5,37,1,2,156,355
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 123","Thunder Bay",39,94,14,2,33,0,0,182,369
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 124","Thunder Bay",59,87,15,1,45,1,1,209,423
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 125","Thunder Bay",49,69,21,9,33,2,3,186,407
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 126","Thunder Bay",50,73,12,1,45,2,0,183,384
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 127","Thunder Bay",44,71,8,3,37,0,0,163,353
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 128","Thunder Bay",49,153,16,1,44,1,2,266,466
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 129","Thunder Bay",30,132,11,2,40,0,1,216,405
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 130","Thunder Bay",38,89,16,2,46,0,1,192,391
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 131","Thunder Bay",56,80,14,2,86,1,0,239,479
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 132","Thunder Bay",37,81,18,2,76,0,3,217,438
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 133","Thunder Bay",27,70,20,1,85,0,1,204,430
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 134","Thunder Bay",36,79,14,8,52,0,1,190,417
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 135","Thunder Bay",35,114,12,3,72,0,0,236,400
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 136","Thunder Bay",19,100,10,0,48,0,2,179,396
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 137","Thunder Bay",32,86,12,1,68,1,0,200,476
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 138","Thunder Bay",25,104,11,1,47,0,5,193,428
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 139","Thunder Bay",51,73,5,1,58,0,1,189,454
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 140","Thunder Bay",72,27,16,4,26,1,0,146,473
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 141","Thunder Bay",43,81,11,3,47,0,2,187,463
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 142","Thunder Bay",29,141,9,3,60,1,2,245,469
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 143","Thunder Bay",31,95,12,1,80,0,1,220,433
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 144","Thunder Bay",55,39,13,1,20,0,1,129,285
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 145","Thunder Bay",67,91,20,1,19,1,1,200,375
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 146","Thunder Bay",52,92,22,4,39,0,0,209,382
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 147","Thunder Bay",39,42,15,3,18,0,0,117,384
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 148","Thunder Bay",42,52,15,3,41,0,1,154,410
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 149","Thunder Bay",71,59,14,9,31,0,3,187,445
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 150","Thunder Bay",53,74,17,3,33,1,0,181,412
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 151","Thunder Bay",68,77,21,2,26,0,0,194,427
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 152","Thunder Bay",51,58,12,2,30,2,0,155,343
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 153","Thunder Bay",91,72,21,2,33,2,0,221,466
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 154","Thunder Bay",57,45,12,8,19,0,0,141,471
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 155","Thunder Bay",65,72,21,6,35,1,1,201,444
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 156","Thunder Bay",83,49,18,3,25,0,1,179,467
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 157","Thunder Bay",48,68,13,6,56,2,0,193,461
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 158","Thunder Bay",20,105,12,2,115,0,1,255,561
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 159","Thunder Bay",27,99,16,4,74,0,6,226,468
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 160","Thunder Bay",39,81,12,4,30,1,1,168,420
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 161","Thunder Bay",38,55,18,2,32,1,2,148,348
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 162","Thunder Bay",52,65,14,4,28,0,2,165,394
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 400","Thunder Bay",12,44,7,0,31,1,0,95,134
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 401","Thunder Bay",12,91,8,4,23,2,10,150,251
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 402","Thunder Bay",8,78,4,0,38,0,1,129,187
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 403","Thunder Bay",15,36,6,3,11,0,0,71,88
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 404","Thunder Bay",18,71,8,3,42,0,0,142,184
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 405","Thunder Bay",36,19,12,0,17,2,0,86,115
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 500","Mobile poll/Bureau itinérant",6,27,1,5,5,0,2,46,81
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 501","Mobile poll/Bureau itinérant",4,26,2,0,8,1,2,43,52
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 502","Mobile poll/Bureau itinérant",2,5,4,0,8,0,3,22,31
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 503","Mobile poll/Bureau itinérant",3,10,3,0,2,0,2,20,38
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 504","Mobile poll/Bureau itinérant",4,60,4,1,28,1,7,105,143
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 505","Mobile poll/Bureau itinérant",5,46,4,0,23,0,11,89,220
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 506","Mobile poll/Bureau itinérant",13,45,7,4,25,1,7,102,205
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 507","Mobile poll/Bureau itinérant",7,34,6,1,15,1,2,66,93
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 508","Mobile poll/Bureau itinérant",21,77,7,2,23,0,8,138,219
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 509","Mobile poll/Bureau itinérant",16,53,10,2,17,1,2,101,178
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 510","Mobile poll/Bureau itinérant",13,54,2,0,41,2,5,117,164
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 600","Armstrong",35,28,7,7,7,0,1,85,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 601","Nipigon",42,69,10,5,57,1,1,185,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 602","Beardmore--Nakina",21,32,6,0,20,0,2,81,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 603","Geraldton",11,11,6,1,10,1,1,41,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 604","Geraldton",39,116,23,10,74,0,5,267,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 605","Longlac",28,82,15,1,102,1,1,230,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 606","Manitouwadge",41,123,21,12,104,1,2,304,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 607","Marathon",70,166,64,4,105,4,5,418,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 608","Terrace Bay",34,95,19,2,88,1,3,242,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 609","Schreiber",55,117,17,4,68,1,4,266,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 610","Red Rock",26,71,18,1,44,0,3,163,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 611","Thunder Bay",62,186,39,5,148,1,3,444,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 612","Thunder Bay",78,315,61,7,245,5,4,715,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 613","Thunder Bay",140,370,52,13,201,2,8,786,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 614","Thunder Bay",159,434,64,9,194,4,7,871,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 615","Thunder Bay",117,289,46,4,110,1,5,572,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 616","Thunder Bay",116,393,52,5,146,1,10,723,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 617","Thunder Bay",158,517,75,10,204,3,12,979,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 618","Thunder Bay",121,447,52,9,174,2,4,809,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 619","Thunder Bay",106,387,49,10,173,2,1,728,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 620","Thunder Bay",131,299,59,11,194,0,7,701,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 621","Thunder Bay",80,311,57,7,195,2,7,659,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord",,Group 1/Groupe 1, 40,58,14,6,11,3,8,140,154
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord",,Group 2/Groupe 2, 400,1062,261,26,553,2,45,2349,
