Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lesley Barron,Andrew Bascombe,Syl Carle,Michael Chong,Ralph Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 44","Centre Wellington",36,12,5,46,20,3,122,282
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 45","Centre Wellington",67,30,7,56,41,0,201,388
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 46","Centre Wellington",24,20,4,36,22,0,106,259
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 47","Halton Hills",29,12,0,51,5,0,97,210
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 48","Halton Hills",94,24,19,137,23,2,299,603
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 49","Halton Hills",43,37,2,89,15,1,187,405
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 50","Halton Hills",70,14,1,78,16,1,180,433
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 51","Halton Hills",53,18,4,101,19,0,195,396
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 52","Halton Hills",99,26,4,141,18,1,289,619
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 53","Halton Hills",69,19,7,130,27,0,252,421
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 54","Halton Hills",69,18,9,86,27,1,210,380
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 55","Halton Hills",70,11,3,105,33,0,222,482
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 56","Centre Wellington",23,7,0,73,13,0,116,258
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 57","Centre Wellington",97,42,5,156,38,2,340,664
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 58","Centre Wellington",40,22,2,81,22,0,167,339
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 59","Centre Wellington",56,24,8,78,30,0,196,387
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 60","Centre Wellington",29,12,4,81,24,0,150,281
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 61","Centre Wellington",48,43,8,113,21,0,233,472
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 62","Centre Wellington",57,33,4,93,18,1,206,384
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 63","Centre Wellington",56,16,4,57,30,0,163,321
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 64","Centre Wellington",44,22,5,34,26,0,131,263
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 65","Centre Wellington",42,22,2,65,34,0,165,298
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 66","Halton Hills",41,28,3,80,20,1,173,408
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 67","Halton Hills",61,26,2,103,19,0,211,429
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 68","Halton Hills",83,27,4,89,27,4,234,390
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 69","Halton Hills",48,26,4,89,23,0,190,397
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 70","Halton Hills",61,26,4,120,24,0,235,478
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 71","Halton Hills",98,16,4,107,43,2,270,468
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 72","Halton Hills",71,30,3,125,33,4,266,511
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 73","Halton Hills",77,40,3,109,21,1,251,506
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 74","Halton Hills",57,38,11,93,40,1,240,482
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 75","Halton Hills",54,18,8,109,45,1,235,490
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 76","Halton Hills",80,17,6,90,33,1,227,434
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 77","Halton Hills",52,15,14,84,32,3,200,415
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 78A","Halton Hills",65,11,4,83,23,3,189,373
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 78B","Halton Hills",Merged with No./Fusionné avec le n°401,,,,,,,163
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 79","Halton Hills",57,17,9,82,19,0,184,391
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 80","Halton Hills",72,23,7,99,23,2,226,408
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 81","Halton Hills",50,14,3,77,22,0,166,415
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 82","Halton Hills",61,16,2,93,23,0,195,389
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 83","Halton Hills",60,14,3,88,22,3,190,355
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 84","Halton Hills",48,36,4,84,27,3,202,371
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 85A","Halton Hills",32,9,2,55,24,1,123,352
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 85B","Halton Hills",26,13,3,41,13,0,96,362
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 86","Halton Hills",57,24,0,60,29,3,173,423
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 87","Halton Hills",82,16,3,142,36,3,282,435
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 88","Halton Hills",107,27,6,109,28,4,281,520
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 89","Halton Hills",43,8,2,63,10,0,126,262
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 90","Halton Hills",53,9,1,75,24,0,162,359
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 91","Halton Hills",72,20,6,98,13,0,209,333
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 92","Halton Hills",58,16,1,102,5,1,183,344
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 93","Halton Hills",80,28,2,106,20,3,239,521
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 94","Halton Hills",91,25,1,105,12,5,239,451
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 95A","Halton Hills",68,13,2,94,14,0,191,379
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 95B","Halton Hills",69,10,6,83,16,2,186,368
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 96","Halton Hills",89,20,6,98,6,2,221,425
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 97","Halton Hills",73,20,2,85,17,0,197,375
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 98","Halton Hills",69,24,1,69,16,0,179,371
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 99","Halton Hills",79,15,4,81,16,0,195,356
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 100","Centre Wellington",31,10,4,99,14,1,159,376
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 101","Centre Wellington",33,22,0,62,20,0,137,342
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 102","Centre Wellington",32,19,1,73,17,0,142,320
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 103","Centre Wellington",39,19,9,87,28,1,183,371
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 104","Centre Wellington",36,11,6,101,23,1,178,334
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 105","Halton Hills",103,16,2,111,20,1,253,462
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 106","Halton Hills",66,14,5,82,30,0,197,385
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 107","Halton Hills",78,19,1,144,14,1,257,545
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 108","Halton Hills",56,22,7,99,31,2,217,434
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 109","Halton Hills",78,25,7,106,14,1,231,480
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 110","Halton Hills",80,15,10,109,12,2,228,430
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 111","Halton Hills",90,28,4,136,23,2,283,563
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 112","Halton Hills",85,28,5,142,33,0,293,574
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 113","Guelph/Eramosa",41,18,2,137,40,0,238,413
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 114","Guelph/Eramosa",45,21,4,138,34,2,244,457
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 115","Guelph/Eramosa",62,15,6,140,34,2,259,434
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 116","Halton Hills",59,23,3,78,28,0,191,420
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 117","Halton Hills",89,19,3,82,34,1,228,464
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 118","Halton Hills",94,48,10,139,23,0,314,546
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 119","Halton Hills",87,15,4,123,39,0,268,491
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 120","Halton Hills",91,35,4,111,18,2,261,487
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 121","Halton Hills",84,8,6,109,19,0,226,491
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 122","Halton Hills",80,21,1,115,18,0,235,440
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 123","Halton Hills",44,10,2,103,14,0,173,298
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 124","Halton Hills",59,12,1,66,5,2,145,317
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 125","Centre Wellington",82,21,3,124,33,3,266,478
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 126","Centre Wellington",35,9,4,68,26,1,143,302
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 127","Centre Wellington",44,20,2,66,18,0,150,338
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 128","Centre Wellington",62,25,1,52,24,0,164,352
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 129","Centre Wellington",46,18,5,70,18,0,157,370
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 130","Centre Wellington",42,22,3,90,28,0,185,422
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 131","Halton Hills",92,12,6,123,18,0,251,511
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 132","Halton Hills",89,28,4,146,23,0,290,547
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 133","Halton Hills",84,17,6,104,18,0,229,481
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 134","Halton Hills",79,25,5,146,26,0,281,541
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 135","Halton Hills",80,20,3,164,25,0,292,571
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 136","Halton Hills",74,28,8,151,23,5,289,559
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 137","Halton Hills",82,14,7,108,27,0,238,502
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 138","Halton Hills",76,11,0,95,13,0,195,404
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 139","Halton Hills",84,23,6,122,17,0,252,480
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 140","Halton Hills",83,11,0,121,16,0,231,450
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 141","Halton Hills",64,25,1,99,23,3,215,418
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 142","Halton Hills",48,14,3,116,20,2,203,449
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 143","Halton Hills",45,8,5,123,13,0,194,361
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 144","Halton Hills",87,40,11,147,29,3,317,541
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 145","Halton Hills",33,19,4,115,16,1,188,395
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 146","Halton Hills",60,23,7,150,33,1,274,457
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 147","Halton Hills",57,23,5,109,19,0,213,381
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 148","Halton Hills",49,26,9,108,21,0,213,439
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 149","Halton Hills",42,17,3,92,27,0,181,403
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 150","Centre Wellington",55,15,8,108,25,0,211,446
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 151","Centre Wellington",45,19,5,57,16,0,142,276
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 152","Centre Wellington",46,23,8,95,37,0,209,445
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 153","Centre Wellington",24,26,1,77,23,2,153,297
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 154","Centre Wellington",42,33,9,77,36,1,198,454
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 155","Centre Wellington",54,14,10,78,22,0,178,376
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 156","Centre Wellington",60,20,3,83,33,2,201,423
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 157","Centre Wellington",75,25,10,82,54,0,246,504
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 158","Centre Wellington",92,36,4,156,35,0,323,656
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 159","Centre Wellington",41,10,5,60,20,0,136,267
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 160","Halton Hills",50,22,10,120,36,1,239,488
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 161","Halton Hills",64,14,11,100,26,1,216,457
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 162","Halton Hills",31,15,8,71,25,0,150,341
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 163","Halton Hills",61,21,9,71,18,0,180,367
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 164","Halton Hills",52,33,4,69,19,3,180,376
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 165","Halton Hills",39,23,4,82,24,1,173,410
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 166","Halton Hills",58,22,9,106,35,0,230,485
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 167","Centre Wellington",33,11,2,47,27,1,121,226
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 168","Centre Wellington",99,27,3,120,37,0,286,532
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 169","Centre Wellington",49,31,4,65,55,0,204,452
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 170","Centre Wellington",64,29,0,90,38,2,223,401
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 171","Centre Wellington",101,29,7,138,40,1,316,576
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 172","Centre Wellington",97,20,9,69,46,5,246,262
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 173","Centre Wellington",73,28,1,85,33,0,220,437
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 174","Centre Wellington",Merged with No./Fusionné avec le n°172,,,,,,,235
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 175","Centre Wellington",67,20,6,79,70,1,243,473
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 176","Centre Wellington",65,25,2,114,38,2,246,446
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 177","Erin",69,25,9,130,31,1,265,496
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 178","Halton Hills",52,34,4,88,26,0,204,448
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 179","Halton Hills",55,28,6,115,28,1,233,473
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 180","Halton Hills",52,44,6,128,28,1,259,511
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 181","Halton Hills",52,37,7,104,31,2,233,439
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 182","Halton Hills",66,39,2,115,19,1,242,529
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 183","Halton Hills",67,24,5,135,25,3,259,499
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 184","Halton Hills",37,11,3,69,10,0,130,286
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 185","Guelph/Eramosa",39,11,4,66,22,1,143,293
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 186","Guelph/Eramosa",33,13,3,61,15,1,126,244
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 187","Guelph/Eramosa",36,26,3,61,30,1,157,269
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 188","Guelph/Eramosa",31,22,6,64,38,0,161,306
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 189","Guelph/Eramosa",67,19,3,74,20,2,185,402
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 190","Guelph/Eramosa",40,18,5,76,41,0,180,372
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 191","Guelph/Eramosa",58,15,4,67,20,0,164,306
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 192","Guelph/Eramosa",30,13,7,40,4,0,94,237
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 193","Guelph/Eramosa",53,30,10,88,44,3,228,497
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 194","Guelph/Eramosa",76,26,6,88,36,2,234,521
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 195","Guelph/Eramosa",76,28,6,122,47,0,279,516
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 196","Guelph/Eramosa",53,15,5,104,21,0,198,355
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 197","Guelph/Eramosa",56,16,4,60,29,0,165,308
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 198","Guelph/Eramosa",67,8,2,61,19,2,159,286
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 199","Guelph/Eramosa",41,12,0,57,18,1,129,228
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 200","Halton Hills",37,16,3,68,5,0,129,356
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 201","Halton Hills",66,11,2,103,5,1,188,393
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 202","Halton Hills",65,17,6,136,24,2,250,451
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 203","Halton Hills",92,27,9,113,12,0,253,492
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 204","Halton Hills",64,23,6,117,15,1,226,418
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 205","Halton Hills",60,16,3,91,13,1,184,423
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 206","Centre Wellington",35,13,4,52,21,0,125,198
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 207","Centre Wellington",6,12,0,54,5,1,78,225
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 208","Centre Wellington",73,14,8,150,45,1,291,511
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 209","Guelph/Eramosa",25,4,3,77,9,1,119,242
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 210","Guelph/Eramosa",59,25,1,76,32,0,193,370
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 211","Guelph/Eramosa",66,20,2,72,24,0,184,368
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 212","Guelph/Eramosa",46,36,8,124,26,0,240,439
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 213","Guelph/Eramosa",65,21,2,91,36,2,217,470
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 214","Guelph/Eramosa",74,10,5,100,30,0,219,378
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 215","Guelph/Eramosa",54,21,1,58,48,1,183,323
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 216","Guelph/Eramosa",55,10,2,71,30,0,168,267
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 217","Guelph/Eramosa",43,18,7,109,14,1,192,384
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 218","Guelph/Eramosa",48,19,0,98,15,0,180,389
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 219","Guelph/Eramosa",54,25,6,108,27,3,223,481
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 220","Guelph/Eramosa",52,36,7,80,23,3,201,445
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 221","Puslinch",70,15,4,89,20,2,200,447
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 222","Puslinch",14,4,1,47,4,0,70,125
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 223","Puslinch",66,21,3,99,21,1,211,359
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 224","Puslinch",84,20,8,143,62,0,317,526
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 225","Puslinch",69,13,4,114,30,0,230,485
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 226","Puslinch",40,13,7,90,21,0,171,355
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 227","Puslinch",60,7,3,91,13,0,174,362
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 228","Puslinch",63,26,5,99,19,3,215,459
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 229","Puslinch",69,21,10,113,29,0,242,483
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 230","Puslinch",74,19,8,116,38,2,257,508
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 231","Puslinch",37,5,3,67,14,0,126,236
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 232","Puslinch",44,7,4,57,21,3,136,367
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 233","Puslinch",79,20,3,71,20,2,195,365
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 234","Puslinch",75,31,10,135,36,0,287,490
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 235","Puslinch",Merged with No./Fusionné avec le n°236,,,,,,,250
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 236","Puslinch",72,25,11,170,56,0,334,306
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 237","Puslinch",46,12,4,112,18,2,194,359
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 400","Halton Hills",54,12,0,70,19,2,157,214
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 401","Halton Hills",57,29,3,56,25,2,172,189
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 500","Mobile poll/Bureau itinérant",78,9,6,65,9,10,177,363
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 501","Mobile poll/Bureau itinérant",23,11,0,59,13,4,110,205
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 502","Mobile poll/Bureau itinérant",19,8,2,62,15,5,111,289
