Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aeriol Alderking,Locke Duncan,Ed Fast,Stephen Fowler,Seamus Heffernan,Madeleine Sauve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 84","Abbotsford",1,4,192,34,60,53,0,344,679
59001,"Abbotsford/Abbotsford"," 85","Abbotsford",0,6,150,19,59,40,0,274,543
59001,"Abbotsford/Abbotsford"," 86","Abbotsford",0,4,175,7,65,41,1,293,589
59001,"Abbotsford/Abbotsford"," 87","Abbotsford",1,1,165,15,67,51,0,300,595
59001,"Abbotsford/Abbotsford"," 88","Abbotsford",3,6,149,14,47,44,4,267,509
59001,"Abbotsford/Abbotsford"," 89","Abbotsford",0,2,107,10,55,37,1,212,485
59001,"Abbotsford/Abbotsford"," 90","Abbotsford",3,7,113,27,47,41,1,239,497
59001,"Abbotsford/Abbotsford"," 91","Abbotsford",5,2,141,13,47,41,0,249,569
59001,"Abbotsford/Abbotsford"," 92","Abbotsford",1,2,119,14,89,28,0,253,518
59001,"Abbotsford/Abbotsford"," 93","Abbotsford",3,2,75,20,40,19,0,159,367
59001,"Abbotsford/Abbotsford"," 94","Abbotsford",2,10,105,24,53,65,3,262,633
59001,"Abbotsford/Abbotsford"," 95","Abbotsford",2,5,122,14,54,55,3,255,698
59001,"Abbotsford/Abbotsford"," 96","Abbotsford",1,6,105,15,43,43,4,217,535
59001,"Abbotsford/Abbotsford"," 97","Abbotsford",2,10,135,22,40,47,1,257,456
59001,"Abbotsford/Abbotsford"," 98","Abbotsford",2,3,62,6,29,20,2,124,258
59001,"Abbotsford/Abbotsford"," 99","Abbotsford",3,8,160,27,48,37,1,284,580
59001,"Abbotsford/Abbotsford"," 100","Abbotsford",1,9,141,25,45,44,1,266,530
59001,"Abbotsford/Abbotsford"," 101","Abbotsford",1,2,139,11,56,27,1,237,503
59001,"Abbotsford/Abbotsford"," 102","Abbotsford",0,6,103,24,41,61,0,235,531
59001,"Abbotsford/Abbotsford"," 103","Abbotsford",4,1,124,32,59,59,0,279,554
59001,"Abbotsford/Abbotsford"," 104","Abbotsford",4,8,161,27,57,40,0,297,547
59001,"Abbotsford/Abbotsford"," 105","Abbotsford",2,0,162,24,74,25,3,290,709
59001,"Abbotsford/Abbotsford"," 106","Abbotsford",0,1,178,16,46,30,1,272,581
59001,"Abbotsford/Abbotsford"," 107","Abbotsford",2,3,77,10,28,25,1,146,340
59001,"Abbotsford/Abbotsford"," 108","Abbotsford",2,12,103,18,73,66,2,276,577
59001,"Abbotsford/Abbotsford"," 109","Abbotsford",1,4,37,16,31,51,1,141,408
59001,"Abbotsford/Abbotsford"," 110","Abbotsford",0,3,109,18,48,54,1,233,565
59001,"Abbotsford/Abbotsford"," 111","Abbotsford",0,9,104,26,38,49,4,230,596
59001,"Abbotsford/Abbotsford"," 112","Abbotsford",1,3,78,13,31,52,1,179,529
59001,"Abbotsford/Abbotsford"," 113","Abbotsford",0,1,112,21,39,61,1,235,529
59001,"Abbotsford/Abbotsford"," 114","Abbotsford",2,5,132,19,67,41,0,266,594
59001,"Abbotsford/Abbotsford"," 115","Abbotsford",0,4,85,6,28,24,0,147,372
59001,"Abbotsford/Abbotsford"," 116","Abbotsford",3,8,128,21,85,50,0,295,610
59001,"Abbotsford/Abbotsford"," 117","Abbotsford",1,4,157,15,47,38,1,263,570
59001,"Abbotsford/Abbotsford"," 118","Abbotsford",0,1,111,20,42,27,0,201,461
59001,"Abbotsford/Abbotsford"," 119","Abbotsford",0,4,198,20,58,37,1,318,613
59001,"Abbotsford/Abbotsford"," 120","Abbotsford",0,2,59,8,23,30,0,122,253
59001,"Abbotsford/Abbotsford"," 121","Abbotsford",3,1,77,17,30,23,0,151,364
59001,"Abbotsford/Abbotsford"," 122","Abbotsford",5,5,100,10,45,36,2,203,544
59001,"Abbotsford/Abbotsford"," 123","Abbotsford",1,12,121,23,49,42,0,248,457
59001,"Abbotsford/Abbotsford"," 124","Abbotsford",3,1,130,21,71,55,1,282,539
59001,"Abbotsford/Abbotsford"," 125","Abbotsford",0,3,119,14,31,30,1,198,395
59001,"Abbotsford/Abbotsford"," 126","Abbotsford",0,5,105,15,61,29,0,215,443
59001,"Abbotsford/Abbotsford"," 127","Abbotsford",0,3,116,18,37,16,0,190,403
59001,"Abbotsford/Abbotsford"," 128","Abbotsford",0,5,126,20,62,34,0,247,537
59001,"Abbotsford/Abbotsford"," 129","Abbotsford",2,4,149,21,51,38,1,266,561
59001,"Abbotsford/Abbotsford"," 130","Abbotsford",0,10,100,18,28,40,2,198,406
59001,"Abbotsford/Abbotsford"," 131","Abbotsford",0,12,128,23,51,61,3,278,659
59001,"Abbotsford/Abbotsford"," 132","Abbotsford",0,4,53,14,48,36,1,156,430
59001,"Abbotsford/Abbotsford"," 133","Abbotsford",0,4,102,30,46,99,2,283,864
59001,"Abbotsford/Abbotsford"," 134","Abbotsford",5,1,69,15,68,67,1,226,615
59001,"Abbotsford/Abbotsford"," 135","Abbotsford",0,3,125,25,71,56,3,283,680
59001,"Abbotsford/Abbotsford"," 136","Abbotsford",1,4,66,5,37,36,1,150,408
59001,"Abbotsford/Abbotsford"," 137","Abbotsford",0,2,130,15,65,46,7,265,559
59001,"Abbotsford/Abbotsford"," 138","Abbotsford",0,9,153,16,45,25,4,252,536
59001,"Abbotsford/Abbotsford"," 139","Abbotsford",1,11,191,8,59,24,2,296,542
59001,"Abbotsford/Abbotsford"," 140","Abbotsford",1,6,167,9,50,40,0,273,525
59001,"Abbotsford/Abbotsford"," 141","Abbotsford",3,6,196,19,40,32,3,299,492
59001,"Abbotsford/Abbotsford"," 142","Abbotsford",3,11,203,36,61,47,1,362,625
59001,"Abbotsford/Abbotsford"," 143","Abbotsford",3,5,214,18,33,17,0,290,415
59001,"Abbotsford/Abbotsford"," 400","Abbotsford",0,6,138,13,42,9,1,209,305
59001,"Abbotsford/Abbotsford"," 500","Mobile poll/Bureau itinérant",2,0,74,5,11,9,4,105,135
59001,"Abbotsford/Abbotsford"," 501","Mobile poll/Bureau itinérant",0,1,108,3,13,4,4,133,175
59001,"Abbotsford/Abbotsford"," 502","Mobile poll/Bureau itinérant",2,4,42,8,7,17,1,81,115
59001,"Abbotsford/Abbotsford"," 503","Mobile poll/Bureau itinérant",1,0,95,4,11,1,0,112,165
59001,"Abbotsford/Abbotsford"," 504","Mobile poll/Bureau itinérant",0,2,53,6,20,13,0,94,152
59001,"Abbotsford/Abbotsford"," 505","Mobile poll/Bureau itinérant",0,1,43,5,12,6,7,74,99
59001,"Abbotsford/Abbotsford"," 506","Mobile poll/Bureau itinérant",0,1,89,4,11,1,4,110,141
59001,"Abbotsford/Abbotsford"," 600","Abbotsford",4,17,464,50,395,174,38,1142,
59001,"Abbotsford/Abbotsford"," 601","Abbotsford",4,19,539,48,248,148,16,1022,
59001,"Abbotsford/Abbotsford"," 602","Abbotsford",8,24,569,76,240,188,13,1118,
59001,"Abbotsford/Abbotsford"," 603","Abbotsford",2,26,599,87,203,126,6,1049,
59001,"Abbotsford/Abbotsford"," 604","Abbotsford",0,17,357,77,172,117,1,741,
59001,"Abbotsford/Abbotsford"," 605","Abbotsford",8,22,661,112,260,167,6,1236,
59001,"Abbotsford/Abbotsford"," 606","Abbotsford",3,37,762,96,209,131,4,1242,
59001,"Abbotsford/Abbotsford"," 607","Abbotsford",3,21,737,83,228,126,4,1202,
59001,"Abbotsford/Abbotsford"," 608","Abbotsford",2,15,552,61,195,110,3,938,
59001,"Abbotsford/Abbotsford"," 609","Abbotsford",9,28,439,99,191,173,7,946,
59001,"Abbotsford/Abbotsford"," 610","Abbotsford",10,21,611,77,240,155,24,1138,
59001,"Abbotsford/Abbotsford"," 611","Abbotsford",15,18,472,42,216,143,6,912,
59001,"Abbotsford/Abbotsford"," 612","Abbotsford",4,12,604,56,251,151,3,1081,
59001,"Abbotsford/Abbotsford"," 613","Abbotsford",3,15,484,49,114,79,2,746,
59001,"Abbotsford/Abbotsford",,Group 1/Groupe 1, 2,3,26,14,50,20,3,118,168
59001,"Abbotsford/Abbotsford",,Group 2/Groupe 2, 10,28,775,148,280,190,33,1464,
