Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Berthold,Mathieu Boisvert,Nicole Charette,Priscilla Corbeil,Isabelle Grégoire,Marie  Claude Lauzier,Jean Paradis,Damien Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 146","Disraëli",45,10,2,35,17,3,0,0,2,114,282
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 147","Disraëli",62,5,4,39,18,1,1,2,0,132,372
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 148","Disraëli",52,4,6,38,13,0,0,2,1,116,380
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 149","Disraëli",65,4,3,40,22,2,0,1,2,139,327
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 150","Saint-Sébastien",88,6,5,46,19,1,1,0,2,168,255
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 151","Saint-Sébastien",107,6,2,31,17,3,0,1,0,167,249
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 152","Saint-Ludger",84,5,3,37,14,10,3,0,1,157,290
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 153","Saint-Ludger",58,8,1,36,10,6,0,0,2,121,251
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 154","Saint-Ludger",81,2,5,41,11,8,1,2,1,152,291
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 155","Lac-Drolet",120,10,8,66,18,0,0,4,0,226,316
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 156","Lac-Drolet",65,3,8,48,41,2,0,1,1,169,287
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 157","Lac-Drolet",63,5,4,42,28,1,1,0,4,148,237
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 158","Garthby",68,5,2,66,27,2,1,1,3,175,366
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 159","Garthby",63,3,0,81,34,3,2,0,5,191,394
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 160","Saint-Romain",78,3,4,42,30,1,2,0,3,163,312
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 161","Saint-Romain",97,12,5,28,24,0,1,1,4,172,318
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 162","Stratford",39,2,3,41,33,1,0,2,2,123,266
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 163","Stratford",39,6,3,77,32,1,2,1,2,163,310
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 164","Stratford",39,5,7,51,35,1,0,1,2,141,249
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 165","Audet",77,4,1,52,24,1,1,2,3,165,250
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 166","Audet",82,2,6,43,22,4,2,0,5,166,260
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 167","Sainte-Cécile-de-Whitton",90,14,4,37,31,2,2,2,0,182,337
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 168","Sainte-Cécile-de-Whitton",75,10,7,47,31,1,0,0,1,172,307
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 169","Stornoway",126,8,11,60,50,2,3,1,2,263,386
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 170","Nantes",87,6,5,63,12,5,2,0,0,180,325
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 171","Nantes",57,6,2,50,29,4,2,0,2,152,414
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 172","Lac-Mégantic",51,14,2,58,26,2,3,1,2,159,404
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 173","Lac-Mégantic",45,7,13,39,40,0,5,0,5,154,371
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 174","Lac-Mégantic",52,20,1,38,22,4,3,2,0,142,345
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 175","Lac-Mégantic",51,6,6,43,17,0,2,2,4,131,363
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 176","Lac-Mégantic",51,7,7,33,24,2,2,0,3,129,346
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 177","Lac-Mégantic",67,8,5,49,35,1,2,0,2,169,329
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 178","Lac-Mégantic",96,20,8,75,58,1,4,2,4,268,702
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 179","Lac-Mégantic",56,11,9,45,39,3,0,0,3,166,367
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 180","Lac-Mégantic",56,1,9,42,16,1,3,1,1,130,412
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 181","Lac-Mégantic",38,1,4,58,33,1,1,1,2,139,352
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 182","Nantes",61,5,4,36,19,0,2,0,0,127,363
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 183","Lac-Mégantic",64,16,6,76,54,0,1,2,4,223,435
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 184","Frontenac",89,9,9,62,35,2,0,0,3,209,354
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 185","Frontenac",64,5,8,51,24,4,1,0,4,161,325
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 186","Frontenac",85,9,4,55,22,0,0,0,2,177,302
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 187","Frontenac",59,5,8,59,43,1,4,0,2,181,393
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 188","Marston",54,5,4,34,19,2,2,2,4,126,278
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 189","Marston",58,5,4,76,50,1,1,0,1,196,323
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 190","Milan",59,4,5,45,11,1,1,2,4,132,236
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 191","Piopolis",52,6,16,83,50,3,1,0,1,212,320
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 192","Val-Racine",27,8,3,34,12,2,1,1,2,90,146
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 193","Saint-Augustin-de-Woburn",65,5,4,49,31,2,4,0,2,162,276
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 194","Saint-Augustin-de-Woburn",50,4,3,61,24,1,1,2,3,149,272
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 195","Notre-Dame-des-Bois",52,11,5,91,29,3,1,2,2,196,347
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 196","Notre-Dame-des-Bois",94,7,6,76,28,4,0,0,6,221,357
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 400","Thetford Mines",80,3,1,27,42,2,1,1,18,175,193
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 401","Thetford Mines",49,1,2,21,40,0,0,0,7,120,152
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 402","Plessisville",58,3,0,20,40,0,0,0,20,141,176
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 403","Thetford Mines",86,4,1,23,39,0,0,0,10,163,189
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 404","Lac-Mégantic",47,6,0,24,48,0,2,0,9,136,177
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 500","Mobile poll/Bureau itinérant",27,0,0,7,20,1,0,0,0,55,73
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 501","Mobile poll/Bureau itinérant",18,1,0,6,21,0,3,0,2,51,43
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 502","Mobile poll/Bureau itinérant",44,1,3,11,18,0,0,2,2,81,104
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 503","Mobile poll/Bureau itinérant",33,3,0,12,16,0,0,0,6,70,104
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 504","Mobile poll/Bureau itinérant",14,0,1,7,14,1,0,0,2,39,94
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 505","Mobile poll/Bureau itinérant",63,0,1,32,36,2,2,2,19,157,153
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 506","Mobile poll/Bureau itinérant",24,0,4,5,19,0,0,1,14,67,119
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 507","Mobile poll/Bureau itinérant",9,1,2,6,20,1,2,0,2,43,68
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 508A","Mobile poll/Bureau itinérant",8,0,2,0,13,0,0,0,1,24,40
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 508B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,14
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 508C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,18
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 509","Mobile poll/Bureau itinérant",13,1,0,9,15,0,1,0,5,44,116
