Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Abara,Farhan Alvi,Kevin Clarke,Kathleen Marie Holding,Jigna Jani,John McKay,Tara McMahon,Michelle Spencer,Gus Stefanis,Quintus Thuraisingham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 71","Scarborough",0,0,1,0,2,167,7,36,1,40,0,254,616
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 72","Scarborough",0,0,2,0,1,135,0,18,0,13,5,174,384
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 73","Scarborough",0,0,0,0,3,131,4,11,0,30,6,185,391
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 74","Scarborough",0,0,1,0,7,120,1,10,2,42,7,190,401
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 75","Scarborough",0,0,1,0,0,191,0,3,0,19,0,214,370
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 76","Scarborough",0,0,0,0,1,170,0,1,0,2,4,178,427
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 77","Scarborough",0,0,0,0,2,162,1,7,1,23,0,196,395
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 78","Scarborough",1,0,0,0,7,97,9,18,3,59,3,197,484
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 79","Scarborough",0,0,0,1,3,90,3,22,2,55,5,181,386
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 80","Scarborough",0,0,0,1,3,100,8,34,1,50,7,204,432
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 81","Scarborough",0,1,0,0,4,118,8,24,0,40,1,196,412
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 82","Scarborough",0,0,0,1,0,100,4,25,0,55,3,188,395
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 83","Scarborough",0,0,0,0,0,152,11,35,2,64,2,266,458
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 84","Scarborough",0,0,2,0,1,119,17,26,2,54,1,222,387
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 85","Scarborough",0,0,0,0,3,147,10,27,2,50,1,240,400
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 86","Scarborough",0,0,1,0,3,115,16,18,2,59,1,215,393
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 87","Scarborough",0,1,0,0,5,147,19,38,0,55,2,267,509
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 88","Scarborough",0,0,0,0,5,133,10,30,0,47,4,229,530
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 89","Scarborough",0,1,0,0,4,196,3,29,0,42,3,278,647
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 90","Scarborough",0,2,2,0,2,102,6,12,1,34,9,170,461
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 91","Scarborough",1,0,0,0,5,155,2,17,1,19,1,201,491
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 92","Scarborough",0,0,0,0,3,87,6,24,0,54,0,174,369
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 93","Scarborough",0,0,0,0,1,148,9,22,0,63,7,250,556
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 94","Scarborough",0,0,1,0,3,128,9,31,0,52,5,229,495
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 95","Scarborough",0,0,0,0,1,95,9,23,0,53,2,183,420
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 96","Scarborough",1,2,1,2,3,191,3,28,1,29,8,269,576
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 97","Scarborough",0,0,0,0,2,145,5,19,0,30,4,205,535
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 98","Scarborough",0,2,1,0,0,175,2,21,0,28,1,230,528
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 99","Scarborough",0,0,0,0,10,131,14,36,2,52,3,248,427
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 100","Scarborough",0,0,1,0,4,152,10,26,0,62,1,256,477
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 101","Scarborough",0,0,0,1,7,179,7,32,0,40,2,268,470
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 102","Scarborough",1,1,0,0,7,178,11,40,0,69,2,309,515
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 103","Scarborough",0,0,0,0,2,151,7,40,0,67,3,270,487
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 104","Scarborough",0,9,1,0,2,169,6,20,1,41,4,253,668
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 105","Scarborough",0,0,0,2,2,104,11,23,0,20,0,162,355
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 106","Scarborough",1,0,0,0,2,170,0,21,0,26,2,222,562
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 107","Scarborough",0,0,0,0,1,90,1,20,0,37,1,150,367
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 108","Scarborough",0,0,1,0,1,115,9,28,0,42,3,199,408
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 109","Scarborough",0,0,2,0,2,138,12,40,0,47,3,244,559
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 110","Scarborough",0,0,1,0,3,129,7,29,0,79,5,253,438
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 111","Scarborough",0,0,0,0,6,127,11,19,0,45,2,210,471
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 112","Scarborough",0,0,0,1,7,147,13,30,1,66,0,265,505
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 113","Scarborough",0,0,0,0,1,116,13,19,0,59,4,212,393
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 114","Scarborough",0,0,1,0,8,129,12,29,0,51,0,230,583
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 115","Scarborough",0,0,0,0,6,127,7,19,0,45,2,206,410
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 116","Scarborough",0,0,0,0,0,143,9,24,0,72,1,249,389
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 117","Scarborough",1,0,1,0,4,114,7,28,0,48,14,217,430
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 400","Scarborough",0,0,0,0,0,42,1,11,0,6,1,61,191
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 401","Scarborough",0,1,0,0,0,47,1,7,0,6,2,64,186
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 402","Scarborough",0,0,0,0,3,68,3,12,1,36,1,124,332
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 403","Scarborough",0,0,0,0,0,48,2,18,2,5,1,76,252
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 404","Scarborough",2,0,0,0,0,50,2,19,0,13,1,87,265
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 405","Scarborough",0,0,0,0,2,111,0,15,0,9,1,138,309
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 406","Scarborough",2,0,1,0,6,162,7,29,0,54,2,263,444
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 407","Scarborough",1,0,1,2,2,58,2,3,1,30,3,103,167
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 408","Scarborough",0,0,0,1,0,51,2,11,0,9,2,76,249
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 409","Scarborough",0,0,1,0,4,73,4,16,0,26,1,125,315
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 410","Scarborough",0,1,0,0,0,2,2,3,0,0,0,8,1
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 411","Scarborough",0,2,0,0,4,60,0,14,0,37,2,119,334
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 412","Scarborough",0,0,0,0,1,31,2,1,0,13,1,49,119
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 413","Scarborough",0,0,0,0,1,94,0,11,0,18,1,125,337
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 414","Scarborough",0,0,0,0,6,55,0,1,0,43,1,106,305
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 415","Scarborough",0,1,0,0,4,57,0,7,0,20,3,92,264
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 416","Scarborough",1,1,0,1,3,93,6,8,0,53,2,168,331
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 417","Scarborough",2,0,1,0,2,103,2,17,0,69,4,200,351
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 418","Scarborough",0,1,1,0,3,118,0,29,0,50,3,205,411
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 419","Scarborough",0,0,0,0,4,117,2,34,1,68,5,231,454
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 420","Scarborough",1,0,1,1,5,71,7,24,0,77,3,190,373
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 421","Scarborough",0,0,0,0,3,109,5,27,0,54,1,199,390
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 422","Scarborough",0,0,0,0,2,97,4,24,0,57,0,184,354
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 423","Scarborough",0,0,3,0,8,264,16,48,0,127,6,472,887
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 424","Scarborough",2,0,1,1,10,207,10,51,0,125,6,413,818
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 425","Scarborough",0,0,0,0,0,19,0,11,0,2,0,32,201
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 426","Scarborough",0,1,0,0,8,53,2,7,0,44,3,118,261
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 427","Scarborough",2,0,2,0,3,62,4,14,0,16,6,109,279
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 428","Scarborough",0,0,0,0,0,20,1,3,0,3,1,28,68
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 429","Scarborough",0,0,0,1,1,94,3,10,0,4,4,117,244
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 430","Scarborough",0,0,0,1,1,86,2,10,0,3,0,103,252
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 431","Scarborough",0,0,0,0,0,23,1,2,0,1,1,28,37
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 432","Scarborough",1,0,1,0,0,100,0,11,0,12,10,135,269
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 433","Scarborough",1,1,0,0,1,68,2,8,0,8,1,90,177
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 434","Scarborough",1,1,1,1,2,65,3,13,0,38,0,125,226
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 435","Scarborough",0,1,0,0,3,113,7,18,1,28,3,174,279
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 436","Scarborough",0,0,0,2,3,71,3,8,1,34,3,125,196
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 437","Scarborough",0,0,0,0,0,70,0,5,0,4,0,79,208
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 438","Scarborough",2,0,9,0,6,106,5,20,1,10,8,167,476
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 439","Scarborough",0,0,0,0,0,79,0,14,0,17,0,110,302
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 440","Scarborough",0,0,0,0,3,30,1,7,0,5,0,46,147
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 441","Scarborough",1,0,0,0,0,40,0,4,0,7,2,54,150
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 442","Scarborough",0,0,1,0,0,93,2,7,1,9,0,113,299
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 443","Scarborough",0,1,0,0,5,72,2,6,0,14,10,110,250
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 444","Scarborough",0,0,1,0,2,72,1,14,0,13,1,104,258
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 445","Scarborough",0,0,0,0,3,38,1,4,0,20,1,67,184
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 446","Scarborough",0,0,0,0,1,140,10,8,0,50,1,210,273
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 447","Scarborough",1,0,0,0,1,130,7,9,2,61,2,213,285
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 448","Scarborough",0,0,1,0,1,121,7,33,0,29,1,193,402
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 449","Scarborough",3,0,0,0,2,102,2,15,1,6,1,132,378
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 450","Scarborough",2,0,0,0,3,160,6,27,1,36,6,241,337
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 500","Mobile poll/Bureau itinérant",1,1,0,0,1,41,3,6,0,18,2,73,265
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 501","Mobile poll/Bureau itinérant",1,0,1,2,6,78,3,2,0,14,4,111,209
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 502","Mobile poll/Bureau itinérant",0,0,2,0,1,52,2,4,0,16,6,83,157
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 600","Scarborough",0,1,6,2,15,644,36,126,4,274,6,1114,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 601","Scarborough",0,0,1,0,17,382,21,55,0,207,3,686,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 602","Scarborough",1,0,0,0,11,305,13,49,2,106,4,491,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 603","Scarborough",1,0,2,1,14,448,36,92,1,314,6,915,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 604","Scarborough",0,2,2,2,26,570,17,88,2,246,3,958,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 605","Scarborough",1,0,1,4,9,654,53,99,0,260,19,1100,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 606","Scarborough",1,1,0,0,10,526,17,69,2,152,21,799,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 607","Scarborough",0,0,1,2,21,663,22,66,2,226,25,1028,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 608","Scarborough",2,4,2,1,1,727,24,119,1,197,14,1092,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 609","Scarborough",0,0,0,5,13,684,60,92,1,236,4,1095,
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 610","Scarborough",0,1,4,2,10,547,29,84,2,171,13,863,
35095,"Scarborough--Guildwood/Scarborough--Guildwood",,Group 1/Groupe 1, 0,1,0,1,4,84,5,14,0,13,5,127,155
35095,"Scarborough--Guildwood/Scarborough--Guildwood",,Group 2/Groupe 2, 2,1,0,1,6,478,29,131,4,157,30,839,
