Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Aldag,Rae Banwarie,Tamara Jansen,Ian Kennedy,Caelum Nutbrown,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 149","Langley",41,23,24,3,8,0,99,297
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 150","Langley",48,38,56,2,11,1,156,468
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 151A","Langley",53,28,55,10,17,0,163,328
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 151B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503B,,,,,,,33
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 152","Langley",43,36,44,8,11,0,142,406
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 153","Langley",46,32,44,6,13,0,141,584
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 154","Langley",46,50,67,2,19,1,185,395
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 155","Langley",29,13,32,1,6,0,81,362
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 156","Langley",33,24,63,2,8,0,130,417
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 157","Langley",35,26,36,2,10,0,109,503
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 158","Langley",47,11,33,1,11,0,103,374
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 159","Langley",49,48,55,1,16,0,169,447
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 160","Langley",77,26,59,4,17,0,183,383
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 161","Langley",63,45,98,4,15,2,227,430
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 162","Langley",52,37,52,0,15,0,156,373
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 163","Langley",78,49,113,5,21,2,268,519
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 164","Langley",69,34,77,9,18,0,207,405
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 165","Langley",65,52,131,9,30,0,287,517
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 166","Langley",68,47,92,6,17,0,230,459
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 167","Langley",59,34,83,1,17,0,194,366
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 168","Langley",50,37,92,4,18,4,205,401
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 169","Langley",42,31,33,3,16,1,126,405
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 170","Langley",35,42,34,2,17,2,132,368
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 171","Langley",99,51,104,5,18,0,277,565
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 172","Langley",66,55,61,6,14,2,204,442
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 173","Langley",78,54,91,5,13,0,241,494
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 174","Langley",50,18,87,7,9,3,174,419
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 175","Langley",65,43,85,3,28,0,224,462
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 176","Langley",57,29,110,4,16,1,217,409
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 177","Langley",78,30,127,6,23,0,264,426
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 400","Langley",34,15,59,1,5,1,115,181
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 500","Mobile poll/Bureau itinérant",28,12,25,3,5,1,74,88
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 501","Mobile poll/Bureau itinérant",29,11,20,3,2,7,72,109
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 502","Mobile poll/Bureau itinérant",32,19,35,1,3,4,94,140
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 503A","Mobile poll/Bureau itinérant",21,8,40,1,3,1,74,101
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 503B","Mobile poll/Bureau itinérant",32,9,18,1,2,1,63,65
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 600","Surrey",430,179,272,10,29,2,922,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 601","Surrey",368,154,310,3,50,4,889,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 602","Surrey",515,141,522,19,56,4,1257,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 603","Surrey",516,213,561,26,66,10,1392,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 604","Surrey",370,162,391,11,75,8,1017,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 605","Surrey",450,168,571,22,64,5,1280,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 606","Surrey",473,176,478,11,72,19,1229,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 607","Surrey",494,196,579,14,71,11,1365,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 608","Surrey",341,157,451,21,77,5,1052,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 609","Surrey",421,188,478,13,79,3,1182,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 610","Surrey",371,210,454,17,59,4,1115,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 611","Langley",230,122,454,11,39,4,860,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 612","Langley",279,167,383,20,73,17,939,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 613","Langley",347,178,384,22,101,12,1044,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 614","Langley",318,149,457,17,80,9,1030,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 615","Langley",274,123,448,13,85,3,946,
59007,"Cloverdale--Langley City/Cloverdale--Langley City",,Group 1/Groupe 1, 52,7,23,3,8,10,103,138
59007,"Cloverdale--Langley City/Cloverdale--Langley City",,Group 2/Groupe 2, 454,229,499,25,111,36,1354,
