Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
48011,"Calgary Nose Hill","Calgary Nose Hill"," 12","Calgary",N,N,"",0,749,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 12","Calgary",N,N,"",0,749,"Becker","","Tom","Liberal","Libéral",N,N,72
48011,"Calgary Nose Hill","Calgary Nose Hill"," 12","Calgary",N,N,"",0,749,"Fach","","Addison","Green Party","Parti Vert",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 12","Calgary",N,N,"",0,749,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48011,"Calgary Nose Hill","Calgary Nose Hill"," 12","Calgary",N,N,"",0,749,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,126
48011,"Calgary Nose Hill","Calgary Nose Hill"," 12","Calgary",N,N,"",0,749,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 13","Calgary",N,N,"",0,706,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 13","Calgary",N,N,"",0,706,"Becker","","Tom","Liberal","Libéral",N,N,58
48011,"Calgary Nose Hill","Calgary Nose Hill"," 13","Calgary",N,N,"",0,706,"Fach","","Addison","Green Party","Parti Vert",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 13","Calgary",N,N,"",0,706,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,6
48011,"Calgary Nose Hill","Calgary Nose Hill"," 13","Calgary",N,N,"",0,706,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,97
48011,"Calgary Nose Hill","Calgary Nose Hill"," 13","Calgary",N,N,"",0,706,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 14","Calgary",N,N,"",1,687,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 14","Calgary",N,N,"",1,687,"Becker","","Tom","Liberal","Libéral",N,N,77
48011,"Calgary Nose Hill","Calgary Nose Hill"," 14","Calgary",N,N,"",1,687,"Fach","","Addison","Green Party","Parti Vert",N,N,3
48011,"Calgary Nose Hill","Calgary Nose Hill"," 14","Calgary",N,N,"",1,687,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
48011,"Calgary Nose Hill","Calgary Nose Hill"," 14","Calgary",N,N,"",1,687,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,168
48011,"Calgary Nose Hill","Calgary Nose Hill"," 14","Calgary",N,N,"",1,687,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 15","Calgary",N,N,"",2,634,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 15","Calgary",N,N,"",2,634,"Becker","","Tom","Liberal","Libéral",N,N,86
48011,"Calgary Nose Hill","Calgary Nose Hill"," 15","Calgary",N,N,"",2,634,"Fach","","Addison","Green Party","Parti Vert",N,N,3
48011,"Calgary Nose Hill","Calgary Nose Hill"," 15","Calgary",N,N,"",2,634,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
48011,"Calgary Nose Hill","Calgary Nose Hill"," 15","Calgary",N,N,"",2,634,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,157
48011,"Calgary Nose Hill","Calgary Nose Hill"," 15","Calgary",N,N,"",2,634,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 16","Calgary",N,N,"",0,670,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,4
48011,"Calgary Nose Hill","Calgary Nose Hill"," 16","Calgary",N,N,"",0,670,"Becker","","Tom","Liberal","Libéral",N,N,104
48011,"Calgary Nose Hill","Calgary Nose Hill"," 16","Calgary",N,N,"",0,670,"Fach","","Addison","Green Party","Parti Vert",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 16","Calgary",N,N,"",0,670,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,6
48011,"Calgary Nose Hill","Calgary Nose Hill"," 16","Calgary",N,N,"",0,670,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,184
48011,"Calgary Nose Hill","Calgary Nose Hill"," 16","Calgary",N,N,"",0,670,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 17","Calgary",N,N,"",2,704,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 17","Calgary",N,N,"",2,704,"Becker","","Tom","Liberal","Libéral",N,N,93
48011,"Calgary Nose Hill","Calgary Nose Hill"," 17","Calgary",N,N,"",2,704,"Fach","","Addison","Green Party","Parti Vert",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 17","Calgary",N,N,"",2,704,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,14
48011,"Calgary Nose Hill","Calgary Nose Hill"," 17","Calgary",N,N,"",2,704,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,191
48011,"Calgary Nose Hill","Calgary Nose Hill"," 17","Calgary",N,N,"",2,704,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 18","Calgary",N,N,"",1,549,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 18","Calgary",N,N,"",1,549,"Becker","","Tom","Liberal","Libéral",N,N,68
48011,"Calgary Nose Hill","Calgary Nose Hill"," 18","Calgary",N,N,"",1,549,"Fach","","Addison","Green Party","Parti Vert",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 18","Calgary",N,N,"",1,549,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48011,"Calgary Nose Hill","Calgary Nose Hill"," 18","Calgary",N,N,"",1,549,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,146
48011,"Calgary Nose Hill","Calgary Nose Hill"," 18","Calgary",N,N,"",1,549,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 19","Calgary",N,N,"",0,461,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 19","Calgary",N,N,"",0,461,"Becker","","Tom","Liberal","Libéral",N,N,74
48011,"Calgary Nose Hill","Calgary Nose Hill"," 19","Calgary",N,N,"",0,461,"Fach","","Addison","Green Party","Parti Vert",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 19","Calgary",N,N,"",0,461,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
48011,"Calgary Nose Hill","Calgary Nose Hill"," 19","Calgary",N,N,"",0,461,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,138
48011,"Calgary Nose Hill","Calgary Nose Hill"," 19","Calgary",N,N,"",0,461,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,2
48011,"Calgary Nose Hill","Calgary Nose Hill"," 20","Calgary",N,N,"",3,697,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,2
48011,"Calgary Nose Hill","Calgary Nose Hill"," 20","Calgary",N,N,"",3,697,"Becker","","Tom","Liberal","Libéral",N,N,103
48011,"Calgary Nose Hill","Calgary Nose Hill"," 20","Calgary",N,N,"",3,697,"Fach","","Addison","Green Party","Parti Vert",N,N,3
48011,"Calgary Nose Hill","Calgary Nose Hill"," 20","Calgary",N,N,"",3,697,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,8
48011,"Calgary Nose Hill","Calgary Nose Hill"," 20","Calgary",N,N,"",3,697,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,199
48011,"Calgary Nose Hill","Calgary Nose Hill"," 20","Calgary",N,N,"",3,697,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 21","Calgary",N,N,"",1,655,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 21","Calgary",N,N,"",1,655,"Becker","","Tom","Liberal","Libéral",N,N,82
48011,"Calgary Nose Hill","Calgary Nose Hill"," 21","Calgary",N,N,"",1,655,"Fach","","Addison","Green Party","Parti Vert",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 21","Calgary",N,N,"",1,655,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
48011,"Calgary Nose Hill","Calgary Nose Hill"," 21","Calgary",N,N,"",1,655,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,177
48011,"Calgary Nose Hill","Calgary Nose Hill"," 21","Calgary",N,N,"",1,655,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 22","Calgary",N,N,"",1,617,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
